P0006_tLung,P0008_tLung,P0018_tLung,P0019_tLung,P0020_tLung,P0025_tLung,P0028_tLung,P0030_tLung,P0031_tLung,P0034_tLung,P1006_tL.B,P1028_tL.B,P1049_tL.B,P1058_tL.B
ACAT1,0.30589303,0.21936323,0.21612506,0.37476403,0.31093138,0.2931497,0.31502923,0.55902195,0.28250068,0.3388586,0.23866428,0.2194571,0.30965614,0.26489165
ACAT2,0.1733394,0.12653124,0.27573097,0.23901618,0.24447277,0.14226383,0.14675494,0.46705848,0.17000042,0.15714014,0.33167845,0.16664,0.25417608,0.22133966
ACBD3,0.21667424,0.18884312,0.5051494,0.35852426,0.6441739,0.23566937,0.6057169,0.3171653,0.3675009,0.44845375,0.72176117,0.43133965,0.22192022,0.29054558
ACBD4,0.06500227,0.059132695,0.05960592,0.0466373,0.03322931,0.030177178,0.08713574,0.06082622,0.07437518,0.11402733,0.074267134,0.12405877,0.052899588,0.036989376
ACBD5,0.14466192,0.083930284,0.114066005,0.1207573,0.13054371,0.081909485,0.19367419,0.120204195,0.12375031,0.15109628,0.23505908,0.13081445,0.17805226,0.12290018
ACBD6,0.29505935,0.2314441,0.43954006,0.25900358,0.24542218,0.21267724,0.38523173,0.23606366,0.26375064,0.28124055,0.3215839,0.418033,0.14450619,0.2314819
ACBD7,0.0012745544,0,0.0012864587,0,0,0,0,0,0,0.0004029234,0,0,0,0
ACCS,0.051619455,0.04005763,0.0351632,0.02415146,0.02468463,0.058917344,0.03139709,0.047792032,0.030625073,0.059632666,0.023073284,0.056502014,0.011612104,0.051904444
ACD,0.12681817,0.11381454,0.11106426,0.11242921,0.09161796,0.093405545,0.1160634,0.102101155,0.13375033,0.115236096,0.26966903,0.21659105,0.20901789,0.11633755
ACE,0.11024896,0.035606783,0.051458348,0.3535274,0.17943826,0.16884848,0.08254965,0.14047961,0.09750024,0.12329457,0.03316785,0.122216314,0.025804678,0.06085349
ACE2,0.0025491088,0.0012716708,0.008576391,0.0012492135,0.012342315,0.0014370085,0.0042333156,0.0072412165,0.010000024,0.0072526215,0.007931442,0.0024566094,0.0025804678,0.010738851
ACER1,0.0006372772,0.0025433416,0.00042881953,0.0012492135,0.00047470443,0.0014370085,0,0,0.0006250015,0.0004029234,0,0,0.0012902339,0.0011932056
ACER2,0,0,0.00085763907,0,0.0014241133,0.00071850425,0.0007055526,0.00072412164,0.0006250015,0.0004029234,0.0007210401,0.0008188698,0,0
ACER3,0.21858609,0.11762955,0.23499312,0.3918366,0.25871393,0.27087608,0.33196247,0.434473,0.22687554,0.15270798,0.15358154,0.075131305,0.14063549,0.24341395
ACHE,0.043972127,0.0610402,0.03902258,0.022485843,0.014241133,0.012933076,0.021519354,0.04489554,0.02500006,0.11805656,0.003605201,0.0399199,0.0012902339,0.0626433
ACIN1,0.33520782,0.21427654,0.346915,0.31022134,0.37786472,0.22632883,0.3287875,0.28095922,0.34250084,0.4907607,0.57755315,0.20348914,0.27481982,0.2708577
ACKR1,0.23005706,0.062311873,0.023585076,0.70330715,0.00094940886,0.43038404,0.1160634,0.44605896,0.49187618,0.06930283,0.0007210401,0.00020471745,0,0.059063677
ACKR2,0.0057354947,0.0019075063,0.03988022,0.0016656179,0.00047470443,0.0035925212,0.0045860917,0.0036206082,0.038750093,0,0.0007210401,0.00020471745,0.0051609357,0.005966028
