GeneID,T_cell
ADAM28,0.037844494
ADAM29,0.0
ADAM30,0.0
ADAM32,0.0
ADAM33,0.0011092792
ADAM8,0.38491395
ADAM9,0.028932495
ADAMDEC1,0.004452208
ADAMTS1,0.0055276756
ADAMTS10,0.011430215
ADAMTS12,0.0016875656
ADAMTS13,0.0
ADAMTS14,0.0013396585
ADAMTS15,0.00058165507
ADAMTS16,0.0
ADAMTS17,0.011092465
ADAMTS18,0.00038726543
ADAMTS19,0.0
ADAMTS2,0.0024213993
ADAMTS20,0.0
ADAMTS3,0.0021248949
ADAMTS4,0.0025918223
ADAMTS5,0.0
ADAMTS6,0.04144313
ADAMTS7,0.0005694121
ADAMTS8,0.0015940636
ADAMTS9,0.002577757
ADAMTS9-AS1,0.0
ADAMTS9-AS2,0.00048718852
ADAMTSL1,0.00014023315
ADAMTSL2,0.007893377
ADAMTSL3,0.0014129033
ADAMTSL4,0.013749729
ADAMTSL5,0.019181218
ADAP1,0.059634887
ADAP2,0.0073185177
ADAR,1.0117033
ADARB1,0.101343185
ADARB2,0.016554462
ADARB2-AS1,0.0
ADAT1,0.0980648
ADAT2,0.06491824
ADAT3,0.010001406
ADCK1,0.013196954
ADCK2,0.082818836
COQ8A,0.10970255
COQ8B,0.092924334
ADCK5,0.053426288
ADCY1,7.9323654e-05
ADCY10,0.0
ADCY2,0.00088892656
ADCY3,0.07969073
ADCY4,0.005560772
ADCY5,0.0
ADCY6,0.0009924546
ADCY7,0.17194252
ADCY8,0.0
ADCY9,0.011921917
ADCYAP1,0.0011789879
ADCYAP1R1,0.0
ADD1,0.3497897
ADD2,0.0009827442
ADD3,0.6950459
ADGB,0.0009219113
ADGRA1,0.0
ADGRA1-AS1,0.0
ADGRA2,0.0050024725
ADGRA3,0.0025366752
ADGRB1,0.0028428745
ADGRB2,0.001402591
ADGRB3,0.00074664137
ADGRD1,0.0022478998
ADGRD2,0.0
ADGRE1,0.03940289
ADGRE2,0.00938623
ADGRE3,0.00095869106
ADGRE5,1.2163608
ADGRF1,0.010227141
ADGRF2,0.0
ADGRF3,0.005081869
ADGRF4,0.0
ADGRF5,0.011449806
ADGRG1,0.18007934
ADGRG2,0.0
ADGRG3,0.0144607555
ADGRG4,0.0
ADGRG5,0.04616029
ADGRG6,0.0037018487
ADGRG7,0.0
ADGRL1,0.02285184
ADGRL2,0.0010145581
ADGRL3,0.0003583511
ADGRL4,0.0025709458
ADGRV1,0.0017339822
ADH1A,0.0
ADH1B,0.015988221
ADH1C,0.0015137554
ADH4,0.0
ADH5,0.5059003
ADH6,0.00045570405
ADH7,0.0
ADHFE1,0.028987508
ADI1,0.60132134
ADIG,0.0
ADIPOQ,0.0
ADIPOQ-AS1,0.0
ADIPOR1,0.4293505
ADIPOR2,0.16416548
ADIRF,0.070102684
ADK,0.23419356
ADM,0.019028874
ADM2,0.005202406
ADM5,0.0035264967
ADNP,0.20499119
ADNP-AS1,0.005885963
ADNP2,0.08721842
ADO,0.05190176
ADORA1,0.00149004
ADORA2A,0.0019965272
ADORA2A-AS1,0.043000456
ADORA2B,0.0023805636
ADORA3,0.0010612509
ADPGK,0.40406004
ADPGK-AS1,0.0077407886
ADPRH,0.032556333
ADPRHL1,0.0023194556
ADPRHL2,0.19504459
ADPRM,0.14615366
ADRA1A,0.0
ADRA1B,0.0
ADRA1D,4.6627192e-05
ADRA2A,0.0006162727
ADRA2B,0.0036749698
ADRA2C,0.0
ADRB1,0.011519562
ADRB2,0.16406845
ADRB3,0.0005968206
GRK2,0.27751577
GRK3,0.028120177
ADRM1,1.0699729
ADSL,0.40279603
ADSS2,0.49925643
ADSS1,0.022982718
ADTRP,0.12429926
AEBP1,0.028215151
AEBP2,0.14132318
AEN,0.15672666
TLE5,2.326588
AFAP1,0.06767404
AFAP1-AS1,0.003987589
AFAP1L1,0.0010303552
AFAP1L2,0.038111363
AFF1,0.07297855
AFF2,0.00094738044
AFF3,0.012810744
AFF4,0.42315322
AFG3L2,0.19466877
AFM,0.0
AFMID,0.022494093
AFP,0.0
AFTPH,0.22985493
AGA,0.26024348
AGAP1,0.007891808
AGAP14P,0.0
AGAP2,0.103625335
AGAP2-AS1,0.0009966224
AGAP3,0.039879903
AGAP4,0.016977228
AGAP5,0.011694692
AGAP6,0.029025903
AGAP9,0.010407029
AGBL1,0.0
AGBL1-AS1,0.0
AGBL2,0.009041004
AGBL3,0.010547321
AGBL4,0.0
AGBL5,0.025184155
AGBL5-AS1,0.0034723135
AGER,0.029452384
AGFG1,0.15803394
AGFG2,0.123062395
AGGF1,0.19626923
AGK,0.08832376
AGL,0.12349536
AGMAT,0.08177685
AGMO,0.0
AGO1,0.08122003
AGO2,0.44453618
AGO3,0.18286699
AGO4,0.04799355
AGPAT1,0.13791107
AGPAT2,0.3819489
AGPAT3,0.104096174
AGPAT4,0.0661982
AGPAT5,0.13296308
AGPS,0.14098811
AGR2,0.12365879
AGR3,0.08439428
AGRN,0.02742189
AGRP,0.0014042556
AGT,0.0047940603
AGTPBP1,0.07489816
