GeneID,Epithelial
ADAM8,0.061196007
ADAM9,0.26647902
ADAMDEC1,0.0
ADAMTS1,0.09307378
ADAMTS10,0.0029407567
ADAMTS12,0.006256832
ADAMTS13,0.007215919
ADAMTS14,0.0029214618
ADAMTS15,0.004048839
ADAMTS16,0.0
ADAMTS17,0.007090501
ADAMTS18,0.0
ADAMTS19,0.0
ADAMTS2,0.0
ADAMTS20,0.0
ADAMTS3,0.003197897
ADAMTS4,0.0016380424
ADAMTS5,0.0
ADAMTS6,0.006294543
ADAMTS7,0.004636444
ADAMTS8,0.0031625219
ADAMTS9,0.055294923
ADAMTS9-AS1,0.0
ADAMTS9-AS2,0.02049108
ADAMTSL1,0.0013306394
ADAMTSL2,0.0028008842
ADAMTSL3,0.0067604333
ADAMTSL4,0.025575012
ADAMTSL5,0.0176135
ADAP1,0.04398689
ADAP2,0.036023527
ADAR,0.7945431
ADARB1,0.017007424
ADARB2,0.0005796564
ADARB2-AS1,0.0
ADAT1,0.11028723
ADAT2,0.03174334
ADAT3,0.0025054896
ADCK1,0.02445765
ADCK2,0.067919336
COQ8A,0.18310945
COQ8B,0.18114159
ADCK5,0.04599568
ADCY1,0.0057425415
ADCY10,0.0
ADCY2,0.02800109
ADCY3,0.023279468
ADCY4,0.010364822
ADCY5,0.0008548435
ADCY6,0.11918536
ADCY7,0.087104715
ADCY8,0.0044429144
ADCY9,0.122502506
ADCYAP1,0.0
ADCYAP1R1,0.0
ADD1,0.45697975
ADD2,0.0076234615
ADD3,0.5140187
ADGB,0.16711523
ADGRA1,0.006582061
ADGRA1-AS1,0.0
ADGRA2,0.005890142
ADGRA3,0.070797004
ADGRB1,0.0048302338
ADGRB2,0.0066968766
ADGRB3,0.0
ADGRD1,0.14218938
ADGRD2,0.0
ADGRE1,0.0
ADGRE2,0.0068664933
ADGRE3,0.0
ADGRE5,0.38228574
ADGRF1,0.25850588
ADGRF2,0.004768655
ADGRF3,0.00055089814
ADGRF4,0.008354037
ADGRF5,1.1478556
ADGRG1,0.17552261
