GeneID,Bcells,Malignant,Fibroblasts
PCOTH,0.005014561,0.027661953,0.040115558
C1R,0.056274522,0.25923204,12.906511
C1RL,0.017272377,0.19099921,0.4377053
C1RL-AS1,0.012257816,0.04900118,0.11321502
C1S,0.055160172,0.17677307,14.340866
C1orf100,0.00055717345,0.0,0.0
CATSPERE,0.00055717345,0.007639969,0.009806025
C1orf105,0.0,0.0015806832,0.00089145685
INAVA,0.0078004287,0.244479,0.006240198
C1orf109,0.0356591,0.09115273,0.1256954
SPATA46,0.0,0.0,0.0
C1orf112,0.0066860816,0.028715745,0.023177877
C1orf115,0.011700642,0.035301924,0.026743704
C1orf116,0.0055717346,0.828278,0.007131655
C1orf122,0.29363042,1.4141846,1.2346678
CZIB,0.102519915,0.3132387,0.7871564
C1orf127,0.0,0.001317236,0.0
C1orf131,0.07633276,0.25501686,0.20592654
MIR29B2CHG,0.14319359,0.15754142,0.06775072
C1orf137,0.0,0.0,0.0
LINC02817,0.0,0.0,0.0035658274
C1orf141,0.0,0.00026344717,0.0
C1orf143,0.00055717345,0.002897919,0.00089145685
OBSCN-AS1,0.0011143469,0.003951708,0.0026743705
C1orf147,0.0,0.0,0.0
C1orf158,0.0,0.0050054966,0.0
C1orf159,0.010029122,0.06823282,0.05259595
C1orf162,0.11923512,0.047420494,0.08379694
C1orf167,0.010029122,0.10564232,0.104300454
FYB2,0.0,0.010537888,0.00089145685
C1orf174,0.08023298,0.122502945,0.21394964
C1orf185,0.0,0.0,0.00089145685
RHEX,0.104748614,0.01686062,0.007131655
C1orf189,0.0,0.00026344717,0.0
C1orf194,0.0027858673,0.03451158,0.0026743705
C1orf195,0.0,0.0,0.0
C1orf198,0.013372163,0.4125583,0.2665456
SNHG28,0.00055717345,0.009747546,0.017829137
C1orf21,0.012257816,0.3411641,0.6534379
C1orf210,0.0016715204,0.24289832,0.00089145685
C1orf216,0.016158031,0.038990185,0.12926124
C1orf220,0.0033430408,0.001317236,0.004457284
C1orf226,0.0,0.09905614,0.0035658274
ARMH1,0.030087367,0.018441303,0.01426331
C1orf229,0.0,0.003951708,0.008914568
FNDC10,0.0011143469,0.07719003,0.022286423
TEX46,0.00055717345,0.0,0.0
ODR4,0.07521842,0.22972596,0.2148411
C1orf35,0.10029123,0.7753251,0.33964506
C1orf43,0.49031264,1.7679942,1.0242839
C1orf50,0.06630364,0.23157008,0.1568964
C1orf52,0.1259212,0.29558775,0.37708625
C1orf53,0.030087367,0.34090066,0.037441187
C1orf54,0.011700642,0.020812329,0.526851
C1orf56,0.13093576,0.28320572,0.2745687
C1orf61,0.01448651,0.0034248135,0.0035658274
SRARP,0.0,0.0018441302,0.0
C1orf74,0.0044573876,0.026344718,0.010697482
C1orf87,0.0,0.0010537887,0.0
C1orf94,0.0,0.0,0.0
STUM,0.0016715204,0.0010537887,0.0035658274
C2,0.018386725,0.21760738,0.52952534
C2-AS1,0.0,0.001317236,0.0
C20orf141,0.0,0.0021075774,0.0017829137
C20orf144,0.0022286938,0.0021075774,0.006240198
MIR1-1HG-AS1,0.0,0.0,0.0035658274
C20orf194,0.009471949,0.08614723,0.1488733
FNDC11,0.0044573876,0.018441303,0.004457284
SHLD1,0.0713182,0.111438155,0.032983903
C20orf197,0.00055717345,0.002897919,0.0
C20orf202,0.0,0.0,0.0035658274
C20orf203,0.00055717345,0.00026344717,0.0026743705
RAB5IF,0.42289466,1.4170824,0.54111433
C20orf27,0.11700643,0.46472085,0.4252249
C20orf85,0.0022286938,0.020021986,0.007131655
C20orf96,0.018386725,0.09852924,0.10340899
CFAP410,0.21339743,0.2763561,0.3182501
GATD3A,0.0440167,0.020812329,0.037441187
C21orf58,0.012814989,0.074028656,0.025852248
CFAP298,0.16269465,0.5582446,0.3637144
C21orf62,0.0027858673,0.003951708,0.008914568
C21orf62-AS1,0.0055717346,0.012645465,0.024069333
C21orf91,0.04345953,0.0982658,0.062401976
C21orf91-OT1,0.0,0.00026344717,0.0
C22orf15,0.00055717345,0.0010537887,0.007131655
C22orf23,0.0,0.007639969,0.006240198
RTL10,0.015600857,0.12434707,0.046355754
C22orf31,0.0,0.002897919,0.01693768
C22orf34,0.011700642,0.0007903416,0.0026743705
C22orf39,0.17662399,0.41176793,0.28972346
C22orf42,0.0,0.0,0.0
C22orf46,0.03343041,0.039517075,0.06685926
C2CD2,0.011143469,0.16939653,0.08647131
C2CD2L,0.013929336,0.07297487,0.026743704
C2CD3,0.015043683,0.06955005,0.0392241
C2CD4A,0.0016715204,0.060329407,0.0017829137
C2CD4B,0.0,0.035301924,0.0
C2CD4C,0.0,0.008693757,0.0
C2CD4D,0.0027858673,0.019758537,0.005348741
C2CD5,0.011700642,0.05980251,0.044572845
C2orf15,0.0066860816,0.04294189,0.0026743705
C2orf16,0.0,0.0,0.0
C2orf27B,0.0039002143,0.009747546,0.035658274
ECRG4,0.0011143469,0.0023710248,0.58925295
C2orf42,0.03343041,0.027135061,0.03654973
WDCP,0.0078004287,0.018441303,0.008914568
C2orf49,0.053488653,0.1391001,0.10608336
C2orf50,0.0016715204,0.007376521,0.0026743705
MAB21L4,0.0027858673,0.09800236,0.0026743705
STPG4,0.0,0.0021075774,0.00089145685
C2orf66,0.0,0.0,0.0
C2orf68,0.06240343,0.26265684,0.11410648
C2orf69,0.07243255,0.11249195,0.16491951
FAM166C,0.00055717345,0.004478602,0.00089145685
PCARE,0.0,0.0,0.00089145685
C2orf72,0.0,0.0034248135,0.0017829137
C2orf73,0.0011143469,0.0063227327,0.0026743705
C2orf74,0.107534476,0.18836474,0.2540652
C2orf76,0.065189295,0.10616922,0.21394964
C2orf78,0.0,0.0,0.0
C2orf80,0.0,0.00026344717,0.0
C2orf81,0.008357602,0.03266745,0.080231115
SNORC,0.0,0.02450059,0.0035658274
C2orf83,0.0,0.0,0.0
C2orf88,0.123692505,0.0015806832,0.013371852
C2orf91,0.0,0.0031613663,0.0035658274
C3,0.060174733,1.1810337,10.000362
C3AR1,0.008914775,0.0060592853,0.015154766
C3orf14,0.03064454,0.571417,0.23891044
NEPRO,0.05794604,0.13751943,0.16759388
C3orf18,0.008914775,0.01686062,0.043681383
C3orf20,0.0011143469,0.0,0.0
C3orf22,0.0,0.0,0.0
TEX55,0.0,0.0,0.0
C3orf33,0.012257816,0.057694934,0.046355754
C3orf35,0.0011143469,0.0063227327,0.0017829137
