GeneID,Bcells,Malignant,Fibroblasts
ACADSB,0.019509576,0.18718399,0.08610191
ACADVL,0.6101176,0.66057944,1.2940611
ACAN,0.0,0.0010191506,0.022791682
ACAP1,0.780383,0.030744378,0.11395841
ACAP2,0.13124624,0.34158528,0.3570697
ACAP3,0.070943914,0.19771522,0.16967142
ACAT1,0.15607661,0.28553203,0.46089846
ACAT2,0.06384952,0.19465777,0.18993069
ACBD3,0.10286867,0.7444895,0.32161596
ACBD4,0.037245553,0.101915054,0.09623155
ACBD5,0.035471957,0.15830807,0.11395841
ACBD6,0.14011422,0.39458114,0.45076883
ACBD7,0.0,0.00084929215,0.0
ACCS,0.01596238,0.044163194,0.065842636
ACD,0.0815855,0.101575345,0.14687973
ACE,0.0017735978,0.056732714,0.022791682
ACE2,0.0,0.012569523,0.0
ACER1,0.0017735978,0.00016985844,0.0050648185
ACER2,0.0,0.0015287258,0.0
ACER3,0.028377565,0.16170523,0.10889359
ACHE,0.007094391,0.075587,0.07343987
ACIN1,0.12060464,0.45182344,0.2760326
ACKR1,0.008867989,0.0035670272,0.027856499
ACKR2,0.0017735978,0.019873437,0.0050648185
ACKR3,0.0017735978,0.00866278,0.037986137
ACKR4,0.0017735978,0.0066244784,0.04051855
ACLY,0.051434334,0.42175847,0.23044923
ACMSD,0.0,0.003906744,0.0
ACO1,0.010641587,0.2366128,0.2203196
ACO2,0.3050588,0.28791004,0.34694007
ACOT1,0.0,0.00033971688,0.0025324093
ACOT11,0.0,0.052486256,0.037986137
ACOT12,0.0,0.00033971688,0.0
ACOT13,0.09932148,0.6697518,0.31655115
ACOT2,0.010641587,0.033971686,0.048115775
ACOT4,0.012415185,0.09597002,0.025324091
ACOT6,0.0,0.0,0.0
ACOT7,0.028377565,0.11720232,0.12408805
ACOT8,0.06384952,0.2648093,0.13168527
ACOT9,0.06917031,0.17614318,0.20765756
ACOX1,0.023056772,0.38404992,0.20765756
ACOX2,0.0,0.069641955,0.08863433
ACOX3,0.023056772,0.04365362,0.053180594
ACOXL,0.014188782,0.04569192,0.0025324093
ACP1,0.52853215,1.2234902,0.80024135
ACP2,0.06917031,0.18820314,0.27096778
ACP5,0.34407797,0.39814815,0.6356347
ACP6,0.019509576,0.19822478,0.035453726
ACP7,0.0,0.00067943375,0.0
ACPP,0.0,0.020043295,0.0025324093
ACP4,0.0,0.0,0.0
ACR,0.0,0.001189009,0.0
ACRBP,0.0035471956,0.0040766024,0.0050648185
GCNA,0.0035471956,0.020892587,0.0075972276
ACRV1,0.0,0.00084929215,0.0
ACSBG1,0.0017735978,0.00067943375,0.0
ACSBG2,0.0,0.00016985844,0.0
ACSF2,0.03015116,0.22744043,0.09623155
ACSF3,0.10286867,0.09800831,0.13421768
ACSL1,0.039019153,0.301159,0.093699135
ACSL3,0.058528725,0.35024807,0.46596327
ACSL4,0.044339944,0.2055287,0.1418149
ACSL5,0.05675513,0.80309063,0.05824541
ACSL6,0.0053207935,0.01409825,0.0050648185
ACSM1,0.0,0.011380515,0.0025324093
ACSM2A,0.0,0.00016985844,0.0025324093
ACSM2B,0.0,0.00016985844,0.0
ACSM3,0.012415185,0.06012988,0.035453726
ACSM4,0.0,0.0,0.0
