GeneID,2
RP11-34P13.7,0.0013163044
FO538757.3,0.0008226903
FO538757.2,0.18773793
AP006222.2,0.096419305
RP4-669L17.10,0.0062524476
RP5-857K21.4,0.003290762
RP11-206L10.9,0.047880575
LINC00115,0.026819704
FAM41C,0.020731797
RP11-54O7.3,0.0021389949
SAMD11,0.020238183
NOC2L,0.7667474
KLHL17,0.015302039
PLEKHN1,0.038666446
PERM1,0.025009785
RP11-54O7.17,0.012833969
HES4,0.92108417
ISG15,1.047943
AGRN,0.14874242
RP11-54O7.18,0.0
RNF223,0.04393166
C1orf159,0.100203685
RP11-465B22.8,0.013492122
TTLL10,0.0027971473
TNFRSF18,0.077003814
TNFRSF4,0.009214132
SDF4,1.0731173
B3GALT6,0.03554022
FAM132A,0.00427799
RP5-902P8.12,0.0
UBE2J2,0.5740734
SCNN1D,0.0037843762
ACAP3,0.07930735
PUSL1,0.23528944
CPSF3L,0.6617721
CPTP,0.33779663
TAS1R3,0.012011278
DVL1,0.08440803
MXRA8,0.04310897
AURKAIP1,3.2494624
CCNL2,0.32167193
MRPL20,2.456389
RP4-758J18.13,0.005923371
ANKRD65,0.042121746
RP4-758J18.7,0.00016453807
RP4-758J18.10,0.009707745
VWA1,0.15400763
ATAD3C,0.019086415
ATAD3B,0.13738927
ATAD3A,0.19020599
TMEM240,0.0019744567
SSU72,2.2663474
RP5-832C2.5,0.028300546
C1orf233,0.033894837
RP11-345P4.9,0.07173859
MIB2,0.11813832
MMP23B,0.004771604
CDK11B,0.21011512
RP11-345P4.10,0.0074042133
SLC35E2B,0.19810385
RP11-345P4.7,0.0042779897
CDK11A,0.1327822
SLC35E2,0.02221264
NADK,0.19250955
GNB1,0.4825902
RP1-140A9.1,0.005923371
CALML6,0.0008226903
TMEM52,0.0743712
GABRD,0.012998507
PRKCZ,0.15417218
RP11-181G12.2,0.0006581523
FAAP20,1.6845407
SKI,0.08440803
MORN1,0.06795422
RER1,1.9117677
PEX10,0.30094013
PLCH2,0.0085559795
PANK4,0.033401225
HES5,0.0026326093
RP3-395M20.12,0.079965495
RP3-395M20.8,0.012011278
TNFRSF14,0.17079052
RP3-395M20.9,0.0006581523
FAM213B,0.20402722
MMEL1,0.13179497
TTC34,0.0018099187
LINC00982,0.00016453807
PRDM16,0.0006581523
ARHGEF16,0.08342079
MEGF6,0.026819702
RP11-46F15.2,0.0021389949
TPRG1L,0.10793698
WRAP73,0.22278456
TP73,0.003290762
TP73-AS1,0.0406409
SMIM1,0.26770344
LRRC47,0.39653677
CEP104,0.21570942
DFFB,0.022541713
C1orf174,0.26720983
LINC01134,0.004607066
AJAP1,0.0008226903
RP11-154H17.1,0.0
NPHP4,0.016782884
KCNAB2,0.012504892
RPL22,19.71051
RP1-120G22.11,0.007239675
RNF207,0.04936142
ICMT,0.2836636
LINC00337,0.0014808426
GPR153,0.014150274
ACOT7,0.21636757
RP1-202O8.3,0.012669431
HES2,0.042450823
ESPN,0.09592569
TNFRSF25,0.014808425
PLEKHG5,0.014808425
NOL9,0.12389715
TAS1R1,0.00032907614
ZBTB48,0.10481075
KLHL21,0.049196884
PHF13,0.0765102
THAP3,0.125378
DNAJC11,0.13327582
RP11-242F24.1,0.0
RP11-312B8.1,0.004607066
CAMTA1,1.5117757
RP4-549F15.1,0.0
VAMP3,0.46268108
PER3,0.08144634
RP3-467L1.4,0.00049361424
UTS2,0.0013163044
TNFRSF9,0.0032907615
PARK7,5.18295
ERRFI1,0.63083893
RP11-431K24.1,0.009214132
SLC45A1,0.016782884
RERE,0.35589588
RP5-1115A15.1,0.00032907614
RP4-633I8.4,0.0008226903
ENO1,6.183834
ENO1-AS1,0.013492122
CA6,0.0011517664
SLC2A5,0.003784376
GPR157,0.15993099
MIR34AHG,0.0115176635
RP3-510D11.2,0.017605573
H6PD,0.06351169
SPSB1,0.16519624
SLC25A33,0.91746426
TMEM201,0.026161551
PIK3CD,0.0074042133
PIK3CD-AS1,0.00032907614
PIK3CD-AS2,0.1076079
CLSTN1,0.28086647
CTNNBIP1,1.0211234
LZIC,0.38699356
NMNAT1,0.065815225
RBP7,0.13080777
UBE4B,0.12570707
KIF1B,0.16799337
PGD,1.0527147
RP4-736L20.3,0.00049361424
APITD1-CORT,0.003290762
APITD1,0.068941444
CORT,0.0013163044
DFFA,0.33318964
PEX14,0.11221496
CASZ1,0.17095505
RP4-734G22.3,0.0021389949
C1orf127,0.0062524476
TARDBP,0.25914747
RP4-635E18.8,0.0039489144
SRM,0.57571864
EXOSC10,0.21208958
RP4-635E18.6,0.016289268
MTOR,0.10596253
UBIAD1,0.17934649
PTCHD2,0.0034553
RP1-69M21.2,0.00049361424
FBXO2,0.23084691
FBXO44,0.194484
FBXO6,0.18115641
MAD2L2,0.7310427
DRAXIN,0.012011279
AGTRAP,0.9860767
C1orf167,0.030110464
MTHFR,0.10250722
CLCN6,0.046893347
NPPA-AS1,0.0026326093
KIAA2013,0.10579799
PLOD1,0.20583713
MFN2,0.11386034
MIIP,0.36691988
TNFRSF8,0.0014808426
TNFRSF1B,0.011517666
VPS13D,0.11270858
DHRS3,0.25519854
RP11-474O21.5,0.0019744567
HNRNPCL1,0.00016453807
PDPN,0.0014808426
PRDM2,0.19925559
KAZN,0.13327585
TMEM51-AS1,0.0019744567
TMEM51,0.08704063
FHAD1,0.0077332896
RP3-467K16.4,0.00016453807
EFHD2,0.20929243
CTRC,0.00049361424
CELA2B,0.0
CASP9,0.051171336
DNAJC16,0.10316537
AGMAT,0.029781388
RP4-680D5.2,0.0095432075
DDI2,0.18444718
PLEKHM2,0.047222424
SLC25A34,0.0014808426
FBLIM1,0.31821665
UQCRHL,1.1182008
FLJ37453,0.12373263
SPEN,0.16848698
ZBTB17,0.10546891
C1orf64,0.8254875
HSPB7,0.0
CLCNKA,0.00049361424
CLCNKB,0.00016453807
FAM131C,0.008391443
EPHA2,0.021883564
RP11-276H7.2,0.0027971475
RP11-276H7.3,0.0
ARHGEF19,0.07157405
RSG1,0.0134921195
FBXO42,0.07634566
SZRD1,0.3471753
SPATA21,0.0008226903
NECAP2,0.2510851
RP4-798A10.2,0.0019744567
RP4-798A10.7,0.015302039
NBPF1,0.18790248
RP5-1182A14.7,0.00049361424
CROCC,0.062195387
RP11-108M9.4,0.06713152
RP11-108M9.6,0.016453806
MFAP2,0.25009787
RP1-37C10.3,0.00016453807
ATP13A2,0.094280325
SDHB,0.9885447
PADI2,0.157792
PADI4,0.00049361424
RCC2,0.17819472
ARHGEF10L,0.033565763
IGSF21,0.040311825
KLHDC7A,0.013821198
ALDH4A1,0.036527444
IFFO2,0.015466579
UBR4,0.15877922
RP1-43E13.2,0.018263724
EMC1,0.09543208
MRTO4,0.45445415
AKR7A3,0.20517896
AKR7A2,0.9832795
PQLC2,0.098887384
CAPZB,1.8508888
MINOS1,1.8719497
NBL1,0.16930966
HTR6,0.0006581523
TMCO4,0.09707747
RNF186,0.00032907614
RP11-91K11.2,0.0
OTUD3,0.043438055
PLA2G2A,0.06927053
PLA2G5,0.00049361424
PLA2G2D,0.0011517664
UBXN10-AS1,0.06203086
UBXN10,0.022706253
RP4-745E8.2,0.0
CAMK2N1,0.21998739
MUL1,0.1081015
FAM43B,0.0014808426
CDA,0.035704747
PINK1,0.11731563
PINK1-AS,0.004771604
DDOST,1.4834753
KIF17,0.00032907614
HP1BP3,0.725942
EIF4G3,0.11599933
ECE1,0.31673583
RP5-1071N3.1,0.00032907614
NBPF3,0.021883564
ALPL,0.025174325
RAP1GAP,0.042944435
USP48,0.3147613
LDLRAD2,0.0011517664
HSPG2,0.028300546
RP1-224A6.3,0.00032907614
