,S2,S1
A1BG,2.8186525141637584,4.896364306473822
A1BG-AS1,4.815869676110527,7.283232807412567
A1CF,0.2260960385475915,0.0
A2M,46.154005221639146,131.1629283597542
A2M-AS1,2.7320007589256083,0.8275206884582329
A2ML1,0.37056184992303476,2.7117606184056062
A2MP1,0.2274974663655589,0.17308685206601102
A4GALT,0.5219955060239375,0.7526208881305435
A4GNT,0.0,0.0
AA06,0.0,0.0014373418689954706
AAAS,66.15778170747416,81.53184969206778
AACS,27.928164179416097,18.84281960540961
AACSP1,0.5021644809703089,0.0
AADAC,0.013206292266972761,0.008335717796099753
AADACL2,0.045176431455453234,0.05017694846840236
AADACL3,0.026461875660154437,0.04019959388679425
AADACL4,0.05835189962228523,0.0
AADAT,35.39269494828569,2.810919957945667
AAED1,2.087095081343787,10.080461420858693
AAGAB,37.92978138846489,47.85617634406642
AAK1,11.308708645470674,8.661301291637574
AAMDC,34.39569180456456,71.73747200855765
AAMP,150.76350174157733,185.04432097135114
AANAT,0.20665689419500805,0.7412499747874793
AAR2,62.671646562555765,65.14146798683495
AARD,3.262399026920561,2.764793297763394
AARS,67.84592924023875,106.66216240066001
AARS2,19.73458536645513,17.548219713905077
AARSD1,77.16814524593788,36.06794378484729
AASDH,22.149699555405185,17.116090663899044
AASDHPPT,156.28654066103917,97.87568144869068
AASS,38.56752352513268,128.33296786727297
AATF,104.64466245087567,68.12229129648215
AATK,8.224610554634402e-09,1.187525818358884
AATK-AS1,0.03461756591736731,0.004562254832639756
ABAT,101.42097230595525,44.90401316969759
ABCA1,28.598012973740314,76.27742685799805
ABCA10,0.9580676967665851,1.1158312406341258
ABCA11P,20.357315788845387,19.222065028319047
ABCA12,0.8990052819866535,0.10370908790286755
ABCA13,6.750027419408835e-09,2.5389874435588755
ABCA17P,0.17262083417761953,0.326063324080674
ABCA2,1.216529236889999e-07,19.287156648045226
ABCA3,18.19657908735528,10.3755111267692
ABCA4,0.46721338006327945,0.276060059359389
ABCA5,7.532386942432602,11.181942689651144
ABCA6,6.59616100722267e-10,5.415658095863988
ABCA7,1.0348249588315939,1.9658582950017138
ABCA8,2.8266575271196864e-12,36.43880362603035
ABCA9,6.005172760724481,4.326969543959991
ABCB1,1.039800097188603,3.0899371727360614
ABCB10,6.176861182256622,6.953161359089958
ABCB11,0.0495697693901801,0.030940499051907017
ABCB4,6.047426606379592,0.4997269367689414
ABCB5,2.957928998691764,1.7982918985466083
ABCB6,36.6500521006896,40.623263340377044
ABCB7,45.18532652471207,37.8270012252573
ABCB8,15.54414876881231,17.50825993449812
ABCB9,6.676801972295168,6.48688727349104
ABCC1,6.236682659660717,3.22766443816652
ABCC10,12.307413458819628,14.354345655946728
ABCC11,0.0,0.17343556846504157
