,Cancer.cell.1
MIR1302-2HG,3.797382e-05
OR4F5,1.898691e-05
AL627309.1,0.0033701672
AL627309.3,0.00044619237
AL627309.4,1.898691e-05
AL732372.1,0.0002278429
OR4F29,0.0
AC114498.1,4.7467274e-05
AL669831.2,0.00012341491
AL669831.5,0.11301151
FAM87B,0.0010442816
LINC00115,0.019395325
FAM41C,0.024645276
AL645608.7,0.00066454243
AL645608.3,0.019072538
AL645608.5,0.0017657856
AL645608.1,0.026297158
SAMD11,0.20917195
NOC2L,0.6313845
KLHL17,0.01907255
PLEKHN1,0.050838076
PERM1,0.008211885
AL645608.8,0.023278184
HES4,0.30045313
ISG15,2.3231225
AL645608.2,0.00034176433
AGRN,0.9131924
AL645608.9,3.797382e-05
RNF223,0.0052973614
C1orf159,0.072360024
LINC01342,0.0037309204
AL390719.2,0.08951492
TTLL10-AS1,0.0006740359
TTLL10,0.019044064
TNFRSF18,0.024521794
TNFRSF4,0.007471385
SDF4,0.7828414
B3GALT6,0.23757388
C1QTNF12,0.056401204
AL162741.1,0.0010347881
UBE2J2,0.6029196
LINC01786,0.0057625463
SCNN1D,0.075103655
ACAP3,0.09132818
PUSL1,0.1935266
INTS11,0.54526883
CPTP,0.17334323
TAS1R3,0.0044619264
DVL1,0.25679943
MXRA8,0.08852749
AURKAIP1,3.0857475
CCNL2,0.5637268
MRPL20,2.5540164
AL391244.3,0.018521918
ANKRD65,0.6061529
AL391244.2,0.0008069446
TMEM88B,0.00079745107
LINC01770,0.008401757
VWA1,0.86993444
ATAD3C,0.1065559
ATAD3B,0.16431484
ATAD3A,0.2233353
TMEM240,0.006541017
SSU72,2.04318
AL645728.1,0.028604098
FNDC10,0.1277835
AL691432.2,0.07999285
MIB2,0.22234891
MMP23B,0.18659618
CDK11B,0.2792151
FO704657.1,0.008240371
SLC35E2B,0.1489732
CDK11A,0.1702863
SLC35E2A,0.108122334
NADK,0.25822696
GNB1,1.078771
AL109917.1,0.008059991
CALML6,0.0019556533
TMEM52,0.042341318
CFAP74,0.0052403975
AL391845.2,0.00012341491
GABRD,0.0014050337
AL391845.1,0.0007309968
PRKCZ,0.14431185
AL590822.2,0.009303651
PRKCZ-AS1,0.004917618
FAAP20,1.0709162
AL590822.1,0.0005885946
SKI,0.18652982
MORN1,0.12584685
RER1,1.2919127
PEX10,0.26744562
PLCH2,0.0028860045
AL139246.1,3.797382e-05
AL139246.4,0.0
PANK4,0.04560711
HES5,0.0013100985
AL139246.5,0.043205213
TNFRSF14-AS1,0.012626394
TNFRSF14,0.21562764
AL139246.3,0.0027530964
FAM213B,0.19194116
MMEL1,0.18948233
AL831784.1,0.00345561
TTC34,0.041097656
AC242022.1,1.898691e-05
AL589702.1,0.0
ACTRT2,8.544108e-05
LINC00982,0.002050587
PRDM16,0.005050527
AL008733.1,0.00015189526
AL590438.1,0.00018037563
ARHGEF16,0.07166699
AL512413.1,0.0029904314
MEGF6,0.07660364
AL513320.1,0.0055252067
TPRG1L,0.23526816
WRAP73,0.17242235
TP73,0.007737205
AL136528.1,1.898691e-05
AL136528.2,0.0
CCDC27,0.00034176433
SMIM1,0.22435126
LRRC47,0.3236463
AL365330.1,0.0020695736
CEP104,0.252862
DFFB,0.07062269
C1orf174,0.2524768
LINC01134,0.0104523655
LINC01346,1.898691e-05
LINC01345,0.0
AL805961.1,0.00010442799
AL805961.2,0.0007215032
LINC01777,0.00034176433
AL355602.1,1.898691e-05
Z98747.1,9.493455e-06
LINC01646,0.0
AJAP1,0.058062665
Z98259.3,0.00011392145
Z98259.1,0.0
