,T.cell
PAK2,1.9483887
SENP5,0.3605723
NCBP2,0.64629465
NCBP2-AS1,0.0039489204
NCBP2-AS2,0.40269974
PIGZ,0.008225047
MELTF,0.014655975
MELTF-AS1,0.012839555
DLG1,0.5207432
DLG1-AS1,0.0003948902
AC128709.2,0.00015795608
AC128709.1,4.5130317e-05
AC128709.3,0.0
LINC02012,0.0015682795
BDH1,0.060159713
AC024560.3,0.00031591216
AC024560.1,0.00199702
RUBCN,0.17919642
FYTTD1,0.5467301
AC055764.2,0.0022565217
LRCH3,0.43021286
AC055764.1,0.00022565154
IQCG,0.118555725
RPL35A,21.484829
LMLN,0.025069317
LMLN-AS1,0.0003384773
ZNF595,0.08873139
ZNF718,0.081047244
ZNF732,0.00025949927
ZNF141,0.21828052
AC092574.2,9.026062e-05
AC092574.1,0.000880041
ZNF721,0.61903113
PIGG,0.16343793
AC116565.1,1.1282579e-05
AC116565.2,1.1282579e-05
PDE6B,0.06672734
AC107464.1,0.0007333676
AC107464.3,0.03690408
ATP5ME,3.071851
MYL5,0.052001156
SLC49A3,0.025182098
PCGF3,0.14530002
AC107464.2,3.3847737e-05
AC139887.4,0.025780035
AC139887.2,0.1383516
AC139887.1,0.00051899854
CPLX1,0.012692888
AC139887.3,1.1282579e-05
GAK,0.4969413
TMEM175,0.13954735
DGKQ,0.13132434
SLC26A1,0.007017802
IDUA,0.05924585
FGFRL1,0.05470941
AC019103.1,0.0
RNF212,0.016179034
AC092535.3,4.5130317e-05
AC092535.1,0.0033509394
SPON2,0.5232575
AC092535.4,0.0034863306
CTBP1-AS,0.048717417
CTBP1,0.44401932
CTBP1-DT,0.15387301
MAEA,0.29825205
UVSSA,0.24992067
NKX1-1,0.0
AC147067.2,0.00041745536
AC147067.1,0.07205369
FAM53A,0.0035314618
SLBP,0.7601808
AC016773.1,0.039623056
TMEM129,0.15256384
TACC3,0.44848737
FGFR3,0.0009477365
LETM1,0.26282358
NSD2,0.36969846
NELFA,0.17775215
C4orf48,1.0341977
NAT8L,0.0012636486
POLN,0.023140065
AL136360.2,4.5130317e-05
HAUS3,0.33371738
MXD4,1.5126313
ZFYVE28,0.56009614
AL158068.2,0.00046258568
CFAP99,0.001331344
RNF4,0.4570689
FAM193A,0.2709562
TNIP2,0.63460094
SH3BP2,0.3360966
ADD1,1.0541716
MFSD10,0.82873034
NOP14-AS1,0.09677435
NOP14,0.351733
GRK4,0.03454615
HTT-AS,4.5130317e-05
HTT,0.36354998
MSANTD1,0.0029786117
RGS12,0.03682522
HGFAC,9.026062e-05
DOK7,0.01617905
LRPAP1,1.0129548
AL590235.2,2.2565158e-05
AL121796.1,0.0
LINC02171,0.0
AC141928.1,5.6412893e-05
ADRA2C,0.00059797656
OTOP1,0.0
TMEM128,0.17268692
LYAR,0.9700467
ZBTB49,0.065610215
AC105415.1,4.5130317e-05
NSG1,0.13623251
STX18,0.20446302
STX18-AS1,0.019337993
LINC01396,7.897804e-05
MSX1,0.0013539091
CYTL1,0.005630032
STK32B,0.00037232507
EVC2,0.0324026
EVC,0.010707231
CRMP1,0.013110331
C4orf50,0.0074691093
JAKMIP1,0.36436725
AC113615.1,0.008055808
WFS1,0.010481579
PPP2R2C,0.0011621055
MAN2B2,0.2193744
MRFAP1,1.1663339
LINC02482,0.03995024
AC093323.1,0.20808367
LINC002481,0.10009043
S100P,0.004524333
MRFAP1L1,0.41478094
BLOC1S4,0.50564694
KIAA0232,0.41331542
TBC1D14,0.16672061
AC097382.2,0.0012523661
CCDC96,0.011835451
TADA2B,0.18500489
GRPEL1,0.38795927
LINC02447,0.013132891
SORCS2,0.0007333676
PSAPL1,1.1282579e-05
AFAP1-AS1,0.0017262362
AFAP1,0.10518886
AC097381.1,0.00032719472
ABLIM2,0.005641319
AC097381.3,0.0
AC097381.2,2.2565158e-05
SH3TC1,0.08234478
HTRA3,0.000293347
LINC02517,1.1282579e-05
AC104825.1,0.01487032
ACOX3,0.073261
TRMT44,0.062123355
AC105345.2,0.00038360764
AC105345.1,0.0032042644
GPR78,0.0
CPZ,0.0
AC209005.1,0.0
HMX1,6.7695466e-05
FAM90A26,0.0
USP17L22,0.0
DEFB131A,0.0
SLC2A9,0.004569466
DRD5,1.1282579e-05
AC108199.1,0.0
AC005674.1,3.3847737e-05
WDR1,1.2426186
ZNF518B,0.14019024
CLNK,0.33874893
AC084048.1,0.0012862138
LINC02498,0.0018277806
HS3ST1,0.011530838
AC025539.1,0.0006318243
AC005699.1,4.5130317e-05
LINC02360,2.2565158e-05
AC108037.1,0.0
LINC02270,0.0
AC007370.2,0.0013651918
AC007370.1,0.00028206443
RAB28,0.18103406
LINC01097,0.0
NKX3-2,2.2565158e-05
LINC01096,4.5130317e-05
BOD1L1,2.1031208
LINC01182,2.2565158e-05
AC007126.1,6.7695466e-05
AC073848.1,0.0
AC092546.1,0.0
AC006296.2,0.0
AC006296.1,1.1282579e-05
LINC00504,0.020139046
CPEB2-DT,0.0022903695
CPEB2,0.08463568
AC098829.1,0.0014328876
C1QTNF7,0.0037796788
AC099550.1,0.00082362816
CC2D2A,0.00407303
AC116651.1,0.0013764743
FBXL5,0.3633013
FAM200B,0.43669775
BST1,0.0049643586
CD38,0.8739953
FGFBP1,0.0002482167
FGFBP2,0.736877
PROM1,0.0002030864
TAPT1,0.18561496
AC108063.1,0.0001015432
TAPT1-AS1,0.004637162
AC097515.1,6.7695466e-05
LDB2,0.056356657
AC106894.1,1.1282579e-05
LINC02493,0.0
QDPR,0.20192452
CLRN2,0.0
LAP3,0.9915528
AC006160.1,0.0045017707
MED28,0.71918184
FAM184B,0.0698872
DCAF16,0.23636135
NCAPG,0.16197145
LCORL,0.2396461
LINC02438,2.2565158e-05
AC024230.1,0.00018052124
AC110767.1,0.0
SLIT2,0.00037232507
PACRGL,0.046279926
KCNIP4,0.00042873793
AC097505.1,5.6412893e-05
AC110296.1,0.0
AC096576.3,3.3847737e-05
AC096576.2,0.0
KCNIP4-IT1,0.0005528463
AC096719.1,0.0
ADGRA3,0.0061941687
AC097512.1,2.2565158e-05
AC114912.1,2.2565158e-05
AC092440.1,0.0
AC093607.1,0.0
ERVH-1,1.1282579e-05
PPARGC1A,0.00011282577
AC092834.1,0.0
DHX15,0.44922012
LINC02473,0.00019180382
SOD3,0.00074465014
CCDC149,0.0013764743
LGI2,0.00053028116
SEPSECS,0.064335056
SEPSECS-AS1,0.10364336
AC104662.2,0.0
AC104662.1,0.000880041
PI4K2B,0.11975174
ZCCHC4,0.05915551
ANAPC4,0.23271757
AC092436.2,0.0
SLC34A2,0.0037232637
SEL1L3,0.54457694
AC092436.4,0.015174923
SMIM20,0.28032938
AC133961.1,0.00022565154
LINC02357,0.0028206534
RBPJ,2.756004
CCKAR,0.0
TBC1D19,0.19405197
STIM2,0.7344308
AC106047.1,0.0067583015
AC024132.1,0.0
LINC02261,0.00021436896
AC024132.3,3.3847737e-05
AC109588.1,0.0
AC097480.1,0.0
LINC02364,0.0
AC068944.1,0.0
AC109349.1,0.0
PCDH7,0.0013877569
LINC02497,0.0
AC104071.1,4.5130317e-05
LINC02501,0.0
LINC02506,0.00038360764
LINC02353,0.0
AC016687.3,0.0
AC016687.2,0.0
LINC02484,6.7695466e-05
AC093689.1,0.0
ARAP2,1.3574551
AC104078.1,0.008292744
DTHD1,0.47785798
AC104078.2,7.897804e-05
LINC02505,0.0
AL136537.1,0.0
NWD2,1.1282579e-05
C4orf19,0.0014893009
AC027607.1,0.0030575895
RELL1,0.060441963
PGM2,0.22892813
TBC1D1,0.48045197
PTTG2,0.0063972566
AC098680.1,0.0
LINC02513,0.0004061728
LINC01258,9.026062e-05
LINC01259,0.0006995198
LINC02278,0.0
AC021860.1,2.2565158e-05
KLF3,0.47489792
TLR10,0.0062392913
TLR1,0.059539106
TLR6,0.02643442
FAM114A1,0.0073675644
TMEM156,0.39892387
KLHL5,0.17681742
AC079921.1,0.00019180382
AC079921.2,0.0009138888
WDR19,0.021605693
RFC1,1.1653893
KLB,0.008834311
RPL9,22.238733
LIAS,0.19203383
UGDH,0.07691706
UGDH-AS1,0.0114293
SMIM14,0.15334336
AC108471.2,0.0023016522
UBE2K,0.77453125
PDS5A,0.58867884
N4BP2,0.49281883
RHOH,1.6675191
AC095057.2,0.0009026062
LINC02265,0.0044002263
CHRNA9,0.00053028116
RBM47,0.020500137
AC098869.2,2.2565158e-05
NSUN7,0.0013200615
APBB2,0.0013877569
AC131953.1,0.0
UCHL1-AS1,0.0
UCHL1,0.0052238544
LIMCH1,0.0034637575
AC105389.2,0.0
PHOX2B,0.0
AC105389.1,0.0
LINC00682,1.1282579e-05
AC108210.1,0.0
TMEM33,0.29723766
DCAF4L1,0.0057202955
AC106052.1,0.0013087789
SLC30A9,0.19301364
BEND4,0.012467251
AC111006.1,7.897804e-05
AC024022.1,0.0
SHISA3,0.0003497599
ATP8A1,0.45422685
AC096734.2,0.004614597
AC096734.1,0.014667247
GRXCR1,2.2565158e-05
AC111198.1,0.0
LINC02383,0.0
AC110799.1,0.0
LINC02475,2.2565158e-05
KCTD8,1.1282579e-05
YIPF7,5.6412893e-05
GUF1,0.14025822
GNPDA2,0.16185848
AC096586.2,0.00072208495
AC096586.1,0.0050659035
AC108467.1,0.0
GABRG1,1.1282579e-05
GABRA2,1.1282579e-05
AC095060.1,0.0
COX7B2,6.769547e-05
GABRA4,1.1282579e-05
GABRB1,0.0002030864
COMMD8,0.67191046
ATP10D,0.2627921
AC107398.2,0.00019180382
CORIN,0.0010718448
AC107068.2,0.00041745536
AC107068.1,0.012365707
NFXL1,0.10988118
NIPAL1,0.002922198
CNGA1,0.0004513031
TXK,1.0103604
TEC,0.03417388
SLAIN2,0.45323336
SLC10A4,0.00068823714
ZAR1,6.7695466e-05
FRYL,0.72550976
OCIAD1,1.2364465
OCIAD1-AS1,4.5130317e-05
OCIAD2,1.7188715
CWH43,3.3847737e-05
DCUN1D4,0.1038013
AC027271.1,0.001963172
LRRC66,0.0007108024
SGCB,0.0984435
SPATA18,0.00032719472
USP46,0.100710735
USP46-AS1,0.010425165
AC104066.2,3.3847737e-05
ERVMER34-1,0.0001466735
LINC01618,2.2565158e-05
RASL11B,0.0035991578
SCFD2,0.061829843
AC023154.1,0.0014780182
FIP1L1,0.6112253
LNX1,0.032989215
LNX1-AS1,1.1282579e-05
AC110792.3,0.0038022455
CHIC2,0.49912727
AC110792.2,0.0044792052
GSX2,0.0
PDGFRA,0.00068823714
AC098587.1,0.0
AC098868.1,0.0
LINC02260,0.0
KIT,0.014103196
LINC02358,0.0
AC111194.1,0.0
AC111194.2,0.0
KDR,0.00031591216
SRD5A3,0.085921645
AC069200.1,0.0004964334
TMEM165,0.93089765
CLOCK,0.21738961
AC024243.1,0.0010718448
PDCL2,0.00023693412
NMU,0.0053479634
EXOC1L,0.001015432
EXOC1,0.46188474
CEP135,0.404397
KIAA1211,0.00041745536
AASDH,0.22808214
AC068620.1,0.0061151907
PPAT,0.10856169
AC068620.2,0.0016021274
PAICS,0.25718057
SRP72,0.86786145
ARL9,0.002008303
THEGL,2.2565158e-05
HOPX,2.0722308
SPINK2,0.03632923
REST,1.0915968
AC069307.1,0.0017036714
NOA1,0.19702914
POLR2B,0.7509774
IGFBP7,0.14972796
IGFBP7-AS1,1.1282579e-05
AC105390.1,1.1282579e-05
LINC02380,0.0
AC013724.1,0.0
AC093725.1,0.0
AC017091.1,0.0
LINC02429,0.0
AC097501.2,0.0
AC096588.1,0.0
AC093857.1,5.6412893e-05
LINC02271,0.0006318243
ADGRL3,7.897804e-05
AC020741.1,0.0039827684
ADGRL3-AS1,0.0
AC097491.1,0.0
AC093730.1,2.2565158e-05
TECRL,1.1282579e-05
LINC02232,3.3847737e-05
EPHA5,0.0
EPHA5-AS1,0.0
AC104137.1,0.0
AC097110.1,0.0
AC116049.2,0.00018052124
AC096721.1,0.0
AC104806.2,0.0042535514
CENPC,0.9432833
STAP1,0.043346226
UBA6,0.5488056
UBA6-AS1,0.09126985
GNRHR,0.00012410835
TMPRSS11D,5.6412893e-05
TMPRSS11A,6.7695466e-05
TMPRSS11F,0.0
TMPRSS11B,3.3847737e-05
YTHDC1,1.1685325
TMPRSS11E,0.0016246923
UGT2B17,0.00011282577
UGT2B15,0.0002482167
UGT2B10,0.0
AC021146.12,4.5130317e-05
UGT2A3,1.1282579e-05
UGT2B7,0.0014216049
AC111000.4,0.0
UGT2B11,0.0
UGT2B28,0.0
UGT2B4,2.2565158e-05
UGT2A1,0.0001015432
UGT2A2,0.0
SULT1B1,0.030101098
AC108941.2,0.0
SULT1E1,6.7695466e-05
CSN1S1,3.3847737e-05
CSN2,0.0
STATH,0.0
HTN3,0.0
HTN1,0.00016923864
PRR27,1.1282579e-05
ODAM,0.0
FDCSP,0.0006431069
CSN3,0.0
CABS1,0.0
SMR3A,0.0
SMR3B,0.0
OPRPN,0.0
MUC7,0.0
AMTN,0.0
AMBN,1.1282579e-05
ENAM,0.00065438944
JCHAIN,0.08359761
UTP3,0.36345977
AC009570.1,0.0035765914
RUFY3,0.16645056
GRSF1,0.48033065
MOB1B,0.12950832
DCK,0.56285024
SLC4A4,0.07563043
GC,0.0
NPFFR2,3.3847737e-05
ADAMTS3,0.0018390625
AC095056.1,0.0
COX18,0.11285928
ANKRD17,0.5609637
AC053527.1,0.0022001083
ALB,9.026062e-05
AFP,3.3847737e-05
AFM,0.0
LINC02499,0.0
RASSF6,0.0036668493
AC112518.1,0.0
CXCL8,0.082252964
CXCL6,0.00065438944
PF4V1,2.2565158e-05
CXCL1,0.0068034073
PF4,0.0002482167
PPBP,0.00028206446
CXCL5,0.0024031918
CXCL3,0.022553427
CXCL2,0.028104296
MTHFD2L,0.11522776
AC093677.2,0.002391913
EPGN,0.0013426266
EREG,0.039352912
AC021180.1,0.000101543206
AREG,3.426446
AC239584.1,1.1282579e-05
BTC,0.0003948902
PARM1,0.0033396508
AC110760.2,3.3847737e-05
AC110760.1,2.2565158e-05
LINC02562,0.0030237415
AC025244.1,5.6412893e-05
AC025244.2,0.0
AC096759.1,0.0
AC096759.2,1.1282579e-05
RCHY1,0.22250901
THAP6,0.23381221
ODAPH,0.0054720757
CDKL2,0.01918008
G3BP2,1.8633709
USO1,0.44280088
AC110615.1,0.0025611536
PPEF2,0.0005528463
NAAA,0.35100877
SDAD1,0.43691266
AC112719.2,0.00015795608
CXCL9,0.033960033
ART3,0.00053028116
CXCL10,0.12382843
CXCL11,0.015265337
NUP54,0.30410644
SCARB2,0.23493049
FAM47E,0.0020534338
FAM47E-STBD1,0.0
STBD1,0.0026514146
CCDC158,0.00013539093
SHROOM3,0.0038135266
AC107072.2,1.1282579e-05
AC107072.1,0.0
SOWAHB,4.5130317e-05
SEPT11,0.51152015
CCNI,4.2689567
CCNG2,0.24146509
AC092674.1,2.2565158e-05
CXCL13,3.6290343
CNOT6L,1.4816184
MRPL1,0.63787055
FRAS1,0.0006092591
ANXA3,0.0044792
LINC01094,0.00998514
AC098818.2,0.015693923
BMP2K,0.11866938
PAQR3,0.099176615
LINC01088,0.00018052124
NAA11,2.2565158e-05
GK2,0.0
LINC00989,0.0
AC092542.1,0.0
LINC02469,2.2565158e-05
PCAT4,0.0
ANTXR2,0.24669726
AC021127.1,0.00028206443
PRDM8,0.0937058
FGF5,3.3847737e-05
CFAP299,0.0004061728
BMP3,0.00016923864
PRKG2,0.0023354997
AC139722.1,2.2565158e-05
RASGEF1B,0.4474461
AC124016.2,0.0096128145
HNRNPD,2.2206123
AC124016.1,0.03023643
HNRNPDL,2.8391178
ENOPH1,0.27697948
TMEM150C,0.0033735037
LINC00575,0.0
SCD5,0.019778023
SEC31A,0.6125556
THAP9-AS1,0.16670904
THAP9,0.012828269
LIN54,0.11893955
COPS4,0.35560846
PLAC8,0.8213811
AC114781.2,0.00036104248
COQ2,0.081137106
HPSE,0.0842514
HELQ,0.20551074
MRPS18C,0.8808974
ABRAXAS1,0.19789821
GPAT3,0.039093047
AC021192.1,1.1282579e-05
AC104063.1,0.0
NKX6-1,0.00022565154
CDS1,0.0024483257
WDFY3,0.005449512
WDFY3-AS1,1.1282579e-05
ARHGAP24,0.008597364
MAPK10,0.0026175654
AC104827.1,0.0
PTPN13,0.04344814
SLC10A6,7.897804e-05
C4orf36,0.00015795608
AC093827.5,0.0023693482
AC093827.4,0.026005713
AFF1,0.37740096
KLHL8,0.11863462
AC108516.1,0.0
HSD17B13,0.0026852626
HSD17B11,0.46221155
NUDT9,0.15741448
AC112250.2,0.0002482167
SPARCL1,0.0040278905
AC093895.1,0.00182778
DSPP,9.026062e-05
DMP1,4.5130317e-05
IBSP,0.0046371566
MEPE,6.7695466e-05
SPP1,0.59803826
PKD2,0.09704434
ABCG2,0.0122980205
PPM1K,1.1692528
AC107067.1,0.0023242175
HERC6,0.39791322
HERC5,1.0427443
PYURF,1.1699533
AC098582.1,1.1282579e-05
AC083829.2,0.0005415637
HERC3,0.19963458
NAP1L5,0.07103794
FAM13A-AS1,0.04958627
FAM13A,0.11253249
TIGD2,0.023918508
AC104785.1,0.00080106297
GPRIN3,1.3341796
AC097478.1,0.0002030864
SNCA,0.012410844
AC097478.2,0.0
AC097478.4,0.0
AC097478.3,1.1282579e-05
SNCA-AS1,3.3847737e-05
MMRN1,0.013178014
CCSER1,0.0043776585
AC004054.1,1.1282579e-05
AC074124.1,1.1282579e-05
AC093810.1,0.0
LNCPRESS2,0.0
AC112695.1,0.0
GRID2,4.5130317e-05
AC095059.1,0.0
AC110800.1,0.0
ATOH1,0.0
AC096746.1,0.0
SMARCAD1,0.39916074
HPGDS,0.012805721
PDLIM5,0.14747697
AC108067.1,7.897804e-05
BMPR1B-DT,0.00021436896
BMPR1B,0.0016698233
UNC5C,0.00038360764
AC106881.1,0.00018052124
PDHA2,0.0
LINC02267,0.00036104248
STPG2,0.0011621055
STPG2-AS1,1.1282579e-05
AC019077.1,0.0016021274
RAP1GDS1,0.5185656
TSPAN5,0.599792
AC108159.1,0.00013539093
AC114811.2,0.013324686
EIF4E,0.56326693
AC019131.1,1.1282579e-05
METAP1,0.21853963
AC019131.2,0.0042197043
ADH5,0.85538316
AP002026.1,0.0066567576
ADH4,0.000293347
ADH6,7.897804e-05
ADH1A,2.2565158e-05
ADH1B,0.00042873793
ADH1C,5.6412893e-05
ADH7,0.0
C4orf17,0.0
TRMT10A,0.073610306
MTTP,0.0006092591
AC083902.1,0.0
C4orf54,9.026062e-05
DAPP1,0.26744166
LAMTOR3,0.26355553
DNAJB14,1.1304647
H2AFZ,3.845899
AC097460.1,0.0010831275
DDIT4L,0.00348633
AP001961.1,0.0
EMCN,0.00025949927
PPP3CA,0.51612985
AP001816.1,0.045422304
BANK1,0.017250925
AP002075.1,1.1282579e-05
SLC39A8,0.12442129
AC098487.1,0.017453913
AF213884.3,0.009229202
NFKB1,0.6497196
MANBA,0.13501279
UBE2D3,2.6898677
AC018797.2,0.022756469
CISD2,0.5369998
SLC9B1,0.02064672
SLC9B2,0.067934826
BDH2,0.18250133
CENPE,0.3335955
LINC02428,1.1282579e-05
AC105460.2,4.5130317e-05
AC105460.1,1.1282579e-05
TACR3,0.0
LINC02503,0.00085747585
CXXC4,0.0030914373
CXXC4-AS1,6.7695466e-05
AC004063.1,0.0
AC004053.1,1.1282579e-05
AC096577.1,5.6412893e-05
AC004069.1,0.0034186353
TET2,0.39355677
TET2-AS1,0.002437044
PPA2,0.269817
AC004066.2,0.0
ARHGEF38,0.00028206443
INTS12,0.14575127
GSTCD,0.053727522
AC008243.1,2.2565158e-05
NPNT,0.00021436896
AC109361.2,0.0
AC109361.1,0.001929324
TBCK,0.12847047
AIMP1,0.76272094
GIMD1,0.00012410835
DKK2,0.0007333676
AC104663.1,1.1282579e-05
PAPSS1,0.17788865
SGMS2,0.0051335986
AC096564.1,0.0007108024
CYP2U1,0.02883748
AC096564.2,0.0039489195
HADH,0.22286163
LEF1,0.44143483
RPL34-AS1,0.012738014
RPL34,34.00794
OSTC,1.0702577
ETNPPL,2.2565158e-05
COL25A1,0.00016923864
ZCCHC23,0.0
SEC24B-AS1,0.01659646
SEC24B,0.1460555
MCUB,0.8294998
CASP6,0.25688058
AC004067.1,0.0029560463
PLA2G12A,0.089554936
AC126283.2,4.5130317e-05
CFI,0.0015005834
AC126283.1,0.0025498702
GAR1,0.2610407
RRH,0.00059797656
LRIT3,0.000586694
EGF,0.0
ELOVL6,0.13557775
ENPEP,0.0049643572
AC098798.1,0.0
PANCR,0.0
PITX2,7.897804e-05
LINC01438,0.0
AC139718.1,0.0
AC004704.1,0.0
FAM241A,0.104263596
AC109347.1,0.005472079
AP1AR,0.13065878
AC109347.2,0.002933481
TIFA,0.22482546
ALPK1,0.058297604
NEUROG2,2.2565158e-05
AC023886.1,5.6412893e-05
ZGRF1,0.06730231
LARP7,0.9847158
AC106864.1,0.00022565154
AC106864.2,1.1282579e-05
ANK2,0.0014328876
AC017007.5,2.2565158e-05
AC093879.1,0.0
AC093879.2,0.0
CAMK2D,0.30999544
ARSJ,0.002572435
AC104779.1,4.5130317e-05
UGT8,0.008619941
NDST4,0.0
MTRNR2L13,2.2565158e-05
AC106892.1,0.0
TRAM1L1,9.026062e-05
LINC02262,0.0
LINC02263,0.0
LINC01378,0.0
NDST3,0.0042535434
SNHG8,1.8513566
PRSS12,0.0005528463
AC110079.2,0.0008687584
METTL14,0.29835415
SEC24D,0.16720597
SYNPO2,0.008337866
MYOZ2,0.00018052124
USP53,0.19690643
C4orf3,2.27003
FABP2,4.5130317e-05
AC093752.3,0.004095595
AC093752.2,0.0019293246
PDE5A,0.0063746916
LINC01365,0.0
LINC02502,0.0
AC097173.2,0.00021436896
MAD2L1,0.34554958
AC108866.1,0.0074578263
AC025741.1,0.00025949927
PRDM5,0.012771868
NDNF,0.0019406059
AC105254.1,3.3847737e-05
TNIP3,0.4116276
QRFPR,0.00062054174
ANXA5,1.7921817
AC079341.3,0.00012410835
TMEM155,0.0022903695
AC079341.1,0.0054043825
EXOSC9,0.48949853
CCNA2,0.16147457
BBS7,0.11379574
AC079341.2,0.0002030864
TRPC3,0.0099061625
KIAA1109,0.7010772
ADAD1,3.3847737e-05
IL2,0.039736472
IL21,0.02257624
IL21-AS1,0.0076834755
BBS12,0.029740026
FGF2,0.0016923883
AC021205.3,0.0012636486
NUDT6,0.048017748
SPATA5,0.14424048
SPRY1,0.5607251
AC093821.1,3.3847737e-05
LINC02435,0.0005754114
LINC01091,0.00021436896
AC096732.1,0.0
AC121154.1,0.0
LINC02516,0.0
ANKRD50,0.0040278984
FAT4,0.002301652
AC105919.1,0.0
AC096773.1,1.1282579e-05
AC093772.1,0.0
INTU,0.003971485
SLC25A31,0.0
HSPA4L,0.008304026
AC093591.2,0.0019293246
PLK4,0.05350165
MFSD8,0.30011392
ABHD18,0.18829958
LARP1B,0.16783923
PGRMC2,0.3196497
AC108062.1,0.0024483264
AC110609.1,6.7695466e-05
AC078850.1,0.00011282577
AC078850.2,4.5130317e-05
JADRR,0.0004513031
JADE1,0.44662526
SCLT1,0.399118
C4orf33,0.12199604
AC082650.1,0.0
LINC02466,0.0
LINC02465,0.0
LINC02377,1.1282579e-05
SNHG27,4.5130317e-05
AC096711.2,0.0017262367
AC096711.3,0.0012298009
AC096711.1,0.0017375194
LINC01256,0.0
AC115622.1,0.0
AC110751.1,0.0
AC105383.1,2.2565158e-05
PCDH10,0.00015795608
AC079380.1,0.0
PABPC4L,3.3847737e-05
AC109830.1,0.0
LINC02462,0.0
AC093722.1,0.0
AC104619.2,0.0
AC107463.1,0.0003497599
LINC02485,0.0
AC105362.1,1.1282579e-05
LINC00613,0.0
AC073429.2,1.1282579e-05
AC018680.1,0.0
LINC02511,0.0
LINC02510,0.0
PCDH18,0.0002030864
LINC02172,0.00018052124
AC116563.1,0.00015795608
AC131956.2,4.5130317e-05
LINC00616,0.0
SLC7A11,0.0051900083
AC093903.1,0.0
LINC00498,0.0
LINC00499,0.0
LINC00500,4.5130317e-05
AC098859.2,0.0
AC093766.1,2.2565158e-05
AC109927.1,0.00012410835
AC109927.2,1.1282579e-05
NOCT,0.02603952
ELF2,0.5801729
MGARP,0.002628849
NDUFC1,1.2444465
NAA15,0.4176146
AC097376.2,0.23855203
RAB33B,0.092510454
SETD7,0.06555366
AC112236.2,0.0038360935
AC112236.1,0.0
MGST2,0.12588781
MAML3,0.045366038
AC131182.1,1.1282579e-05
SCOC,0.28284416
SCOC-AS1,0.009319466
CLGN,0.0013539091
MGAT4D,0.0
ELMOD2,0.20825198
UCP1,7.897804e-05
TBC1D9,0.007277301
AC096733.1,2.2565158e-05
AC096733.2,0.00077849784
RNF150,0.0012298009
ZNF330,0.3058436
AC107220.1,1.1282579e-05
LINC02432,0.0007672153
AC097504.2,7.897804e-05
LINC02276,0.0
IL15,0.07019161
INPP4B,0.7128466
AC139720.2,3.3847737e-05
AC139720.1,0.033350285
AC104596.1,0.012568781
USP38,0.18784812
AC097658.2,0.0
GAB1,0.010425163
SMARCA5,1.4179597
SMARCA5-AS1,0.0043776613
FREM3,0.0017939326
GYPE,0.006961389
GYPB,0.00077849784
GYPA,0.00016923867
AC106871.1,0.0
HHIP-AS1,0.0049192193
HHIP,0.0019857367
ANAPC10,0.24167325
AC109811.1,3.3847737e-05
ABCE1,0.572415
OTUD4,0.30999574
LINC02266,0.0
SMAD1,0.020443683
SMAD1-AS2,3.3847737e-05
SMAD1-AS1,0.00031591216
LINC02491,0.0
MMAA,0.06961623
AC093864.1,5.6412893e-05
C4orf51,0.0
ZNF827,0.19274445
AC104791.1,9.026062e-05
AC108206.1,3.3847737e-05
AC097372.2,1.1282579e-05
LINC01095,1.1282579e-05
LSM6,0.94077957
REELD1,0.0006092591
AC097372.1,0.0
SLC10A7,0.102233455
POU4F2,2.2565158e-05
TTC29,4.5130317e-05
AC092435.2,0.0
AC092435.1,0.0
AC092435.3,0.0
EDNRA,0.00014667351
LINC02507,0.0
AC093835.1,0.00036104248
TMEM184C,0.11798024
PRMT9,0.7784647
ARHGAP10,0.14796332
NR3C2,0.03685898
AC069272.1,7.897804e-05
AC108935.1,0.0003948902
AC108156.1,0.0
LINC02430,0.0
LINC02355,1.1282579e-05
IQCM,1.1282579e-05
AC105343.1,0.0
DCLK2,0.00065438944
LRBA,0.6080784
AC110813.1,0.007785024
MAB21L2,0.0013877569
RPS3A,30.840212
SH3D19,0.00484025
AC095055.1,0.0064423876
PRSS48,2.2565158e-05
AC104819.3,3.3847737e-05
FAM160A1-DT,4.5130317e-05
FAM160A1,0.0004964334
AC092611.2,0.00018052124
GATB,0.05874917
AC092611.1,0.00065438944
AC107074.1,0.0
AC097375.1,0.00028206443
LINC02273,0.24097979
AC079340.1,1.1282579e-05
AC079340.2,0.00012410835
AC080078.1,5.6412893e-05
AC080078.2,0.00038360764
FBXW7,0.5127672
FBXW7-AS1,0.00016923864
TMEM154,0.42908734
AC106882.1,0.00093645393
TIGD4,0.0034976138
ARFIP1,0.1989141
FHDC1,0.0034524826
AC093599.1,0.0
TRIM2,0.01546829
MND1,0.074149996
TMEM131L,0.29514086
TLR2,0.015321623
RNF175,0.0034411994
AC020703.1,1.1282579e-05
SFRP2,0.00068823714
AC079298.3,2.2565158e-05
DCHS2,7.897804e-05
AC079298.1,1.1282579e-05
AC079298.2,0.0
PLRG1,0.3668654
FGB,0.0
FGA,0.0
FGG,2.2565158e-05
LRAT,0.0008687584
RBM46,0.00031591216
AC097467.3,0.0012072357
AC104407.1,0.0
NPY2R,0.0
MAP9,0.17566906
AC107208.1,0.0
GUCY1A1,0.009793335
GUCY1B1,0.004140722
TDO2,0.0005415637
CTSO,0.11544253
AC096736.3,1.1282579e-05
LINC02272,0.0
PDGFC,0.002098564
AC092608.1,0.0
