,T.cell
AGTRAP,0.6922396
C1orf167,0.0011056926
AL953897.1,0.00012410835
MTHFR,0.19727804
CLCN6,0.04558028
NPPA-AS1,0.005257708
NPPA,0.0003497599
NPPB,1.1282579e-05
KIAA2013,0.34003213
PLOD1,0.034354363
MFN2,0.111866586
MIIP,0.3116757
TNFRSF8,0.033361834
TNFRSF1B,2.0342336
VPS13D,0.28090477
AC243836.1,0.00016923864
DHRS3,0.40298894
AC254633.1,0.002064716
AADACL4,1.1282579e-05
AADACL3,0.000101543206
C1orf158,0.00011282577
PRAMEF12,0.0
PRAMEF1,0.0
PRAMEF11,0.0
HNRNPCL1,0.00013539093
PRAMEF4,0.0
PRAMEF6,0.0
PRAMEF27,0.0
HNRNPCL3,1.1282579e-05
HNRNPCL2,1.1282579e-05
HNRNPCL4,0.0
PRAMEF9,0.0
PRAMEF13,0.0
PRAMEF18,0.0
PRAMEF5,0.0
PRAMEF8,0.0
PRAMEF15,0.0
AC243961.1,0.0
PRAMEF14,0.0
PRAMEF19,0.0
PRAMEF17,0.0
LRRC38,0.00019180382
AL354712.1,1.1282579e-05
PDPN,0.002369347
AL359771.1,1.1282579e-05
PRDM2,0.9710758
KAZN,0.006893693
AL357873.1,0.0
KAZN-AS1,1.1282579e-05
TMEM51-AS1,0.0005415637
TMEM51,0.0076044966
C1orf195,1.1282579e-05
FHAD1,0.0055849045
AL031283.2,0.001850346
AL031283.3,0.00011282577
AL031283.1,0.005934668
EFHD2,1.9609284
CTRC,0.0014441703
CELA2A,0.00011282577
CELA2B,7.897804e-05
CASP9,0.06275523
DNAJC16,0.1486615
AL121992.3,0.002595001
AGMAT,0.102955766
AL121992.1,0.002493457
DDI2,0.251499
AL121992.2,6.7695466e-05
PLEKHM2,0.23989157
AL450998.3,0.00042873793
SLC25A34,0.005686449
SLC25A34-AS1,1.1282579e-05
TMEM82,1.1282579e-05
FBLIM1,0.023489783
UQCRHL,0.023162598
AL450998.2,0.11596098
SPEN,0.8071002
ZBTB17,0.13836326
SRARP,4.5130317e-05
HSPB7,0.00019180382
CLCNKA,5.6412893e-05
CLCNKB,2.2565158e-05
FAM131C,0.0011169751
EPHA2,0.0013990396
AL451042.2,7.897804e-05
AL451042.1,5.6412893e-05
ARHGEF19-AS1,3.3847737e-05
ARHGEF19,0.063432306
CPLANE2,0.01568262
FBXO42,0.20845549
SZRD1,0.5880578
SPATA21,0.0042874003
NECAP2,0.7040901
LINC01772,0.02910824
AL137802.2,0.009048682
AL137802.1,3.3847737e-05
LINC01783,0.0004513031
NBPF1,0.025836447
AL137798.1,0.00025949927
AL137798.2,0.0
AL021920.1,0.0
AL021920.3,0.0
CROCC,0.099944
BX284668.1,0.0
BX284668.2,0.00030462956
BX284668.5,0.040661007
BX284668.6,0.033090793
MFAP2,0.00077849784
AL049569.1,0.0001015432
ATP13A2,0.15053397
SDHB,0.4717884
PADI2,0.0041407216
AL590644.1,2.2565158e-05
AL590644.3,7.897804e-05
PADI1,1.1282579e-05
PADI3,0.0
PADI4,0.01912371
PADI6,0.0006092591
AC004824.1,2.2565158e-05
RCC2,0.36813205
ARHGEF10L,0.0038135282
AL136529.1,0.0
ACTL8,1.1282579e-05
AL357509.1,0.0
IGSF21,0.0015682792
IGSF21-AS1,0.0
AL591896.1,0.0
