,Cancer.cell.6
MIR1302-2HG,0.0001289972
OR4F5,0.0
AL627309.1,0.004299906
AL627309.3,0.00025799443
AL627309.4,0.00042999073
AL732372.1,0.0008169822
OR4F29,0.0
AC114498.1,0.00017199629
AL669831.2,0.0001289972
AL669831.5,0.122117564
FAM87B,0.0009029803
LINC00115,0.03130325
FAM41C,0.024337547
AL645608.7,0.0009029803
AL645608.3,0.01487772
AL645608.5,0.0008599812
AL645608.1,0.016683687
SAMD11,0.1820165
NOC2L,0.68886924
KLHL17,0.0302283
PLEKHN1,0.06703463
PERM1,0.0059768674
AL645608.8,0.025240477
HES4,0.5709957
ISG15,2.30042
AL645608.2,0.0003009935
AGRN,0.7747306
AL645608.9,0.00025799443
RNF223,0.018876648
C1orf159,0.071893424
LINC01342,0.0035259242
AL390719.2,0.073914304
TTLL10-AS1,0.00068798504
TTLL10,0.023348574
TNFRSF18,0.02489649
TNFRSF4,0.007868832
SDF4,0.79210687
B3GALT6,0.34179714
C1QTNF12,0.11940856
AL162741.1,0.0009889784
UBE2J2,0.60183
LINC01786,0.0029669376
SCNN1D,0.06256308
ACAP3,0.114936456
PUSL1,0.27416262
INTS11,0.503655
CPTP,0.22892898
TAS1R3,0.0073958444
DVL1,0.30129215
MXRA8,0.19530258
AURKAIP1,2.9545493
CCNL2,0.66642547
MRPL20,2.1278436
AL391244.3,0.020424629
ANKRD65,0.5786518
AL391244.2,0.0003009935
TMEM88B,0.00068798504
LINC01770,0.0068368535
VWA1,0.9344784
ATAD3C,0.10341215
ATAD3B,0.16430235
ATAD3A,0.2082897
TMEM240,0.010706783
SSU72,2.1757
AL645728.1,0.030701265
FNDC10,0.13265203
AL691432.2,0.08010614
MIB2,0.2976813
MMP23B,0.46207166
CDK11B,0.31148311
FO704657.1,0.008341827
SLC35E2B,0.15983021
CDK11A,0.18975888
SLC35E2A,0.106121145
NADK,0.2652191
GNB1,1.3051984
AL109917.1,0.00877182
CALML6,0.000644986
TMEM52,0.044116784
CFAP74,0.0041279094
AL391845.2,0.00021499537
GABRD,0.0016339645
AL391845.1,0.00068798504
PRKCZ,0.17496666
AL590822.2,0.0101478
PRKCZ-AS1,0.0045578997
FAAP20,0.9753879
AL590822.1,0.00068798504
SKI,0.19405851
MORN1,0.09653162
