,Mast.cell
TGOLN2,1.3983983
RETSAT,0.0737726
ELMOD3,0.13606936
AC062037.2,0.0
CAPG,8.644551
SH2D6,0.0
MAT2A,1.5131556
GGCX,0.22459629
VAMP8,3.3361819
VAMP5,0.9213364
RNF181,1.000027
TMEM150A,0.085248314
USP39,0.18033287
C2orf68,0.1459057
SFTPB,0.0
GNLY,0.30000857
ATOH8,0.0147545235
AC105053.1,0.0
ST3GAL5,0.37378073
ST3GAL5-AS1,0.0016393913
AC012511.1,0.0016393913
POLR1A,0.06065749
PTCD3,0.32132024
IMMT,0.62132835
AC009309.1,0.004918174
MRPL35,0.26394162
REEP1,0.0
KDM3A,0.15410262
CHMP3,0.67378867
RNF103-CHMP3,0.0
AC015971.1,0.0016393913
RNF103,0.18197222
RMND5A,0.17213589
CD8A,0.037706003
CD8B,0.03278783
RGPD1,0.0
PLGLB1,0.008196957
IGKV3OR2-268,0.0
LINC01943,0.04426357
CYTOR,0.6393618
AC133644.2,0.018033307
PLGLB2,0.0
RGPD2,0.07049382
KRCC1,0.49345598
SMYD1,0.0
FABP1,0.0
THNSL2,0.06065749
FOXI3,0.0
TEX37,0.0
AC104134.1,0.0
EIF2AK3,0.07213321
AC062029.1,0.031148441
RPIA,0.34263226
IGKC,2.8148415
IGKV4-1,0.0
IGKV5-2,0.0
IGKV7-3,0.0
IGKV2-4,0.0
IGKV1-5,0.0016393913
IGKV1-6,0.0
IGKV3-7,0.0
IGKV1-8,0.0
IGKV1-9,0.0
IGKV3-11,0.006557565
IGKV1-12,0.0
IGKV1-13,0.0
IGKV3-15,0.0
IGKV1-16,0.0
IGKV1-17,0.0016393913
IGKV2-18,0.0
IGKV2-19,0.0
IGKV3-20,0.0032787826
IGKV6-21,0.0
IGKV2-23,0.0
IGKV2-24,0.0
IGKV2-26,0.0
IGKV1-27,0.0
IGKV2-28,0.0
IGKV2-29,0.0
IGKV2-30,0.0
IGKV3-31,0.0
IGKV1-33,0.0
IGKV1-35,0.0
IGKV1-37,0.0
IGKV1-39,0.0
IGKV2-40,0.0
IGKV2D-40,0.0
IGKV1D-39,0.0
IGKV1D-37,0.0
IGKV1D-33,0.0
IGKV2D-30,0.0
IGKV2D-29,0.0
IGKV2D-28,0.0
IGKV1D-27,0.0
IGKV2D-26,0.0
IGKV2D-24,0.0
IGKV6D-21,0.0
IGKV3D-20,0.0
IGKV2D-18,0.0
IGKV6D-41,0.0
IGKV1D-17,0.0
IGKV1D-16,0.0
IGKV3D-15,0.0
IGKV1D-13,0.0
IGKV1D-12,0.0
IGKV3D-11,0.0
IGKV1D-42,0.0
IGKV1D-43,0.0
IGKV1D-8,0.0
IGKV3D-7,0.0
IGKV1OR2-118,0.0
AC233263.6,0.0016393913
AC233266.2,0.0
IGKV1OR2-1,0.0
AL845331.2,0.0
ANKRD20A8P,0.0032787826
TEKT4,0.0032787826
AC103563.7,0.0
MAL,0.009836349
AC103563.2,0.0
MRPS5,0.45083195
ZNF514,0.054099917
ZNF2,0.024590872
AC092835.1,0.0016393913
PROM2,0.004918174
KCNIP3,0.0
FAHD2A,0.0868877
TRIM43B,0.0
AC009237.14,0.004918174
AC009237.15,0.0016393913
TRIM43,0.0
AC008268.1,0.0
LINC00342,0.05246053
ANKRD36C,0.33443528
GPAT2,0.016393915
ADRA2B,0.0
ASTL,0.0016393913
DUSP2,2.9853384
AC012307.1,0.0
STARD7,0.3278778
TMEM127,0.15082385
CIAO1,0.37214127
SNRNP200,0.5229651
AC021188.1,0.0032787826
ITPRIPL1,0.016393915
NCAPH,0.050821137
NEURL3,0.0016393913
AC013270.1,0.0
ARID5A,0.2557447
KANSL3,0.22459634
FER1L5,0.0
LMAN2L,0.057378702
CNNM4,0.062296882
CNNM3-DT,0.0
CNNM3,0.040984787
ANKRD23,0.0032787826
ANKRD39,0.20328423
SEMA4C,0.029509047
FAM178B,0.0
FAHD2B,0.027869655
ANKRD36,0.22459632
AC159540.2,0.0
AC159540.1,0.0
IGKV2OR2-10,0.0
IGKV1OR2-6,0.0
AC092683.1,0.2918113
AC092683.2,0.0016393913
ANKRD36B,0.13606937
COX5B,3.0410893
ACTR1B,0.21803877
C2orf92,0.016393915
ZAP70,0.050821137
TMEM131,0.3721413
VWA3B,0.0016393913
AC092675.1,0.0
CNGA3,0.0
INPP4A,0.2196782
COA5,0.30164757
UNC50,0.3868957
MGAT4A,0.21639946
AC109826.1,0.016393915
KIAA1211L,0.031148441
TSGA10,0.049181744
C2orf15,0.006557565
AC079447.1,0.0016393913
LIPT1,0.08196956
AC092587.1,0.0016393913
MITD1,0.5246043
MRPL30,0.13934813
LYG2,0.016393915
LYG1,0.0032787826
TXNDC9,0.4229623
EIF5B,1.2901988
REV1,0.28197494
AC018690.1,0.0032787826
AFF3,0.14590581
AC092667.1,0.0
LINC01104,0.0
LONRF2,0.0081969565
CHST10,0.031148441
NMS,0.0032787826
PDCL3,0.4967348
LINC01849,0.0
LINC01868,0.0
AC092168.1,0.0
NPAS2,0.026230264
AC016738.2,0.0
AC016738.1,0.0
RPL31,4.9690385
TBC1D8,0.029509047
TBC1D8-AS1,0.004918174
CNOT11,0.21639937
RNF149,0.4967348
CREG2,0.0016393913
RFX8,0.0081969565
LINC01870,0.0
MAP4K4,0.6049344
LINC01127,0.0
IL1R2,0.040984787
IL1R1,0.16721787
AC007271.1,0.0
IL1RL2,0.004918174
IL1RL1,5.3903584
IL18R1,1.1115054
IL18RAP,0.036066614
SLC9A4,0.0
SLC9A2,0.0016393913
MFSD9,0.031148441
TMEM182,0.02131209
LINC01796,0.0
LINC01935,0.0
AC108051.1,0.0016393913
AC073987.1,0.0
AC013727.1,0.0
LINC01965,0.0
AC068535.1,0.0
LINC01831,0.0
LINC01102,0.0
AC013402.1,0.0
AC068057.1,0.0
LINC01114,0.0
POU3F3,0.0
AC018730.1,0.0
AC010884.1,0.0
MRPS9,0.21475996
AC104655.1,0.0
LINC01918,0.15902083
GPR45,0.0
AC012360.2,0.0
TGFBRAP1,0.12459362
AC012360.1,0.0032787826
AC012360.3,0.054099917
C2orf49,0.27377796
FHL2,0.034427222
AC108058.1,0.0
NCK2,0.15082386
AC010978.1,0.0016393913
AC009505.1,0.0
C2orf40,0.0
UXS1,0.39509273
AC018878.1,0.0
RGPD3,0.0
CD8B2,0.0016393913
AC108868.1,0.0
ST6GAL2,0.008196957
LINC01789,0.0
AC096669.1,0.0
LINC01885,0.0
LINC01886,0.0
RGPD4-AS1,0.0016393913
RGPD4,0.0
SLC5A7,0.0
LINC01593,0.0
LINC01594,0.0
SULT1C3,0.0
SULT1C2,0.0032787826
SULT1C4,0.0016393913
GCC2,0.8508428
GCC2-AS1,0.006557565
LIMS1,1.7082428
LIMS1-AS1,0.0
RANBP2,0.51640755
CCDC138,0.04262418
EDAR,0.0
SH3RF3-AS1,0.0016393913
SH3RF3,0.0032787826
SEPT10,0.016393915
SOWAHC,0.0032787826
AC074387.1,0.0
RGPD5,0.12787244
LIMS3,0.0
AC013271.1,0.0
LINC01123,0.0
MALL,0.0032787826
NPHP1,0.01147574
SMIM37,0.60001624
LINC01106,0.0
AC112229.3,0.0
LIMS4,0.0
AC112229.2,0.0
RGPD6,0.0
AC226101.1,0.0
BUB1,0.08196956
AC114776.1,0.0
ACOXL,0.0
MIR4435-2HG,0.5852618
ACOXL-AS1,0.0
BCL2L11,0.21803886
AC108463.2,0.0
AC108463.3,0.059018094
AC068491.2,0.0
AC068491.3,0.05573931
AC017002.5,0.0
AC017002.3,0.027869655
AC017002.1,0.0
AC017002.2,0.0
ANAPC1,0.16229957
MERTK,0.067215055
TMEM87B,0.17213589
FBLN7,0.004918174
ZC3H8,0.3196808
ZC3H6,0.23771141
RGPD8,0.0032787826
TTL,0.12131487
POLR1B,0.047542352
CHCHD5,0.4409956
AC012442.1,0.0
AC079922.2,0.02295148
SLC20A1,0.22623578
NT5DC4,0.0
CKAP2L,0.050821137
IL1A,0.029509047
IL1B,0.48362038
IL37,0.0
IL36G,0.0
IL36A,0.0
IL36B,0.0
IL36RN,0.0
IL1F10,0.0
IL1RN,0.10983922
PSD4,0.13442998
AC016683.1,0.0
PAX8,0.034427222
IGKV1OR2-108,0.0
AC016745.1,0.0
AC016745.2,0.0
CBWD2,0.059018094
FOXD4L1,0.0032787826
LINC01961,0.0
PGM5P4-AS1,0.0
FAM138B,0.0
RABL2A,0.039345395
AC017074.2,0.0
AC017074.1,0.0
SLC35F5,0.13115118
AC104653.2,0.0032787826
AC104653.1,0.03278783
AC110769.2,0.0885271
ACTR3,3.7509542
LINC01191,0.006557565
AC110769.1,0.0
AC010982.1,0.0
DPP10,0.0
DPP10-AS1,0.0
AC009312.1,0.0
DDX18,1.3705288
AC009404.1,0.02295148
CCDC93,0.28853244
AC009303.2,0.0
AC009303.3,0.0
INSIG2,0.18852977
AC093901.1,0.0016393913
LINC01956,0.0
EN1,0.0
MARCO,0.14590584
AC013457.1,0.0
C1QL2,0.0
STEAP3,0.027869655
STEAP3-AS1,0.0
C2orf76,0.20984182
DBI,4.814927
TMEM37,0.008196957
SCTR,0.0
AC013275.1,0.0
CFAP221,0.0
TMEM177,0.047542352
PTPN4,0.1704965
EPB41L5,0.006557565
AC012363.1,0.0016393913
TMEM185B,0.07213321
RALB,1.0082239
AC012363.2,0.0
INHBB,0.008196957
AC073257.2,0.0
AC073257.1,0.0
AC018866.1,0.0
GLI2,0.0
AC017033.1,0.0
AC067960.1,0.0
AC079988.1,0.0
TFCP2L1,0.004918174
CLASP1,0.1278724
AC012447.1,0.0016393913
NIFK-AS1,0.1180361
NIFK,0.60329497
TSN,0.42788044
LINC01823,0.0
LINC01826,0.0
AC073409.1,0.0
AC079154.1,0.0
CNTNAP5,0.0
LINC01889,0.0
LINC01941,0.0
AC023347.1,0.0
GYPC,1.0819964
TEX51,0.0
AC012508.2,0.0
AC012508.1,0.0
BIN1,0.05573931
CYP27C1,0.0016393913
ERCC3,0.1409875
MAP3K2,0.72297037
AC068282.1,0.006557565
PROC,0.0016393913
IWS1,0.303287
AC010976.1,0.006557565
MYO7B,0.0016393913
AC010976.2,0.0
LIMS2,0.0016393913
GPR17,0.0
WDR33,0.72297037
SFT2D3,0.05573931
POLR2D,0.15902078
AMMECR1L,0.049181744
AC012306.2,0.15738142
SAP130,0.05246053
UGGT1,0.24262957
HS6ST1,0.73444617
AC012451.1,0.0
LINC01854,0.0
LINC02572,0.0016393913
LINC01856,0.0016393913
RAB6C,0.0032787826
POTEF,0.0016393913
AC018865.1,0.0
CCDC74B,0.0
SMPD4,0.098363414
MZT2B,2.2410483
TUBA3E,0.0
CCDC115,0.5311619
IMP4,0.44755313
PTPN18,0.691822
POTEI,0.0
AC013269.2,0.0
CFC1B,0.0
PRSS40A,0.0
AC140481.2,0.0
CFC1,0.0
POTEJ,0.0
GPR148,0.0
AC140481.1,0.0
AMER3,0.0
AC133785.1,0.0
ARHGEF4,0.0
FAM168B,0.17213589
PLEKHB2,0.611492
POTEE,0.0
RAB6D,0.006557565
AC073869.5,0.004918174
LINC01120,0.0
AC073869.3,0.0
MZT2A,0.5639499
TUBA3D,0.0
CCDC74A,0.004918174
LINC01087,0.0
C2orf27B,0.0
AC103564.1,0.0
AJ239322.2,0.0
AJ239322.1,0.0
LINC01945,0.0
ANKRD30BL,0.0
AC097532.1,0.0
AC097532.2,0.0
GPR39,0.0
LYPD1,0.004918174
AC010974.1,0.0
NCKAP5,0.008196957
AC016909.2,0.0
AC010890.1,0.0
AC011243.1,0.0
MGAT5,0.21803883
TMEM163,0.009836349
CCNT2-AS1,0.01147574
ACMSD,0.0
CCNT2,0.23935081
MAP3K19,0.0
RAB3GAP1,0.23607203
ZRANB3,0.036066614
R3HDM1,0.25410533
UBXN4,1.811524
LCT,0.0
AC011893.1,0.0
MCM6,0.2180389
DARS,0.53116196
DARS-AS1,0.006557565
AC068492.1,0.0
CXCR4,2.103338
THSD7B,0.0
HNMT,0.08033016
LINC01832,0.0
AC114763.1,0.004918174
AC114763.2,0.0
SPOPL,0.15574202
AC092620.3,0.0032787826
AC092620.1,0.0032787826
NXPH2,0.0
AC062021.1,0.0
AC016710.1,0.0
LINC01853,0.0
LRP1B,0.0
KYNU,0.09344528
ARHGAP15,0.7475612
AC013437.1,0.0
AC096558.1,0.0032787826
AC096558.2,0.0
AC079793.1,0.0
AC092652.1,0.0
AC092652.2,0.0
AC079584.2,0.0
AC079584.1,0.0
AC016910.1,0.0016393913
GTDC1,0.1295118
ZEB2,2.2853143
AC009951.2,0.0
ZEB2-AS1,0.04262418
LINC01412,0.0
TEX41,0.0
AC023128.1,0.0
LINC01966,0.0
AC096666.1,0.0
AC092484.1,0.008196957
AC062031.1,0.0
LINC01911,0.0
ACVR2A,0.029509047
AC009480.1,0.0
ORC4,0.20000549
MBD5,0.20820245
EPC2,0.13115118
AC105402.3,0.0016393913
KIF5C,0.0016393913
LYPD6B,0.0016393913
LYPD6,0.0
MMADHC,0.5541134
AC007364.1,0.0016393913
LINC01931,0.0
LINC01817,0.0
RND3,0.036066614
LINC01920,0.0
AC104777.3,0.0
AC104777.2,0.0
AC104777.1,0.0
AC023469.1,0.0
AC018731.1,0.0
RBM43,0.22951446
NMI,0.742643
TNFAIP6,0.031148441
RIF1,0.5295226
NEB,0.01311513
ARL5A,0.15410262
AC068547.1,0.0
CACNB4,0.013115132
AC079790.1,0.0
STAM2,0.24262959
FMNL2,0.18361163
PRPF40A,1.4262681
ARL6IP6,0.2934507
LINC01850,0.0
RPRM,0.004918174
GALNT13,0.0
AC009227.1,0.0
AC009227.2,0.0
AC061961.1,0.0
KCNJ3,0.0032787826
AC092625.1,0.0
LINC01876,0.0
AC074099.1,0.008196957
NR4A2,4.767378
GPD2,0.06721505
LINC01958,0.0
GALNT5,0.0
ERMN,0.008196957
CYTIP,0.39345348
ACVR1C,0.0016393913
AC019186.1,0.0016393913
ACVR1,0.15246326
UPP2,0.0
AC013731.1,0.009836349
AC091488.1,0.016393915
CCDC148-AS1,0.0
CCDC148,0.01147574
PKP4,0.10492098
PKP4-AS1,0.0
AC005042.2,0.0
DAPL1,0.20000555
TANC1,0.20328428
WDSUB1,0.16229957
BAZ2B,0.76723385
AC008277.1,0.0
AC009506.1,0.03278783
AC009961.1,0.018033307
MARCH7,0.68034625
CD302,0.19672674
LY75-CD302,0.0
LY75,0.1016422
PLA2R1,0.0016393913
ITGB6,0.0
LINC02478,0.0016393913
RBMS1,0.57542545
AC009313.1,0.0
TANK,0.4065685
AC009299.3,0.0
LINC01806,0.004918174
PSMD14,0.6655918
TBR1,0.0016393913
AC009487.1,0.0
SLC4A10,0.022951478
DPP4,0.047542352
AC008063.1,0.0
AC008063.2,0.0
GCG,0.0
AC007750.1,0.0
FAP,0.0016393913
IFIH1,0.3721413
GCA,0.56231046
KCNH7,0.0
AC011900.1,0.0
FIGN,0.0081969565
AC016766.1,0.0
GRB14,0.0032787826
COBLL1,0.48034093
AC019197.1,0.026230264
SLC38A11,0.7229705
SCN3A,0.0032787826
SCN2A,0.022951478
CSRNP3,0.0032787826
GALNT3,0.4295199
AC009495.3,0.027869655
AC009495.1,0.0
AC009495.2,0.0032787826
TTC21B,0.14426629
AC010127.1,0.0
SCN1A,0.0
SCN9A,0.02131209
SCN7A,0.024590872
XIRP2,0.0
XIRP2-AS1,0.0
AC073050.1,0.0
AC016723.1,0.0
B3GALT1,0.0
STK39,0.15738143
CERS6,0.21476004
NOSTRIN,0.0016393913
SPC25,0.08524835
G6PC2,0.0
ABCB11,0.0016393913
DHRS9,0.8541215
AC007556.1,0.0
LRP2,0.0
BBS5,0.016393915
AC093899.2,0.0
KLHL41,0.0016393913
FASTKD1,0.0868877
PPIG,1.482007
CCDC173,0.019672697
PHOSPHO2,0.04426357
KLHL23,0.031148441
SSB,1.5000405
METTL5,0.6344434
UBR3,0.1983661
MYO3B,0.0
AC012594.1,0.0
AC007277.1,0.0
LINC01124,0.0
SP5,0.0
AC007405.1,0.0
AC007405.3,0.0
ERICH2,0.0
GAD1,0.0016393913
AC007405.2,0.0
GORASP2,0.27049923
TLK1,0.6180495
METTL8,0.11147853
DCAF17,0.07213321
CYBRD1,0.04426357
DYNC1I2,1.0656025
SLC25A12,0.09672403
HAT1,0.47214398
METAP1D,0.027869655
DLX1,0.0
DLX2,0.0
DLX2-DT,0.0
AC104088.1,0.0
ITGA6,0.036066614
AC078883.2,0.0
AC078883.3,0.01147574
AC078883.1,0.01147574
PDK1,0.09344525
RAPGEF4-AS1,0.0
RAPGEF4,0.0
MAP3K20,0.14426637
MAP3K20-AS1,0.0
CDCA7,0.057378702
AC106900.2,0.0016393913
AC106900.1,0.0016393913
SP3,0.37542003
AC016737.1,0.0
AC016737.2,0.0
LINC01960,0.0
OLA1,0.6508374
LINC01305,0.0
SP9,0.0
CIR1,0.85248196
SCRN3,0.09344525
GPR155,0.0901665
AC010894.2,0.01147574
AC010894.3,0.0
WIPF1,0.7737913
AC010894.4,0.0
CHRNA1,0.0016393913
CHN1,0.006557565
ATF2,0.22459629
AC096649.1,0.0
ATP5MC3,2.8279636
AC093459.1,0.0
AC016751.2,0.0
AC016751.1,0.0
LNPK,0.27049923
EVX2,0.0
HOXD13,0.0
HOXD12,0.0
HOXD11,0.0
HOXD10,0.0
HOXD-AS2,0.004918174
HOXD9,0.0
HOXD8,0.0016393913
HOXD3,0.0
AC009336.2,0.0
HOXD4,0.0
HAGLR,0.0016393913
AC009336.1,0.0
HAGLROS,0.0
HOXD1,0.0016393913
MTX2,0.3114839
AC017048.1,0.0
AC017048.2,0.0
AC017048.3,0.0016393913
LINC01116,0.019672697
LINC01117,0.0
AC092162.2,0.0
AC073636.1,0.0
AC074286.1,0.0
AC079305.3,0.0032787826
HNRNPA3,3.5820954
NFE2L2,1.4951223
AC079305.1,0.04590296
AC019080.3,0.004918174
AC019080.4,0.0
AGPS,0.69346124
TTC30B,0.016393915
AC073834.1,0.0
TTC30A,0.0147545235
PDE11A,0.0
PDE11A-1,0.0
AC012499.1,0.0
RBM45,0.07869077
OSBPL6,0.11311795
AC009948.1,0.08196954
PRKRA,0.36722302
PJVK,0.0032787826
FKBP7,0.04426357
PLEKHA3,0.44591367
TTN-AS1,0.062296882
TTN,0.20000559
AC009948.4,0.0032787826
AC009948.3,0.0016393913
AC010680.3,0.008196957
AC010680.2,0.0032787826
AC010680.4,0.0
AC010680.5,0.0016393913
AC010680.1,0.0016393913
CCDC141,0.100002795
SESTD1,0.07049382
AC093911.1,0.0
ZNF385B,0.0
CWC22,0.31476265
AC009478.1,0.0
SCHLAP1,0.0
UBE2E3,0.7164128
AC104076.1,0.0
AC068196.1,0.0
LINC01934,0.037706003
AC020595.1,0.0
ITGA4,0.69837964
CERKL,0.0016393913
NEUROD1,0.0
AC009962.1,0.0147545235
SSFA2,0.3524686
PPP1R1C,0.0016393913
PDE1A,0.006557565
DNAJC10,0.40492904
FRZB,0.0016393913
NCKAP1,0.1459057
DUSP19,0.034427222
AC064871.1,0.0
NUP35,0.06393627
AC021851.1,0.0
AC096667.1,0.016393915
ZNF804A,0.036066614
AC007966.1,0.0
FSIP2,0.008196957
FSIP2-AS1,0.0016393913
LINC01473,0.027869655
AC017071.1,0.0032787826
ZC3H15,1.2033111
ITGAV,0.22295704
AC017101.1,0.0
FAM171B,0.006557565
ZSWIM2,0.0
AC007319.1,0.0
CALCRL,0.02459087
TFPI,0.019672697
LINC01090,0.0
GULP1,0.004918174
DIRC1,0.0
COL3A1,0.01147574
COL5A2,0.0032787826
AC133106.1,0.0
WDR75,0.13442996
SLC40A1,0.109839186
ASNSD1,0.28197488
ANKAR,0.062296882
OSGEPL1,0.09672404
OSGEPL1-AS1,0.0
AC013468.1,0.006557565
ORMDL1,0.9508453
PMS1,0.12951179
C2orf88,0.0016393913
MSTN,0.0
HIBCH,0.34263226
INPP1,0.17705408
MFSD6,0.16721773
AC093388.1,0.0032787826
NEMP2,0.05573931
AC108047.1,0.006557565
NAB1,0.1295118
AC006460.1,0.0
AC005540.1,0.0032787826
GLS,0.58034366
STAT1,2.188586
AC067945.2,0.0
STAT4,0.07869077
AC092614.1,0.0
MYO1B,0.019672697
NABP1,1.0836359
AC098872.1,0.0
CAVIN2,1.4934832
AC098617.1,0.039345395
TMEFF2,0.0016393913
AC013401.1,0.0
PCGEM1,0.0
AC068135.2,0.0
LINC01821,0.0
LINC01790,0.0
AC010983.1,0.0
AC104823.1,0.0
AC064834.1,0.0
LINC01825,0.0016393913
LINC01827,0.0
SLC39A10,0.49017715
DNAH7,0.004918174
STK17B,1.844312
AC114760.2,0.31968084
HECW2,0.0147545235
AC020571.1,1.0590452
AC068544.1,0.0
CCDC150,0.009836349
GTF3C3,0.13279058
C2orf66,0.0
PGAP1,0.02131209
ANKRD44,0.7901854
AC013264.1,0.0032787826
AC010746.1,0.0
SF3B1,1.5492221
COQ10B,0.49017715
HSPD1,2.277115
HSPE1,2.729599
HSPE1-MOB4,0.0
MOB4,0.43443796
RFTN2,0.0
AC011997.1,0.0016393913
MARS2,0.009836349
BOLL,0.0
PLCL1,0.11967546
AC020719.1,0.0
LINC01923,0.0
AC019330.1,0.0
AC020718.1,0.0
SATB2,0.0016393913
AC016746.1,0.0
SATB2-AS1,0.0
LINC01877,0.0
FTCDNL1,0.050821137
C2orf69,0.21803875
TYW5,0.106560364
MAIP1,0.1016422
SPATS2L,1.3229865
KCTD18,0.11311792
SGO2,0.21312073
AOX1,0.0
LINC01792,0.01147574
AC007163.1,0.0
BZW1,1.8459513
CLK1,0.8574002
PPIL3,0.23443262
NIF3L1,0.12623303
ORC2,0.10164221
AC005037.1,0.008196957
FAM126B,0.22459629
NDUFB3,1.2459354
AC007272.1,0.0
CFLAR,0.9803546
CFLAR-AS1,0.01311513
CASP10,0.13934813
CASP8,0.522965
ALS2CR12,0.006557565
TRAK2,0.14098752
STRADB,0.07213321
C2CD6,0.0
TMEM237,0.037706003
MPP4,0.008196957
ALS2,0.6573948
CDK15,0.68034625
AC069148.1,0.0032787826
FZD7,0.05573931
KIAA2012,0.0016393913
AC079354.1,0.0
AC079354.3,0.0
SUMO1,1.4492195
NOP58,0.55739224
AC064836.2,0.0
AC064836.3,0.008196957
BMPR2,0.24426901
FAM117B,0.016393915
ICA1L,0.06557566
WDR12,0.14754507
CARF,0.095084645
NBEAL1,0.29017183
CYP20A1,0.30000818
ABI2,0.29836878
AC080075.1,0.0
RAPH1,0.02131209
CD28,0.026230264
CTLA4,0.057378702
ICOS,0.05573931
AC009965.1,0.0
AC009498.1,0.0
AC016903.1,0.0
PARD3B,0.026230264
NRP2,0.14590575
AC007362.1,0.0
AC007679.1,0.0
INO80D,0.2278751
AC007383.2,0.0016393913
NDUFS1,0.34755045
AC007383.3,0.004918174
EEF1B2,9.9626
GPR1,0.0
ZDBF2,0.06721505
ADAM23,0.0
AC010731.2,0.0
FAM237A,0.0
DYTN,0.0
MDH1B,0.0016393913
FASTKD2,0.15738142
AC008269.2,0.0
AC008269.1,0.0
CPO,0.0
KLF7,0.2049237
AC007879.1,0.0
AC007879.3,0.016393915
AC007879.2,0.0
AC007879.4,0.0
MYOSLID,0.0
AC009226.1,0.008196957
LINC01802,0.0
CREB1,0.4672258
METTL21A,0.49837425
LINC01857,0.057378702
CCNYL1,0.118036084
AC096772.1,0.0016393913
FZD5,0.031148441
PLEKHM3,0.059018094
CRYGD,0.047542352
CRYGC,0.0016393913
CRYGB,0.0
CRYGA,0.0
C2orf80,0.0
IDH1,0.26394168
IDH1-AS1,0.008196957
PIKFYVE,0.23279324
PTH2R,0.02131209
MAP2,0.004918174
UNC80,0.0
RPE,0.185251
KANSL1L,0.1475451
AC007038.2,0.024590872
AC007038.1,0.016393915
ACADL,0.0
MYL1,0.0
LANCL1-AS1,0.0
LANCL1,0.09180586
CPS1,0.008196957
ERBB4,0.008196957
LINC01878,0.0
AC108066.1,0.0
IKZF2,0.16885717
AC079610.2,0.0032787826
LINC01953,0.0
AC079610.3,0.0
AC079610.1,0.0
SPAG16,0.2262357
AC068051.1,0.0
VWC2L,0.0
BARD1,0.2508266
AC016708.1,0.0016393913
ABCA12,0.0
AC072062.1,0.0
AC073284.1,0.0
ATIC,0.3803382
FN1,0.6770685
AC012462.3,0.0
AC012462.1,0.0
AC012462.2,0.0
AC012668.2,0.0
AC012668.3,0.0
AC012668.1,0.0
LINC00607,0.0016393913
LINC01614,0.0
AC122136.1,0.0
AC093382.1,0.0
MREG,0.036066614
PECR,0.07541198
TMEM169,0.011475739
XRCC5,2.067269
LINC01963,0.0147545235
MARCH4,0.0
AC012513.1,0.0
AC069155.1,0.0
AC098820.2,0.0
SMARCAL1,0.11475731
AC098820.3,0.0
RPL37A,28.54022
LINC01280,0.0
AC073321.1,0.0
IGFBP2,0.075412
IGFBP5,0.07705138
AC007563.2,0.0016393913
AC007563.1,0.0
AC007557.2,0.0
TNP1,0.0
AC007557.1,0.0
AC007557.3,0.0
LINC01921,0.0
AC007749.1,0.0
DIRC3-AS1,0.0
DIRC3,0.0032787826
TNS1,0.2541053
AC010136.1,0.0
RUFY4,0.006557565
CXCR2,0.0032787826
CXCR1,0.0032787826
ARPC2,5.9477654
GPBAR1,0.0
AAMP,0.28033555
PNKD,0.65575534
TMBIM1,0.34591103
CATIP-AS2,0.0
CATIP,0.0
SLC11A1,0.19016929
CTDSP1,0.51312864
AC021016.3,0.004918174
VIL1,0.004918174
USP37,0.14098752
CNOT9,0.22295697
PLCD4,0.0
AC012510.1,0.006557565
ZNF142,0.04262418
BCS1L,0.11639669
RNF25,0.06557566
STK36,0.026230264
TTLL4,0.03278783
CYP27A1,0.02131209
AC009974.1,0.0016393913
PRKAG3,0.0
WNT6,0.0147545235
WNT10A,0.004918174
LINC01494,0.0
AC097468.2,0.0
CDK5R2,0.0
LINC00608,0.0
FEV,0.0
CRYBA2,0.0
AC097468.1,0.0
CFAP65,0.0
IHH,0.0
AC097468.3,0.004918174
NHEJ1,0.0016393913
AC068946.1,0.0
SLC23A3,0.0032787826
CNPPD1,0.18689036
RETREG2,0.2918113
ZFAND2B,0.21967815
ABCB6,0.0
AC068946.2,0.0
ATG9A,0.009836349
ANKZF1,0.1983661
GLB1L,0.019672697
STK16,0.25246587
TUBA4A,0.09180589
TUBA4B,0.0
DNAJB2,0.21639934
PTPRN,0.0
AC114803.1,0.0016393913
RESP18,0.0
DNPEP,0.29345065
AC053503.2,0.0
DES,0.0
AC053503.4,0.0
SPEG,0.0
AC053503.1,0.0
AC053503.5,0.0016393913
GMPPA,0.15574202
ASIC4,0.14098755
CHPF,0.07705137
TMEM198,0.009836349
AC009955.3,0.0
OBSL1,0.05246053
AC009955.4,0.0
INHA,0.0
STK11IP,0.050821137
AC009955.1,0.0
SLC4A3,0.004918174
AC009955.2,0.0
AC009502.1,0.0
AC019211.1,0.0
AC093083.1,0.0
AC067956.1,0.0
AC093843.1,0.0
EPHA4,0.004918174
AC079834.2,0.0
AC068489.1,0.0
PAX3,0.0
CCDC140,0.0
AC010980.2,0.0
SGPP2,0.006557565
AC097461.1,0.006557565
FARSB,0.12459362
MOGAT1,0.0
ACSL3,0.3655837
AC013476.1,0.0
KCNE4,0.0
AC013448.1,0.0
AC013448.2,0.0
SCG2,0.016393915
AP1S3,0.47214395
WDFY1,0.32132018
MRPL44,0.22623567
AC073641.1,0.0
SERPINE2,0.08852708
FAM124B,0.095084645
AC073052.2,0.0016393913
CUL3,0.62788576
CCDC195,0.0
DOCK10,0.6032951
NYAP2,0.0016393913
AC016717.2,0.0
AC062015.1,0.0
IRS1,0.006557565
AC010735.2,0.0
RHBDD1,0.06721505
COL4A4,0.019672697
COL4A3,0.0
AC097662.1,0.0016393913
MFF,0.55083466
TM4SF20,0.0
SCYGR1,0.0
