,Cycling.cancer.cell.1
NSUN2,0.31216973
SRD5A1,0.1165773
LINC02102,0.0003033595
TENT4A,0.17447874
AC122710.2,0.0001300112
AC122710.3,4.3337066e-05
LINC02236,0.0
AC122710.1,0.0001300112
LINC02196,0.0
LINC02123,8.667413e-05
AC027343.1,0.0
LINC02142,0.0001300112
ADCY2,0.0043337066
AC093305.1,0.0
C5orf49,0.049534004
MTRR,0.110163026
FASTKD3,0.05958786
AC025174.1,0.00017334826
LINC02226,8.667413e-05
AC091965.1,0.0
AC091965.4,0.001170101
MIR4458HG,0.28044486
AC091932.1,4.3337066e-05
LINC02199,0.0
AC021088.1,0.0
SEMA5A,0.043293566
AC091906.1,0.0
SEMA5A-AS1,4.3337066e-05
SNHG18,0.122341484
TAS2R1,0.0001300112
LINC02112,0.00043337073
LINC02221,0.0
AC034229.1,0.0003466966
AC034229.2,0.0
AC034229.4,0.0022101894
FAM173B,0.09885105
AC012640.1,0.0057204966
CCT5,3.2195566
AC012640.4,0.0022968634
AC012640.3,8.667413e-05
CMBL,0.31554812
AC012640.2,0.04992392
MARCH6,0.7851259
ROPN1L-AS1,4.3337066e-05
ROPN1L,0.017291509
LINC01513,0.003423627
AC092336.1,0.00021668535
LINC02212,0.00021668535
LINC02213,0.0
ANKRD33B,0.21794607
ANKRD33B-AS1,8.667413e-05
DAP,0.51851195
AC012629.2,0.0002600224
AC012629.1,0.0
CTNND2,0.0061538634
AC106771.1,0.0002600224
LINC01194,0.0042903703
DNAH5,0.023748748
AC016576.1,0.0
TRIO,0.22856693
OTULINL,0.09148366
AC010491.1,0.018634977
OTULIN,0.22288994
ANKH,0.15211536
AC016575.1,0.0048537524
AC016651.1,0.0
LINC02149,8.667413e-05
FBXL7,0.027779035
AC010638.1,8.667413e-05
MARCH11,0.001213438
AC016650.1,0.0
AC092335.1,4.3337066e-05
LINC02150,0.00039003367
ZNF622,0.33340716
RETREG1,0.056077678
AC022113.1,0.0001300112
AC022113.2,0.00021668535
MYO10,0.4381554
BASP1,0.22765416
AC026790.1,0.0
BASP1-AS1,0.00021668535
AC026785.2,0.0014301236
AC026785.3,0.00021668535
LINC02111,0.0
LINC02217,0.0
LINC02218,4.3337066e-05
AC106774.10,0.0
AC106774.8,0.0
AC233724.15,0.0
AC233724.6,0.0
H3.Y,4.3337066e-05
LINC02223,0.0014301236
LINC02100,0.0013434493
AC106744.1,8.667413e-05
AC106744.2,0.0002600224
CDH18,0.02084519
LINC02241,0.0041603586
LINC02146,0.0
AC093274.1,0.005373799
AC091946.2,0.0013867865
AC091946.1,0.0001300112
CDH12,0.02101853
AC010445.1,4.3337066e-05
PRDM9,0.00095341564
C5orf17,0.009664153
CDH10,0.00043337073
LINC02228,0.0014301236
LINC02211,0.0026868964
AC099499.2,0.0003466966
AC099499.1,0.0
AC106754.1,0.00039003362
AC022140.1,0.000563382
CDH9,0.0
AC113355.1,4.3337066e-05
PURPL,0.011657653
LINC02103,0.0
AC008825.1,0.00021668535
LINC02109,0.0020801784
LINC02064,0.0
AC113386.1,8.667413e-05
CDH6,0.6727799
DROSHA,0.2927102
C5orf22,0.15003596
PDZD2,0.16282016
AC022447.3,0.0
AC022447.1,0.0
AC022447.7,0.0
AC025178.1,0.0009967528
GOLPH3,0.51621205
AC025181.2,0.08836325
MTMR12,0.3002516
ZFR,1.0156611
SUB1,4.4198036
LINC02061,0.0
NPR3,0.09568759
AC010343.3,0.0008234044
LINC02120,4.3337066e-05
AC034223.1,0.0
AC034223.2,0.0
LINC02160,0.00021668535
AC034231.1,0.0059371814
TARS,0.9779206
AC034232.2,0.0
ADAMTS12,0.0063272133
RXFP3,0.0
SLC45A2,0.001170101
AMACR,0.013174454
C1QTNF3-AMACR,0.00021668535
C1QTNF3,0.035882935
AC139792.1,0.00052004494
AC025754.2,0.0014301236
RAI14,0.47654986
AC025754.1,8.667413e-05
AC026801.2,0.031289313
TTC23L,0.007930676
RAD1,0.327208
BRIX1,0.9006761
DNAJC21,1.1681608
AGXT2,0.0001300112
PRLR,0.046760514
SPEF2,0.15822735
AC137810.1,0.0
IL7R,0.00095341564
CAPSL,0.011744327
AC112204.2,0.0
UGT3A1,0.011874356
UGT3A2,0.0019068304
LMBRD2,0.07674907
SKP2,0.13144298
NADK2,0.17855357
NADK2-AS1,0.00017334826
RANBP3L,0.00047670782
SLC1A3,0.31823355
AC008957.2,0.0
AC008957.1,0.0003033595
AC026741.1,0.008147358
NIPBL,1.4308492
CPLANE1,0.2682223
NUP155,0.24542549
WDR70,0.3031551
GDNF-AS1,0.0006933932
GDNF,0.00086674147
LINC02117,0.0
AC008869.1,0.0
AC034226.1,0.0
LINC02107,4.3337066e-05
LINC02119,0.0
EGFLAM,0.05022734
EGFLAM-AS4,4.3337066e-05
EGFLAM-AS3,0.0
EGFLAM-AS2,0.0
EGFLAM-AS1,0.0
AC010457.1,0.0010400899
LIFR,0.21032083
LIFR-AS1,0.03575293
AC010425.1,0.0
OSMR-AS1,0.036619652
AC091435.2,0.0
OSMR,0.13724998
RICTOR,0.33141154
FYB1,0.0048104133
C9,8.667413e-05
DAB2,0.05057419
LINC02104,4.3337066e-05
LINC00603,0.00017334826
LINC00604,0.0
AC093277.1,0.0
TTC33,0.087279744
PTGER4,0.03258939
PRKAA1,0.2512346
RPL37,36.56619
CARD6,0.0390465
C7,0.0016034715
MROH2B,0.00017334826
C6,0.0003466966
PLCXD3,0.026868984
OXCT1,0.21114267
C5orf51,0.19913994
FBXO4,0.06699846
AC108099.1,4.3337066e-05
GHR,0.0040736836
CCDC152,0.014734609
SELENOP,1.8349547
AC008945.1,0.00043337073
AC008875.1,0.005547148
AC025171.3,0.0112676155
AC025171.5,0.0019068304
ANXA2R,0.03804972
AC025171.2,0.016208092
AC025171.4,0.007670655
ZNF131,0.557947
NIM1K,0.0010400899
AC114947.2,0.00052004494
HMGCS1,0.5297693
CCL28,0.24117604
TMEM267,0.18206385
C5orf34,0.075492464
AC114956.2,0.0010400899
AC114956.1,0.0060238545
PAIP1,1.2592123
NNT-AS1,0.24256456
NNT,0.3381281
FGF10,0.0
FGF10-AS1,0.0
LINC02224,0.0
AC093292.1,0.0
MRPS30-DT,0.024832182
AC093297.1,0.0
MRPS30,0.37076464
AC093297.2,0.033629447
AC114954.1,4.3337066e-05
HCN1,0.0002600224
AC122694.1,0.0
EMB,0.03648965
AC112187.3,0.0012567751
PARP8,0.09971794
AC022441.1,0.0
AC022441.2,0.0
AC008808.2,0.0
LINC02106,8.667413e-05
AC008808.1,0.0
AC010478.1,0.0018201564
ISL1,0.004030348
AC091860.2,0.0
LINC02118,0.0
AC022126.1,4.3337066e-05
ITGA1,0.011050932
PELO,0.19094756
AC025180.1,0.0
ITGA2,0.038439818
AC008966.2,0.0009100786
MOCS2,0.20693989
AC008966.1,0.0211052
FST,0.11779064
NDUFS4,0.9265032
LINC02105,8.667413e-05
AC025175.1,0.0003466966
ARL15,0.017118167
LINC01033,8.667413e-05
HSPB3,0.0008234044
SNX18,0.12151778
AC112198.3,0.0
ESM1,0.0010400896
GZMK,4.3337066e-05
AC034238.3,0.0
AC034238.2,0.0
GZMA,0.0005200448
CDC20B,0.0017768192
GPX8,0.25257704
MCIDAS,0.0022101894
CCNO,0.06708518
AC026704.1,0.0039003359
DHX29,0.59496427
MTREX,0.34276918
PLPP1,0.03709636
SLC38A9,0.06747507
DDX4,0.0002600224
IL31RA,0.00017334826
IL6ST,0.31277665
AC008914.1,0.00052004494
AC008892.1,0.00047670782
AC016596.1,0.01642476
ANKRD55,4.3337066e-05
AC034245.1,0.0001300112
LINC01948,0.0019068304
C5orf67,0.0002600224
AC008940.1,0.0
MAP3K1,0.31667686
AC008937.2,0.00017334826
AC008937.1,4.3337066e-05
SETD9,0.1157097
MIER3,0.09482051
AC008937.3,0.0024268744
AC016644.1,8.667413e-05
GPBP1,1.141471
AC025470.2,0.0
ACTBL2,0.0015167976
AC008780.1,4.3337066e-05
AC008780.2,4.3337066e-05
AC106822.1,0.0
LINC02225,8.667413e-05
LINC02101,4.3337066e-05
PLK2,0.28941044
GAPT,8.667413e-05
LINC02108,0.00021668535
RAB3C,4.3337066e-05
AC016642.1,0.001126764
AC008852.1,0.0
PDE4D,0.07445247
AC092343.1,0.00095341564
AC034234.1,0.0
PART1,0.5391292
DEPDC1B,0.24980229
ELOVL7,0.046153676
AC104113.1,0.0030335926
ERCC8,0.07046526
AC022445.1,4.3337066e-05
NDUFAF2,0.42693195
SMIM15,0.66742474
SMIM15-AS1,0.00043337073
LINC02057,0.0017768197
ZSWIM6,0.21300809
AC026746.1,0.0002600224
C5orf64-AS1,0.0
AC026434.1,0.0
KIF2A,0.5336816
DIMT1,0.17339481
IPO11,0.10071454
LRRC70,0.0009100786
HTR1A,4.3337066e-05
RNF180,0.062924884
RGS7BP,0.006933931
SHISAL2B,0.00021668535
SREK1IP1,0.44483274
CWC27,0.36955133
AC092354.2,0.001126764
AC092354.1,0.0020801784
ADAMTS6,0.05534112
AC025176.1,0.0022101894
CENPK,0.2837364
PPWD1,0.124031946
TRIM23,0.107779145
TRAPPC13,0.102751516
SHLD3,0.03120264
SGTB,0.055080913
NLN,0.24716079
AC010359.1,0.007844002
ERBIN,0.4195661
SREK1,0.60549444
AC025442.1,8.667413e-05
LINC02065,0.0003033595
AC113378.1,0.00017334826
LINC02229,0.0
MAST4,0.1252018
MAST4-AS1,0.011614309
CD180,0.00065005606
AC010420.1,0.0
AC112206.2,0.0013001123
LINC02242,0.00078006735
AC106798.1,0.001170101
AC024581.1,0.0017334823
LINC02219,4.3337066e-05
PIK3R1,0.24247822
AC024579.1,0.0
AC010280.2,0.00052004494
AC010280.3,0.0
AC010280.1,0.0003033595
AC093523.1,0.0
AC093248.1,0.0
LINC02198,0.0003466966
AC010273.2,0.0035103017
SLC30A5,0.23935838
AC010273.1,0.0016468085
CCNB1,2.9660995
CENPH,0.2501064
MRPS36,0.59842986
CDK7,0.16420767
CCDC125,0.08446295
AK6,0.39347544
TAF9,0.5007822
RAD17,0.18670107
MARVELD2,0.17928962
AC145146.1,0.0
OCLN,0.2908029
GTF2H2C,0.06452822
SERF1B,0.0034236275
SMN2,0.014734604
AC146944.4,0.010184191
SERF1A,0.015254657
SMN1,0.03336945
NAIP,0.08654299
GTF2H2,0.19484891
LINC02197,0.010834247
AC145141.2,8.667413e-05
AC145141.1,0.00069339323
BDP1,0.8795322
MCCC2,0.42831993
CARTPT,0.020801794
MAP1B,1.1100339
MRPS27,0.1756931
PTCD2,0.07445218
ZNF366,0.00021668535
LINC02056,0.0003033595
AC063979.2,0.0003466966
AC035140.1,0.00043337073
TNPO1,0.585862
AC008972.1,0.0035536387
AC008972.2,0.007757329
FCHO2,0.1425814
TMEM171,0.009664153
TMEM174,4.3337066e-05
AC116345.1,0.00017334826
FOXD1,0.037659835
FOXD1-AS1,0.0
LINC01385,0.0
AC099522.2,0.021885289
BTF3,6.6915073
ANKRA2,0.095123775
UTP15,0.09616407
ARHGEF28,0.12273164
AC091868.2,8.667413e-05
AC093283.1,0.0
LINC02122,0.002036842
AC106732.1,0.0
LINC01333,0.0
LINC01332,0.0
LINC01331,0.0001300112
ENC1,0.44906995
HEXB,0.26540548
GFM2,0.108819224
NSA2,1.6566023
FAM169A,0.021061867
AC010501.1,0.0013001123
AC116337.3,0.0
GCNT4,0.0022101894
LINC01336,0.00017334826
ANKRD31,0.009404129
AC008897.2,0.0003033595
HMGCR,0.2830452
COL4A3BP,0.47972324
AC008897.3,0.0014734606
POLK,0.1662015
AC010245.1,0.0010834269
AC010245.2,0.0030335924
ANKDD1B,0.0017768194
POC5,0.103531696
AC026774.1,0.0003033595
SV2C,0.04671711
AC113404.1,8.667413e-05
IQGAP2,0.14466043
AC026725.1,8.667413e-05
F2RL2,0.0003466966
AC025188.1,8.667413e-05
F2R,0.05984815
F2RL1,0.05802788
S100Z,0.0007367303
CRHBP,8.667413e-05
AGGF1,0.090529956
AC008581.2,0.00052004494
ZBED3,0.1647707
AC008581.1,0.000563382
ZBED3-AS1,0.0853297
AC022414.1,0.0
PDE8B,0.00858073
WDR41,0.13850705
OTP,0.0008234044
TBCA,2.302767
AC108482.1,0.0
AP3B1,0.2748116
SCAMP1-AS1,0.088493295
SCAMP1,0.24061583
LHFPL2,0.047193762
ARSB,0.019025011
DMGDH,0.016121406
BHMT2,0.02071512
BHMT,0.0018201568
JMY,0.18132634
HOMER1,0.12190795
TENT2,0.13941747
CMYA5,0.076749414
AC008496.2,0.00030335947
LINC01455,0.0
MTX3,0.15150927
THBS4,0.016164744
AC012636.1,0.0024702111
SERINC5,0.336224
AC010260.1,0.00017334826
SPZ1,0.00043337073
ZFYVE16,0.2511916
AC008771.1,0.20355901
FAM151B,0.009490803
ANKRD34B,0.0058071674
LINC01337,0.00039003367
DHFR,0.28521016
AC008434.1,0.00043337073
MSH3,0.17439279
RASGRF2-AS1,4.3337066e-05
RASGRF2,0.0012134381
AC026427.1,4.3337066e-05
CKMT2-AS1,0.06253472
CKMT2,0.025482232
ZCCHC9,0.20637748
ACOT12,4.3337066e-05
SSBP2,0.1617803
AC026726.1,0.0018201564
ATG10,0.110595904
ATG10-AS1,0.0
RPS23,22.233776
ATP6AP1L,0.048493817
AC026782.1,0.0
AC026782.2,4.3337066e-05
AC008885.2,4.3337066e-05
LINC01338,4.3337066e-05
AC108174.1,0.00047670782
AC027338.2,0.0002600224
AC027338.1,0.0003466966
AC104118.1,0.005113776
TMEM167A,0.8562827
XRCC4,0.13443339
VCAN,0.021538572
VCAN-AS1,4.3337066e-05
HAPLN1,0.00065005606
EDIL3,0.008104025
AC113383.1,0.0003466966
AC114928.1,8.667413e-05
AC117522.2,4.3337066e-05
AC010486.1,0.0
AC010486.2,0.0
AC010486.3,4.3337066e-05
AC010595.1,0.004420382
AC026414.1,0.00017334826
AC016550.1,0.0
AC016550.2,0.0
AC016550.3,0.0
COX7C,6.5465674
LINC02059,0.0
AC008539.1,8.667413e-05
AC109492.1,0.0001300112
LINC01949,0.00047670782
RASA1,0.111289665
CCNH,0.13807365
AC018754.1,8.667413e-05
LINC02144,0.0
TMEM161B,0.12000119
TMEM161B-AS1,0.15601665
LINC02060,0.0
AC091826.2,0.0
LINC00461,0.00043337073
MEF2C-AS2,0.0
AC008525.1,0.0
MEF2C,0.006457221
MEF2C-AS1,4.3337066e-05
AC074131.1,0.0
LINC02161,0.0
AC008448.1,0.0001300112
AC113167.1,0.0
AC099554.1,0.0003033595
CETN3,0.15662275
MBLAC2,0.031679343
POLR3G,0.02574226
LYSMD3,0.10851595
ADGRV1,0.03969656
AC093281.1,0.0
AC093281.2,0.0
AC123595.1,0.00069339323
LUCAT1,0.0031202678
AC123595.2,0.0
AC008799.2,0.0
ARRDC3,0.36682075
ARRDC3-AS1,0.008190698
AC114316.2,0.0016468085
AC114316.1,0.0
AC124854.1,0.0
AC026780.1,0.0
AC026780.2,0.0
AC008517.1,0.0
LINC02058,0.0
AC012625.1,4.3337066e-05
NR2F1-AS1,0.035839655
NR2F1,0.18769626
FAM172A,0.16186735
POU5F2,0.03401949
AC108102.1,0.00017334826
KIAA0825,0.012091021
SLF1,0.079739265
MCTP1,0.009620819
AC008534.1,0.0
AC012312.1,0.0
FAM81B,0.013521159
TTC37,0.45410872
ARSK,0.07774577
GPR150,0.00039003367
RFESD,0.012351044
SPATA9,0.0002600224
AC008840.1,4.3337066e-05
RHOBTB3,0.11597009
GLRX,0.038526494
AC008592.4,0.0
AC008592.5,0.0
LINC01554,0.00047670782
ELL2,0.021841934
AC104123.1,4.3337066e-05
AC008592.2,8.667413e-05
MIR583HG,0.0001300112
AC099509.1,0.0
AC099509.2,0.0
PCSK1,0.0017334827
CAST,1.2939403
AC020900.1,0.0001300112
ERAP1,0.10704243
AC008906.1,0.0059371814
AC008906.2,0.00095341564
AC009126.1,0.02340208
ERAP2,0.19003685
LNPEP,0.48890737
LIX1-AS1,0.0030769296
LIX1,0.2153871
RIOK2,0.16035059
AC008883.2,4.3337066e-05
LINC01340,0.0006500562
LINC02234,0.0002600224
RGMB,0.072285384
RGMB-AS1,0.016771467
AC008522.1,0.0042470335
CHD1,0.40079966
LINC02062,0.011484298
LINC02113,4.3337066e-05
AC113385.1,0.0
AC021086.1,0.004420382
FAM174A,0.15787943
AC027315.1,0.0
ST8SIA4,0.057681285
AC008948.1,0.0
SLCO4C1,0.008667403
SLCO6A1,0.0035536385
AC094108.1,0.0
LINC00492,4.3337066e-05
AC099487.1,0.0023835374
LINC00491,0.018418288
PAM,0.4322207
GIN1,0.06743172
PPIP5K2,0.30987448
AC011362.1,0.0
C5orf30,0.1326996
AC010406.1,0.0
LINC02115,0.0001300112
NUDT12,0.074885614
LINC02163,0.0014301236
AC099520.1,8.667413e-05
AC099520.2,0.0
AC091987.1,0.0001300112
LINC01950,4.3337066e-05
EFNA5,0.12767212
AC024587.2,4.3337066e-05
FBXL17,0.07432219
LINC01023,0.051614147
FER,0.08645641
AC008871.1,0.0
AC008467.1,0.010487552
PJA2,0.3664317
AC091917.3,4.3337066e-05
AC091917.2,0.0
AC012603.1,0.00039003367
MAN2A1,0.08576304
LINC01848,0.0
TMEM232,0.0061538657
SLC25A46,0.13573356
AC010395.1,0.0
TSLP,0.0008234044
AC008572.1,0.0
WDR36,0.20195653
CAMK4,0.025395537
AC010468.2,0.0
AC010275.1,0.0015601345
STARD4,0.07692248
STARD4-AS1,0.032112684
NREP,0.3957679
NREP-AS1,0.0
EPB41L4A,0.12364159
EPB41L4A-AS1,0.63500273
AC010261.1,0.0002600224
AC010261.2,0.00021668535
AC104126.1,0.0043337075
EPB41L4A-DT,0.010530888
LINC02200,0.0
APC,0.27593815
SRP19,0.70179623
REEP5,1.0451492
DCP2,0.4790708
MCC,0.032719426
AC079465.1,0.00021668535
TSSK1B,8.667413e-05
YTHDC2,0.18986435
AC106789.1,0.0
KCNN2,0.0013001123
AC010230.1,0.0
TRIM36,0.023748785
AC008494.2,0.0
PGGT1B,0.16503066
AC008494.3,0.0024702111
CCDC112,0.32170534
FEM1C,0.15302595
TMED7-TICAM2,0.00039003367
TICAM2,0.00069339323
AC010226.1,0.0071506132
TMED7,0.38337678
AC008549.2,0.0020368414
AC008549.1,0.0
CDO1,0.0029902565
ATG12,0.53238285
AP3S1,0.5546562
LVRN,0.0027302331
ARL14EPL,0.004550393
AC034236.3,0.0010834269
AC034236.2,0.028515782
COMMD10,0.24824369
AC018752.1,0.0
SEMA6A,0.07124583
SEMA6A-AS1,0.0042470326
SEMA6A-AS2,0.0
LINC02214,0.0
AC010267.1,0.0
AC093534.2,0.0
LINC00992,0.019848388
LINC02147,0.0
LINC02148,0.0001300112
LINC02208,0.006673907
LINC02216,0.0
LINC02215,4.3337066e-05
AC093206.1,0.00039003367
DTWD2,0.053087413
AC008629.1,0.0012567751
DMXL1,0.13777055
TNFAIP8,0.17933063
HSD17B4,0.31459713
FAM170A,0.00021668535
AC008574.1,0.0
AC113418.1,4.3337066e-05
PRR16,0.004853752
AC114284.1,0.0016034715
AC008568.1,4.3337066e-05
FTMT,4.3337066e-05
SRFBP1,0.38866484
LOX,0.074149154
AC010255.1,0.0007367303
ZNF474,0.0012134381
AC010255.3,0.00021668535
AC010255.2,0.0
AC113349.2,0.0002600224
SNCAIP,0.00953414
AC113349.1,0.0001300112
AC119150.1,0.00060671906
AC022101.1,0.0027302334
LINC02201,0.0001300112
SNX2,0.69863
SNX24,0.1808932
PPIC,0.5493632
AC106786.2,0.00017334826
AC106786.1,0.0
PRDM6,0.0026868966
CEP120,0.06266475
CSNK1G3,0.29825848
LINC01170,0.0017768194
AC025465.2,0.0
AC025465.4,4.3337066e-05
AC025465.1,4.3337066e-05
ZNF608,0.284909
AC112196.1,0.0
LINC02240,0.0003466966
AC109464.1,0.0
AC109464.2,0.0
AC109471.1,0.0
AC010235.1,0.0
GRAMD2B,0.22930366
AC093535.1,0.0003466966
ALDH7A1,1.1288248
PHAX,0.7203874
TEX43,0.0003466966
LMNB1-DT,0.00043337073
LMNB1,1.0534701
MARCH3,0.020195113
C5orf63,0.07219873
AC011416.3,0.01339114
MEGF10,0.0012567751
AC010424.2,0.0
PRRC1,0.27680582
AC010424.3,0.0
CTXN3,0.0
CCDC192,0.00368365
AC068658.1,0.0
LINC01184,0.16277722
SLC12A2,0.30389008
FBN2,0.07458259
SLC27A6,0.024962194
ISOC1,0.28811568
ADAMTS19-AS1,4.3337066e-05
ADAMTS19,0.0040303464
AC008591.1,0.0
KIAA1024L,0.00069339323
CHSY3,0.00060671906
HINT1,7.0357237
LYRM7,0.19424108
CDC42SE2,0.2677032
RAPGEF6,0.06561158
FNIP1,0.3020292
MEIKIN,4.3337066e-05
AC026398.1,0.0
AC034228.3,0.0
ACSL6,0.0013001123
AC034228.1,0.0
IL3,0.0
CSF2,0.00021668535
AC063976.1,0.0
P4HA2-AS1,8.667413e-05
P4HA2,0.18873687
PDLIM4,0.63026077
SLC22A4,0.013347806
SLC22A5,0.063834816
AC116366.3,0.02023847
AC116366.2,0.0002600224
AC116366.1,0.024355467
IRF1,1.5828277
IL5,0.0003466966
RAD50,0.07458221
TH2LCRR,0.00017334826
IL13,0.00017334826
IL4,8.667413e-05
AC004039.1,0.00021668535
KIF3A,0.24321628
CCNI2,0.006197204
SEPT8,0.12398874
SOWAHA,0.0110942675
AC004775.1,0.0012567751
SHROOM1,0.07081203
GDF9,0.0058071716
UQCRQ,3.7850158
LEAP2,0.04910048
AFF4,0.7804009
AC010240.3,0.0018201567
ZCCHC10,0.2667938
HSPA4,1.0825819
AC113410.2,0.0
AC010307.2,4.3337066e-05
FSTL4,0.0068905894
AC010307.3,8.667413e-05
AC010307.4,0.0
AC010608.1,0.0
WSPAR,0.0
C5orf15,0.34255183
VDAC1,2.3124466
AC008608.2,0.042773455
TCF7,0.11501698
SKP1,4.995743
AC104109.3,0.00021668535
PPP2CA,0.8370821
AC104109.2,0.0036403134
CDKL3,0.038743123
UBE2B,1.1432123
AC109454.2,0.010747571
CDKN2AIPNL,0.31771848
AC109454.3,0.0020801786
AC005355.1,8.667413e-05
LINC01843,0.0022535264
JADE2,0.13382618
SAR1B,0.54758996
SEC24A,0.15432656
CAMLG,0.960041
DDX46,1.4935348
C5orf24,0.5430008
TXNDC15,0.19112109
PCBD2,0.32850862
CATSPER3,0.007844003
PITX1,0.12355494
C5orf66,0.004203696
AC008406.3,0.00017334826
C5orf66-AS1,0.0013867865
AC008406.2,4.3337066e-05
C5orf66-AS2,0.0
H2AFY,2.2728305
AC026691.1,0.0037269874
DCANP1,0.0
TIFAB,4.3337066e-05
AC022092.1,0.000563382
NEUROG1,4.3337066e-05
AC034206.1,4.3337066e-05
CXCL14,0.025958907
SLC25A48,0.0025135486
IL9,0.0
AC002428.2,0.0
AC002428.1,0.0
LECT2,4.3337066e-05
TGFBI,0.028559102
SMAD5-AS1,0.0026435594
SMAD5,0.4545436
SMIM32,8.667413e-05
TRPC7,8.667413e-05
TRPC7-AS1,4.3337066e-05
TRPC7-AS2,0.0
AC063980.1,0.0
AC112178.1,0.000606719
AC109439.2,0.0
SPOCK1,0.01096427
KLHL3,0.031505976
HNRNPA0,1.9623636
AC106791.2,0.00021668535
AC106791.1,0.030075891
MYOT,0.0001300112
PKD2L2,0.00507044
FAM13B,0.25257808
AC113382.1,0.001170101
AC113382.2,0.00039003367
WNT8A,4.3337066e-05
NME5,0.058937896
BRD8,0.73351836
KIF20A,0.6289349
CDC23,0.24191707
GFRA3,0.0067172446
CDC25C,0.23008326
FAM53C,0.43169954
AC104116.1,0.00039003367
KDM3B,0.41215527
REEP2,0.034322843
EGR1,3.0724378
ETF1,0.8430986
HSPA9,2.1361535
CTNNA1,2.0020761
AC034243.1,0.00663057
LRRTM2,0.005460474
SIL1,0.3119972
AC011405.1,0.00368365
MATR3,0.0053737992
SNHG4,0.01655478
MATR3-1,0.10673919
PAIP2,1.0736909
AC135457.1,0.00052004494
SLC23A1,0.004420382
MZB1,0.007887338
PROB1,0.007930676
SPATA24,0.038483113
DNAJC18,0.06474488
AC142391.1,0.0
ECSCR,0.001170101
SMIM33,0.0034669645
TMEM173,0.20641892
UBE2D2,2.0668883
AC113361.1,0.00507044
CXXC5,2.1507022
CXXC5-AS1,0.00069339323
AC008667.1,0.000563382
PSD2-AS1,0.0
AC008667.3,0.0001300112
AC008667.4,0.0018201564
PSD2,0.0048537524
NRG2,0.020628484
AC008667.2,0.0
MALINC1,0.013217794
PURA,0.52093726
IGIP,0.024615508
CYSTM1,1.3226492
PFDN1,0.78053266
HBEGF,0.06279493
AC008438.2,0.0
SLC4A9,0.00052004494
AC008438.1,0.0007367303
ANKHD1,0.0882764
ANKHD1-EIF4EBP3,0.0062405393
SRA1,0.5817457
EIF4EBP3,0.0034669642
APBB3,0.033456128
SLC35A4,0.26757428
CD14,0.0075406455
NDUFA2,2.2988353
TMCO6,0.032372706
IK,1.5302814
WDR55,0.26063874
DND1,0.009187444
HARS,0.3649581
HARS2,0.10032458
ZMAT2,0.986476
PCDHA1,0.00017334826
AC005609.5,0.000563382
PCDHA2,0.00017334826
PCDHA3,0.00086674147
PCDHA4,0.006413887
PCDHA5,0.005070439
PCDHA6,0.012827756
PCDHA7,0.0041603586
PCDHA8,0.00052004494
PCDHA9,0.010877583
AC005609.2,4.3337066e-05
PCDHA10,0.04983725
AC005609.4,0.0007367303
PCDHA11,0.0017334823
PCDHA12,0.042643473
AC005609.3,0.00060671906
AC005609.1,0.0003033595
PCDHA13,0.0052004503
PCDHAC1,0.0072806226
AC010223.1,4.3337066e-05
PCDHAC2,0.0009100786
AC244517.5,0.0008234044
PCDHB1,0.0029469186
AC244517.9,0.0
PCDHB2,0.08732329
AC244517.2,0.0009100786
PCDHB3,0.031332627
AC244517.1,0.014431246
PCDHB4,0.017291518
PCDHB5,0.027519025
AC244517.11,0.00052004494
PCDHB6,0.009620811
AC244517.12,0.0008234044
PCDHB7,0.008667401
PCDHB8,0.0026435594
PCDHB16,0.023748787
AC244517.6,8.667413e-05
AC244517.4,8.667413e-05
PCDHB9,0.021711921
AC244517.7,8.667413e-05
PCDHB10,0.012221033
PCDHB11,0.021061867
PCDHB12,0.008797415
PCDHB13,0.014691267
PCDHB14,0.026522301
PCDHB15,0.0051571135
TAF7,1.2556525
SLC25A2,0.00060671906
AC005618.1,0.008060687
PCDHGA1,0.005763834
PCDHGA2,0.005157114
PCDHGA3,0.0020368416
PCDHGB1,0.0036403127
AC005618.3,0.0
PCDHGA4,0.0025568851
PCDHGB2,0.0022101896
PCDHGA5,0.020931866
PCDHGB3,0.0021668524
PCDHGA6,0.023965456
PCDHGA7,0.013521154
PCDHGB4,0.0029902554
PCDHGA8,0.02223198
PCDHGB5,0.0058071716
PCDHGA9,0.009144108
PCDHGB6,0.017464863
PCDHGA10,0.0773991
PCDHGB7,0.011874333
PCDHGA11,0.004983765
AC005618.2,0.0
PCDHGA12,0.008624066
PCDHGC3,0.0063272123
PCDHGC4,0.00043337073
PCDHGC5,0.00047670782
DIAPH1,0.91874504
AC008781.2,0.0009967528
AC008781.1,0.0022101894
HDAC3,0.33297446
RELL2,0.008234032
FCHSD1,0.04077994
ARAP3,0.02721568
AC005753.1,0.0026435591
PCDH1,0.23246622
DELE1,0.18084998
PCDH12,0.0007367303
AC005740.4,0.0013867865
RNF14,0.16602789
AC005740.3,0.0
GNPDA1,0.36552098
NDFIP1,1.1283045
SPRY4,0.068211965
SPRY4-AS1,0.0028169071
FGF1,0.0026002226
AC005592.1,0.0001300112
LINC01844,0.0004333707
ARHGAP26,0.4027838
ARHGAP26-AS1,0.021321887
NR3C1,0.31312257
AC016598.1,0.0
AC016598.2,0.0
HMHB1,0.0026868964
YIPF5,0.5805316
