,Cycling.cancer.cell.1
C1orf167,0.015904715
AL953897.1,0.0001300112
MTHFR,0.23749475
CLCN6,0.08480959
NPPA-AS1,0.004897091
NPPA,0.0001300112
NPPB,0.00021668535
KIAA2013,0.5064211
PLOD1,0.18648364
MFN2,0.23082127
MIIP,0.25509238
TNFRSF8,0.0026435594
TNFRSF1B,0.037529778
VPS13D,0.19809972
AC243836.1,0.00017334826
DHRS3,0.40287468
AC254633.1,0.0068472535
AADACL4,0.0001300112
AADACL3,0.00039003367
C1orf158,0.001126764
PRAMEF12,0.0
PRAMEF1,0.0002600224
PRAMEF11,0.0
HNRNPCL1,8.667413e-05
PRAMEF4,0.0
PRAMEF6,8.667413e-05
PRAMEF27,0.0
HNRNPCL3,0.0003466966
HNRNPCL2,4.3337066e-05
HNRNPCL4,4.3337066e-05
PRAMEF9,4.3337066e-05
PRAMEF13,8.667413e-05
PRAMEF18,0.0003033595
PRAMEF5,4.3337066e-05
PRAMEF8,0.0
PRAMEF15,0.0
AC243961.1,0.0
PRAMEF14,4.3337066e-05
PRAMEF19,0.0
PRAMEF17,0.0
LRRC38,0.0003033595
AL354712.1,4.3337066e-05
PDPN,0.034496218
AL359771.1,0.0
PRDM2,0.40760458
KAZN,0.5279555
AL357873.1,0.0
KAZN-AS1,0.00021668535
TMEM51-AS1,0.007583982
TMEM51,0.072112136
C1orf195,0.0
FHAD1,0.04606707
AL031283.2,0.0013867865
AL031283.3,0.0003033595
AL031283.1,0.0025568851
EFHD2,0.4062162
CTRC,0.0013434493
CELA2A,0.0003033595
CELA2B,0.0
CASP9,0.074192174
DNAJC16,0.18609427
AL121992.3,0.0012567751
AGMAT,0.039219867
AL121992.1,0.020585163
DDI2,0.3267325
AL121992.2,0.00021668535
PLEKHM2,0.26037964
AL450998.3,8.667413e-05
SLC25A34,0.0068039172
SLC25A34-AS1,0.0002600224
TMEM82,0.00043337073
FBLIM1,0.22670297
UQCRHL,0.1100759
AL450998.2,0.20832801
SPEN,0.85764366
ZBTB17,0.1093394
SRARP,0.00039003367
HSPB7,0.00047670782
CLCNKA,0.00489709
CLCNKB,0.008104024
FAM131C,0.01833162
EPHA2,0.21643054
AL451042.2,0.005113776
AL451042.1,0.0024702111
ARHGEF19-AS1,0.0
ARHGEF19,0.095080495
CPLANE2,0.011830995
FBXO42,0.14799881
SZRD1,0.5984317
SPATA21,0.0026435591
NECAP2,0.31013316
LINC01772,0.012741084
AL137802.2,0.04182003
AL137802.1,0.0002600224
LINC01783,0.00043337073
NBPF1,0.0883632
AL137798.1,0.00021668535
AL137798.2,0.0
AL021920.1,0.0
AL021920.3,0.0
CROCC,0.08446287
BX284668.1,0.0
BX284668.2,0.0002600224
BX284668.5,0.07423563
BX284668.6,0.013607828
MFAP2,0.47810996
AL049569.1,0.0
ATP13A2,0.1488224
SDHB,0.8654525
PADI2,0.019285023
AL590644.1,0.0003466966
AL590644.3,0.00021668535
PADI1,0.0019935046
PADI3,0.013911193
PADI4,8.667413e-05
PADI6,0.0
AC004824.1,8.667413e-05
RCC2,0.7564855
ARHGEF10L,0.030119192
AL136529.1,0.0
ACTL8,0.019068332
AL357509.1,0.0
IGSF21,4.3337066e-05
IGSF21-AS1,0.0
AL591896.1,0.0
KLHDC7A,0.0023402006
PAX7,4.3337066e-05
AL080251.1,0.0
ALDH4A1,0.06171145
IFFO2,0.0154280085
UBR4,0.46199682
AL035413.1,0.03631628
EMC1,0.2470738
MRTO4,0.75332195
AKR7A3,0.008710739
AKR7A2,0.49467406
PQLC2,0.065221615
CAPZB,1.3808582
AL031727.2,4.3337066e-05
MINOS1,1.3401568
NBL1,0.20494659
MINOS1-NBL1,0.0
HTR6,0.0
TMCO4,0.13543016
RNF186,0.00021668535
AL391883.1,8.667413e-05
OTUD3,0.10769278
PLA2G2E,0.0
PLA2G2A,0.0052437885
PLA2G5,0.0019068306
PLA2G2D,0.00017334826
PLA2G2F,0.0003033595
Z98257.1,0.0053304625
PLA2G2C,0.001126764
UBXN10-AS1,0.040953357
UBXN10,0.06565494
LINC01757,0.0
Z98257.2,0.0
VWA5B1,0.0007367303
AL020998.1,0.0
LINC01141,0.0
AL139254.1,0.0
AL139254.2,0.0
AL139254.3,0.0
CAMK2N1,0.15120472
MUL1,0.15961432
FAM43B,0.0013001123
CDA,0.017594874
PINK1,0.2556554
PINK1-AS,0.010920916
DDOST,1.4330256
KIF17,0.004073684
SH2D5,0.0016468085
AL663074.1,0.0
HP1BP3,2.6435149
EIF4G3,0.4253286
ECE1,0.21586902
AL031005.1,0.0003033595
AL031728.1,0.00039003367
AL592309.2,0.0
NBPF3,0.01971841
ALPL,0.3344853
AL359815.1,0.0001300112
RAP1GAP,0.11519026
USP48,0.6619651
LDLRAD2,0.0037703249
HSPG2,0.47365054
CELA3B,0.00017334826
CELA3A,8.667413e-05
LINC01635,0.0010834269
CDC42,2.5762944
AL031281.2,0.0016034715
WNT4,0.008624067
ZBTB40,0.105959
EPHA8,0.0003033595
C1QA,0.0016034715
C1QC,0.001126764
C1QB,0.0017768194
EPHB2,0.25907758
AL512444.1,0.0
LACTBL1,0.0
TEX46,0.0006933932
KDM1A,0.76666534
AL031428.1,4.3337066e-05
LUZP1,0.2959597
HTR1D,0.00021668535
LINC01355,0.08467963
AL109936.6,0.0017334823
HNRNPR,2.7474418
ZNF436,0.05066063
ZNF436-AS1,0.088666536
AL109936.2,0.0028169074
TCEA3,0.31086728
ASAP3,0.04693371
E2F2,0.028732436
AL021154.1,0.001170101
ID3,0.21430397
MDS2,0.00056338194
RPL11,25.619352
ELOA,0.31871486
ELOA-AS1,0.056510992
PITHD1,0.51894563
LYPLA2,0.43256715
GALE,0.32074997
HMGCL,0.31546417
FUCA1,0.24690081
CNR2,0.0006500562
AL590609.3,0.0
PNRC2,0.9982381
SRSF10,1.4567378
AL591178.1,0.0001300112
MYOM3,0.0025568858
AL591178.2,4.3337066e-05
IL22RA1,0.005113777
IFNLR1,0.029729178
AL590683.1,0.0019935044
AL138902.1,4.3337066e-05
GRHL3,0.011007598
STPG1,0.0755356
NIPAL3,0.24009605
RCAN3,0.24399637
AL445686.2,0.018634975
NCMAP,0.01568803
SRRM1,2.068782
AL445648.1,0.0
CLIC4,0.49103177
RUNX3,0.04437696
AL445471.1,0.0
AL445471.2,0.00017334826
AL050344.1,8.667413e-05
AL031432.1,0.001170101
SYF2,1.3428221
AL031432.5,0.0012134381
RSRP1,1.0291871
AL031432.3,0.0063705505
RHD,0.0025568851
TMEM50A,1.2699574
RHCE,0.008104023
MACO1,0.25985926
LDLRAP1,0.07111531
AL606491.1,0.0027735704
MAN1C1,0.0065005613
AL031280.1,0.0013001123
SELENON,0.18414359
AL020996.1,0.014344564
MTFR1L,0.17434932
AUNIP,0.05720441
AL033528.2,0.000563382
PAQR7,0.049317215
STMN1,5.8061595
PAFAH2,0.085589625
EXTL1,0.0018634934
SLC30A2,0.054994404
TRIM63,0.0014301236
PDIK1L,0.10478883
FAM110D,0.0020801784
C1orf232,0.00086674147
AL391650.1,0.0017334827
ZNF593,0.8370836
CNKSR1,0.14721866
CATSPER4,0.0013867865
CEP85,0.06790845
SH3BGRL3,1.4378059
UBXN11,0.20538045
CD52,0.040910058
CRYBG2,0.05577436
ZNF683,0.00017334826
LIN28A,0.0022535266
DHDDS,0.16858512
AL513365.2,0.0001300112
HMGN2,10.197113
RPS6KA1,0.07713907
AL512408.1,0.004983765
ARID1A,0.7966948
PIGV,0.065741576
ZDHHC18,0.07635902
SFN,0.3587112
AL034380.1,8.667413e-05
GPN2,0.16706838
GPATCH3,0.06123466
NUDC,1.7050879
NR0B2,0.0001300112
KDF1,0.13911399
TRNP1,0.13282971
TENT5B,0.051310826
SLC9A1,0.072632074
AL590640.1,0.0
WDTC1,0.12658888
TMEM222,0.2510619
SYTL1,0.113066606
MAP3K6,0.05577431
FCN3,0.0009100786
CD164L2,0.01885165
GPR3,0.005547147
WASF2,1.44209
FO393419.2,8.667413e-05
BX293535.1,0.00078006735
AHDC1,0.38654062
FGR,0.0003466966
LINC02574,0.0018634934
IFI6,2.9575536
AL445490.1,0.0001300112
FAM76A,0.15311264
STX12,0.18375416
PPP1R8,0.2086748
THEMIS2,0.13620912
RPA2,0.32218143
SMPDL3B,0.25188416
AL512288.1,0.00060671906
XKR8,0.04671707
EYA3,0.15870358
PTAFR,0.030942643
DNAJC8,1.1905491
ATP5IF1,3.418588
AL353622.1,0.032502726
AL353622.2,0.00047670782
SESN2,0.10080152
MED18,0.072458714
PHACTR4,0.9137866
RCC1,0.33934292
TRNAU1AP,0.28183225
SNHG12,0.25331333
TAF12,0.35698292
RAB42,0.05690123
LINC01715,0.0019068304
AL360012.1,0.04078004
GMEB1,0.14362137
YTHDF2,1.0940484
OPRD1,0.0006933932
AL009181.1,0.00052004494
EPB41,0.25257742
TMEM200B,0.006543898
AL357500.1,4.3337066e-05
SRSF4,1.0561777
MECR,0.20551108
AL590729.1,0.0
PTPRU,0.074582376
LINC01756,8.667413e-05
AC092265.1,0.0
AL645944.2,0.0
LINC01648,4.3337066e-05
AL137076.1,0.0
MATN1,0.0022968634
MATN1-AS1,0.015731368
LAPTM5,0.0037269874
AL137027.1,0.0
LINC01778,0.0012567751
AL445235.1,0.0
SDC3,0.16676478
PUM1,1.2147791
NKAIN1,0.0023402004
SNRNP40,0.49125025
ZCCHC17,0.6959425
AL451070.1,0.00021668535
FABP3,0.085806586
SERINC2,0.28061345
AC114488.1,0.0
TINAGL1,0.15055549
HCRTR1,0.0001300112
PEF1,0.45627517
AC114488.2,0.00039003367
AC114488.3,0.00060671906
COL16A1,0.030595921
ADGRB2,0.01612141
AL354919.2,4.3337066e-05
SPOCD1,0.0022968634
AL354919.1,0.0010834269
AL136115.2,0.005633822
PTP4A2,2.4894824
AL136115.1,0.00017334826
AL136115.3,0.0
KHDRBS1,2.1525736
AL445248.1,0.0051571135
TMEM39B,0.10565562
KPNA6,0.71015954
TXLNA,0.43209037
CCDC28B,0.07861258
AL049795.1,0.0058938456
IQCC,0.04242675
DCDC2B,0.0012567751
TMEM234,0.149082
EIF3I,1.7061433
FAM167B,0.0045070555
LCK,0.0029035818
HDAC1,0.85760367
MARCKSL1,3.7571034
AL109945.1,0.0
TSSK3,0.007844002
FAM229A,0.060151286
BSDC1,0.3880579
AL033529.1,0.0
ZBTB8B,0.011224277
ZBTB8A,0.10262174
ZBTB8OS,0.58105135
RBBP4,0.8712442
SYNC,0.17660207
AC114489.1,0.00086674147
KIAA1522,0.5920588
YARS,0.39017916
S100PBP,0.17356896
FNDC5,0.0054604737
HPCA,0.00966415
TMEM54,0.37340498
RNF19B,0.14921182
AL020995.1,0.00047670782
AK2,0.8888445
AZIN2,0.013304469
TRIM62,0.029512499
AL662907.3,0.0032502788
ZNF362,0.13872425
AL513327.3,0.0015601345
A3GALT2,0.0
AL513327.1,0.004897091
PHC2,0.37379915
AL513327.2,0.00086674147
ZSCAN20,0.021235216
CSMD2,0.0070639392
HMGB4,0.0
CSMD2-AS1,8.667413e-05
C1orf94,0.00021668535
SMIM12,0.42511502
GJB5,0.0034669645
GJB4,0.0025135495
AL121988.1,0.0
GJB3,0.069945395
GJA4,0.016814783
AL122010.1,8.667413e-05
DLGAP3,0.021148553
AC114490.3,0.021581916
AC114490.2,0.0019501674
TMEM35B,0.00078006735
ZMYM6,0.090486586
ZMYM1,0.20901982
AL590434.1,0.0031202678
SFPQ,4.3887496
ZMYM4,0.49107894
ZMYM4-AS1,0.0007367303
KIAA0319L,0.30510592
NCDN,0.10669572
AC004865.2,0.0022968638
TFAP2E,0.0027735704
PSMB2,2.624697
C1orf216,0.064441524
CLSPN,0.12182107
AL354864.1,0.00017334826
AGO4,0.09113674
AGO1,0.27541852
AL139286.2,0.0037269874
AGO3,0.5083708
AL138787.2,0.00034669653
TEKT2,0.038613163
ADPRHL2,0.4635568
COL8A2,0.027605696
TRAPPC3,1.0925865
MAP7D1,0.4194348
THRAP3,1.7789785
SH3D21,0.023705432
EVA1B,0.3289365
AL591845.1,0.022622013
STK40,0.19029821
LSM10,0.46420524
OSCP1,0.09911112
MRPS15,1.6274556
CSF3R,0.0034236286
AL596257.1,0.0001300112
AC117945.2,0.0
AC117945.1,0.0
GRIK3,0.020281782
AL031430.1,0.0
AL353604.1,0.0
LINC01137,0.019631734
ZC3H12A,0.19588725
MEAF6,0.8594363
SNIP1,0.22913124
DNALI1,0.41483855
GNL2,0.59405494
RSPO1,0.06270848
C1orf109,0.24950059
CDCA8,0.72561777
EPHA10,0.0028169071
