,Fibroblast
FBXO6,0.088775754
MAD2L2,0.25764266
DRAXIN,0.01013952
AGTRAP,0.6865594
C1orf167,0.028182847
AL953897.1,8.157245e-06
MTHFR,0.15397744
CLCN6,0.07190835
NPPA-AS1,0.0030915965
NPPA,0.0002039311
NPPB,0.018818801
KIAA2013,0.2940681
PLOD1,0.67021346
MFN2,0.13881443
MIIP,0.23691776
TNFRSF8,0.1012478
TNFRSF1B,0.08318944
VPS13D,0.24441308
AC243836.1,4.894347e-05
DHRS3,0.7699279
AC254633.1,0.012668329
AADACL4,0.0006281077
AADACL3,2.4471736e-05
C1orf158,0.0007994102
PRAMEF12,8.157245e-06
PRAMEF1,0.0
PRAMEF11,8.157245e-06
HNRNPCL1,8.1572456e-05
PRAMEF4,0.0
PRAMEF6,8.157245e-06
PRAMEF27,0.0
HNRNPCL3,8.157245e-06
HNRNPCL2,3.262898e-05
HNRNPCL4,0.0
PRAMEF9,0.0
PRAMEF13,0.0
PRAMEF18,0.0
PRAMEF5,0.0
PRAMEF8,8.157245e-06
PRAMEF15,0.0
AC243961.1,0.0
PRAMEF14,0.0
PRAMEF19,0.0
PRAMEF17,8.157245e-06
LRRC38,0.0007749387
AL354712.1,0.0
PDPN,1.9700897
AL359771.1,8.157245e-06
PRDM2,0.54752356
KAZN,0.22322485
AL357873.1,0.0002447173
KAZN-AS1,8.157245e-06
TMEM51-AS1,0.0054979636
TMEM51,0.11070802
C1orf195,5.7100715e-05
FHAD1,0.032970782
AL031283.2,0.0006199505
AL031283.3,0.00027734626
AL031283.1,0.0006281077
EFHD2,0.2883441
CTRC,0.00057100697
CELA2A,0.00017945938
CELA2B,0.00030181799
CASP9,0.046942182
DNAJC16,0.17101502
AL121992.3,0.0002610318
AGMAT,0.012692811
AL121992.1,0.0022921928
DDI2,0.17214887
AL121992.2,0.00010604419
PLEKHM2,0.361594
AL450998.3,0.0002610318
SLC25A34,0.009454315
SLC25A34-AS1,0.0015825084
TMEM82,8.1572456e-05
FBLIM1,0.7704619
UQCRHL,0.032848082
AL450998.2,0.08268289
SPEN,0.5072323
ZBTB17,0.12251795
SRARP,0.00017130212
HSPB7,0.18225893
CLCNKA,0.002357451
CLCNKB,0.0041357093
FAM131C,0.0044375234
EPHA2,0.13059358
AL451042.2,0.0013541054
AL451042.1,0.00076678133
ARHGEF19-AS1,8.157245e-06
ARHGEF19,0.12896958
CPLANE2,0.019324806
FBXO42,0.16494693
SZRD1,0.5912413
SPATA21,0.0023737655
NECAP2,0.37628317
LINC01772,0.010115065
AL137802.2,0.004094924
AL137802.1,0.0002284028
LINC01783,0.00039154766
NBPF1,0.112118825
AL137798.1,0.00036707593
AL137798.2,0.0
AL021920.1,1.631449e-05
AL021920.3,0.0
CROCC,0.13992341
BX284668.1,1.631449e-05
BX284668.2,0.00038339043
BX284668.5,0.08077435
BX284668.6,0.0038746814
MFAP2,1.5316477
AL049569.1,0.00015498763
ATP13A2,0.11576505
SDHB,0.41011602
PADI2,0.0009788706
AL590644.1,0.0016477673
AL590644.3,9.788694e-05
PADI1,0.000905455
PADI3,8.1572456e-05
PADI4,0.000668894
PADI6,0.0
AC004824.1,8.157245e-06
RCC2,0.2728947
ARHGEF10L,0.06811585
AL136529.1,8.157245e-06
ACTL8,0.0002039311
AL357509.1,0.0
IGSF21,0.0002855035
IGSF21-AS1,0.0
AL591896.1,8.157245e-06
KLHDC7A,4.894347e-05
PAX7,0.0
AL080251.1,8.157245e-06
ALDH4A1,0.02039343
IFFO2,0.033720866
UBR4,0.37771037
AL035413.1,0.02725288
EMC1,0.220352
MRTO4,0.36213273
AKR7A3,0.0037360098
AKR7A2,1.0850334
PQLC2,0.08724218
CAPZB,2.6690001
AL031727.2,2.4471736e-05
MINOS1,1.1430573
NBL1,4.998938
MINOS1-NBL1,0.0
HTR6,8.97297e-05
TMCO4,0.107494295
RNF186,8.1572456e-05
AL391883.1,7.341521e-05
OTUD3,0.056639966
PLA2G2E,0.0
PLA2G2A,5.11003
PLA2G5,0.012562278
PLA2G2D,0.0001468304
PLA2G2F,2.4471736e-05
Z98257.1,0.00017945937
PLA2G2C,0.00031813246
UBXN10-AS1,0.009331951
UBXN10,0.012439919
LINC01757,0.0
Z98257.2,0.0
VWA5B1,4.894347e-05
AL020998.1,0.0
LINC01141,0.00013051591
AL139254.1,0.0
AL139254.2,0.0
AL139254.3,0.0
CAMK2N1,0.30176416
MUL1,0.14405848
FAM43B,0.007961498
CDA,0.009323762
PINK1,0.3159677
PINK1-AS,0.00848358
DDOST,1.6049651
KIF17,0.0029284542
SH2D5,0.0025042817
AL663074.1,5.7100715e-05
HP1BP3,1.7801083
EIF4G3,0.7213829
ECE1,0.26064497
AL031005.1,0.00017945937
AL031728.1,0.0006362649
AL592309.2,0.0
NBPF3,0.01806856
ALPL,0.109249905
AL359815.1,9.788694e-05
RAP1GAP,0.01048214
USP48,0.57298726
LDLRAD2,0.019332968
HSPG2,0.9042017
CELA3B,8.157245e-06
CELA3A,8.157245e-06
LINC01635,0.0009543988
CDC42,3.0917988
AL031281.2,0.0009707134
WNT4,0.4237491
ZBTB40,0.096466854
EPHA8,0.0002039311
C1QA,0.034855712
C1QC,0.02111916
C1QB,0.037645467
EPHB2,0.16028233
AL512444.1,0.0
LACTBL1,0.0
TEX46,0.00038339043
KDM1A,0.49879012
AL031428.1,6.525796e-05
LUZP1,0.6500395
HTR1D,0.0001876166
LINC01355,0.07605189
AL109936.6,0.00084835413
HNRNPR,1.7385141
ZNF436,0.079656966
ZNF436-AS1,0.037146468
AL109936.2,0.0022514062
TCEA3,0.30094582
ASAP3,0.14617915
E2F2,0.0039725723
AL021154.1,0.00038339043
ID3,1.9018003
MDS2,0.00036707596
RPL11,27.01741
ELOA,0.2554324
ELOA-AS1,0.029210407
PITHD1,0.5015959
LYPLA2,0.22567017
GALE,0.1586763
HMGCL,0.31927943
FUCA1,0.28158173
CNR2,0.00044864832
AL590609.3,8.157245e-06
PNRC2,0.9551282
SRSF10,1.1953007
AL591178.1,7.341521e-05
MYOM3,0.000668894
AL591178.2,0.0
IL22RA1,0.0033118392
IFNLR1,0.0053184987
AL590683.1,0.00010604419
AL138902.1,3.262898e-05
GRHL3,0.0009625561
STPG1,0.040849503
NIPAL3,0.11914177
RCAN3,0.037994955
AL445686.2,0.0033770963
NCMAP,0.0004812773
SRRM1,1.5394298
AL445648.1,8.97297e-05
CLIC4,1.3359196
RUNX3,0.018174587
AL445471.1,0.0
AL445471.2,7.341521e-05
AL050344.1,8.157245e-06
AL031432.1,0.000725995
SYF2,1.2172399
AL031432.5,0.00047312008
RSRP1,1.5530274
AL031432.3,0.0021535188
RHD,0.0047474937
TMEM50A,1.775181
RHCE,0.005954777
MACO1,0.34115422
LDLRAP1,0.11192301
AL606491.1,0.0057834713
MAN1C1,0.12363659
AL031280.1,0.013239357
SELENON,0.43801808
AL020996.1,0.005710055
MTFR1L,0.25472245
AUNIP,0.0042743846
AL033528.2,0.00070968043
PAQR7,0.07553804
STMN1,1.6640973
PAFAH2,0.039030615
EXTL1,0.009780606
SLC30A2,0.003344469
TRIM63,0.00031813246
PDIK1L,0.040090904
FAM110D,0.0018924852
C1orf232,3.262898e-05
AL391650.1,0.0004975918
ZNF593,0.57944953
CNKSR1,0.0084835775
CATSPER4,8.1572456e-05
CEP85,0.01392458
SH3BGRL3,4.731875
UBXN11,0.06308339
CD52,0.008295933
CRYBG2,0.0040704547
ZNF683,0.0005220635
LIN28A,0.00029366073
DHDDS,0.23004164
AL513365.2,0.00013867316
HMGN2,3.6713424
RPS6KA1,0.043508567
AL512408.1,0.0017130257
ARID1A,0.4372678
PIGV,0.08989291
ZDHHC18,0.08672005
SFN,0.026665911
AL034380.1,7.341521e-05
GPN2,0.13228929
GPATCH3,0.051542185
NUDC,1.2514443
NR0B2,8.157245e-06
KDF1,0.0038338967
TRNP1,0.11926537
TENT5B,0.017579092
SLC9A1,0.1286275
AL590640.1,0.0
WDTC1,0.10822005
TMEM222,0.24674551
SYTL1,0.008116493
MAP3K6,0.12271378
FCN3,0.0015743499
CD164L2,0.0008565113
GPR3,0.0026184833
WASF2,1.4566207
FO393419.2,7.341521e-05
BX293535.1,0.00031813252
AHDC1,0.24451113
FGR,0.0012970043
LINC02574,0.0073415395
IFI6,7.9058657
