,Cancer.cell.3
AGTRAP,0.7836958
C1orf167,0.029827282
AL953897.1,0.0
MTHFR,0.25807837
CLCN6,0.07528807
NPPA-AS1,0.003771822
NPPA,0.00019851686
NPPB,0.0012407304
KIAA2013,0.3700965
PLOD1,0.13290952
MFN2,0.18586586
MIIP,0.17519546
TNFRSF8,0.0030273835
TNFRSF1B,0.09707575
VPS13D,0.22934258
AC243836.1,4.9629216e-05
DHRS3,0.50126255
AC254633.1,0.0069977166
AADACL4,0.0002481461
AADACL3,0.000893326
C1orf158,0.004714776
PRAMEF12,0.0
PRAMEF1,0.0002481461
PRAMEF11,4.9629216e-05
HNRNPCL1,0.00014888766
PRAMEF4,0.0
PRAMEF6,0.0
PRAMEF27,4.9629216e-05
HNRNPCL3,0.00029777532
HNRNPCL2,0.0
HNRNPCL4,0.0
PRAMEF9,0.0002481461
PRAMEF13,0.0
PRAMEF18,0.0
PRAMEF5,0.0
PRAMEF8,0.0
PRAMEF15,0.0
AC243961.1,0.0
PRAMEF14,9.925843e-05
PRAMEF19,0.0
PRAMEF17,0.0
LRRC38,0.00069480913
AL354712.1,4.9629216e-05
PDPN,0.013548755
AL359771.1,0.0
PRDM2,0.37461236
KAZN,0.48850724
AL357873.1,0.0
KAZN-AS1,0.00029777532
TMEM51-AS1,0.010372492
TMEM51,0.09002838
C1orf195,0.0
FHAD1,0.05910827
AL031283.2,0.0014392473
AL031283.3,0.00014888766
AL031283.1,0.002382203
EFHD2,0.48275223
CTRC,0.00079406763
CELA2A,0.00019851686
CELA2B,4.9629216e-05
CASP9,0.061589804
DNAJC16,0.18988605
AL121992.3,0.00069480913
AGMAT,0.02531102
AL121992.1,0.011563589
DDI2,0.27535057
AL121992.2,0.00014888766
PLEKHM2,0.2298887
AL450998.3,0.0
SLC25A34,0.008883619
SLC25A34-AS1,0.00019851686
TMEM82,0.00029777532
FBLIM1,0.22254182
UQCRHL,0.08933355
AL450998.2,0.13047758
SPEN,0.7153145
ZBTB17,0.099954806
SRARP,0.0019355394
HSPB7,0.00069480913
CLCNKA,0.0032755297
CLCNKB,0.0034244182
FAM131C,0.013201351
EPHA2,0.18591458
AL451042.2,0.0039703385
AL451042.1,0.0031266424
ARHGEF19-AS1,0.0
ARHGEF19,0.09682784
CPLANE2,0.015136903
FBXO42,0.13335651
SZRD1,0.53677976
SPATA21,0.0024318323
NECAP2,0.3102908
LINC01772,0.012953202
AL137802.2,0.028536933
AL137802.1,4.9629216e-05
LINC01783,9.925843e-05
NBPF1,0.058860075
AL137798.1,0.0002481461
AL137798.2,0.0
AL021920.1,0.0
AL021920.3,0.0
CROCC,0.083377875
BX284668.1,4.9629216e-05
BX284668.2,0.00019851686
BX284668.5,0.07335223
BX284668.6,0.0064021638
MFAP2,0.3640375
AL049569.1,4.9629216e-05
ATP13A2,0.1318674
SDHB,0.6781505
PADI2,0.022085067
AL590644.1,0.00069480913
AL590644.3,0.0006451799
PADI1,0.0025807202
PADI3,0.0016377639
PADI4,0.00034740454
PADI6,4.9629216e-05
AC004824.1,0.0
RCC2,0.5552381
ARHGEF10L,0.05166376
AL136529.1,0.0
ACTL8,0.0067495704
AL357509.1,0.0
IGSF21,0.0
IGSF21-AS1,0.0
AL591896.1,0.0
KLHDC7A,0.004268113
PAX7,9.925843e-05
AL080251.1,0.0
ALDH4A1,0.036675945
IFFO2,0.017171726
UBR4,0.47138554
AL035413.1,0.019156924
EMC1,0.2005565
MRTO4,0.56561005
AKR7A3,0.010173978
AKR7A2,0.5964208
PQLC2,0.08015189
CAPZB,1.1719766
AL031727.2,0.0
MINOS1,1.1007016
NBL1,0.2818504
MINOS1-NBL1,0.0
HTR6,9.925843e-05
TMCO4,0.16874331
RNF186,0.00034740454
AL391883.1,4.9629216e-05
OTUD3,0.06412103
PLA2G2E,0.0
PLA2G2A,0.008784364
PLA2G5,0.0055088447
PLA2G2D,0.0006451799
PLA2G2F,0.00054592144
Z98257.1,0.0067991973
PLA2G2C,0.0029777545
UBXN10-AS1,0.06838937
UBXN10,0.08918469
LINC01757,0.0
Z98257.2,0.0
VWA5B1,0.00079406763
AL020998.1,0.0
LINC01141,0.0
AL139254.1,0.0
AL139254.2,0.0
AL139254.3,0.0
CAMK2N1,0.2879524
MUL1,0.12839338
FAM43B,0.0018859102
CDA,0.027643556
PINK1,0.28889984
PINK1-AS,0.008188811
DDOST,1.354945
KIF17,0.007940667
SH2D5,0.0026303492
AL663074.1,0.0
HP1BP3,1.2634319
EIF4G3,0.39570442
ECE1,0.30617014
AL031005.1,0.00014888766
AL031728.1,0.00069480913
AL592309.2,0.0
NBPF3,0.016973209
ALPL,0.16968563
AL359815.1,0.00014888766
RAP1GAP,0.08317925
USP48,0.4809614
LDLRAD2,0.0034740472
HSPG2,0.42017117
CELA3B,9.925843e-05
CELA3A,4.9629216e-05
LINC01635,0.0009925846
CDC42,2.1057804
AL031281.2,0.0014392473
WNT4,0.014342828
ZBTB40,0.09484265
EPHA8,0.00034740454
C1QA,0.0014392473
C1QC,0.0010918428
C1QB,0.0015881348
EPHB2,0.20735537
AL512444.1,0.0
LACTBL1,0.0
TEX46,0.00069480913
KDM1A,0.48751038
AL031428.1,9.925843e-05
LUZP1,0.23063238
HTR1D,9.925843e-05
LINC01355,0.07280644
AL109936.6,0.00089332607
HNRNPR,1.6643311
ZNF436,0.03662637
ZNF436-AS1,0.035931587
AL109936.2,0.0035236767
TCEA3,0.49664208
ASAP3,0.05613038
E2F2,0.009826571
AL021154.1,0.0015385055
ID3,0.19985825
MDS2,0.0013896179
RPL11,26.017164
ELOA,0.24492693
ELOA-AS1,0.048388273
PITHD1,0.35461152
LYPLA2,0.42498726
GALE,0.3649337
HMGCL,0.30359057
FUCA1,0.26775697
CNR2,0.00039703373
AL590609.3,0.0
PNRC2,0.68444484
SRSF10,1.1751631
AL591178.1,0.0002481461
MYOM3,0.002531091
AL591178.2,0.0
IL22RA1,0.007891036
IFNLR1,0.024020653
AL590683.1,0.0006451799
AL138902.1,4.9629216e-05
GRHL3,0.010471753
STPG1,0.06278095
NIPAL3,0.2622481
RCAN3,0.24805357
AL445686.2,0.019553963
NCMAP,0.034045693
SRRM1,1.6427857
AL445648.1,4.9629216e-05
CLIC4,0.4484112
RUNX3,0.054145318
AL445471.1,0.0
AL445471.2,4.9629216e-05
AL050344.1,0.00019851686
AL031432.1,0.0013896179
SYF2,1.2794703
AL031432.5,0.0010422136
RSRP1,1.1618698
AL031432.3,0.0032259007
RHD,0.0039207092
TMEM50A,1.5523744
RHCE,0.011861363
MACO1,0.24165119
LDLRAP1,0.08332826
AL606491.1,0.004218484
MAN1C1,0.0068984553
AL031280.1,0.002034798
SELENON,0.1847242
AL020996.1,0.017419877
MTFR1L,0.17901699
AUNIP,0.01925618
AL033528.2,0.00034740454
PAQR7,0.04600614
STMN1,1.431424
PAFAH2,0.061242335
EXTL1,0.001637764
SLC30A2,0.02451691
TRIM63,0.00054592144
PDIK1L,0.065411404
FAM110D,0.0024814617
C1orf232,0.00069480913
AL391650.1,0.0020844273
ZNF593,0.8654802
CNKSR1,0.15797311
CATSPER4,0.0006451799
CEP85,0.026005844
SH3BGRL3,1.7052613
UBXN11,0.13494456
CD52,0.04000111
CRYBG2,0.021737678
ZNF683,0.00014888766
LIN28A,0.0009429553
DHDDS,0.18963794
AL513365.2,9.925843e-05
HMGN2,3.0812619
RPS6KA1,0.074742146
AL512408.1,0.004218484
ARID1A,0.6568557
PIGV,0.06938187
ZDHHC18,0.0651136
SFN,0.42538115
AL034380.1,0.00014888766
GPN2,0.1333068
GPATCH3,0.05732151
NUDC,1.3406205
NR0B2,0.00019851686
KDF1,0.14070193
TRNP1,0.1476983
TENT5B,0.033499733
SLC9A1,0.07662813
AL590640.1,0.0
WDTC1,0.12794665
TMEM222,0.23902074
SYTL1,0.18631247
MAP3K6,0.08010214
FCN3,0.0013896179
CD164L2,0.034690842
GPR3,0.0019355394
WASF2,1.2572366
FO393419.2,9.925843e-05
BX293535.1,0.0006451799
AHDC1,0.22949082
FGR,0.0006451799
LINC02574,0.006451793
IFI6,9.510055
AL445490.1,0.00079406763
FAM76A,0.1541021
STX12,0.23912005
PPP1R8,0.17608897
THEMIS2,0.17975976
RPA2,0.28989226
SMPDL3B,0.2610069
AL512288.1,0.0006451799
XKR8,0.046254274
EYA3,0.1384684
PTAFR,0.071516044
DNAJC8,0.88795644
ATP5IF1,2.32358
AL353622.1,0.029777668
AL353622.2,9.925843e-05
SESN2,0.09136831
MED18,0.061490517
PHACTR4,0.8699956
RCC1,0.18670931
TRNAU1AP,0.27798077
SNHG12,0.3269659
TAF12,0.30408713
RAB42,0.07722361
LINC01715,0.0016377639
AL360012.1,0.03856184
GMEB1,0.171473
YTHDF2,0.91494656
OPRD1,0.00054592144
AL009181.1,0.0010422136
EPB41,0.3077593
TMEM200B,0.0044666287
AL357500.1,4.9629216e-05
SRSF4,0.87927157
MECR,0.21132696
AL590729.1,0.0
PTPRU,0.13246252
LINC01756,4.9629216e-05
AC092265.1,0.0
AL645944.2,0.0
LINC01648,0.0
AL137076.1,0.0
MATN1,0.0027792372
MATN1-AS1,0.024368057
LAPTM5,0.002878496
AL137027.1,0.0
LINC01778,0.0026303497
AL445235.1,0.0
SDC3,0.17668398
PUM1,1.1435614
NKAIN1,0.0030770125
SNRNP40,0.36543116
ZCCHC17,0.5908707
AL451070.1,9.925843e-05
FABP3,0.062036462
SERINC2,0.58501184
AC114488.1,4.9629216e-05
TINAGL1,0.20512049
HCRTR1,9.925843e-05
PEF1,0.49034116
AC114488.2,0.00069480913
AC114488.3,0.00079406763
COL16A1,0.08992912
ADGRB2,0.026651025
AL354919.2,0.0
SPOCD1,0.004516258
AL354919.1,0.001141472
AL136115.2,0.006203647
PTP4A2,2.3027508
AL136115.1,0.00039703373
AL136115.3,0.0
KHDRBS1,1.6304429
AL445248.1,0.0056577274
TMEM39B,0.12074978
KPNA6,0.6655459
TXLNA,0.42568344
CCDC28B,0.123628296
AL049795.1,0.0077917785
IQCC,0.031961307
DCDC2B,0.0020844273
TMEM234,0.16015726
EIF3I,1.6720932
FAM167B,0.0047644055
LCK,0.0029777545
HDAC1,0.6383049
MARCKSL1,4.2474976
AL109945.1,0.0
TSSK3,0.009776941
FAM229A,0.057867486
BSDC1,0.45714685
AL033529.1,0.0
ZBTB8B,0.008387328
ZBTB8A,0.08650458
ZBTB8OS,0.5378736
RBBP4,0.9072614
SYNC,0.15310921
AC114489.1,0.0009429553
KIAA1522,0.6660439
YARS,0.3673659
S100PBP,0.21122749
FNDC5,0.0077421493
HPCA,0.00660068
TMEM54,0.36200577
RNF19B,0.23093018
AL020995.1,0.00079406763
AK2,0.9564481
AZIN2,0.022333233
TRIM62,0.027742893
AL662907.3,0.003920709
ZNF362,0.11787143
AL513327.3,0.0009429553
A3GALT2,4.9629216e-05
AL513327.1,0.0036229347
PHC2,0.41640234
AL513327.2,0.00039703373
ZSCAN20,0.018610992
CSMD2,0.021290984
HMGB4,4.9629216e-05
CSMD2-AS1,0.0
C1orf94,0.0004962922
