,Dendritic.cell
AC010976.2,0.0026452506
LIMS2,0.00079357525
GPR17,0.0
WDR33,0.7284928
SFT2D3,0.121152595
POLR2D,0.24918118
AMMECR1L,0.07327326
AC012306.2,0.094170846
SAP130,0.14945701
UGGT1,0.41133252
HS6ST1,0.10290027
AC012451.1,0.0
LINC01854,0.0
LINC02572,0.0
LINC01856,0.0
RAB6C,0.00026452506
POTEF,0.0
AC018865.1,0.0
CCDC74B,0.00026452506
SMPD4,0.121152624
MZT2B,2.024176
TUBA3E,0.0
CCDC115,0.3428215
IMP4,0.51264334
PTPN18,0.79991335
POTEI,0.0005290501
AC013269.2,0.0
CFC1B,0.0
PRSS40A,0.0005290501
AC140481.2,0.0
CFC1,0.0
POTEJ,0.0
GPR148,0.0
AC140481.1,0.0
AMER3,0.0
AC133785.1,0.0
ARHGEF4,0.020368444
FAM168B,0.23886497
PLEKHB2,0.7351066
POTEE,0.0
RAB6D,0.0
AC073869.5,0.0
LINC01120,0.0
AC073869.3,0.0015871504
MZT2A,0.7980624
TUBA3D,0.0010581003
CCDC74A,0.003174301
LINC01087,0.0
C2orf27B,0.00026452506
AC103564.1,0.00026452506
AJ239322.2,0.0
AJ239322.1,0.0
LINC01945,0.0
ANKRD30BL,0.0047614514
AC097532.1,0.0
AC097532.2,0.00026452506
GPR39,0.02989136
LYPD1,0.0015871505
AC010974.1,0.0005290501
NCKAP5,0.013226253
AC016909.2,0.0
AC010890.1,0.0
AC011243.1,0.0
MGAT5,0.24309729
TMEM163,0.0071421773
CCNT2-AS1,0.016136037
ACMSD,0.00026452506
CCNT2,0.43461037
MAP3K19,0.0013226253
RAB3GAP1,0.22325844
ZRANB3,0.070098996
R3HDM1,0.5599931
UBXN4,2.3873818
LCT,0.008200276
AC011893.1,0.5589371
MCM6,0.3184859
DARS,0.85652065
DARS-AS1,0.017987713
AC068492.1,0.0
CXCR4,11.416991
THSD7B,0.0
HNMT,0.034123767
LINC01832,0.0
AC114763.1,0.005819551
AC114763.2,0.0
SPOPL,0.24891679
AC092620.3,0.0023807255
AC092620.1,0.0029097756
NXPH2,0.0
AC062021.1,0.0
AC016710.1,0.0
LINC01853,0.0
LRP1B,0.0034388262
KYNU,0.70547986
ARHGAP15,0.68193704
AC013437.1,0.0
AC096558.1,0.0018516753
AC096558.2,0.0005290501
AC079793.1,0.0
AC092652.1,0.00026452506
AC092652.2,0.0005290501
AC079584.2,0.00026452506
AC079584.1,0.0
AC016910.1,0.0
GTDC1,0.023013694
ZEB2,3.173281
AC009951.2,0.00026452506
ZEB2-AS1,0.17167687
LINC01412,0.0013226253
TEX41,0.0018516753
AC023128.1,0.0
LINC01966,0.0
AC096666.1,0.0
AC092484.1,0.0005290501
AC062031.1,0.0
LINC01911,0.0
ACVR2A,0.057666387
AC009480.1,0.0
ORC4,0.20685801
MBD5,0.372977
EPC2,0.17379303
AC105402.3,0.0010581003
KIF5C,0.009787424
LYPD6B,0.00026452506
LYPD6,0.0
MMADHC,0.6874923
AC007364.1,0.0026452506
LINC01931,0.0
LINC01817,0.0
RND3,0.004496927
LINC01920,0.0
AC104777.3,0.0
AC104777.2,0.0
AC104777.1,0.0
AC023469.1,0.0
AC018731.1,0.0
RBM43,0.09972594
NMI,0.7134162
TNFAIP6,0.0029097756
RIF1,0.5282511
NEB,0.018516766
ARL5A,0.28674337
AC068547.1,0.0
CACNB4,0.08200261
AC079790.1,0.0
STAM2,0.25764608
FMNL2,0.12670751
PRPF40A,1.8837014
ARL6IP6,0.425881
LINC01850,0.0
RPRM,0.00026452506
GALNT13,0.0
AC009227.1,0.0
AC009227.2,0.0
AC061961.1,0.0
KCNJ3,0.0005290501
AC092625.1,0.0
LINC01876,0.0
AC074099.1,0.0023807255
NR4A2,1.4749895
GPD2,0.075918496
LINC01958,0.0
GALNT5,0.00079357525
ERMN,0.0251299
CYTIP,0.9297933
ACVR1C,0.0021162003
AC019186.1,0.0034388262
ACVR1,0.09681608
UPP2,0.00026452506
AC013731.1,0.0055550267
AC091488.1,0.00079357525
CCDC148-AS1,0.0
CCDC148,0.0018516753
PKP4,0.044175696
PKP4-AS1,0.0005290501
AC005042.2,0.0
DAPL1,0.050259724
TANC1,0.008993851
WDSUB1,0.13543712
BAZ2B,1.1496096
AC008277.1,0.00079357525
AC009506.1,0.03200756
AC009961.1,0.0611052
MARCH7,0.8483204
CD302,0.44519144
LY75-CD302,0.00026452506
LY75,0.18278664
PLA2R1,0.0023807257
ITGB6,0.00079357525
LINC02478,0.00026452506
RBMS1,0.86842424
AC009313.1,0.0
TANK,0.7147384
AC009299.3,0.0005290501
LINC01806,0.016665088
PSMD14,0.6419947
TBR1,0.0005290501
AC009487.1,0.0
SLC4A10,0.0015871504
DPP4,0.2647882
AC008063.1,0.0
AC008063.2,0.0
GCG,0.0
AC007750.1,0.0
FAP,0.0015871504
IFIH1,0.4983616
GCA,0.6673898
KCNH7,0.0
AC011900.1,0.0
FIGN,0.0010581003
AC016766.1,0.0
GRB14,0.0084648
COBLL1,1.9159795
AC019197.1,0.03544639
SLC38A11,0.0047614514
SCN3A,0.0037033514
SCN2A,0.016929606
CSRNP3,0.00026452506
GALNT3,0.38329348
AC009495.3,0.040736895
AC009495.1,0.0005290501
AC009495.2,0.0005290501
TTC21B,0.18146418
AC010127.1,0.0018516753
SCN1A,0.0
SCN9A,1.4273734
SCN7A,0.0034388262
XIRP2,0.0
XIRP2-AS1,0.0
AC073050.1,0.00026452506
AC016723.1,0.0
B3GALT1,0.0
STK39,0.034652818
CERS6,1.2379593
NOSTRIN,0.0097874245
SPC25,0.003174301
G6PC2,0.0
ABCB11,0.0
DHRS9,0.011110052
AC007556.1,0.0
LRP2,0.00026452506
BBS5,0.0156069845
AC093899.2,0.0
KLHL41,0.00079357525
FASTKD1,0.14548914
PPIG,1.5776302
CCDC173,0.007142176
PHOSPHO2,0.052375916
KLHL23,0.0476145
SSB,1.6376754
METTL5,0.5036497
UBR3,0.12617865
MYO3B,0.00079357525
AC012594.1,0.0005290501
AC007277.1,0.0
LINC01124,0.0
SP5,0.0
AC007405.1,0.0
AC007405.3,0.0
ERICH2,0.0
GAD1,0.0005290501
AC007405.2,0.0
GORASP2,0.4912178
TLK1,0.66077614
METTL8,0.36107376
DCAF17,0.07300874
CYBRD1,0.020632967
DYNC1I2,0.9573037
SLC25A12,0.05343401
HAT1,0.29362074
METAP1D,0.003174301
DLX1,0.0
DLX2,0.00079357525
DLX2-DT,0.0
AC104088.1,0.0
ITGA6,0.011374577
AC078883.2,0.00026452506
AC078883.3,0.0023807255
AC078883.1,0.0039678765
PDK1,0.0431176
RAPGEF4-AS1,0.0
RAPGEF4,0.00026452506
MAP3K20,0.05475666
MAP3K20-AS1,0.0
CDCA7,0.007935751
AC106900.2,0.0
AC106900.1,0.00026452506
SP3,0.6740015
AC016737.1,0.0044969264
AC016737.2,0.0013226253
LINC01960,0.0
OLA1,0.6020518
LINC01305,0.0
SP9,0.00026452506
CIR1,1.0710462
SCRN3,0.108190805
GPR155,0.14601809
AC010894.2,0.0037033514
AC010894.3,0.0005290501
WIPF1,0.7761068
AC010894.4,0.00079357525
CHRNA1,0.0084648
CHN1,0.0060840766
ATF2,0.31213716
AC096649.1,0.0005290501
ATP5MC3,2.7148635
AC093459.1,0.0
AC016751.2,0.0
AC016751.1,0.0
LNPK,0.19786449
EVX2,0.0
HOXD13,0.0
HOXD12,0.0
HOXD11,0.0
HOXD10,0.0
HOXD-AS2,0.0
HOXD9,0.0
HOXD8,0.0
HOXD3,0.0
AC009336.2,0.0
HOXD4,0.0
HAGLR,0.00026452506
AC009336.1,0.0
HAGLROS,0.00026452506
HOXD1,0.0
MTX2,0.19892251
AC017048.1,0.0
AC017048.2,0.0
AC017048.3,0.0
LINC01116,0.01296173
LINC01117,0.00026452506
AC092162.2,0.0
AC073636.1,0.0
AC074286.1,0.00026452506
AC079305.3,0.0
HNRNPA3,3.493088
NFE2L2,1.6099072
AC079305.1,0.017194137
AC019080.3,0.0
AC019080.4,0.00079357525
AGPS,0.09840327
TTC30B,0.028304208
AC073834.1,0.00079357525
TTC30A,0.011110052
PDE11A,0.0005290501
PDE11A-1,0.0
AC012499.1,0.0
RBM45,0.12617858
OSBPL6,0.00079357525
AC009948.1,0.24230385
PRKRA,0.5221665
PJVK,0.023278221
FKBP7,0.04708545
PLEKHA3,0.5184633
TTN-AS1,0.124591455
TTN,0.05872453
AC009948.4,0.010316475
AC009948.3,0.0092583755
AC010680.3,0.014548883
AC010680.2,0.010316475
AC010680.4,0.00793575
AC010680.5,0.0015871504
AC010680.1,0.0
CCDC141,0.007935751
SESTD1,0.036239963
AC093911.1,0.0
ZNF385B,0.0
CWC22,0.33250555
AC009478.1,0.0
SCHLAP1,0.003174301
UBE2E3,1.0157639
AC104076.1,0.00079357525
AC068196.1,0.0013226253
LINC01934,0.0076712263
AC020595.1,0.0
ITGA4,0.8438245
CERKL,0.003174301
NEUROD1,0.0
AC009962.1,0.0076712267
SSFA2,0.2756334
PPP1R1C,0.0015871504
PDE1A,0.00026452506
DNAJC10,0.6390851
FRZB,0.0
NCKAP1,0.0018516753
DUSP19,0.007142177
AC064871.1,0.0
NUP35,0.052375916
AC021851.1,0.0052905018
AC096667.1,0.0055550267
ZNF804A,0.0039678765
AC007966.1,0.0005290501
FSIP2,0.019839393
FSIP2-AS1,0.0052905018
LINC01473,0.045498315
AC017071.1,0.012168155
ZC3H15,1.5678415
ITGAV,0.063485906
AC017101.1,0.0
FAM171B,0.010316477
ZSWIM2,0.0
AC007319.1,0.0023807255
CALCRL,0.16770904
TFPI,0.18913513
LINC01090,0.0
GULP1,0.00026452506
DIRC1,0.0
COL3A1,0.005025977
COL5A2,0.0026452506
AC133106.1,0.0
WDR75,0.20897439
SLC40A1,0.13834688
ASNSD1,0.3071115
ANKAR,0.08940932
OSGEPL1,0.09522892
OSGEPL1-AS1,0.0097874245
AC013468.1,0.007671226
ORMDL1,1.301447
PMS1,0.1597735
C2orf88,0.05369855
MSTN,0.0005290501
HIBCH,0.33276957
INPP1,0.01349078
MFSD6,0.08676408
AC093388.1,0.0060840766
NEMP2,0.1060746
AC108047.1,0.0060840766
NAB1,0.090202935
AC006460.1,0.0
AC005540.1,0.0015871504
GLS,0.956774
STAT1,3.2946963
AC067945.2,0.0
STAT4,0.21505839
AC092614.1,0.00026452506
MYO1B,0.05555022
NABP1,0.70759916
AC098872.1,0.0
CAVIN2,0.034123745
AC098617.1,0.0
TMEFF2,0.0
AC013401.1,0.0
PCGEM1,0.0
AC068135.2,0.0
LINC01821,0.0
LINC01790,0.0
AC010983.1,0.0
AC104823.1,0.0005290501
AC064834.1,0.00026452506
LINC01825,0.0013226253
LINC01827,0.0005290501
SLC39A10,0.9440785
DNAH7,0.0037033514
STK17B,1.7212732
AC114760.2,0.17485112
HECW2,0.0015871504
AC020571.1,0.0010581003
AC068544.1,0.0
CCDC150,0.007142176
GTF3C3,0.24389078
C2orf66,0.0
PGAP1,0.017194133
ANKRD44,1.0049171
AC013264.1,0.0039678765
AC010746.1,0.0010581003
SF3B1,1.7482572
COQ10B,0.33806053
HSPD1,1.8424428
HSPE1,2.0456076
HSPE1-MOB4,0.0
MOB4,0.3322407
RFTN2,0.0031743008
AC011997.1,0.0026452506
MARS2,0.022220122
BOLL,0.0013226253
PLCL1,0.012432679
AC020719.1,0.0
LINC01923,0.0
AC019330.1,0.0
AC020718.1,0.0
SATB2,0.00079357525
AC016746.1,0.0
SATB2-AS1,0.00026452506
LINC01877,0.0
FTCDNL1,0.12115259
C2orf69,0.1428438
TYW5,0.13437901
MAIP1,0.13279186
SPATS2L,0.41583055
KCTD18,0.16268328
SGO2,0.09073203
AOX1,0.00079357525
LINC01792,0.004232402
AC007163.1,0.0010581003
BZW1,1.6556689
CLK1,0.8366817
PPIL3,0.22881332
NIF3L1,0.14416648
ORC2,0.16929622
AC005037.1,0.007406701
FAM126B,0.29229817
NDUFB3,1.1742094
AC007272.1,0.0013226253
CFLAR,1.8855506
CFLAR-AS1,0.024865374
CASP10,0.23119399
CASP8,0.5832714
ALS2CR12,0.0023807255
TRAK2,0.08253164
STRADB,0.077770166
C2CD6,0.0013226253
TMEM237,0.026717052
MPP4,0.0013226253
ALS2,0.04867259
CDK15,0.0
AC069148.1,0.0
FZD7,0.0023807255
KIAA2012,0.0023807255
AC079354.1,0.00026452506
AC079354.3,0.00026452506
SUMO1,1.1615119
NOP58,0.8332426
AC064836.2,0.0013226253
AC064836.3,0.0066131265
BMPR2,0.38170633
FAM117B,0.11612657
ICA1L,0.068776354
WDR12,0.19627725
CARF,0.13067564
NBEAL1,0.19918707
CYP20A1,0.42429394
ABI2,0.71315145
AC080075.1,0.0
RAPH1,0.01878129
CD28,0.014548883
CTLA4,0.024865372
ICOS,0.01349078
AC009965.1,0.0
AC009498.1,0.0
AC016903.1,0.0
PARD3B,0.00079357525
NRP2,0.052375946
AC007362.1,0.0
AC007679.1,0.0
INO80D,0.3896418
AC007383.2,0.017194139
NDUFS1,0.3690093
AC007383.3,0.0034388262
EEF1B2,16.06622
GPR1,0.00026452506
ZDBF2,0.09073199
ADAM23,0.00079357525
AC010731.2,0.0
FAM237A,0.0
DYTN,0.0
MDH1B,0.00026452506
FASTKD2,0.23066486
AC008269.2,0.0
AC008269.1,0.00079357525
CPO,0.0005290501
KLF7,0.121152565
AC007879.1,0.0
AC007879.3,0.00026452506
AC007879.2,0.0
AC007879.4,0.0
MYOSLID,0.0
AC009226.1,0.0
LINC01802,0.0
CREB1,0.5375091
METTL21A,0.25976205
LINC01857,0.023278212
CCNYL1,0.078563735
AC096772.1,0.00026452506
FZD5,0.0058195507
PLEKHM3,0.14866334
CRYGD,0.00026452506
CRYGC,0.0
CRYGB,0.0
CRYGA,0.0
C2orf80,0.0005290501
IDH1,0.26716873
IDH1-AS1,0.007406701
PIKFYVE,0.23013605
PTH2R,0.00026452506
MAP2,0.0010581003
UNC80,0.0
RPE,0.28330436
KANSL1L,0.07300875
AC007038.2,0.0658666
AC007038.1,0.045233794
ACADL,0.0
MYL1,0.0
LANCL1-AS1,0.00079357525
LANCL1,0.18014169
CPS1,0.0039678765
ERBB4,0.0
LINC01878,0.0
AC108066.1,0.0
IKZF2,0.17167693
AC079610.2,0.012697204
LINC01953,0.0034388262
AC079610.3,0.0
AC079610.1,0.00026452506
SPAG16,0.084912375
AC068051.1,0.0
VWC2L,0.0
BARD1,0.2565881
AC016708.1,0.009522901
ABCA12,0.00026452506
AC072062.1,0.0013226253
AC073284.1,0.0
ATIC,0.37641552
FN1,0.3399141
AC012462.3,0.0
AC012462.1,0.0
AC012462.2,0.0
AC012668.2,0.0
AC012668.3,0.0
AC012668.1,0.0
LINC00607,0.0029097756
LINC01614,0.0
AC122136.1,0.0
AC093382.1,0.010316475
MREG,0.20606479
PECR,0.010316475
TMEM169,0.0029097756
XRCC5,2.4947839
LINC01963,0.01243268
MARCH4,0.0
AC012513.1,0.0
AC069155.1,0.0
AC098820.2,0.0
SMARCAL1,0.185961
AC098820.3,0.0005290501
RPL37A,36.124462
LINC01280,0.0
AC073321.1,0.0
IGFBP2,0.017987711
IGFBP5,0.04126592
AC007563.2,0.00026452506
AC007563.1,0.00026452506
AC007557.2,0.0
TNP1,0.0
AC007557.1,0.0
AC007557.3,0.0
LINC01921,0.0
AC007749.1,0.0
DIRC3-AS1,0.0
DIRC3,0.007406701
TNS1,0.019839393
AC010136.1,0.0
RUFY4,0.1558055
CXCR2,0.044440225
CXCR1,0.0005290501
ARPC2,7.537657
GPBAR1,0.0052905018
AAMP,0.32853734
PNKD,0.34467298
TMBIM1,0.111365095
CATIP-AS2,0.0
CATIP,0.0005290501
SLC11A1,0.04734999
CTDSP1,0.28912392
AC021016.3,0.0052905018
VIL1,0.0031743008
USP37,0.13993394
CNOT9,0.24865225
PLCD4,0.0015871504
AC012510.1,0.012168155
ZNF142,0.05845996
BCS1L,0.061105188
RNF25,0.056872804
STK36,0.01878129
TTLL4,0.044969264
CYP27A1,0.009522901
AC009974.1,0.0
PRKAG3,0.0
WNT6,0.011110052
WNT10A,0.1936322
LINC01494,0.0
AC097468.2,0.0
CDK5R2,0.0
LINC00608,0.0
FEV,0.00026452506
CRYBA2,0.0
AC097468.1,0.0
CFAP65,0.0
IHH,0.00026452506
AC097468.3,0.007142176
NHEJ1,0.0005290501
AC068946.1,0.0005290501
SLC23A3,0.0084648
CNPPD1,0.35366708
RETREG2,0.23357463
ZFAND2B,0.21902588
ABCB6,0.0015871504
AC068946.2,0.00026452506
ATG9A,0.0039678765
ANKZF1,0.2573815
GLB1L,0.016665086
STK16,0.19416112
TUBA4A,0.057666436
TUBA4B,0.0
DNAJB2,0.14416648
PTPRN,0.0021162003
AC114803.1,0.0
RESP18,0.0
DNPEP,0.23912968
AC053503.2,0.0
DES,0.0018516753
AC053503.4,0.0
SPEG,0.0013226253
AC053503.1,0.0
AC053503.5,0.0005290501
GMPPA,0.17749646
ASIC4,0.00079357525
CHPF,0.20976788
TMEM198,0.0021162003
AC009955.3,0.0
OBSL1,0.037827123
AC009955.4,0.00026452506
INHA,0.00079357525
STK11IP,0.3518151
AC009955.1,0.00026452506
SLC4A3,0.15554115
AC009955.2,0.0029097756
AC009502.1,0.0
AC019211.1,0.0
AC093083.1,0.0
AC067956.1,0.0
AC093843.1,0.0
EPHA4,0.033594716
AC079834.2,0.0018516753
AC068489.1,0.0
PAX3,0.0
CCDC140,0.0
AC010980.2,0.0
SGPP2,0.007406701
AC097461.1,0.0037033514
FARSB,0.13675977
MOGAT1,0.0052905018
ACSL3,0.6576025
AC013476.1,0.00079357525
KCNE4,0.0
AC013448.1,0.0005290501
AC013448.2,0.0
SCG2,0.0010581003
AP1S3,0.20527105
WDFY1,0.15316042
MRPL44,0.26954976
AC073641.1,0.0005290501
SERPINE2,0.003174301
FAM124B,0.0013226253
AC073052.2,0.0010581003
CUL3,0.6327367
CCDC195,0.0
DOCK10,0.64807993
NYAP2,0.004761452
AC016717.2,0.0037033514
AC062015.1,0.0
IRS1,0.0023807255
AC010735.2,0.0
RHBDD1,0.25711694
COL4A4,0.0052905018
COL4A3,0.00026452506
AC097662.1,0.003174301
MFF,0.5642255
TM4SF20,0.00079357525
SCYGR1,0.0
AGFG1,0.32747924
SCYGR2,0.0
SCYGR10,0.0
C2orf83,0.0
AC064853.1,0.0
SCYGR4,0.0
SCYGR5,0.0
SLC19A3,0.00079357525
SCYGR6,0.0
SCYGR7,0.0
CCL20,0.031478487
DAW1,0.0
SPHKAP,0.0
LINC01807,0.0
PID1,0.0018516753
DNER,0.007406701
TRIP12,0.89514047
FBXO36,0.011110052
SLC16A14,0.00026452506
AC009950.1,0.026717056
SP110,3.20899
SP140,0.13940467
SP140L,0.16374128
SP100,1.7233893
AC010149.1,0.0005290501
LINC01907,0.0
CAB39,0.3055242
ITM2C,8.950243
AC012507.2,0.0010581003
GPR55,0.034652818
AC012507.1,0.0
AC012507.4,0.0
SPATA3-AS1,0.0
SPATA3,0.0
C2orf72,0.0
PSMD1,0.5726902
HTR2B,0.003174301
ARMC9,0.00899385
B3GNT7,0.016136035
AC017104.3,0.0015871504
NCL,4.582396
LINC00471,0.005819551
NMUR1,0.0013226253
TEX44,0.0
PTMA,24.263596
PDE6D,0.17961246
COPS7B,0.16665106
NPPC,0.008729327
DIS3L2,0.18516746
AC019130.1,0.00079357525
ALPP,0.0
AC068134.1,0.0
ALPG,0.0
AC068134.2,0.0
ALPI,0.0
ECEL1,0.0015871505
PRSS56,0.0
CHRND,0.0
CHRNG,0.00079357525
TIGD1,0.042324033
EIF4E2,0.51687586
AC073254.1,0.0021162003
EFHD1,0.0
GIGYF2,0.54756075
KCNJ13,0.0010581003
SNORC,0.0018516753
NGEF,0.0
NEU2,0.0
INPP5D,0.7917141
ATG16L1,0.08200259
SAG,0.004496927
AC013726.1,0.0097874245
DGKD,0.3026146
USP40,0.15845084
UGT1A8,0.0
UGT1A10,0.0
UGT1A9,0.0
UGT1A7,0.0
UGT1A6,0.0
AC114812.2,0.0
UGT1A5,0.0
UGT1A4,0.0
UGT1A3,0.0
UGT1A1,0.0
MROH2A,0.0
HJURP,0.0050259763
TRPM8,0.00079357525
SPP2,0.00026452506
AC122134.1,0.0
AC097713.1,0.00026452506
LINC01891,0.0039678765
ARL4C,4.158094
LINC01173,0.0
SH3BP4,0.31716353
AC114814.1,0.0
AC114814.3,0.0
AGAP1,0.0010581003
AC064874.1,0.0
GBX2,0.0
AC019068.1,0.0
ASB18,0.0
IQCA1,0.00079357525
AC093915.1,0.0
IQCA1-AS1,0.0
ACKR3,0.0052905013
AC084030.1,0.0
AC105760.1,0.00026452506
AC105760.2,0.0060840766
COPS8,0.21929047
AC107079.1,0.0
AC112715.1,0.0
COL6A3,0.0037033514
AC112721.1,0.0
AC112721.2,0.0
MLPH,0.0010581003
PRLH,0.0
RAB17,0.00026452506
AC104667.2,0.0
AC104667.1,0.0
LRRFIP1,3.3219528
RBM44,0.011903627
RAMP1,0.03359469
UBE2F,0.70865446
UBE2F-SCLY,0.0005290501
SCLY,0.021955596
ESPNL,0.00026452506
KLHL30,0.00026452506
ERFE,0.0018516753
ILKAP,0.2557943
HES6,0.039149746
PER2,0.06110519
AC012485.3,0.0021162003
AC012485.2,0.0
TRAF3IP1,0.1026357
ASB1,0.12670773
AC016999.1,0.00026452506
LINC01107,0.0
LINC01937,0.0
AC145625.1,0.0
TWIST2,0.0
LINC01940,0.0
HDAC4,0.04338212
AC062017.1,0.019574868
AC079612.1,0.0
AC079612.2,0.0
AC093802.2,0.0
AC093802.1,0.00026452506
NDUFA10,0.6525756
OR6B2,0.0
COPS9,1.5056785
OTOS,0.0
AC124861.1,0.0
GPC1,0.0026452506
ANKMY1,0.044175696
DUSP28,0.16744457
RNPEPL1,0.6605111
CAPN10-DT,0.062427808
CAPN10,0.10316478
GPR35,0.015871506
AQP12B,0.0
AC011298.1,0.0
AQP12A,0.0
KIF1A,0.0
AGXT,0.0
C2orf54,0.0
CROCC2,0.0
AC104809.1,0.0
SNED1,0.0018516753
AC093585.1,0.0
AC005237.1,0.0
MTERF4,0.40842274
PASK,0.03438829
PPP1R7,0.56978023
ANO7,0.0005290501
HDLBP,0.88799864
SEPT2,1.791119
AC005104.1,0.0
FARP2,0.31028554
STK25,0.23569094
BOK-AS1,0.0
BOK,0.0010581003
AC133528.1,0.0
THAP4,0.11004251
ATG4B,0.25605902
DTYMK,0.21267755
ING5,0.193103
AC114730.3,0.0
D2HGDH,0.08517691
AC114730.1,0.0
AC114730.2,0.003174301
GAL3ST2,0.0
AC131097.1,0.00026452506
AC131097.3,0.0
NEU4,0.0029097756
AC131097.4,0.0010581003
PDCD1,0.012697206
RTP5,0.0
AC131097.2,0.0
LINC01238,0.026981577
AC093642.1,0.00026452506
LINC01880,0.0
LINC01238-1,0.0010581003
LINC01986,0.0
AC066595.1,0.0
CHL1,0.0005290501
CHL1-AS1,0.0
LINC01266,0.0023807255
AC090044.1,0.0
AC087430.1,0.0
CNTN6,0.0
AC018814.1,0.0
CNTN4,0.0005290501
CNTN4-AS1,0.0
IL5RA,0.0005290501
TRNT1,0.33118266
CRBN,0.41979682
AC024060.1,0.04787903
AC034195.1,0.00079357525
SUMF1,0.15659924
LRRN1,0.0039678765
SETMAR,0.031478513
ITPR1-DT,0.003703351
ITPR1,0.66262764
EGOT,0.00793575
AC018816.1,0.008200276
BHLHE40-AS1,0.008464801
BHLHE40,0.75759244
ARL8B,0.43910694
AC026202.2,0.008464801
AC026202.3,0.01772319
EDEM1,0.7726685
AC026202.1,0.0
AC087857.1,0.0
AC026167.1,0.00026452506
AC069277.1,0.010845528
GRM7-AS3,0.0
GRM7,0.0
GRM7-AS2,0.0
GRM7-AS1,0.0
AC068313.1,0.0
LMCD1-AS1,0.0037033514
AC018832.1,0.0
AC023481.1,0.00026452506
LMCD1,0.011110052
AC034187.1,0.0
SSUH2,0.00026452506
CAV3,0.00026452506
OXTR,0.004232402
RAD18,0.1441665
SRGAP3,0.03703354
SRGAP3-AS1,0.0
SRGAP3-AS2,0.0
SRGAP3-AS3,0.0
SRGAP3-AS4,0.0
AC026191.1,0.00079357525
THUMPD3-AS1,0.9805808
THUMPD3,0.24653614
SETD5,0.5959681
LHFPL4,0.024600849
MTMR14,0.64305335
CPNE9,0.011110052
BRPF1,0.109248884
OGG1,0.14548914
CAMK1,0.025129896
TADA3,0.44783637
ARPC4,1.7247081
ARPC4-TTLL3,0.0010581003
TTLL3,0.1301466
AC022382.1,0.0021162003
RPUSD3,0.19045788
CIDEC,0.0026452506
JAGN1,0.4885722
IL17RE,0.003174301
IL17RC,0.010845526
CRELD1,0.14548917
PRRT3,0.03676902
PRRT3-AS1,0.0018516753
AC018809.2,0.012432679
EMC3,0.6557493
AC022007.1,0.00026452506
FANCD2,0.106868155
FANCD2OS,0.0
BRK1,2.7484648
VHL,0.28621426
IRAK2,0.015606982
TATDN2,0.12326882
AC022384.1,0.0
LINC00852,0.014019832
GHRL,0.2473297
GHRLOS,0.03597544
SEC13,0.61395544
ATP2B2,0.0005290501
LINC00606,0.0
AC018495.1,0.0
SLC6A11,0.00026452506
SLC6A1,0.0010581003
SLC6A1-AS1,0.0
HRH1,0.0005290501
ATG7,0.13014652
VGLL4,0.2687561
AC022001.2,0.00026452506
AC022001.3,0.00026452506
TAMM41,0.08755768
SYN2,0.00026452506
TIMP4,0.0
PPARG,0.0055550267
TSEN2,0.075389475
MKRN2OS,0.0005290501
MKRN2,0.14919254
RAF1,0.34308642
TMEM40,0.0
CAND2,0.0029097756
AC034198.2,0.0005290501
RPL32,35.510933
LINC02022,0.00026452506
IQSEC1,0.8951411
NUP210,0.64675653
HDAC11-AS1,0.0005290501
HDAC11,0.0060840766
FBLN2,0.0013226253
LINC00620,0.0
WNT7A,0.00079357525
CHCHD4,0.07195064
TMEM43,0.2330456
AC090004.1,0.00026452506
AC093495.1,0.013755307
XPC,0.32959592
LSM3,1.2649398
AC093496.1,0.0
LINC01267,0.0
SLC6A6,0.16400583
GRIP2,0.0034388262
AC090952.2,0.0
AC090952.1,0.0
CCDC174,0.44069412
C3orf20,0.00079357525
LINC02011,0.0
FGD5,0.0037033507
FGD5-AS1,0.4071002
NR2C2,0.24785879
MRPS25,0.5250768
RBSN,0.0703635
CAPN7,0.2645236
SH3BP5-AS1,0.03518187
SH3BP5,0.41133305
METTL6,0.14390193
EAF1,0.18278675
EAF1-AS1,0.013755306
COLQ,0.014019831
HACL1,0.16003807
BTD,0.12591413
ANKRD28,0.3364736
GALNT15,0.0018516753
DPH3,0.21505834
OXNAD1,0.07724113
RFTN1,0.6150143
AC090948.1,0.004761452
AC090948.2,0.0015871504
AC090948.3,0.0021162003
AC010139.1,0.0
LINC00690,0.0
DAZL,0.00026452506
AC091493.1,0.0
PLCL2,0.13781784
PLCL2-AS1,0.0
TBC1D5,0.4192684
AC132807.1,0.0
AC132807.2,0.00026452506
SATB1,0.5078826
KCNH8,0.043911174
EFHB,0.0060840766
RAB5A,0.5224315
PP2D1,0.00026452506
KAT2B,0.27457523
SGO1,0.09734514
AC116096.1,0.011110052
AC099753.1,0.0
ZNF385D,0.00079357525
ZNF385D-AS1,0.00026452506
UBE2E2-AS1,0.00079357525
UBE2E2,0.76182246
UBE2E1-AS1,0.0005290501
UBE2E1,0.38937694
NKIRAS1,0.049730696
RPL15,29.972845
NR1D2,0.17194137
LINC00691,0.0010581003
THRB,0.005819551
AC012087.1,0.0
AC092422.1,0.0
RARB,0.004232402
TOP2B,1.0578222
NGLY1,1.813603
OXSM,0.11242323
AC099754.1,0.0
LRRC3B,0.0010581003
AC114877.1,0.0
NEK10,0.007406701
SLC4A7,0.53539366
