,Plasma.cell
SLC39A10,0.108903766
DNAH7,0.0012697118
STK17B,0.67418927
AC114760.2,0.05502989
HECW2,0.0040111416
AC020571.1,0.0021065671
AC068544.1,0.0
CCDC150,0.008830263
GTF3C3,0.052894574
C2orf66,0.0
PGAP1,0.012408573
ANKRD44,0.2990342
AC013264.1,0.003433998
AC010746.1,0.00031742803
SF3B1,0.6017019
COQ10B,0.14578104
HSPD1,0.84038764
HSPE1,0.830393
HSPE1-MOB4,0.0
MOB4,0.12693846
RFTN2,0.0008657125
AC011997.1,0.001356283
MARS2,0.009176544
BOLL,0.000115428375
PLCL1,0.005078855
AC020719.1,0.0
LINC01923,2.8857094e-05
AC019330.1,0.0
AC020718.1,0.0
SATB2,0.0004905705
AC016746.1,0.0
SATB2-AS1,2.8857094e-05
LINC01877,0.0
FTCDNL1,0.003058854
C2orf69,0.03739913
TYW5,0.03335908
MAIP1,0.046546426
SPATS2L,0.11424261
KCTD18,0.028972758
SGO2,0.050788447
AOX1,0.00031742803
LINC01792,0.00075028423
AC007163.1,2.8857094e-05
BZW1,0.36185345
CLK1,0.32442674
PPIL3,0.06400412
NIF3L1,0.057713527
ORC2,0.057280682
AC005037.1,0.0044728573
FAM126B,0.101199
NDUFB3,0.66959304
AC007272.1,0.0024528524
CFLAR,1.326605
CFLAR-AS1,0.023201253
CASP10,0.3440775
CASP8,0.24619994
ALS2CR12,0.00092342676
TRAK2,0.039476763
STRADB,0.028539896
C2CD6,0.00034628515
TMEM237,0.010792556
MPP4,0.0003751422
ALS2,0.012495144
CDK15,8.657129e-05
AC069148.1,0.00031742803
FZD7,0.005078855
KIAA2012,0.0005482847
AC079354.1,8.657129e-05
AC079354.3,0.0003751422
SUMO1,0.38337925
NOP58,0.3325652
AC064836.2,0.0011831404
AC064836.3,0.0011254263
BMPR2,0.07061216
FAM117B,0.015121176
ICA1L,0.012293139
WDR12,0.039996125
CARF,0.027068162
NBEAL1,0.08209674
CYP20A1,0.16918315
ABI2,0.067986265
AC080075.1,5.7714187e-05
RAPH1,0.007041128
CD28,0.026058106
CTLA4,0.09263057
ICOS,0.043516524
AC009965.1,0.0
AC009498.1,0.0
AC016903.1,0.0
PARD3B,0.000634856
NRP2,0.02017118
AC007362.1,0.0
AC007679.1,2.8857094e-05
INO80D,0.10065087
AC007383.2,0.0061465623
NDUFS1,0.16788468
AC007383.3,0.0018179963
EEF1B2,4.868953
GPR1,0.00014428547
ZDBF2,0.06841913
ADAM23,0.00075028423
AC010731.2,0.0
FAM237A,0.0
DYTN,0.0
MDH1B,0.00057714176
FASTKD2,0.05393342
AC008269.2,2.8857094e-05
AC008269.1,8.657129e-05
CPO,2.8857094e-05
KLF7,0.05133644
AC007879.1,0.0
AC007879.3,0.0017602821
AC007879.2,0.0004905705
AC007879.4,0.0
MYOSLID,8.657129e-05
AC009226.1,0.00063485594
LINC01802,8.657129e-05
CREB1,0.14439613
METTL21A,0.085213
LINC01857,0.038033795
CCNYL1,0.046661798
AC096772.1,0.00025971385
FZD5,0.004847999
PLEKHM3,0.024124704
CRYGD,0.00034628515
CRYGC,0.0
CRYGB,0.0
CRYGA,0.0
C2orf80,2.8857094e-05
IDH1,0.05883882
IDH1-AS1,0.0024239952
PIKFYVE,0.0670051
PTH2R,0.0004039993
MAP2,0.0018468533
UNC80,8.657129e-05
RPE,0.049460895
KANSL1L,0.024615271
AC007038.2,0.007271984
AC007038.1,0.005223139
ACADL,8.657129e-05
MYL1,0.0
LANCL1-AS1,0.00020199966
LANCL1,0.023547553
CPS1,0.00092342676
ERBB4,0.0014717113
LINC01878,0.0
AC108066.1,0.0
IKZF2,0.032031506
AC079610.2,0.0008945697
LINC01953,8.657129e-05
AC079610.3,0.00014428547
AC079610.1,0.00060599885
SPAG16,0.03182965
AC068051.1,0.0004039993
VWC2L,0.00060599885
BARD1,0.10148795
AC016708.1,0.0024528524
ABCA12,0.00020199966
AC072062.1,0.00014428547
AC073284.1,0.0
ATIC,0.09456269
FN1,0.2627401
AC012462.3,0.0
AC012462.1,0.0
AC012462.2,0.0
AC012668.2,0.0
AC012668.3,0.0
AC012668.1,0.0
LINC00607,0.001038855
LINC01614,0.0
AC122136.1,0.0
AC093382.1,0.0015294255
MREG,0.02412469
PECR,0.031945076
TMEM169,0.0027991391
XRCC5,0.7474667
LINC01963,0.004848
MARCH4,0.0
AC012513.1,0.0
AC069155.1,0.0
AC098820.2,0.0
SMARCAL1,0.031714227
AC098820.3,0.0008079984
RPL37A,8.570775
LINC01280,0.0
AC073321.1,0.0
IGFBP2,0.048912793
IGFBP5,0.0133896945
AC007563.2,0.00017314257
AC007563.1,0.0
AC007557.2,0.0
TNP1,0.0
AC007557.1,0.0
AC007557.3,0.0
LINC01921,0.0
AC007749.1,0.0
DIRC3-AS1,0.0
DIRC3,0.0009522838
TNS1,0.007993411
AC010136.1,0.0
RUFY4,0.008224267
CXCR2,0.0013274258
CXCR1,0.00025971385
ARPC2,2.0143359
GPBAR1,0.0026259953
AAMP,0.15158151
PNKD,0.21139863
TMBIM1,0.05182699
CATIP-AS2,0.0
CATIP,0.0003751422
SLC11A1,0.04371855
CTDSP1,0.13383487
AC021016.3,0.0033474257
VIL1,0.00268371
USP37,0.046979267
CNOT9,0.073786244
PLCD4,0.0004905705
AC012510.1,0.003837998
ZNF142,0.016996907
BCS1L,0.03038676
RNF25,0.017314345
STK36,0.0062042763
TTLL4,0.013534013
CYP27A1,0.009234265
AC009974.1,0.00028857094
PRKAG3,0.0
WNT6,0.0076759825
WNT10A,0.067697786
LINC01494,5.7714187e-05
AC097468.2,0.0
CDK5R2,2.8857094e-05
LINC00608,8.657129e-05
FEV,0.0
CRYBA2,0.0
AC097468.1,0.0
CFAP65,0.0
IHH,8.657129e-05
AC097468.3,0.0011254263
NHEJ1,0.00028857094
AC068946.1,5.7714187e-05
SLC23A3,0.0022219953
CNPPD1,0.091128476
RETREG2,0.098717384
ZFAND2B,0.0817215
ABCB6,0.0011831404
AC068946.2,2.8857094e-05
ATG9A,0.0026837103
ANKZF1,0.13392131
GLB1L,0.006204277
STK16,0.10826872
TUBA4A,0.49678674
TUBA4B,0.00025971385
DNAJB2,0.099092476
PTPRN,0.00020199966
AC114803.1,2.8857094e-05
RESP18,0.0
DNPEP,0.1439345
AC053503.2,0.00014428547
DES,0.0026548523
AC053503.4,0.0
SPEG,0.004415142
AC053503.1,0.0
AC053503.5,0.001009998
GMPPA,0.19959757
ASIC4,0.00060599885
CHPF,0.44847882
TMEM198,0.011081131
AC009955.3,0.00017314257
OBSL1,0.0028279962
AC009955.4,5.7714187e-05
INHA,5.7714187e-05
STK11IP,0.015236604
AC009955.1,0.0
SLC4A3,0.0005482847
AC009955.2,0.0
AC009502.1,0.0
AC019211.1,0.0
AC093083.1,0.0
AC067956.1,0.0
AC093843.1,0.0
EPHA4,0.0080511235
AC079834.2,0.00031742803
AC068489.1,0.0
PAX3,0.0
CCDC140,0.0
AC010980.2,5.7714187e-05
SGPP2,0.009493974
AC097461.1,0.0018179963
FARSB,0.055549394
MOGAT1,8.657129e-05
ACSL3,0.10962503
AC013476.1,5.7714187e-05
KCNE4,0.0007502843
AC013448.1,8.657129e-05
AC013448.2,0.0
SCG2,0.0007214272
AP1S3,0.029925063
WDFY1,0.1034498
MRPL44,0.12910347
AC073641.1,0.00025971385
SERPINE2,0.0097248405
FAM124B,0.00051942765
AC073052.2,0.00020199966
CUL3,0.22677921
CCDC195,0.0
DOCK10,0.12714082
NYAP2,0.0018757103
AC016717.2,0.0019622815
AC062015.1,0.0
IRS1,0.020344367
AC010735.2,0.0003751422
RHBDD1,0.20219547
COL4A4,0.08867578
COL4A3,0.015063452
AC097662.1,0.001702568
MFF,0.31005704
TM4SF20,0.0011831404
SCYGR1,0.0
AGFG1,0.10096834
SCYGR2,0.0
SCYGR10,0.0
C2orf83,2.8857094e-05
AC064853.1,0.0
SCYGR4,5.7714187e-05
SCYGR5,0.0
SLC19A3,0.0004039993
SCYGR6,0.0
SCYGR7,0.0
CCL20,0.014024576
DAW1,8.657129e-05
SPHKAP,0.0
LINC01807,5.7714187e-05
PID1,0.00089456973
DNER,5.7714187e-05
TRIP12,0.1985004
FBXO36,0.0038379985
SLC16A14,0.03203163
AC009950.1,0.004501715
SP110,0.3793689
SP140,0.34090465
SP140L,0.1764545
SP100,0.68521297
AC010149.1,0.0007214272
LINC01907,0.000115428375
CAB39,0.1701932
ITM2C,3.6086197
AC012507.2,2.8857094e-05
GPR55,0.0044728573
AC012507.1,2.8857094e-05
AC012507.4,0.0004905705
SPATA3-AS1,2.8857094e-05
SPATA3,0.0
C2orf72,2.8857094e-05
PSMD1,0.22285601
HTR2B,0.0016737109
ARMC9,0.010734844
B3GNT7,0.0058579934
AC017104.3,0.0003751422
NCL,1.6617118
LINC00471,0.007820265
NMUR1,0.0020199958
TEX44,0.0
PTMA,8.23637
PDE6D,0.04383399
COPS7B,0.051105604
NPPC,0.00034628515
DIS3L2,0.05569355
AC019130.1,2.8857094e-05
ALPP,0.00014428547
AC068134.1,0.0
ALPG,0.0
AC068134.2,0.0
ALPI,0.0
ECEL1,0.00017314257
PRSS56,0.0
CHRND,0.0
CHRNG,0.00014428547
TIGD1,0.00998455
EIF4E2,0.17677237
AC073254.1,0.0003751422
EFHD1,0.0008368555
GIGYF2,0.28120065
KCNJ13,0.0004039993
SNORC,0.0021931382
NGEF,0.000115428375
NEU2,0.0
INPP5D,0.14081831
ATG16L1,0.025798436
SAG,0.00063485594
AC013726.1,0.0013851401
DGKD,0.10974039
USP40,0.065677695
UGT1A8,0.0
UGT1A10,0.0
UGT1A9,2.8857094e-05
UGT1A7,2.8857094e-05
UGT1A6,0.0
AC114812.2,0.0
UGT1A5,0.0
UGT1A4,0.0
UGT1A3,0.0
UGT1A1,2.8857094e-05
MROH2A,8.657129e-05
HJURP,0.025971444
TRPM8,0.00020199966
SPP2,2.8857094e-05
AC122134.1,0.0
AC097713.1,0.0
LINC01891,0.00046171344
ARL4C,0.22681217
LINC01173,0.0
SH3BP4,0.002510567
AC114814.1,0.0
AC114814.3,0.0
AGAP1,0.013938024
AC064874.1,0.0
GBX2,0.0
AC019068.1,0.0
ASB18,0.0
IQCA1,0.0007791413
AC093915.1,0.0
IQCA1-AS1,0.0
ACKR3,0.0034051393
AC084030.1,0.0
AC105760.1,0.00063485594
AC105760.2,0.0038091415
COPS8,0.11418444
AC107079.1,2.8857094e-05
AC112715.1,2.8857094e-05
COL6A3,0.019940304
AC112721.1,5.7714187e-05
AC112721.2,0.00017314257
MLPH,0.0012697118
PRLH,0.0
RAB17,0.0007791413
AC104667.2,0.00031742803
AC104667.1,0.0
LRRFIP1,0.3643655
RBM44,0.0015294255
RAMP1,0.0042419964
UBE2F,0.12082117
UBE2F-SCLY,0.000115428375
SCLY,0.012552858
ESPNL,0.00057714176
KLHL30,0.00017314257
ERFE,0.0004039993
ILKAP,0.07981721
HES6,0.019392056
PER2,0.030675333
AC012485.3,0.0011831404
AC012485.2,8.657129e-05
TRAF3IP1,0.036071688
ASB1,0.039015066
AC016999.1,2.8857094e-05
LINC01107,0.0
LINC01937,0.0
AC145625.1,0.0
TWIST2,0.00060599885
LINC01940,0.0
HDAC4,0.022364391
AC062017.1,0.02435556
AC079612.1,0.0
AC079612.2,0.0
AC093802.2,0.0
AC093802.1,8.657129e-05
NDUFA10,0.22314316
OR6B2,0.0
COPS9,0.65802
OTOS,5.7714187e-05
AC124861.1,0.0
GPC1,0.005540566
ANKMY1,0.014284311
DUSP28,0.059819926
RNPEPL1,0.27906564
CAPN10-DT,0.036215965
CAPN10,0.045825012
GPR35,0.0031742826
AQP12B,0.0
AC011298.1,0.0
AQP12A,0.0
KIF1A,0.0014139971
AGXT,0.0
C2orf54,0.00031742803
CROCC2,2.8857094e-05
AC104809.1,2.8857094e-05
SNED1,0.0032608546
AC093585.1,2.8857094e-05
AC005237.1,0.000115428375
MTERF4,0.19988555
PASK,0.018468639
PPP1R7,0.30965373
ANO7,0.0008079984
HDLBP,1.39853
SEPT2,0.54219997
AC005104.1,0.0
FARP2,0.05502989
STK25,0.06761096
BOK-AS1,0.00023085675
BOK,0.0014139971
AC133528.1,2.8857094e-05
THAP4,0.06455227
ATG4B,0.07874947
DTYMK,0.12339039
ING5,0.099323496
AC114730.3,2.8857094e-05
D2HGDH,0.035638846
AC114730.1,0.0
AC114730.2,0.0013851401
GAL3ST2,5.7714187e-05
AC131097.1,2.8857094e-05
AC131097.3,8.657129e-05
NEU4,0.0008945697
AC131097.4,5.7714187e-05
PDCD1,0.027702915
RTP5,0.00028857094
AC131097.2,2.8857094e-05
LINC01238,0.0032031396
AC093642.1,0.0
LINC01880,2.8857094e-05
LINC01238-1,0.0015005684
LINC01986,0.0
AC066595.1,0.0
CHL1,0.0022219953
CHL1-AS1,0.0
LINC01266,0.0005482847
AC090044.1,2.8857094e-05
AC087430.1,0.0
CNTN6,2.8857094e-05
AC018814.1,0.0
CNTN4,0.0070988433
CNTN4-AS1,0.00031742803
IL5RA,0.037976153
TRNT1,0.10662415
CRBN,0.16748038
AC024060.1,0.011715996
AC034195.1,8.657129e-05
SUMF1,0.018122355
LRRN1,0.0064351317
SETMAR,0.0075316983
ITPR1-DT,0.00057714176
ITPR1,0.054828048
EGOT,0.001702568
AC018816.1,0.003116568
BHLHE40-AS1,0.0048479955
BHLHE40,0.07032373
ARL8B,0.10847081
AC026202.2,0.09086882
AC026202.3,0.010042269
EDEM1,0.52563906
AC026202.1,2.8857094e-05
AC087857.1,0.0
AC026167.1,0.0
AC069277.1,0.0027414241
GRM7-AS3,2.8857094e-05
GRM7,0.00014428547
GRM7-AS2,0.0
GRM7-AS1,2.8857094e-05
AC068313.1,0.0
LMCD1-AS1,0.0016737109
AC018832.1,0.0
AC023481.1,0.00066371297
LMCD1,0.016073456
AC034187.1,2.8857094e-05
SSUH2,0.00014428547
CAV3,2.8857094e-05
OXTR,0.0023085666
RAD18,0.032666475
SRGAP3,0.04689269
SRGAP3-AS1,0.0
SRGAP3-AS2,0.00020199966
SRGAP3-AS3,2.8857094e-05
SRGAP3-AS4,8.657129e-05
AC026191.1,0.0021354242
THUMPD3-AS1,0.21950762
THUMPD3,0.09043609
SETD5,0.2191322
LHFPL4,0.0058002784
MTMR14,0.0785763
CPNE9,0.00020199966
BRPF1,0.021238958
OGG1,0.044439938
CAMK1,0.020228917
TADA3,0.12463022
ARPC4,0.24770066
ARPC4-TTLL3,0.00017314257
TTLL3,0.016939186
AC022382.1,0.0007214272
RPUSD3,0.07205482
CIDEC,8.657129e-05
JAGN1,0.14745487
IL17RE,0.0016737109
IL17RC,0.018324351
CRELD1,0.04700809
PRRT3,0.012062287
PRRT3-AS1,0.0012985689
AC018809.2,0.0023662806
EMC3,0.303853
AC022007.1,0.0033474257
FANCD2,0.027298966
FANCD2OS,8.657129e-05
BRK1,0.5095368
VHL,0.08564594
IRAK2,0.013736013
TATDN2,0.030415628
AC022384.1,0.0
LINC00852,0.0026837103
GHRL,0.008945689
GHRLOS,0.0048191436
SEC13,0.37636784
ATP2B2,0.00043285635
LINC00606,0.0
AC018495.1,0.0
SLC6A11,0.00034628515
SLC6A1,0.00017314257
SLC6A1-AS1,0.0
HRH1,0.0017891392
ATG7,0.046200134
VGLL4,0.080307625
AC022001.2,8.657129e-05
AC022001.3,0.00020199966
TAMM41,0.026346728
SYN2,0.000115428375
TIMP4,0.00014428547
PPARG,0.0042708553
TSEN2,0.020604083
MKRN2OS,0.00028857094
MKRN2,0.058896556
RAF1,0.15743878
TMEM40,0.0
CAND2,0.0025682813
AC034198.2,0.00023085675
RPL32,9.319798
LINC02022,2.8857094e-05
IQSEC1,0.16194026
NUP210,0.17755154
HDAC11-AS1,2.8857094e-05
HDAC11,0.0045017144
FBLN2,0.0023951381
LINC00620,2.8857094e-05
WNT7A,0.0024239952
CHCHD4,0.03330136
TMEM43,0.04181405
AC090004.1,0.000115428375
AC093495.1,0.005857994
XPC,0.1563713
LSM3,0.6229203
AC093496.1,8.657129e-05
LINC01267,8.657129e-05
SLC6A6,0.037716527
GRIP2,0.0005482847
AC090952.2,0.000115428375
AC090952.1,2.8857094e-05
CCDC174,0.15625563
C3orf20,0.00075028423
LINC02011,0.0
FGD5,0.0019911388
FGD5-AS1,0.10093943
NR2C2,0.04810463
MRPS25,0.14719552
RBSN,0.039217073
CAPN7,0.1342677
SH3BP5-AS1,0.02164296
SH3BP5,0.18476544
METTL6,0.047325492
EAF1,0.03413824
EAF1-AS1,0.003837998
COLQ,0.003780284
HACL1,0.060281757
BTD,0.075834855
ANKRD28,1.6199167
GALNT15,0.00046171344
DPH3,0.09606301
OXNAD1,0.078807294
RFTN1,0.082356595
AC090948.1,0.00392457
AC090948.2,0.00092342676
AC090948.3,0.0030299968
AC010139.1,0.0
LINC00690,2.8857094e-05
DAZL,5.7714187e-05
AC091493.1,0.0
PLCL2,0.06870754
PLCL2-AS1,5.7714187e-05
TBC1D5,0.10180509
AC132807.1,0.0
AC132807.2,2.8857094e-05
SATB1,0.026404414
KCNH8,0.0015871396
EFHB,0.0013274258
RAB5A,0.15267773
PP2D1,0.00014428547
KAT2B,0.06524487
SGO1,0.030675208
AC116096.1,0.0019622815
AC099753.1,0.0
ZNF385D,0.0008368555
ZNF385D-AS1,2.8857094e-05
UBE2E2-AS1,0.002395138
UBE2E2,0.048335448
UBE2E1-AS1,8.657129e-05
UBE2E1,0.124832
NKIRAS1,0.02553872
RPL15,8.548669
NR1D2,0.0829046
LINC00691,0.00075028423
THRB,0.0021642812
AC012087.1,0.0
AC092422.1,0.0
RARB,0.0012697118
TOP2B,0.20591685
NGLY1,0.40447196
OXSM,0.03560998
AC099754.1,0.0
LRRC3B,0.000115428375
AC114877.1,0.0
NEK10,0.003145425
SLC4A7,0.12503438
AC098614.4,0.0012697118
LINC02084,0.0059445635
EOMES,0.022941492
LINC01980,8.657129e-05
LINC01981,0.0
LINC01967,0.0003751422
CMC1,0.18349598
AZI2,0.14477123
ZCWPW2,0.0023662806
AC098650.1,0.00014428547
RBMS3,0.0008657125
RBMS3-AS3,5.7714187e-05
RBMS3-AS2,5.7714187e-05
RBMS3-AS1,0.0
LINC01985,0.0
TGFBR2,0.11404015
GADL1,0.000115428375
STT3B,0.46665734
OSBPL10,0.08348182
OSBPL10-AS1,0.007849122
ZNF860,0.008657118
GPD1L,0.01670834
CMTM8,0.011917996
CMTM7,0.18949825
CMTM6,0.30131418
DYNC1LI1,0.1466759
CNOT10,0.055982146
CNOT10-AS1,2.8857094e-05
TRIM71,0.0
CCR4,0.006290848
GLB1,0.06807269
TMPPE,0.0016448537
CRTAP,0.11761802
AC112211.1,0.0
SUSD5,0.00075028423
FBXL2,0.0025682813
UBP1,0.06579307
CLASP2,0.07222796
AC112220.3,0.00043285635
AC112220.4,0.0020488529
AC112220.2,0.0007214272
PDCD6IP,0.16205588
LINC01811,8.657129e-05
AC123023.1,0.0005482847
AC018359.1,0.0
ARPP21,0.0003751422
STAC,0.0007791413
DCLK3,8.657129e-05
LINC02033,0.0012408546
TRANK1,0.12460136
AC011816.2,0.0009811409
EPM2AIP1,0.16525896
MLH1,0.07540226
LRRFIP2,0.10668178
AC126118.1,0.00043285635
AC097359.3,2.8857094e-05
AC097359.2,0.0016737109
GOLGA4,1.1277395
ITGA9,0.0023085666
CTDSPL,0.0029722818
VILL,0.030300202
PLCD1,0.013649444
DLEC1,0.0009811409
ACAA1,0.19766343
MYD88,0.056039933
OXSR1,0.04446877
SLC22A13,0.0
SLC22A14,2.8857094e-05
XYLB,0.004588286
ACVR2B-AS1,5.7714187e-05
ACVR2B,0.018151205
EXOG,0.07776827
SCN5A,8.657129e-05
SCN10A,0.0
SCN11A,0.0008945697
WDR48,0.0880696
GORASP1,0.026346738
TTC21A,0.016506338
CSRNP1,0.085242026
AC092053.3,0.0071854135
AC092053.2,0.004646
XIRP1,0.00089456973
CX3CR1,0.013851445
CCR8,0.0035205688
SLC25A38,0.063888595
RPSA,4.8170977
MOBP,5.7714187e-05
MYRIP,0.0036937126
EIF1B,0.32829288
ENTPD3-AS1,0.027501035
ENTPD3,0.00034628515
RPL14,5.2883267
ZNF619,0.007993406
ZNF620,0.012639434
ZNF621,0.03506168
AC122683.1,2.8857094e-05
AC099560.1,2.8857094e-05
AC099541.1,0.00049057056
AC009743.1,0.0
CTNNB1,0.14979225
ULK4,0.014544028
TRAK1,0.048018042
CCK,5.7714187e-05
AC018358.1,0.0
LYZL4,0.0
VIPR1,0.0028279962
VIPR1-AS1,0.0004905705
SEC22C,0.08299116
SS18L2,0.21590038
NKTR,0.52661943
AC006059.1,0.00023085675
ZBTB47,0.0034051405
KLHL40,0.0
CCDC13,0.0008657125
HHATL,0.0
HHATL-AS1,0.0
CCDC13-AS1,2.8857094e-05
AC099329.3,0.000115428375
LINC02158,0.00057714176
HIGD1A,0.09361024
AC099329.1,2.8857094e-05
ACKR2,0.0006925701
AC092042.3,0.0
KRBOX1,0.00092342676
CYP8B1,0.0
ZNF662,0.0004039993
KRBOX1-AS1,0.0
FAM198A,0.0004905705
POMGNT2,0.009176542
AC092042.1,0.0
SNRK,0.08769457
AC104184.1,0.0010677121
SNRK-AS1,0.0005482847
ANO10,0.014948036
ABHD5,0.11153013
AC006055.1,0.0
AC006058.2,0.00017314257
AC006058.3,0.00060599885
AC006058.1,0.005569422
TOPAZ1,0.0
AC104187.1,0.00092342676
TCAIM,0.03439796
LINC01988,2.8857094e-05
ZNF445,0.0507882
ZNF852,0.019420933
ZKSCAN7,0.0044151433
AC099669.1,0.00060599885
ZNF660,0.005771422
ZNF197,0.023403265
ZNF197-AS1,8.657129e-05
ZNF35,0.027183592
AC124045.1,0.0031742828
ZNF502,0.0041265707
ZNF501,0.004617144
KIAA1143,0.09098404
KIF15,0.028280044
TMEM42,0.042824022
TGM4,0.00075028423
AC098649.1,0.0
ZDHHC3,0.0824141
EXOSC7,0.09958332
CLEC3B,8.657129e-05
CDCP1,0.005829137
TMEM158,0.0025971383
LARS2,0.016390905
LARS2-AS1,2.8857094e-05
LIMD1,0.0947355
SACM1L,0.10976911
SLC6A20,0.001702568
LZTFL1,0.032753076
CCR9,0.0010388552
FYCO1,0.029290175
CXCR6,0.061696168
XCR1,0.025365582
CCR3,0.001356283
CCR1,0.06002232
CCR2,0.1426949
AC098613.1,0.0024817095
CCR5,0.027847262
CCRL2,0.020979227
LINC02009,0.000115428375
LTF,0.0004905705
RTP3,0.0
LRRC2,0.032175895
LRRC2-AS1,0.00066371297
TDGF1,0.0
AC104304.1,0.0
FAM240A,2.8857094e-05
ALS2CL,0.0011254264
TMIE,2.8857094e-05
PRSS50,0.0
PRSS45,0.0
AC109583.3,0.0
PRSS42,0.000115428375
MYL3,2.8857094e-05
PTH1R,0.00014428547
CCDC12,0.2347434
NBEAL2,0.03797623
SETD2,0.173656
KIF9-AS1,0.0024239952
KIF9,0.010821411
KLHL18,0.041179202
AC099778.1,0.049518503
PTPN23,0.05324089
SCAP,0.042939436
ELP6,0.10125699
CSPG5,0.0005194276
SMARCC1,0.20458981
DHX30,0.109192245
MAP4,0.18066831
CDC25A,0.010215415
CAMP,0.001731425
ZNF589,0.014313172
NME6,0.061435975
SPINK8,0.0
FBXW12,0.00023085675
PLXNB1,0.003433997
CCDC51,0.03803398
TMA7,1.9941236
AC134772.1,0.0004039993
ATRIP,0.020777227
TREX1,2.8857094e-05
SHISA5,0.17645483
PFKFB4,0.0044728564
UCN2,0.0
COL7A1,0.0015005684
UQCRC1,0.2723145
TMEM89,0.0
SLC26A6,0.020257799
CELSR3,0.0012408546
LINC02585,0.0
AC141002.1,5.7714187e-05
NCKIPSD,0.017978063
IP6K2,0.12581304
PRKAR2A,0.14304033
PRKAR2A-AS1,0.0031165683
SLC25A20,0.031165926
ARIH2OS,0.025221284
ARIH2,0.2147751
AC137630.2,0.0026548528
AC137630.1,0.001356283
AC137630.4,0.00075028423
P4HTM,0.13247874
WDR6,0.12387954
DALRD3,0.063109435
NDUFAF3,0.50388056
IMPDH2,0.15365916
AC137630.3,0.0027991391
QRICH1,0.07716237
QARS,0.11054841
USP19,0.031916223
LAMB2,0.004299713
CCDC71,0.010850269
KLHDC8B,0.008166551
C3orf84,2.8857094e-05
CCDC36,0.00023085675
AC121247.1,0.00020199966
C3orf62,0.01881492
USP4,0.08394335
RHOA,1.0375878
TCTA,0.039072778
AMT,0.0073585543
AC104452.1,0.00025971385
NICN1,5.7714187e-05
DAG1,0.033503372
BSN-DT,0.00031742803
BSN,5.7714187e-05
BSN-AS1,0.0
APEH,0.10910554
MST1,0.0068391296
RNF123,0.026923878
AMIGO3,5.7714187e-05
GMPPB,0.46680304
IP6K1,0.11314509
CDHR4,5.7714187e-05
INKA1,0.008108836
UBA7,0.060339335
TRAIP,0.0071277022
CAMKV,2.8857094e-05
MST1R,0.00066371297
AC105935.2,0.0
AC105935.1,0.0006637131
MON1A,0.021267805
RBM6,0.53074384
RBM5,0.21748742
RBM5-AS1,0.0051077125
SEMA3F-AS1,0.0009522838
SEMA3F,0.00083685556
GNAT1,0.0
SLC38A3,2.8857094e-05
GNAI2,0.75857747
U73166.1,0.004559429
SEMA3B-AS1,8.657129e-05
SEMA3B,0.00207771
LSMEM2,0.00028857094
IFRD2,0.103334665
HYAL3,0.0045305723
NAA80,0.023345554
HYAL1,0.00017314257
HYAL2,0.022450976
TUSC2,0.18110014
RASSF1,0.12543803
RASSF1-AS1,0.009089973
ZMYND10-AS1,0.0
ZMYND10,0.001356283
NPRL2,0.08391452
CYB561D2,0.17117395
Z84492.1,0.0
TMEM115,0.0726895
CACNA2D2,0.0013851401
CYB561D2-1,0.014688316
C3orf18,0.0046171434
HEMK1,0.06339805
AC096920.1,0.0
CISH,0.023460945
MAPKAPK3,0.06224395
LINC02019,0.004126571
DOCK3,0.0006925701
MANF,2.1750715
RBM15B,0.06844783
DCAF1,0.053846847
RAD54L2,0.052750353
TEX264,0.20170315
GRM2,0.00017314257
IQCF3,0.0
IQCF2,0.0
IQCF5-AS1,0.0
IQCF5,0.0
IQCF1,0.0
RRP9,0.03434022
PARP3,0.01471717
GPR62,0.00014428547
PCBP4,0.026577594
ABHD14B,0.09684203
ABHD14A,0.24331322
ABHD14A-ACY1,0.0038091417
ACY1,0.0010965691
RPL29,7.9332705
DUSP7,0.01740091
POC1A,0.021008043
ALAS1,0.056011062
TLR9,0.00028857094
TWF2,0.12895897
AC006252.1,0.0032897112
PPM1M,0.04097721
WDR82,0.14384794
GLYCTK,0.030588781
DNAH1,0.009234259
BAP1,0.051826943
PHF7,0.022566397
SEMA3G,0.0011831404
TNNC1,0.0030011393
NISCH,0.051019013
STAB1,0.045219064
NT5DC2,0.33536717
SMIM4,0.09311941
PBRM1,0.2933215
GNL3,0.5826
GLT8D1,0.21760297
SPCS1,3.9745686
NEK4,0.039823018
ITIH1,5.7714187e-05
ITIH3,0.0
ITIH4,0.005078856
AC006254.1,0.00057714176
ITIH4-AS1,0.000115428375
MUSTN1,0.0
TMEM110-MUSTN1,0.0004039993
STIMATE,0.025740715
SFMBT1,0.04198719
AC096887.1,0.00063485594
RFT1,0.08674239
PRKCD,0.120359644
TKT,0.37241602
DCP1A,0.101574175
CACNA1D,0.0017891392
AC012467.1,0.0
CHDH,0.030588767
IL17RB,0.003751426
AC012467.2,0.0059734196
ACTR8,0.06247466
SELENOK,2.773847
CACNA2D3,0.001356283
CACNA2D3-AS1,2.8857094e-05
LRTM1,5.7714187e-05
LINC02017,0.0
LINC02030,0.0
AC121764.2,0.0
AC121764.3,0.0
WNT5A,0.021816086
WNT5A-AS1,0.0043285713
AC121764.1,5.7714187e-05
ERC2,0.0016737109
AC025572.1,0.0
