,Plasma.cell
AGTRAP,0.06746693
C1orf167,0.009061115
AL953897.1,2.8857094e-05
MTHFR,0.05973344
CLCN6,0.018410929
NPPA-AS1,0.0020199958
NPPA,5.7714187e-05
NPPB,5.7714187e-05
KIAA2013,0.17429093
PLOD1,0.04695036
MFN2,0.03390738
MIIP,0.064610116
TNFRSF8,0.0029722818
TNFRSF1B,0.13337521
VPS13D,0.05373142
AC243836.1,5.7714187e-05
DHRS3,0.022854928
AC254633.1,8.657129e-05
AADACL4,0.0
AADACL3,0.0
C1orf158,2.8857094e-05
PRAMEF12,0.0
PRAMEF1,2.8857094e-05
PRAMEF11,0.0
HNRNPCL1,2.8857094e-05
PRAMEF4,0.0
PRAMEF6,0.0
PRAMEF27,0.0
HNRNPCL3,0.0
HNRNPCL2,0.0
HNRNPCL4,0.0
PRAMEF9,0.0
PRAMEF13,0.0
PRAMEF18,0.0
PRAMEF5,0.0
PRAMEF8,0.0
PRAMEF15,0.0
AC243961.1,0.0
PRAMEF14,0.0
PRAMEF19,0.0
PRAMEF17,0.0
LRRC38,2.8857094e-05
AL354712.1,0.0
PDPN,0.004443995
AL359771.1,0.0
PRDM2,0.30215
KAZN,0.0030588533
AL357873.1,0.0
KAZN-AS1,0.0
TMEM51-AS1,0.0005482847
TMEM51,0.016390897
C1orf195,0.0
FHAD1,0.0020199958
AL031283.2,8.657129e-05
AL031283.3,8.657129e-05
AL031283.1,0.00031742803
EFHD2,0.23742832
CTRC,0.0003751422
CELA2A,0.00020199966
CELA2B,0.0
CASP9,0.020892678
DNAJC16,0.055462748
AL121992.3,0.00020199966
AGMAT,0.015034599
AL121992.1,0.001356283
DDI2,0.06815935
AL121992.2,5.7714187e-05
PLEKHM2,0.07358419
AL450998.3,5.7714187e-05
SLC25A34,0.0011254263
SLC25A34-AS1,2.8857094e-05
TMEM82,5.7714187e-05
FBLIM1,0.005425139
UQCRHL,0.014342023
AL450998.2,0.036966287
SPEN,0.27574787
ZBTB17,0.03136792
SRARP,2.8857094e-05
HSPB7,0.00031742803
CLCNKA,0.00020199966
CLCNKB,5.7714187e-05
FAM131C,0.000115428375
EPHA2,0.0014428542
AL451042.2,2.8857094e-05
AL451042.1,0.0
ARHGEF19-AS1,0.0
ARHGEF19,0.02452871
CPLANE2,0.004097713
FBXO42,0.060166184
SZRD1,0.12540911
SPATA21,0.0008945697
NECAP2,0.11328976
LINC01772,0.0045882864
AL137802.2,0.0046748547
AL137802.1,2.8857094e-05
LINC01783,0.00020199966
NBPF1,0.008022265
AL137798.1,0.0
AL137798.2,0.0
AL021920.1,0.0
AL021920.3,0.0
CROCC,0.009724829
BX284668.1,0.0
BX284668.2,0.00014428547
BX284668.5,0.005627137
BX284668.6,0.006377419
MFAP2,0.0020488529
AL049569.1,0.0
ATP13A2,0.023085836
SDHB,0.21950784
PADI2,0.0031165683
AL590644.1,0.000115428375
AL590644.3,0.0
PADI1,5.7714187e-05
PADI3,0.0
PADI4,0.0012119976
PADI6,8.657129e-05
AC004824.1,0.0
RCC2,0.094303
ARHGEF10L,0.0047037136
AL136529.1,0.0
ACTL8,0.00014428547
AL357509.1,0.0
IGSF21,0.0028568527
IGSF21-AS1,0.0
AL591896.1,0.0
KLHDC7A,0.0
PAX7,0.0
AL080251.1,0.0
ALDH4A1,0.0059734206
IFFO2,0.028684167
UBR4,0.11155839
AL035413.1,0.021123523
EMC1,0.04891257
MRTO4,0.097419746
AKR7A3,0.00060599885
AKR7A2,0.1651147
PQLC2,0.0208061
CAPZB,0.35896897
AL031727.2,5.7714187e-05
MINOS1,0.27260342
NBL1,0.0162466
MINOS1-NBL1,0.0
HTR6,0.0
TMCO4,0.04322801
RNF186,0.0
AL391883.1,0.0
OTUD3,0.023287833
PLA2G2E,0.0
PLA2G2A,0.007387417
PLA2G5,8.657129e-05
PLA2G2D,0.012350855
PLA2G2F,0.0
Z98257.1,0.00023085675
PLA2G2C,0.000115428375
UBXN10-AS1,0.0019622815
UBXN10,0.0008945697
LINC01757,0.0
Z98257.2,0.0
VWA5B1,0.0
AL020998.1,5.7714187e-05
LINC01141,0.0
AL139254.1,0.0
AL139254.2,0.0
AL139254.3,0.0
CAMK2N1,0.0057425643
MUL1,0.042477712
FAM43B,5.7714187e-05
CDA,0.0014717113
PINK1,0.14217415
PINK1-AS,0.0045017144
DDOST,0.9950386
KIF17,0.0004905705
SH2D5,0.0
AL663074.1,2.8857094e-05
HP1BP3,0.5497028
EIF4G3,0.1466471
