,Cancer.cell.2
MIR1302-2HG,4.7559563e-05
OR4F5,0.0
AL627309.1,0.004185243
AL627309.3,0.0005469351
AL627309.4,0.00019023822
AL732372.1,0.0029249103
OR4F29,0.0
AC114498.1,0.00047559565
AL669831.2,9.5119125e-05
AL669831.5,0.10481635
FAM87B,0.0019499419
LINC00115,0.017383082
FAM41C,0.019737292
AL645608.7,0.00014267868
AL645608.3,0.004708399
AL645608.5,0.00038047644
AL645608.1,0.0077522206
SAMD11,0.07942315
NOC2L,0.6736784
KLHL17,0.026728578
PLEKHN1,0.13128158
PERM1,0.009559496
AL645608.8,0.041662347
HES4,0.777775
ISG15,3.9354014
AL645608.2,0.00026157757
AGRN,1.0424541
AL645608.9,0.00016645846
RNF223,0.046251856
C1orf159,0.07901745
LINC01342,0.0029011304
AL390719.2,0.104222044
TTLL10-AS1,0.00068961387
TTLL10,0.020236664
TNFRSF18,0.022400625
TNFRSF4,0.0063967663
SDF4,0.8465285
B3GALT6,0.25501168
C1QTNF12,0.029296791
AL162741.1,0.0007133937
UBE2J2,0.64070106
LINC01786,0.0027346723
SCNN1D,0.033410728
ACAP3,0.16473612
PUSL1,0.2774402
INTS11,0.56859386
CPTP,0.28443298
TAS1R3,0.02520665
DVL1,0.34510267
MXRA8,0.3843548
AURKAIP1,3.494991
CCNL2,0.6806514
MRPL20,2.6559289
AL391244.3,0.019261692
ANKRD65,0.513829
AL391244.2,0.0007371734
TMEM88B,0.00095119164
LINC01770,0.007561987
VWA1,1.0894127
ATAD3C,0.10859776
ATAD3B,0.20299633
ATAD3A,0.24580711
TMEM240,0.005398016
SSU72,2.307444
AL645728.1,0.024517048
FNDC10,0.131923
AL691432.2,0.06344327
MIB2,0.24913721
MMP23B,0.61357784
CDK11B,0.32845482
FO704657.1,0.0069199298
SLC35E2B,0.15976642
CDK11A,0.20477913
SLC35E2A,0.1062669
NADK,0.30923823
GNB1,1.527214
AL109917.1,0.006587011
CALML6,0.0010225311
TMEM52,0.026585897
CFAP74,0.0037096455
AL391845.2,0.00030913713
GABRD,0.0015694663
AL391845.1,0.00045181584
PRKCZ,0.20808485
