,Endothelial.cell
NPPA,0.00019786655
NPPB,0.0
KIAA2013,0.4951491
PLOD1,0.8084809
MFN2,0.190845
MIIP,0.14909443
TNFRSF8,0.023249323
TNFRSF1B,1.0396739
VPS13D,0.3967113
AC243836.1,0.0
DHRS3,0.7137014
AC254633.1,0.0060349307
AADACL4,0.00029679984
AADACL3,0.0
C1orf158,0.0003957331
PRAMEF12,0.0
PRAMEF1,0.0
PRAMEF11,0.0
HNRNPCL1,0.00019786655
PRAMEF4,0.0
PRAMEF6,0.0
PRAMEF27,0.0
HNRNPCL3,0.0
HNRNPCL2,0.0
HNRNPCL4,0.0
PRAMEF9,0.0
PRAMEF13,0.0
PRAMEF18,0.0
PRAMEF5,0.0
PRAMEF8,0.0
PRAMEF15,0.0
AC243961.1,0.0
PRAMEF14,0.0
PRAMEF19,0.0
PRAMEF17,0.0
LRRC38,0.0024733322
AL354712.1,0.0
PDPN,0.11634597
AL359771.1,0.0
PRDM2,0.49139085
KAZN,0.26138276
AL357873.1,0.0
KAZN-AS1,0.0
TMEM51-AS1,0.0018797325
TMEM51,0.0930972
C1orf195,0.0
FHAD1,0.014642127
AL031283.2,0.0038583982
AL031283.3,9.893328e-05
AL031283.1,0.0018797325
EFHD2,0.8653751
CTRC,0.001780799
CELA2A,0.00029679984
CELA2B,0.0
CASP9,0.07815806
DNAJC16,0.23170485
AL121992.3,0.0
AGMAT,0.008607196
AL121992.1,0.002077599
DDI2,0.46250215
AL121992.2,0.00019786655
PLEKHM2,0.39275587
AL450998.3,0.0005935997
SLC25A34,0.009695461
SLC25A34-AS1,0.061141163
TMEM82,0.0003957331
FBLIM1,0.67956847
UQCRHL,0.02968
AL450998.2,0.12406388
SPEN,0.77830905
ZBTB17,0.15038064
SRARP,0.036902223
HSPB7,0.0032647983
CLCNKA,0.0005935997
CLCNKB,0.0003957331
FAM131C,0.0014839992
EPHA2,0.30461347
AL451042.2,0.0025722652
AL451042.1,0.0012861326
ARHGEF19-AS1,0.0
ARHGEF19,0.071430534
CPLANE2,0.012564527
FBXO42,0.15641563
SZRD1,0.6601772
SPATA21,0.002077599
NECAP2,0.8211484
LINC01772,0.027206652
AL137802.2,0.0066285296
AL137802.1,0.0
LINC01783,0.0003957331
NBPF1,0.10487051
AL137798.1,9.893328e-05
AL137798.2,0.0
AL021920.1,0.0
AL021920.3,0.0
CROCC,0.11654483
BX284668.1,0.0
BX284668.2,0.00019786655
BX284668.5,0.13504566
BX284668.6,0.0077167964
MFAP2,0.21458897
AL049569.1,0.00019786655
ATP13A2,0.48011157
SDHB,0.4371732
PADI2,0.0014839992
AL590644.1,0.0
AL590644.3,9.893328e-05
PADI1,0.00019786655
PADI3,0.00019786655
PADI4,0.0004946664
PADI6,9.893328e-05
AC004824.1,0.0
RCC2,0.6546372
ARHGEF10L,0.01296026
AL136529.1,0.0
ACTL8,0.00019786655
AL357509.1,0.0
IGSF21,0.0007914662
IGSF21-AS1,0.0
AL591896.1,0.0
KLHDC7A,0.0
PAX7,0.0
AL080251.1,0.0
ALDH4A1,0.02780025
IFFO2,0.116544805
UBR4,0.58013856
AL035413.1,0.02473332
EMC1,0.26167873
MRTO4,0.41590407
AKR7A3,0.0034626648
AKR7A2,0.6050709
PQLC2,0.06905608
CAPZB,1.6633917
AL031727.2,0.00019786655
MINOS1,0.8502363
NBL1,0.4284694
MINOS1-NBL1,0.0
HTR6,0.0
TMCO4,0.06846247
RNF186,0.0
AL391883.1,0.0
OTUD3,0.062229574
PLA2G2E,0.0
PLA2G2A,0.025821587
PLA2G5,0.002770132
PLA2G2D,9.893328e-05
PLA2G2F,9.893328e-05
Z98257.1,0.0004946664
PLA2G2C,0.00019786655
UBXN10-AS1,0.0033637316
UBXN10,0.005540264
LINC01757,0.0
Z98257.2,0.0
VWA5B1,0.0
AL020998.1,0.0
LINC01141,0.0
AL139254.1,0.0
AL139254.2,0.0
AL139254.3,0.0
CAMK2N1,0.072221555
MUL1,0.20123316
FAM43B,0.057777457
CDA,1.1154627
PINK1,1.5533988
PINK1-AS,0.016719725
DDOST,0.950255
KIF17,0.11288426
SH2D5,0.0003957331
AL663074.1,0.0
HP1BP3,1.8373101
EIF4G3,1.0945789
