,Endothelial.cell
ARL9,0.0052434644
THEGL,0.00019786655
HOPX,0.515044
SPINK2,0.0011871994
REST,0.98793864
AC069307.1,0.0014839992
NOA1,0.16442935
POLR2B,0.5279978
IGFBP7,76.21941
IGFBP7-AS1,0.0073210634
AC105390.1,0.0
LINC02380,0.0
AC013724.1,0.0
AC093725.1,0.0
AC017091.1,0.0
LINC02429,0.0
AC097501.2,0.0
AC096588.1,0.0
AC093857.1,0.0
LINC02271,0.0003957331
ADGRL3,0.0033637316
AC020741.1,0.0032647983
ADGRL3-AS1,0.0
AC097491.1,0.0
AC093730.1,0.0
TECRL,9.893328e-05
LINC02232,0.00029679984
EPHA5,0.00019786655
EPHA5-AS1,0.0
AC104137.1,0.0
AC097110.1,0.0
AC116049.2,9.893328e-05
AC096721.1,0.0
AC104806.2,0.0051445304
CENPC,0.53917825
STAP1,0.0008903995
UBA6,0.5669789
UBA6-AS1,0.05124781
GNRHR,0.0
TMPRSS11D,0.0
TMPRSS11A,0.00019786655
TMPRSS11F,0.0
TMPRSS11B,9.893328e-05
YTHDC1,0.9127644
TMPRSS11E,9.893328e-05
UGT2B17,0.0004946664
UGT2B15,0.0
UGT2B10,0.0
AC021146.12,0.00029679984
UGT2A3,0.0
UGT2B7,0.014543193
AC111000.4,0.0
UGT2B11,0.0
UGT2B28,0.0
UGT2B4,9.893328e-05
UGT2A1,0.0
UGT2A2,0.0
SULT1B1,0.055798717
AC108941.2,0.0
SULT1E1,9.893328e-05
CSN1S1,9.893328e-05
CSN2,0.0
STATH,0.0
HTN3,0.0
HTN1,0.00019786655
PRR27,0.0
ODAM,0.0074199964
FDCSP,0.001385066
CSN3,0.0
CABS1,0.0
SMR3A,0.0
SMR3B,9.893328e-05
OPRPN,0.0
MUC7,0.0
AMTN,0.0
AMBN,0.0
ENAM,9.893328e-05
JCHAIN,0.00781573
UTP3,0.30243632
AC009570.1,0.0025722652
RUFY3,0.42678604
GRSF1,0.48060542
MOB1B,0.24347682
DCK,0.18203971
SLC4A4,0.007024263
GC,0.0
NPFFR2,0.0007914662
ADAMTS3,0.06846244
AC095056.1,0.0
COX18,0.11496189
ANKRD17,0.8530091
AC053527.1,0.0018797325
ALB,0.0004946664
AFP,9.893328e-05
AFM,9.893328e-05
LINC02499,0.0
RASSF6,0.000692533
AC112518.1,0.0
CXCL8,0.06549401
CXCL6,0.0066285296
PF4V1,0.00019786655
CXCL1,0.03640753
PF4,0.0011871994
PPBP,0.002770132
CXCL5,0.0024733322
CXCL3,0.056985766
CXCL2,0.5173199
MTHFD2L,0.26009646
AC093677.2,0.011080528
EPGN,0.000692533
EREG,0.011773061
AC021180.1,0.0
AREG,0.18678683
AC239584.1,0.0
BTC,0.0052434644
PARM1,0.03047147
AC110760.2,9.893328e-05
AC110760.1,0.0
LINC02562,0.001780799
AC025244.1,9.893328e-05
AC025244.2,0.0
AC096759.1,0.0
AC096759.2,0.00019786655
RCHY1,0.1781813
THAP6,0.12020542
ODAPH,0.0007914662
CDKL2,0.0005935997
G3BP2,1.1686766
USO1,0.59062564
AC110615.1,0.0018797325
PPEF2,0.00029679984
NAAA,0.13583714
SDAD1,0.33963218
AC112719.2,0.00029679984
CXCL9,0.16976978
ART3,0.004254131
CXCL10,0.30649528
CXCL11,0.23447256
NUP54,0.28947696
SCARB2,1.1369202
FAM47E,0.008508262
FAM47E-STBD1,0.0
STBD1,0.0010882661
CCDC158,0.00019786655
SHROOM3,0.012069861
AC107072.2,0.0
AC107072.1,0.0
SOWAHB,0.0
SEPT11,0.7263683
CCNI,3.9698563
CCNG2,0.34487572
AC092674.1,0.0
CXCL13,0.01681866
CNOT6L,0.92117286
MRPL1,0.46121323
FRAS1,0.012168794
ANXA3,0.18273164
LINC01094,0.018005857
AC098818.2,0.022853587
BMP2K,0.50089025
PAQR3,0.08053253
LINC01088,0.001385066
NAA11,9.893328e-05
GK2,0.0
LINC00989,0.0004946664
AC092542.1,9.893328e-05
LINC02469,9.893328e-05
PCAT4,0.0
ANTXR2,0.3011514
AC021127.1,0.0
PRDM8,0.0052434644
FGF5,0.00019786655
CFAP299,9.893328e-05
BMP3,0.0005935997
PRKG2,0.0003957331
AC139722.1,0.0
RASGEF1B,0.056887016
AC124016.2,0.010684795
HNRNPD,1.909551
AC124016.1,0.02136959
HNRNPDL,2.158287
ENOPH1,0.2853223
TMEM150C,0.4790247
LINC00575,0.0
SCD5,0.12990096
SEC31A,1.4344856
THAP9-AS1,0.19589067
THAP9,0.02878959
LIN54,0.0864686
COPS4,0.3836538
PLAC8,0.008211463
AC114781.2,0.00019786655
COQ2,0.113082096
HPSE,0.013059193
HELQ,0.13534246
MRPS18C,0.72725576
ABRAXAS1,0.21933824
GPAT3,0.021270655
AC021192.1,0.0
AC104063.1,0.0
NKX6-1,0.00019786655
CDS1,0.10398001
WDFY3,0.40096638
WDFY3-AS1,0.0012861326
ARHGAP24,0.14701657
MAPK10,0.012762394
AC104827.1,0.0
PTPN13,0.01681866
SLC10A6,0.043827683
C4orf36,0.0018797325
AC093827.5,0.007024263
AC093827.4,0.09754928
AFF1,0.776136
KLHL8,0.15948261
AC108516.1,0.0
HSD17B13,0.008013597
HSD17B11,0.57281774
NUDT9,0.35991153
AC112250.2,0.0032647983
SPARCL1,30.399601
AC093895.1,0.001385066
DSPP,0.00019786655
DMP1,0.0
IBSP,0.0029679984
MEPE,0.0
SPP1,2.860966
PKD2,0.4479564
ABCG2,0.80561143
PPM1K,0.29630396
AC107067.1,0.00019786655
HERC6,0.20152977
HERC5,0.20311262
PYURF,1.3883878
AC098582.1,0.00019786655
AC083829.2,0.0011871994
HERC3,0.09626318
NAP1L5,0.103188634
FAM13A-AS1,0.017906925
FAM13A,0.16719943
TIGD2,0.031262964
AC104785.1,0.0012861326
GPRIN3,0.2658338
AC097478.1,0.007914662
SNCA,0.26820812
AC097478.2,0.0005935997
AC097478.4,9.893328e-05
AC097478.3,0.00019786655
SNCA-AS1,0.00029679984
MMRN1,1.3101567
CCSER1,0.03700119
AC004054.1,0.00019786655
AC074124.1,0.00029679984
AC093810.1,0.0
LNCPRESS2,0.0
AC112695.1,0.0
GRID2,0.001385066
AC095059.1,0.0
AC110800.1,0.0
ATOH1,0.0
AC096746.1,0.0
SMARCAD1,0.38019192
HPGDS,0.0007914662
PDLIM5,1.3597956
AC108067.1,9.893328e-05
BMPR1B-DT,0.001780799
BMPR1B,0.003957331
UNC5C,0.007617863
AC106881.1,0.0026711987
PDHA2,0.0
LINC02267,0.00029679984
STPG2,0.0012861326
STPG2-AS1,0.0
AC019077.1,0.006727463
RAP1GDS1,0.3683207
TSPAN5,0.5396735
AC108159.1,0.0
AC114811.2,0.008508262
EIF4E,0.589932
AC019131.1,0.0
METAP1,0.23971775
AC019131.2,0.0052434644
ADH5,0.8153126
AP002026.1,0.0077167964
ADH4,0.000692533
ADH6,0.0
ADH1A,0.0
ADH1B,0.009299729
ADH1C,0.0016818658
ADH7,0.0
C4orf17,0.0
TRMT10A,0.12376701
MTTP,0.0010882661
AC083902.1,0.0
C4orf54,0.0008903995
DAPP1,0.0065295966
LAMTOR3,0.22487856
DNAJB14,0.8516239
H2AFZ,4.210457
AC097460.1,9.893328e-05
DDIT4L,0.011080528
AP001961.1,0.0
EMCN,4.1694865
PPP3CA,1.0591608
AP001816.1,0.10368326
BANK1,0.011773061
AP002075.1,0.0
SLC39A8,0.49732822
AC098487.1,0.02136959
AF213884.3,0.0052434644
NFKB1,0.5052412
MANBA,0.07133159
UBE2D3,2.1308684
AC018797.2,0.01958879
CISD2,0.4912921
SLC9B1,0.0063317297
SLC9B2,0.0991323
BDH2,0.44548318
CENPE,0.11545564
LINC02428,0.0
AC105460.2,0.0
AC105460.1,0.0
TACR3,0.0
LINC02503,0.0004946664
CXXC4,0.11407136
CXXC4-AS1,0.0029679984
AC004063.1,9.893328e-05
AC004053.1,0.0
AC096577.1,0.0
AC004069.1,0.0029679984
TET2,0.361792
TET2-AS1,0.0
PPA2,0.39918512
AC004066.2,0.0
ARHGEF38,0.00029679984
INTS12,0.1745207
GSTCD,0.089436665
AC008243.1,9.893328e-05
NPNT,0.43312287
AC109361.2,0.0004946664
AC109361.1,0.0053423974
TBCK,0.1948024
AIMP1,0.6326723
GIMD1,0.0
DKK2,0.28275213
AC104663.1,0.0
PAPSS1,0.44469377
SGMS2,0.030075736
AC096564.1,0.000692533
CYP2U1,0.058667906
AC096564.2,0.0022754655
HADH,0.17798343
LEF1,0.6182286
RPL34-AS1,0.0038583982
RPL34,24.553183
OSTC,1.7780529
ETNPPL,9.893328e-05
COL25A1,0.0049466644
ZCCHC23,0.0
SEC24B-AS1,0.022457855
SEC24B,0.25396264
MCUB,0.2314078
CASP6,0.19094387
AC004067.1,0.0014839992
PLA2G12A,0.17056331
AC126283.2,9.893328e-05
CFI,1.0341381
AC126283.1,0.0011871994
GAR1,0.33409184
RRH,0.0010882661
LRIT3,0.001385066
EGF,0.00019786655
ELOVL6,0.023249323
ENPEP,0.03769362
AC098798.1,0.0
PANCR,0.0
PITX2,0.0005935997
LINC01438,0.0
AC139718.1,9.893328e-05
AC004704.1,9.893328e-05
FAM241A,0.8594387
AC109347.1,0.003759465
AP1AR,0.2668232
AC109347.2,0.0056391973
TIFA,0.11565441
ALPK1,0.16304424
NEUROG2,0.0
AC023886.1,9.893328e-05
ZGRF1,0.042640436
LARP7,0.77227384
AC106864.1,9.893328e-05
AC106864.2,0.0
ANK2,0.011575194
AC017007.5,0.00019786655
AC093879.1,0.0
AC093879.2,0.0
CAMK2D,0.26721883
ARSJ,0.008805063
AC104779.1,0.0
UGT8,0.000692533
NDST4,0.0
MTRNR2L13,0.0
AC106892.1,0.0
TRAM1L1,0.018401591
LINC02262,0.0
LINC02263,0.0
LINC01378,0.0
NDST3,0.002770132
SNHG8,1.9236985
PRSS12,0.0014839992
AC110079.2,0.0007914662
METTL14,0.24832405
SEC24D,0.455378
SYNPO2,0.056688953
MYOZ2,0.00019786655
USP53,0.34883317
C4orf3,2.1190863
FABP2,0.002770132
AC093752.3,0.0016818658
AC093752.2,0.0010882661
PDE5A,0.023051456
LINC01365,0.0
LINC02502,0.0
AC097173.2,0.0
MAD2L1,0.091513865
AC108866.1,0.0046498645
AC025741.1,0.00029679984
PRDM5,0.07123263
NDNF,0.02621732
AC105254.1,0.00029679984
TNIP3,0.0064306636
QRFPR,0.0036605317
ANXA5,3.856287
AC079341.3,0.0
TMEM155,0.0007914662
AC079341.1,0.0003957331
EXOSC9,0.23477142
CCNA2,0.06104202
BBS7,0.15354651
AC079341.2,0.00019786655
TRPC3,0.000692533
KIAA1109,0.7879095
ADAD1,0.0
IL2,0.0
IL21,0.0
IL21-AS1,0.00029679984
BBS12,0.03403314
FGF2,0.19391157
AC021205.3,0.0025722652
NUDT6,0.09982484
SPATA5,0.12099688
SPRY1,7.8066583
AC093821.1,9.893328e-05
LINC02435,0.0033637316
LINC01091,0.004550931
AC096732.1,0.0
AC121154.1,0.0
LINC02516,0.0026711987
ANKRD50,0.5240407
FAT4,0.3677274
AC105919.1,0.0
AC096773.1,0.0
AC093772.1,0.0004946664
INTU,0.12020539
SLC25A31,0.0
HSPA4L,0.04610317
AC093591.2,0.0029679984
PLK4,0.022655722
MFSD8,0.1784781
ABHD18,0.12910956
LARP1B,0.20519054
PGRMC2,0.5985414
AC108062.1,0.007024263
AC110609.1,0.00019786655
AC078850.1,0.0010882661
AC078850.2,9.893328e-05
JADRR,0.0005935997
JADE1,0.23783806
SCLT1,0.22299881
C4orf33,0.13069251
AC082650.1,0.0
LINC02466,9.893328e-05
LINC02465,0.0
LINC02377,9.893328e-05
SNHG27,0.0008903995
AC096711.2,0.0023743988
AC096711.3,0.0004946664
AC096711.1,9.893328e-05
LINC01256,0.0
AC115622.1,0.0
AC110751.1,0.0
AC105383.1,9.893328e-05
PCDH10,0.002770132
AC079380.1,0.001780799
PABPC4L,0.11882032
AC109830.1,0.0
LINC02462,0.0
AC093722.1,0.0
AC104619.2,0.0
AC107463.1,0.0
LINC02485,0.0
AC105362.1,0.0
LINC00613,0.0
AC073429.2,0.0
AC018680.1,0.0
LINC02511,0.0
LINC02510,0.0
PCDH18,0.019193057
LINC02172,0.00029679984
AC116563.1,9.893328e-05
AC131956.2,0.0
LINC00616,0.0
SLC7A11,0.5697536
AC093903.1,9.893328e-05
LINC00498,9.893328e-05
LINC00499,0.00029679984
LINC00500,0.0004946664
AC098859.2,0.0
AC093766.1,9.893328e-05
AC109927.1,0.00019786655
AC109927.2,9.893328e-05
NOCT,0.025425855
ELF2,0.834113
MGARP,0.0022754655
NDUFC1,1.6291704
NAA15,0.3133178
AC097376.2,0.123272344
RAB33B,0.101407826
SETD7,0.43539286
AC112236.2,0.0016818658
AC112236.1,0.0
MGST2,2.5717168
MAML3,0.23130915
AC131182.1,0.00019786655
SCOC,0.6238677
SCOC-AS1,0.021270655
CLGN,0.02077599
MGAT4D,0.0
ELMOD2,0.23002319
UCP1,0.007123196
TBC1D9,0.3880084
AC096733.1,0.00019786655
AC096733.2,0.02799812
RNF150,0.010387995
ZNF330,0.29986423
AC107220.1,9.893328e-05
LINC02432,0.0004946664
AC097504.2,9.893328e-05
LINC02276,0.0
IL15,0.19678085
INPP4B,0.08171964
AC139720.2,0.0
AC139720.1,0.0
AC104596.1,0.0025722652
USP38,0.2039044
AC097658.2,0.00029679984
GAB1,0.21112649
SMARCA5,1.3834444
SMARCA5-AS1,0.002770132
FREM3,0.0051445304
GYPE,0.015433593
GYPB,0.0019786656
GYPA,0.00019786655
AC106871.1,0.0
HHIP-AS1,0.008805063
HHIP,0.004451998
ANAPC10,0.23496945
AC109811.1,9.893328e-05
ABCE1,0.90811336
OTUD4,0.41422328
LINC02266,0.015730392
SMAD1,1.1383075
SMAD1-AS2,0.0004946664
SMAD1-AS1,0.0073210634
LINC02491,0.0
MMAA,0.058074314
AC093864.1,0.0
C4orf51,0.0
ZNF827,0.18322693
AC104791.1,0.0
AC108206.1,0.0
AC097372.2,0.0
LINC01095,0.0
LSM6,0.5880513
REELD1,0.0005935997
AC097372.1,0.00019786655
SLC10A7,0.10229824
POU4F2,0.0
TTC29,0.00029679984
AC092435.2,0.0
AC092435.1,0.0
AC092435.3,0.0
EDNRA,0.03601174
LINC02507,0.0
AC093835.1,0.0
TMEM184C,0.16027409
PRMT9,0.1584932
ARHGAP10,0.06499968
NR3C2,0.045608502
AC069272.1,0.0
AC108935.1,0.00019786655
AC108156.1,0.0
LINC02430,9.893328e-05
LINC02355,0.0
IQCM,0.00029679984
AC105343.1,9.893328e-05
DCLK2,0.1559209
LRBA,0.16146131
AC110813.1,0.0003957331
MAB21L2,0.001385066
RPS3A,22.776474
SH3D19,0.31044924
AC095055.1,0.007123196
PRSS48,0.0010882661
AC104819.3,0.0
FAM160A1-DT,0.0
FAM160A1,0.00019786655
AC092611.2,0.0003957331
GATB,0.076773
AC092611.1,0.0005935997
AC107074.1,0.0
AC097375.1,9.893328e-05
LINC02273,0.0052434644
AC079340.1,0.0
AC079340.2,0.0
AC080078.1,0.0
AC080078.2,0.0004946664
FBXW7,0.5390804
FBXW7-AS1,0.0003957331
TMEM154,0.04511381
AC106882.1,0.0
TIGD4,0.0026711987
ARFIP1,0.3000622
FHDC1,0.010981595
AC093599.1,0.0
TRIM2,0.30738387
MND1,0.026118387
TMEM131L,0.16680376
TLR2,0.0068263966
RNF175,0.0031658649
AC020703.1,0.0
SFRP2,0.03808946
AC079298.3,0.0
DCHS2,0.0054413304
AC079298.1,0.0
AC079298.2,0.0
PLRG1,0.3635718
FGB,0.0
FGA,0.0
FGG,0.0
LRAT,0.0010882661
RBM46,9.893328e-05
AC097467.3,0.0
AC104407.1,0.0
NPY2R,9.893328e-05
MAP9,0.017906925
AC107208.1,0.0
GUCY1A1,0.2029136
GUCY1B1,0.07617914
TDO2,0.048378497
CTSO,0.32726607
AC096736.3,0.0
LINC02272,0.0
PDGFC,0.023546122
AC092608.1,0.0
GLRB,0.0028690654
GRIA2,0.0030669319
LINC02433,0.0
AC093817.1,0.0
FAM198B,2.3001535
FAM198B-AS1,0.07241981
AC098679.1,9.893328e-05
TMEM144,0.07875166
RXFP1,0.04333296
AC121161.2,0.0
C4orf46,0.047389332
ETFDH,0.13613398
PPID,0.4078913
FNIP2,0.70480436
C4orf45,0.00019786655
RAPGEF2,0.8200567
AC074344.2,0.0
LINC02233,0.0
LINC02477,0.0
AC104793.1,0.0
FSTL5,9.893328e-05
AC023136.1,0.0
AC005150.1,0.0
AC022272.1,0.0
NAF1,0.11031193
NPY1R,0.005837064
NPY5R,9.893328e-05
TKTL2,0.0
TMA16,0.408683
MARCH1,0.014048526
AC093788.1,0.009794395
SMIM31,9.893328e-05
APELA,0.0009893328
TRIM61,0.0016818658
FAM218A,0.0019786656
AC106872.10,0.0
TRIM60,0.0063317297
TRIM75P,0.0
TMEM192,0.19252685
KLHL2,0.19064714
GK3P,0.0004946664
MSMO1,0.23645319
CPE,0.49733594
LINC01179,0.00029679984
TLL1,0.3406233
AC097487.1,0.0
SPOCK3,0.000692533
AC079349.1,0.0
AC116634.1,0.0
ANXA10,0.0009893328
DDX60,0.35872582
DDX60L,0.3893943
PALLD,0.2593054
AC079858.1,0.0
AC080188.1,0.0
CBR4,0.3445781
AC021151.1,9.893328e-05
SH3RF1,0.17254195
AC096741.1,0.0005935997
NEK1,0.1757079
CLCN3,0.71884894
HPF1,0.43371117
LINC02275,0.00029679984
AC084866.2,0.0
AC084866.1,0.0
MFAP3L,0.018797323
AADAT,0.0065295966
LINC01612,0.00029679984
LINC02512,0.0
LINC02382,0.0
LINC02504,0.0
AC074254.1,0.0
GALNTL6,0.0
AC105285.1,0.009200796
GALNT7,0.34062245
AC097534.1,0.0004946664
HMGB2,0.71657324
AC097534.2,0.09636211
SAP30,0.32815692
SCRG1,0.037495863
AC093849.1,9.893328e-05
HAND2,0.0047487975
HAND2-AS1,0.0040562646
AC106895.1,0.0
LINC02269,0.0
AC106895.2,0.0
LINC02268,0.0004946664
AC012055.1,0.0
AC012055.2,9.893328e-05
FBXO8,0.1747186
CEP44,0.15374438
AC116616.1,0.0
HPGD,0.015730392
AC096751.2,0.0
GLRA3,9.893328e-05
ADAM29,0.0
AC105914.2,0.0
AC095050.1,0.0
AC131094.1,0.0
GPM6A,0.060448606
AC097537.1,0.0
WDR17,0.001780799
SPATA4,0.0003957331
ASB5,0.0
AC019163.1,9.893328e-05
SPCS3,1.8398825
AC093801.1,0.0032647983
VEGFC,0.9388751
AC092673.1,0.0
LINC02509,0.0
AC097518.1,0.0
NEIL3,0.008706129
AC027627.1,0.0
AGA,0.15117209
AC078881.1,0.0032647983
AC103879.1,0.0
LINC01098,0.0
LINC01099,0.0003957331
AC020551.1,0.0
AC104803.1,0.0
LINC00290,0.0
LINC02500,0.0
TEMN3-AS1,0.0
AC098864.1,0.00029679984
TENM3,0.00751893
AC079226.2,0.0
AC079226.1,0.0
AC079766.1,0.0016818658
DCTD,0.39077738
AC019193.3,0.00019786655
AC019193.2,0.0004946664
WWC2-AS2,0.011476262
WWC2,0.46111515
WWC2-AS1,0.00029679984
CLDN22,0.0029679984
CLDN24,9.893328e-05
CDKN2AIP,0.24555415
AC107214.1,0.0022754655
ING2,0.17372917
AC107214.2,0.0024733322
RWDD4,0.31846306
TRAPPC11,0.2172606
AC108477.1,0.0050455974
STOX2,0.1712558
ENPP6,0.008508262
LINC02363,0.002077599
LINC02362,0.001780799
IRF2,0.56094444
LINC02427,0.0003957331
LINC02365,0.00019786655
CASP3,0.3658485
PRIMPOL,0.09843975
CENPU,0.069748305
ACSL1,0.07241984
AC084871.2,0.000692533
MIR3945HG,0.000692533
LINC01093,0.0
LINC02437,0.0
HELT,0.0
LINC02436,0.0
SLC25A4,0.3463608
CFAP97,0.7685166
SNX25,0.15404116
LRP2BP,0.029680002
AC112722.1,0.0008903995
ANKRD37,0.14355399
UFSP2,0.32637545
C4orf47,0.005837064
CCDC110,0.005540264
AC106897.1,0.008706129
PDLIM3,0.16779268
SORBS2,0.8469725
AC093797.1,0.0003957331
AC108472.1,0.001780799
AC096659.1,0.0
TLR3,0.07360705
FAM149A,0.008607196
CYP4V2,0.10378221
KLKB1,0.0034626648
F11,9.893328e-05
F11-AS1,9.893328e-05
MTNR1A,0.0
FAT1,0.04857635
AC108865.1,0.0
AC108865.2,0.0
AC110772.1,0.0
AC108474.1,0.00019786655
AC097652.1,0.000692533
LINC02515,0.0010882661
AC093763.1,0.0
LINC02492,0.0
AC097521.1,0.0
ZFP42,0.0009893328
TRIML2,0.0005935997
TRIML1,0.000692533
AC138781.1,0.00029679984
LINC02434,0.0008903995
LINC01060,0.0021765323
LINC02508,0.0
AC093909.4,0.0036605317
AC122138.1,0.0
AC107391.1,0.0
AC105924.1,0.0
LINC01262,0.0
AF250324.1,0.00019786655
FRG1-DT,0.0054413304
LINC01596,0.00019786655
FRG1,0.62574875
FRG2,0.0
DBET,0.0
DUX4,0.0
PLEKHG4B,0.0061338637
LRRC14B,0.0
CCDC127,0.20904905
SDHA,0.45468354
AC021087.1,0.00029679984
PDCD6,1.5467564
AHRR,0.009101862
EXOC3-AS1,0.052632887
EXOC3,0.29343376
SLC9A3,0.061537035
AC106772.1,0.0
CEP72,0.010585861
TPPP,0.002077599
AC026740.1,0.0010882661
ZDHHC11B,0.0019786656
ZDHHC11,0.0054413304
BRD9,0.7119219
TRIP13,0.035121374
AC122719.1,0.0
AC122719.2,0.00019786655
AC116351.1,0.0005935997
AC116351.2,0.0014839992
NKD2,0.019687723
SLC12A7,0.29195023
AC114291.1,0.009101862
SLC6A19,0.0
SLC6A18,0.0
TERT,9.893328e-05
CLPTM1L,0.6703704
LINC01511,0.0
SLC6A3,0.0007914662
LPCAT1,0.3086687
AC091849.2,9.893328e-05
AC026412.3,0.0009893328
AC112176.1,0.0
MRPL36,0.66631097
NDUFS6,1.838105
IRX4,0.0
AC025183.1,9.893328e-05
AC025183.2,0.0
AC126768.2,0.0
AC126768.1,0.0
AC126768.3,0.00019786655
AC091891.2,0.0034626648
AC091891.1,0.0
IRX2,0.0031658649
C5orf38,0.0012861326
LINC01019,0.0
LINC02162,0.0
LINC01017,0.0
IRX1,0.0003957331
AC016595.1,0.0
AC025187.1,9.893328e-05
LINC02063,0.0
AC106799.3,9.893328e-05
AC106799.2,0.0
AC106799.1,0.0
LINC02114,0.0
AC026719.1,0.0
AC026719.2,0.0
AC010451.3,0.0
AC010451.1,0.0
LINC01020,0.0
AC010451.2,0.0
LINC02121,0.0
AC022424.1,0.0
ADAMTS16,0.001385066
AC022424.2,0.0
ICE1,0.43747014
AC010266.2,0.0
LINC02145,0.0024733322
MED10,0.95460856
UBE2QL1,0.017016524
LINC01018,0.0007914662
NSUN2,0.22012971
SRD5A1,0.06747311
LINC02102,0.0004946664
TENT4A,0.16996974
AC122710.2,9.893328e-05
AC122710.3,0.00019786655
LINC02236,0.0
AC122710.1,0.0
LINC02196,0.0
LINC02123,0.0
AC027343.1,0.0
LINC02142,9.893328e-05
ADCY2,0.0012861326
AC093305.1,0.0
C5orf49,0.0029679984
MTRR,0.11298318
FASTKD3,0.06450506
AC025174.1,0.00019786655
LINC02226,9.893328e-05
AC091965.1,0.0
AC091965.4,0.0004946664
MIR4458HG,0.21399565
AC091932.1,0.0
LINC02199,0.0
AC021088.1,9.893328e-05
SEMA5A,0.023546122
AC091906.1,0.0
SEMA5A-AS1,0.0
SNHG18,0.017610125
TAS2R1,9.893328e-05
LINC02112,0.0
LINC02221,0.0
AC034229.1,0.0015829324
AC034229.2,0.0
AC034229.4,0.000692533
FAM173B,0.11159808
AC012640.1,0.0036605317
CCT5,1.3312112
AC012640.4,0.0003957331
AC012640.3,0.0
CMBL,0.05312751
AC012640.2,0.01652186
MARCH6,0.7912724
ROPN1L-AS1,0.0
ROPN1L,0.020380257
LINC01513,0.0029679984
AC092336.1,0.0
LINC02212,0.0
LINC02213,0.0
ANKRD33B,0.023150388
ANKRD33B-AS1,0.0
DAP,0.86626375
AC012629.2,0.0032647983
AC012629.1,0.0
CTNND2,0.0010882661
AC106771.1,0.0
LINC01194,0.00029679984
DNAH5,0.0014839992
AC016576.1,0.0
TRIO,0.50920033
OTULINL,0.045311667
AC010491.1,0.0061338637
OTULIN,0.38316026
ANKH,0.30629414
AC016575.1,0.0043530646
AC016651.1,0.0
LINC02149,0.0
FBXL7,0.24743381
AC010638.1,9.893328e-05
MARCH11,0.00019786655
AC016650.1,0.0
AC092335.1,0.0
LINC02150,0.0
ZNF622,0.21360004
RETREG1,0.014741059
AC022113.1,0.0
AC022113.2,0.0
MYO10,1.27473
BASP1,0.08963425
AC026790.1,0.0
BASP1-AS1,9.893328e-05
AC026785.2,0.0007914662
AC026785.3,0.0
LINC02111,0.0
LINC02217,0.000692533
LINC02218,0.0
AC106774.10,0.0
AC106774.8,0.0
AC233724.15,0.0
AC233724.6,0.0
H3.Y,0.0
LINC02223,0.0
LINC02100,0.0004946664
AC106744.1,0.0
AC106744.2,0.0
CDH18,0.0003957331
LINC02241,0.0
LINC02146,0.0
AC093274.1,0.000692533
AC091946.2,0.0010882661
AC091946.1,0.0
CDH12,0.0021765323
AC010445.1,0.0
PRDM9,0.0
C5orf17,0.012564527
CDH10,0.0026711987
LINC02228,0.00029679984
LINC02211,0.0024733322
AC099499.2,0.00019786655
AC099499.1,0.0
AC106754.1,0.000692533
AC022140.1,0.0008903995
CDH9,0.0
AC113355.1,0.0
PURPL,0.009299729
LINC02103,0.0
AC008825.1,0.0
LINC02109,0.0008903995
LINC02064,0.0
AC113386.1,9.893328e-05
CDH6,0.041749936
DROSHA,0.14701678
C5orf22,0.09171217
PDZD2,0.17936829
AC022447.3,0.0
AC022447.1,0.0
AC022447.7,0.0
AC025178.1,0.0018797325
GOLPH3,0.40620962
AC025181.2,0.04689467
MTMR12,0.32241932
ZFR,0.7333907
SUB1,2.7652376
LINC02061,0.0
NPR3,0.09586706
AC010343.3,0.00019786655
LINC02120,0.0
AC034223.1,0.0
AC034223.2,0.0
LINC02160,0.00019786655
AC034231.1,0.0036605317
TARS,0.5616356
AC034232.2,0.00019786655
ADAMTS12,0.030174665
RXFP3,9.893328e-05
SLC45A2,0.0004946664
AMACR,0.031361893
C1QTNF3-AMACR,0.0005935997
C1QTNF3,0.041552145
AC139792.1,0.0005935997
AC025754.2,0.012564527
RAI14,1.5072031
AC025754.1,0.0004946664
AC026801.2,0.0034626648
TTC23L,0.0025722652
RAD1,0.15977941
BRIX1,0.3509096
DNAJC21,0.73349166
AGXT2,0.0
PRLR,0.002077599
SPEF2,0.020677058
AC137810.1,0.0
IL7R,0.057084635
CAPSL,0.0014839992
AC112204.2,0.0
UGT3A1,0.0
UGT3A2,0.00019786655
LMBRD2,0.12485538
SKP2,0.082808055
NADK2,0.071331576
NADK2-AS1,0.0
RANBP3L,0.0007914662
SLC1A3,0.016323991
AC008957.2,0.0
AC008957.1,9.893328e-05
AC026741.1,0.003759465
NIPBL,1.1581852
CPLANE1,0.40442872
NUP155,0.17214629
WDR70,0.37405866
GDNF-AS1,0.00029679984
GDNF,0.0011871994
LINC02117,0.0
AC008869.1,0.0
AC034226.1,0.0
LINC02107,0.0
LINC02119,0.0
EGFLAM,0.06292186
EGFLAM-AS4,9.893328e-05
EGFLAM-AS3,0.0
EGFLAM-AS2,0.0
EGFLAM-AS1,9.893328e-05
AC010457.1,0.009695461
LIFR,1.6867656
LIFR-AS1,0.02710772
AC010425.1,0.0
OSMR-AS1,0.024238655
AC091435.2,9.893328e-05
OSMR,0.5102875
RICTOR,0.48565227
FYB1,0.07835557
C9,0.00029679984
DAB2,1.8858013
LINC02104,0.0095965285
LINC00603,0.0
