,Myeloid.cell
FBXO2,0.007070304
FBXO44,0.042103875
FBXO6,0.26025832
MAD2L2,0.22548808
DRAXIN,0.006664825
AGTRAP,0.8457222
C1orf167,0.0012211286
AL953897.1,3.7286307e-05
MTHFR,0.3670415
CLCN6,0.13099836
NPPA-AS1,0.015338152
NPPA,0.00035422007
NPPB,2.796473e-05
KIAA2013,0.48620164
PLOD1,0.31786013
MFN2,0.20786169
MIIP,0.28739384
TNFRSF8,0.061142433
TNFRSF1B,2.516887
VPS13D,0.23492685
AC243836.1,0.00047074002
DHRS3,1.0404829
AC254633.1,0.004026913
AADACL4,6.991182e-05
AADACL3,0.0
C1orf158,9.7876524e-05
PRAMEF12,0.0
PRAMEF1,0.0
PRAMEF11,0.0
HNRNPCL1,8.855496e-05
PRAMEF4,0.0
PRAMEF6,0.0
PRAMEF27,0.0
HNRNPCL3,4.6607884e-06
HNRNPCL2,2.796473e-05
HNRNPCL4,0.0
PRAMEF9,0.0
PRAMEF13,0.0
PRAMEF18,0.0
PRAMEF5,0.0
PRAMEF8,0.0
PRAMEF15,0.0
AC243961.1,0.0
PRAMEF14,0.0
PRAMEF19,0.0
PRAMEF17,0.0
LRRC38,0.0
AL354712.1,0.0
PDPN,0.18734236
AL359771.1,0.0
PRDM2,0.4468018
KAZN,0.0054577286
AL357873.1,4.6607884e-06
KAZN-AS1,0.0
TMEM51-AS1,0.029371174
TMEM51,0.68054295
C1orf195,0.00020507458
FHAD1,0.10509641
AL031283.2,0.0016592436
AL031283.3,0.0017291557
AL031283.1,0.002899016
EFHD2,2.924193
CTRC,0.00088555104
CELA2A,0.00016778833
CELA2B,8.855496e-05
CASP9,0.084613055
DNAJC16,0.16525008
AL121992.3,0.0002610041
AGMAT,0.019430153
AL121992.1,0.0005825992
DDI2,0.26018494
AL121992.2,0.0009368199
PLEKHM2,0.5737
AL450998.3,0.00036354165
SLC25A34,0.016577873
SLC25A34-AS1,1.3982365e-05
TMEM82,3.262552e-05
FBLIM1,0.0120850755
UQCRHL,0.022678569
AL450998.2,0.07706291
SPEN,0.7437016
ZBTB17,0.119831964
SRARP,4.6607885e-05
HSPB7,0.006268707
CLCNKA,0.00038684564
CLCNKB,0.0001071981
FAM131C,0.0002563433
EPHA2,0.01857727
AL451042.2,0.0007643703
AL451042.1,0.00067581516
ARHGEF19-AS1,4.6607884e-06
