P1_Normal,P1_Tumor,P10_Normal,P10_Tumor,P2_Normal,P2_Tumor,P3_Normal,P3_Tumor,P4_Normal,P4_Tumor,P5_Normal,P5_Tumor,P6_Normal,P6_Tumor,P7_Normal,P7_Tumor,P8_Normal,P8_Tumor,P9_Normal,P9_Tumor
RP11-449P15.2,0.0049526426,0.0034625216,0.0074163545,0.0043355045,0.0048958873,0.004134077,0.0041631055,0.0182955,0.017473474,0.0035203455,0.009366418,0.0021383243,0.0012748591,0.001964887,0.004223681,0.003338385,0.0040345713,0.002789227,0.0018315406,0.004026788
ADAP1,0.0074289637,0.0054823263,0.008587358,0.0066700066,0.016415624,0.034726243,0.07701745,0.04573875,0.039315317,0.041804105,0.014569984,0.036351513,0.01147373,0.019648869,0.013938148,0.036513586,0.06253585,0.07623887,0.016890874,0.03697323
COX19,0.31531826,0.23920253,0.3107062,0.3001503,0.27532166,0.23481557,0.21439993,0.34761447,0.38441646,0.22442202,0.31845823,0.27869493,0.28990293,0.23611392,0.2838314,0.24328479,0.26628172,0.21848945,0.24542643,0.27052692
CYP2W1,0.04374834,0.0020198042,0.00702602,0.0023345025,0.054142755,0.0038584715,0.0041631055,0,0.06115716,0.0004400432,0.015610697,0.002851099,0.011728703,0.0013099246,0.010136834,0.0012518943,0.008069143,0.00092974235,0.00630864,0.002928573
C7orf50,0.3846552,0.49571767,0.6054087,0.5499421,0.52846783,0.7190538,0.8201318,0.768411,0.2926807,1.0935073,0.52451944,0.72489196,0.45308486,0.51905763,0.41729972,0.66976345,0.5305461,0.6889391,0.31950206,0.57729495
GPR146,0.033017617,0.020486586,0.024200736,0.013340013,0.042335026,0.03445064,0.09158832,0,0.026210213,0.055445444,0.05515779,0.009266073,0.03416622,0.0055671795,0.014360515,0.0064681205,0.050432146,0.05113583,0.03520628,0.019767867
AC091729.7,0.028890416,0.006059413,0.0062453514,0.0010005011,0.025919406,0.005236497,0,0,0.021841845,0.0008800864,0.018732836,0.00071277475,0.029321756,0.0029473305,0.0033789447,0.0018778415,0.008069143,0.00092974235,0.001221027,0.00036607162
GPER1,0.0033017616,0.0034625216,0.0027323412,0.0040020044,0.0034559206,0.0033072615,0.016652422,0,0.0043683685,0.016721642,0.0010407132,0.007840523,0.0033146332,0.0029473305,0.0012671043,0.003755683,0.0040345713,0.0046487115,0.0010175225,0.0036607161
ZFAND2A,0.21131274,0.19996062,0.18970253,0.5366021,0.16876413,0.23950084,0.4850018,0.32017124,0.21405007,0.23894344,0.1509034,0.14326774,0.14533393,0.12870009,0.18879855,0.18423711,0.7887587,0.8014379,0.117422104,0.18413402
AC091729.9,0.03384306,0.038087737,0.03708177,0.033683535,0.029951312,0.023702042,0.0041631055,0.0182955,0.04368369,0.015401511,0.01665141,0.012829946,0.014533392,0.0072045857,0.013093411,0.020864904,0.020172857,0.015805619,0.012006766,0.007687504
MICALL2,0.114736214,0.1035871,0.12412635,0.08704359,0.10281364,0.053742997,0.0395495,0.00914775,0.12231432,0.039163843,0.14257771,0.025659893,0.1302906,0.060256533,0.105169654,0.03547034,0.12103715,0.03533021,0.08954198,0.05491074
RP11-1246C19.1,0.015683368,0.006925043,0.0062453514,0.005002505,0.018143583,0.004409682,0.0041631055,0.02744325,0.03057858,0.0052805184,0.011447844,0.002851099,0.0035696053,0.0036022929,0.006335522,0.0029210867,0.008069143,0.0018594847,0.0056981263,0.004392859
INTS1,0.25423563,0.16043018,0.15262076,0.11238962,0.19497153,0.13201486,0.062446583,0.109773,0.20531334,0.09768959,0.18940978,0.11475674,0.18561946,0.14409171,0.1165736,0.09576992,0.13717543,0.06508196,0.114369534,0.103964336
MAFK,0.28230062,0.06694208,0.1303717,0.06603307,0.13334094,0.0859888,0.1103223,0.10062525,0.2664705,0.05236514,0.46623948,0.066288054,0.24808757,0.05698172,0.28552085,0.05967363,0.26628172,0.10134191,0.20024844,0.069919676
TMEM184A,0.11391077,0.037222106,0.11866167,0.02901453,0.0786222,0.023702042,0.027060185,0,0.18347149,0.009240908,0.29660323,0.014255496,0.101223804,0.057636686,0.030410504,0.027541675,0.07665686,0.0018594847,0.08933848,0.025625013
PSMG3,0.7643578,0.6803855,0.75217444,0.74037075,0.66641665,0.6832251,0.2643572,0.439092,0.5198359,0.41804102,0.65668994,0.3535363,0.7264147,0.6022379,0.54612195,0.5664822,0.3126793,0.3672482,0.58751756,0.48321453
PSMG3-AS1,0.025588652,0.024526194,0.019516721,0.027013527,0.029087333,0.026458092,0.016652422,0.02744325,0.008736737,0.027722722,0.010407131,0.030649317,0.019122886,0.02587101,0.017317092,0.025455186,0.016138285,0.02045433,0.018722415,0.023062512
ELFN1,0.009079845,0.008944848,0.0066356855,0.0153410155,0.011519735,0.011851021,0.0145708695,0,0,0.014081382,0.011447844,0.0014255495,0.0020397743,0.0013099246,0.0008447362,0.0018778415,0.0060518575,0.010227165,0.001221027,0.0010982148
MAD1L1,0.2146145,0.14282902,0.23537166,0.16408217,0.23644258,0.21497199,0.3517824,0.2012505,0.21405007,0.46952608,0.17588052,0.22167297,0.18918906,0.20729558,0.23863798,0.25246537,0.31873116,0.41001636,0.2387108,0.29798228
FTSJ2,0.18654953,0.23343165,0.2505947,0.26579976,0.24047448,0.27505392,0.16236112,0.19210275,0.24026029,0.2578653,0.14465913,0.21668352,0.19556338,0.27246433,0.17105909,0.35053042,0.13919272,0.20268382,0.14855829,0.29432157
NUDT1,0.51590025,0.6584562,0.6608362,0.7447063,0.88586766,0.91528463,0.61822116,0.64949024,0.56788796,1.0239805,0.35280177,0.57307094,0.750637,0.7279906,0.6424219,1.0647361,0.62939316,0.84048706,0.5704231,0.6874825
SNX8,0.13537224,0.106184,0.24747203,0.16841768,0.28914535,0.44317305,0.53079593,0.25613698,0.19220823,1.100988,0.11968201,0.5374322,0.19020896,0.2849086,0.23230246,0.36701366,0.59711653,0.5615644,0.12006766,0.35948232
EIF3B,0.92119145,0.7848382,0.8763008,0.6099722,0.71163166,0.74799234,0.24354167,0.24698924,0.74699104,0.4246417,0.9210311,0.3364297,0.7006625,0.54984087,0.78264815,0.5074345,0.56887454,0.28822014,0.5053017,0.59596455
CHST12,0.11968885,0.110512145,0.12881038,0.20343521,0.21628302,0.14303906,0.16236112,0.77755874,0.1266827,0.17557722,0.21959047,0.2822588,0.13080053,0.13328484,0.114039384,0.111209944,0.16541742,0.23615456,0.1127415,0.13727684
LFNG,0.07841684,0.030297063,0.026542742,0.042354546,0.13852482,0.048782106,0.10824074,0.11892075,0.2664705,0.027722722,0.015610697,0.066288054,0.049464528,0.02849086,0.061243378,0.040895216,0.084726,0.100412175,0.061458364,0.064794675
BRAT1,0.18242234,0.16966356,0.1530111,0.20877121,0.24018647,0.19623084,0.16027956,0.17380723,0.2664705,0.12761253,0.22479405,0.14896993,0.14788364,0.18502685,0.15247488,0.22450638,0.110950716,0.12365574,0.1487618,0.16619651
IQCE,0.07016243,0.064633735,0.09836428,0.10571961,0.10770953,0.09618618,0.058283478,0.08232975,0.06552553,0.108690664,0.06452421,0.09479904,0.058643512,0.0746657,0.07180258,0.07240122,0.050432146,0.05950351,0.0588128,0.082732186
TTYH3,0.101529166,0.0882943,0.09055759,0.14640665,0.13823684,0.15764613,0.2019106,0.219546,0.06115716,0.20550017,0.07597206,0.27227998,0.04538498,0.09267716,0.06462232,0.12831917,0.13717543,0.51042855,0.057184767,0.19511618
GNA12,0.08419491,0.07011606,0.0702602,0.07803909,0.069406405,0.08020109,0.21231838,0.12806849,0.082999006,0.11661144,0.049954228,0.09123517,0.058388542,0.052069504,0.072224945,0.050910372,0.10086429,0.12551522,0.06512144,0.12336613
SDK1,0.005778083,0.004328152,0.0078066885,0.03501754,0.0100797685,0.004134077,0.0145708695,0,0.0043683685,0.0008800864,0.0062442785,0.0042766486,0.008159097,0.0042572552,0.008447362,0.0025037886,0.0020172857,0.0065081962,0.0046806037,0.0095178615
FOXK1,0.3252235,0.2117909,0.19555755,0.18475918,0.25890607,0.19485281,0.17693199,0.2012505,0.4324685,0.12321209,0.3975524,0.15894876,0.19607331,0.12968254,0.2356814,0.14521974,0.18962486,0.06880093,0.17826995,0.15521437
AP5Z1,0.2657918,0.14052066,0.12842004,0.13973665,0.15551643,0.15378766,0.10407764,0.1646595,0.27083886,0.14961469,0.17379908,0.1696404,0.13717483,0.11691077,0.13938147,0.15419166,0.14524457,0.18501872,0.16931576,0.17498223
RADIL,0.0008254404,0.0008656304,0.00351301,0.0043355045,0.005183881,0.00055121025,0.008326211,0,0.008736737,0.010561037,0.0020814263,0,0.0005099436,0,0.0016894724,0.0008345962,0.0060518575,0,0.0018315406,0.0014642865
RBAK-RBAKDN,0.051177304,0.050495107,0.039814115,0.05769556,0.04924687,0.05264058,0.041631054,0.064034246,0.04368369,0.051045008,0.052035656,0.05060701,0.037735827,0.03438552,0.049417067,0.02858492,0.050432146,0.05113583,0.022792505,0.03331252
RBAK,0.08089316,0.06347956,0.081189565,0.064365566,0.07487828,0.05236497,0.04371261,0.10062525,0.15289292,0.049284834,0.08950133,0.06985193,0.046914812,0.072045855,0.06208811,0.03943467,0.03832843,0.042768147,0.05576024,0.061866105
WIPI2,0.48866072,0.42762142,0.49845707,0.42888147,0.5489154,0.47817487,0.32264066,0.42079648,0.35820624,0.48756784,0.50266445,0.41483495,0.4439059,0.43882474,0.49332592,0.48886472,0.43371642,0.38770255,0.4196263,0.42830378
SLC29A4,0.009079845,0.0063479566,0.014832709,0.007003507,0.014975656,0.008268154,0.0020815528,0,0,0.0052805184,0.011447844,0.0042766486,0.0040795486,0.011461841,0.0054907855,0.0027124379,0.0040345713,0.0018594847,0.001628036,0.0010982148
TNRC18,0.16096088,0.06117121,0.05230482,0.061364062,0.11606134,0.0700037,0.08950677,0.109773,0.12231432,0.053245224,0.14465913,0.11760784,0.09280973,0.06353134,0.10010124,0.06906284,0.13515814,0.12830445,0.09585063,0.07504468
RP11-1275H24.2,0.0024763213,0.0020198042,0.0046840133,0.0026680026,0.006911841,0.0055121025,0.008326211,0,0,0.0035203455,0,0.003563874,0.0015298307,0.0075320667,0.0012671043,0.007511366,0.0040345713,0.0046487115,0.0018315406,0.0025625012
RP11-1275H24.1,0.06686067,0.03664502,0.022639398,0.0153410155,0.120093234,0.054569814,0.056201924,0.02744325,0.03494695,0.008800863,0.04266924,0.019244919,0.016573166,0.03438552,0.03125524,0.03484439,0.03227657,0.011156908,0.011396253,0.019035723
RP11-1275H24.3,0.012381606,0.0109646525,0.009368027,0.0073370077,0.01699161,0.010472994,0.0062446585,0.00914775,0.03057858,0.0044004316,0.0062442785,0.002851099,0.011983675,0.0085145105,0.004646049,0.00438163,0.008069143,0.002789227,0.006715649,0.0051250025
FBXL18,0.050351866,0.02164076,0.020297391,0.015007515,0.038591117,0.019843569,0.016652422,0.036591,0.07426227,0.012321209,0.053076368,0.033500414,0.025242208,0.019648869,0.030410504,0.022951396,0.044380285,0.022313816,0.02075746,0.028919658
ACTB,26.716204,32.013607,50.351974,80.21717,41.062096,74.56469,89.07172,102.29014,26.101004,125.39955,29.531275,158.61377,37.433174,82.640854,44.53238,112.86558,70.07042,130.37685,40.644123,118.33924
CTB-161C1.1,0,0.0020198042,0.0011710033,0.0010005011,0.0025919406,0.0008268154,0.0020815528,0.00914775,0,0,0.0010407132,0,0.0012748591,0.0009824435,0.0008447362,0.0020864906,0,0.00092974235,0.000407009,0
FSCN1,1.2538439,1.9468029,2.5242927,2.4652348,1.0986948,2.6816378,0.69523865,0.292728,1.0265666,1.1643542,1.2311636,4.469811,1.5690964,2.5091605,2.0100498,2.013672,1.6481224,1.6270491,1.1660808,4.37785
RNF216,0.22121803,0.15552492,0.21039027,0.15741216,0.17222004,0.13890497,0.16236112,0.21039824,0.1965766,0.1905387,0.2289569,0.16750208,0.14431404,0.15653598,0.15923277,0.13666514,0.20374586,0.12830445,0.15181437,0.17534831
CCZ1,0.5456161,0.48359886,0.3352973,0.2704688,0.7176795,0.5324691,0.38508725,0.50312626,0.7207809,0.44752392,0.42565167,0.30720592,0.61728674,0.5216775,0.5596377,0.43232086,0.381267,0.28822014,0.47762507,0.5809556
PMS2,0.088322125,0.106184,0.101877294,0.11272312,0.06623848,0.04905771,0.020815527,0.064034246,0.14415617,0.0866885,0.12176343,0.079118,0.06272306,0.088419914,0.059553903,0.07135797,0.06253585,0.033470724,0.06898803,0.080169685
AIMP2,0.29550767,0.4123286,0.5203158,0.53560156,0.37986326,0.48423818,0.21023683,0.21039824,0.27520725,0.39207846,0.32158035,0.28439713,0.47271773,0.4522515,0.36872736,0.5145286,0.2501434,0.30402574,0.3319159,0.43635738
EIF2AK1,0.408593,0.40107542,0.5472489,0.5832921,0.53048384,0.4726628,0.3205591,0.292728,0.4761522,0.6279416,0.52660084,0.4661547,0.30214158,0.46011105,0.42701417,0.48531768,0.34899044,0.34400466,0.37159923,0.50883955
ANKRD61,0,0.00057708693,0,0,0,0,0,0,0,0.0004400432,0,0,0.0002549718,0.0006549623,0.0008447362,0,0,0,0.0002035045,0
AC004895.4,0.0008254404,0.00057708693,0.0011710033,0,0,0,0.0020815528,0,0,0,0.0031221393,0,0.0002549718,0.00032748116,0.0004223681,0.0008345962,0.0020172857,0,0.0002035045,0.00073214323
USP42,0.16673896,0.10329856,0.12842004,0.101717606,0.11865327,0.09673739,0.0749359,0.1646595,0.19220823,0.08052791,0.2310383,0.09765015,0.16216207,0.095297016,0.15416436,0.08554611,0.17550386,0.08646604,0.1310569,0.11311613
CYTH3,0.16261175,0.08223488,0.0804089,0.062031064,0.1523485,0.055672236,0.08326211,0.10062525,0.096104115,0.2068203,0.100949176,0.027798217,0.05277916,0.035040483,0.08954204,0.064055264,0.110950716,0.06508196,0.044363983,0.033678588
FAM220A,0.05943171,0.026546,0.056598496,0.05069205,0.06825443,0.046301663,0.031223292,0.11892075,0.06552553,0.06292618,0.07597206,0.04490481,0.048954584,0.057964165,0.055330224,0.056543894,0.054466713,0.03997892,0.049248092,0.055276815
RAC1,4.4053755,4.6481466,5.857749,6.668673,6.718886,7.033994,5.349591,3.7139864,5.198359,9.543217,5.3471837,5.603122,7.4520607,6.8161926,6.8698173,8.400419,5.6564693,6.5732784,5.2746334,5.4464135
DAGLB,0.0775914,0.04097317,0.085483246,0.06369857,0.0786222,0.066145234,0.07285435,0.073182,0.12231432,0.08140799,0.067646354,0.10549067,0.07343188,0.078595474,0.06377758,0.123311594,0.08270871,0.119936764,0.05107963,0.09261612
KDELR2,0.82048774,1.0378908,1.2611705,2.2391214,0.9875293,1.2575861,0.87217057,0.8964795,0.76446456,1.4622635,0.8908504,1.2095789,1.0956138,1.4451745,1.1120952,1.3616437,0.9682972,1.7516346,0.9312366,1.502358
ZDHHC4,0.16096088,0.26747978,0.1947769,0.28580981,0.1653082,0.22682302,0.17068733,0.1646595,0.16162965,0.32739213,0.107193455,0.18460867,0.13335025,0.21908489,0.17739461,0.2637324,0.13112357,0.2305761,0.110299446,0.20280367
C7orf26,0.15353191,0.11310904,0.12842004,0.0987161,0.13334094,0.11492734,0.07701745,0.109773,0.16162965,0.089328766,0.19357263,0.089096844,0.14201929,0.1008642,0.15416436,0.091388285,0.098847,0.08553629,0.1127415,0.12300006
ZNF853,0.005778083,0.0049052387,0.0027323412,0.008004009,0.008639802,0.0038584715,0.0020815528,0.00914775,0,0.0052805184,0.0010407132,0.003563874,0.0025497181,0.00032748116,0.0025342086,0.0004172981,0.0040345713,0.0018594847,0.0014245316,0.0014642865
RP11-611L7.1,0.12794326,0.049340934,0.07845722,0.042688042,0.0912939,0.05953071,0.0395495,0.08232975,0.15726127,0.0356435,0.18732837,0.04419204,0.10249866,0.049449656,0.080249935,0.03985197,0.1250717,0.04369789,0.06919153,0.042830378
ZNF12,0.17086618,0.10820379,0.1530111,0.10238461,0.15436447,0.08571319,0.031223292,0.0914775,0.27083886,0.07788765,0.19357263,0.095511824,0.10275364,0.089402355,0.119952545,0.07052338,0.112968,0.063222475,0.12413775,0.09115183
CCZ1B,0.14032486,0.15754473,0.2775278,0.2708023,0.042047035,0.021772806,0.12073006,0.1646595,0.14415617,0.026402593,0.21750905,0.24733284,0.038500745,0.03635041,0.14276043,0.15147921,0.24610886,0.30216625,0.02788012,0.033678588
C1GALT1,0.24350491,0.20255752,0.2447397,0.30348533,0.22953072,0.17941894,0.21856304,0.48483074,0.44120526,0.2860281,0.4183667,0.22880071,0.21927576,0.23316659,0.5245812,0.22054204,0.21988416,0.17479156,0.56248647,0.26174122
RP5-1159O4.2,0.0024763213,0.0028854348,0.0023420067,0.00033350033,0.0077758217,0.002204841,0,0.00914775,0.008736737,0.0013201296,0.0041628527,0.0021383243,0.004844464,0.001964887,0.0029565769,0.0012518943,0.0060518575,0,0.00407009,0.00036607162
RP5-1159O4.1,0.020636009,0.010676108,0.023420066,0.00967151,0.026207397,0.01240223,0.02289708,0.00914775,0.021841845,0.008800863,0.026017828,0.004989424,0.007649154,0.009824434,0.016894724,0.008137314,0.008069143,0.002789227,0.013838306,0.0062232176
MIOS,0.17004073,0.11282049,0.20570625,0.13039865,0.13449292,0.11933702,0.12905627,0.17380723,0.1965766,0.13597335,0.24768971,0.13756552,0.15425794,0.14736652,0.1419157,0.12748457,0.13112357,0.12830445,0.18376456,0.14057149
RPA3,0.50351864,0.71529925,0.68815964,1.1265641,0.7124956,0.75929207,0.46210468,1.09773,0.48488894,0.6789866,0.44126233,0.67998713,0.9467103,0.92840904,0.71169025,1.014869,0.4700276,0.8051569,0.65101093,0.72921467
RPA3-AS1,0.0817186,0.055400345,0.067137524,0.0947141,0.088125974,0.07083052,0.08742522,0.30187574,0.15726127,0.09812963,0.086379185,0.11475674,0.07674651,0.08481762,0.10432493,0.10703697,0.09279514,0.103201404,0.10704337,0.103964336
GLCCI1,0.06108259,0.017024064,0.03942378,0.026013026,0.08639801,0.028938537,0.033304844,0.37505776,0.096104115,0.018481815,0.07805348,0.0677136,0.049974475,0.038970258,0.028298663,0.020864904,0.05850129,0.042768147,0.030118667,0.025258942
ICA1,0.10318006,0.059439953,0.07533455,0.042354546,0.18316379,0.09618618,0.11240385,0.37505776,0.2795756,0.06688657,0.0790942,0.12045894,0.10428346,0.066151194,0.27791822,0.079495296,0.13717543,0.08181732,0.17949098,0.079803616
NDUFA4,3.8903005,5.49733,5.6883435,6.17676,5.188201,5.5991936,4.6335363,5.1044445,3.4335377,6.792947,3.9255698,4.8939114,5.404382,5.2508326,4.254514,5.016132,3.2437954,3.7617376,4.0515714,4.821895
RP5-855F16.1,0.0024763213,0.0046166955,0.0019516721,0.00066700066,0.002303947,0.0016536308,0,0,0,0.0004400432,0.0010407132,0.00071277475,0.0005099436,0.0009824435,0.0025342086,0.0027124379,0.0020172857,0,0.0014245316,0.00073214323
PHF14,0.5629504,0.5981506,0.5960407,0.63898665,0.6842723,0.58483404,0.3517824,0.53971726,0.7076757,0.3933986,0.47456518,0.39202613,0.41891867,0.5108706,0.65255874,0.49700204,0.3227657,0.303096,0.45157653,0.41549125
THSD7A,0.02228689,0.015292803,0.0039033443,0.012673013,0.008351808,0.0055121025,0.033304844,0,0.0043683685,0.01804177,0.0020814263,0.00071277475,0.0002549718,0,0.0008447362,0.0004172981,0.012103715,0.002789227,0.0036630812,0.0021964295
TMEM106B,0.37640083,0.32316867,0.40204448,0.4038689,0.46827725,0.27808556,0.32472223,0.42079648,0.7557278,0.26930645,0.3632089,0.21240689,0.2819988,0.28097883,0.30917343,0.24724914,0.40345716,0.16828337,0.3239792,0.20792867
SCIN,0.074289635,0.004328152,0.021078061,0.003001503,0.057310686,0.009370574,0.0104077635,0.00914775,0.07863063,0.022442203,0.043709952,0.0042766486,0.023202432,0.004912217,0.032944713,0.0027124379,0.03832843,0.002789227,0.035409786,0.0036607161
ARL4A,0.8015026,0.6896189,1.2865424,1.0641996,1.047432,0.6046776,1.9504149,0.39335325,1.4983505,0.7353122,1.4611611,0.3371425,0.9033651,0.95428014,1.1247662,0.9831543,1.482705,0.39699996,1.5189577,0.42757165
ETV1,0.013207046,0.013561542,0.0081970235,0.046690047,0.012671709,0.014882677,0.02289708,0.13721626,0.0043683685,0.015401511,0.0052035656,0.01781937,0.0040795486,0.005894661,0.005068417,0.003547034,0.014121,0.026032785,0.005494622,0.00915179
AGMO,0.0033017616,0.0017312608,0.0007806689,0.0020010022,0.0017279603,0.0011024205,0.0062446585,0,0,0.0008800864,0.0020814263,0,0.0012748591,0.0006549623,0,0.00020864906,0,0,0.001221027,0.00036607162
MEOX2,0.009079845,0.0046166955,0.005074348,0.0110055115,0.004607894,0.008819364,0.024978634,0,0,0.0026402592,0.0031221393,0.00071277475,0.0043345205,0,0,0,0.0020172857,0,0.0022385498,0.0010982148
RP11-196O16.1,0.01981057,0.009233391,0.016784381,0.008337509,0.010655755,0.004409682,0.0020815528,0.0182955,0.026210213,0.0057205614,0.017692123,0.006414973,0.01147373,0.0140816895,0.0054907855,0.003547034,0.020172857,0.0037189694,0.006919153,0.008419647
ISPD,0.023112332,0.026834542,0.017174715,0.032683037,0.023327464,0.014607072,0.0062446585,0.00914775,0.008736737,0.0101209935,0.021854976,0.012117172,0.018102998,0.028163379,0.009292098,0.010641102,0.014121,0.0018594847,0.015466343,0.013178579
SOSTDC1,0.23194876,0.12003408,0.52226746,0.3685179,0.521844,0.20780626,0.1810951,0.182955,0.6727288,0.1262924,0.6181836,0.23093902,0.35288095,0.7532067,0.072224945,0.07052338,0.23602243,0,0.038665857,0.1032322
GS1-166A23.1,0.0024763213,0.0014427174,0.004293679,0.003001503,0.004607894,0.005787708,0,0,0.008736737,0,0.0010407132,0.00071277475,0.0025497181,0.010479397,0.0008447362,0.0020864906,0,0,0.0006105135,0
GS1-166A23.2,0.0008254404,0.00057708693,0.00039033446,0.0013340013,0.0011519735,0.00055121025,0.0020815528,0,0,0.0013201296,0.0020814263,0.00071277475,0.0005099436,0.00032748116,0,0.0010432453,0.0020172857,0,0.0006105135,0.00036607162
ANKMY2,0.057780832,0.058862865,0.046059463,0.06303157,0.08467005,0.05071134,0.056201924,0.0914775,0.0698939,0.058965787,0.052035656,0.07983078,0.042070348,0.09071229,0.035056554,0.07657421,0.07665686,0.06880093,0.049248092,0.0812679
BZW2,0.7503253,0.66653544,0.97310376,0.7500423,0.71739155,0.7149197,0.3871688,0.42079648,0.8518319,0.5130904,0.7638834,0.6215396,0.8008664,0.8200128,0.9216072,0.82374644,0.6132549,0.39885947,0.69496787,0.6585628
TSPAN13,0.12876871,0.16475831,0.17877316,0.33650187,0.2661059,0.41313207,0.20815527,0.51227397,0.20094496,0.25346488,0.057239223,0.64648676,0.1573176,0.34647506,0.13558017,0.33154336,0.197694,0.4416276,0.13960409,0.4008484
AGR2,0.01981057,0.050495107,0.031226754,0.03768554,0.023327464,0.03279701,0.0062446585,0,0.013105107,0.03476341,0.014569984,0.047043137,0.02141763,0.068116084,0.0025342086,0.0108497515,0,0.00092974235,0.011599757,0.13178578
AC003075.4,0.047050104,0.06896189,0.07299254,0.03768554,0.087262,0.07964988,0.047875714,0.15551175,0.052420426,0.06732661,0.06972778,0.055596434,0.07419679,0.061566457,0.06208811,0.059047684,0.074639566,0.056714285,0.05331818,0.042098235
AHR,0.26001373,0.40540355,0.63117075,0.67867327,0.38101524,0.46411905,0.63903666,0.878184,0.41062668,0.6477436,0.62130576,0.7812012,0.29296258,0.6539799,0.34887606,0.43190354,0.8008624,0.5931756,0.32214764,0.79547364
SNX13,0.14115031,0.12291952,0.23381034,0.19609821,0.16847612,0.11492734,0.19566596,0.12806849,0.21841845,0.15753546,0.23624189,0.15395935,0.12315138,0.19386883,0.15078542,0.14271595,0.16743472,0.119936764,0.15100035,0.15155365
HDAC9,0.0008254404,0.0028854348,0.03669144,0.023345023,0.031967264,0.03555306,0.12905627,0.10062525,0.013105107,0.094169244,0.008325705,0.10263957,0.017338082,0.046174843,0.019851303,0.067810945,0.078674145,0.05206557,0.04558501,0.06259824
TWIST1,0.0016508808,0.0023083477,0.004293679,0.08971159,0.0048958873,0.0060633123,0.062446583,0.02744325,0.0043683685,0.0013201296,0.026017828,0.00071277475,0.016063225,0.0081870295,0.0071802577,0.00062594714,0.018155571,0.02045433,0.001628036,0.008419647
TWISTNB,0.48205718,0.45618722,0.63195145,0.5969656,0.51608413,0.47128478,0.69523865,0.35676226,0.5984665,0.49548864,0.7316213,0.36921734,0.5578783,0.30455747,0.72647315,0.44630033,1.1901985,0.9353208,0.63106745,0.44843772
MACC1,0.053653624,0.03837628,0.075724885,0.03735204,0.07171035,0.06531841,0.0749359,0.0548865,0.16162965,0.050164923,0.07805348,0.0933735,0.0216726,0.07564815,0.026609192,0.061551474,0.06253585,0.08181732,0.03418876,0.07321432
CTA-293F17.1,0.01815969,0.019620955,0.024200736,0.01867602,0.039455093,0.017087517,0.018733975,0.073182,0.07863063,0.0061606043,0.023936402,0.010691622,0.030086672,0.019976351,0.021540772,0.016691925,0.022190142,0.009297423,0.02930465,0.0073214322
ITGB8,0.1634372,0.15321657,0.15574344,0.16741718,0.22492282,0.09039848,0.10615919,0.073182,0.2795756,0.086248465,0.19669478,0.1439805,0.10045889,0.1303375,0.10094598,0.05237091,0.074639566,0.052995317,0.13146392,0.07650897
ABCB5,0.004127202,0.003751065,0.0011710033,0.0013340013,0.0066238474,0.00027560513,0.0020815528,0,0.008736737,0.0008800864,0.0052035656,0.0021383243,0.0010198872,0.0006549623,0.0004223681,0.0004172981,0.0020172857,0,0.0018315406,0.0025625012
SP4,0.01815969,0.008079217,0.018736053,0.02067702,0.04175904,0.032521404,0.0353864,0.13721626,0.08736738,0.03432337,0.023936402,0.049894232,0.021927575,0.017683983,0.029988136,0.022742746,0.04639757,0.034400467,0.025031054,0.029285729
DNAH11,0.0008254404,0.0020198042,0.0078066885,0.01000501,0.0057598674,0.004134077,0.0062446585,0,0.017473474,0.013201296,0.0010407132,0.006414973,0.00076491537,0.0036022929,0.0012671043,0.003547034,0.0040345713,0.005578454,0.00407009,0.0062232176
CDCA7L,0.20636012,0.19563247,0.13739772,0.17875618,0.3090169,0.17280442,0.08950677,0.0914775,0.45867872,0.12717248,0.05619851,0.057021983,0.10912793,0.092349686,0.119952545,0.17672576,0.14726186,0.08646604,0.10175226,0.0981072
RAPGEF5,0.12546694,0.10272147,0.17604083,0.10205111,0.15321247,0.06338918,0.08950677,0.00914775,0.21841845,0.0356435,0.11968201,0.028510991,0.07674651,0.05174202,0.11234992,0.045694143,0.112968,0.002789227,0.122713216,0.03916966
STEAP1B,0.005778083,0.058285777,0.0058550164,0.01967652,0.02131151,0.04409682,0.0062446585,0,0.017473474,0.07700756,0.0020814263,0.004989424,0.00076491537,0.024561087,0,0.005216226,0,0.022313816,0.008954199,0.05820539
AC002480.3,0.0008254404,0.0014427174,0,0,0.00028799337,0.0013780256,0.0020815528,0,0,0.0017601728,0,0.00071277475,0.0002549718,0,0,0.0004172981,0,0.009297423,0.0006105135,0.00036607162
AC073072.5,0.0016508808,0.0017312608,0,0,0.00028799337,0.0008268154,0,0.00914775,0,0,0,0,0,0.00032748116,0.0004223681,0.00020864906,0,0.0037189694,0.0006105135,0.0014642865
IL6,0.061908033,0.012984456,0.0054646824,0.09971661,0.0034559206,0.08157912,0.5453668,0.13721626,0.0043683685,0.06336622,0.045791376,0.03136209,0.016828138,0.052069504,0.017317092,0.01564868,0.17953844,2.4489412,0.033171237,0.19401796
TOMM7,7.4776645,6.6947856,3.9970245,3.7888975,6.4323325,5.700065,5.7887983,4.793421,4.6828914,3.862699,3.5842159,3.9751449,4.393164,3.191959,4.518916,4.5518875,3.9538798,3.872377,5.1830564,3.812636
