P1_Normal,P1_Tumor,P10_Normal,P10_Tumor,P2_Normal,P2_Tumor,P3_Normal,P3_Tumor,P4_Normal,P4_Tumor,P5_Normal,P5_Tumor,P6_Normal,P6_Tumor,P7_Normal,P7_Tumor,P8_Normal,P8_Tumor,P9_Normal,P9_Tumor
TNFRSF18,0.6496216,0.31451237,0.33490694,0.29314682,0.9875293,0.53191787,0.40173966,2.2503464,0.7295176,0.24466401,0.35072032,1.243792,0.59255445,0.60846,0.60060745,0.2900222,0.59711653,0.9316018,0.3701747,0.8401343
TNFRSF4,0.0008254404,0.0023083477,0.029665418,0.0950476,0.053278778,0.21469639,0.36427173,1.5185266,0.0043683685,0.13597335,0.04266924,0.9736504,0.109892845,0.40476674,0.07053547,0.16775385,0.28040272,0.6489601,0.01628036,0.8016968
SDF4,0.7445472,0.740114,0.7490518,0.80073434,0.8639802,0.74248016,0.5641008,0.7226723,0.8518319,0.6891076,0.67750424,0.6928171,0.7521668,0.7433823,0.71169025,0.753849,0.7242056,0.69730675,0.5398975,0.81231284
B3GALT6,0.12216518,0.10791526,0.15184009,0.099049605,0.13017301,0.11189568,0.08118056,0.12806849,0.21405007,0.09812963,0.14257771,0.072703026,0.1274859,0.08318021,0.15374199,0.11162724,0.17146929,0.06508196,0.090966515,0.09225005
FAM132A,0.1551828,0.08079217,0.5066541,0.15507767,0.5339397,0.13339287,0.13113782,0.0548865,0.34510115,0.028602809,0.23416045,0.019244919,0.103008606,0.06647868,0.13304596,0.03129736,0.030259287,0.0037189694,0.07712821,0.034044657
RP5-902P8.12,0.0033017616,0.0011541739,0.0011710033,0.00033350033,0.002303947,0.0019292358,0.0020815528,0.0182955,0,0.0013201296,0,0.0014255495,0.0015298307,0.00032748116,0.0004223681,0.0004172981,0,0.00092974235,0.0010175225,0
UBE2J2,0.50104237,0.49081242,0.604628,0.5392701,0.61659384,0.53191787,0.34553775,0.622047,0.5635196,0.45280445,0.49017587,0.38276005,0.5081588,0.46764308,0.4662944,0.49220312,0.409509,0.3142529,0.39764783,0.53446454
SCNN1D,0.014857927,0.0063479566,0.021078061,0.0026680026,0.013535689,0.0024804461,0.016652422,0,0.008736737,0.0022002158,0.014569984,0.0014255495,0.013513505,0.002292368,0.016894724,0.0020864906,0.014121,0.0037189694,0.010989244,0.00073214323
ACAP3,0.79324824,0.27988714,0.3727694,0.19609821,0.478069,0.21221595,0.10407764,0.13721626,0.82125336,0.09900972,0.5796772,0.11333119,0.48215166,0.24266353,0.32226685,0.15690409,0.367146,0.07995784,0.32092664,0.13581257
PUSL1,0.1758188,0.20544294,0.20804825,0.25012526,0.19353156,0.23398875,0.11864851,0.073182,0.19220823,0.12585236,0.19461335,0.10549067,0.16522172,0.19092152,0.17654988,0.20864905,0.15936558,0.11063934,0.1310569,0.15411615
