GeneID,Macrophage
ADAM8,27.521116
ADAM9,172.37581
ADAMDEC1,76.672226
ADAMTS1,0.12233421
ADAMTS10,5.815088
ADAMTS12,0.006737446
ADAMTS13,0.40273154
ADAMTS14,0.61845165
ADAMTS15,0.44108754
ADAMTS16,0.004217482
ADAMTS17,1.1675897
ADAMTS18,0.011472146
ADAMTS19,0.09964187
ADAMTS2,1.9440454
ADAMTS20,0.00096816977
ADAMTS3,0.0
ADAMTS4,6.280187
ADAMTS5,0.018355437
ADAMTS6,0.3060341
ADAMTS7,0.050782472
ADAMTS8,0.12185645
ADAMTS9,0.02592838
ADAMTS9-AS2,0.038302384
ADAMTSL1,0.001763948
ADAMTSL2,9.725359
ADAMTSL3,0.009403183
ADAMTSL4,9.731978
ADAMTSL5,0.12124667
ADAP1,4.42274
ADAP2,163.4178
ADAR,30.440805
ADARB1,1.0094103
ADARB2,0.11293101
ADARB2-AS1,0.0
ADAT1,16.279139
ADAT2,4.5490427
ADAT3,1.4482423
ADC,22.156546
ADCK1,14.522453
ADCK2,11.699921
ADCK3,18.81885
ADCK4,12.390667
ADCK5,11.266098
ADCY1,0.36686993
ADCY10,0.23476134
ADCY10P1,1.8847545
ADCY2,0.17732072
ADCY3,13.404116
ADCY4,1.7389901
ADCY5,0.050848894
ADCY6,2.952727
ADCY7,72.6493
ADCY8,0.12859416
ADCY9,0.35893896
ADCYAP1,0.0
ADCYAP1R1,0.055212155
ADD1,25.48143
ADD2,0.24587551
ADD3,12.225273
ADGB,0.022121921
ADH1A,0.0
ADH1B,0.004668495
ADH1C,0.0
ADH4,0.7246808
ADH5,58.78813
ADH6,0.05435003
ADH7,0.0061405837
ADHFE1,12.401375
ADI1,103.09461
ADIG,0.054734748
ADIPOQ,0.56985396
ADIPOQ-AS1,0.20248026
ADIPOR1,178.14746
ADIPOR2,7.0842133
ADIRF,0.177374
ADK,27.182644
ADM,180.2157
ADM2,0.7700668
ADM5,0.46718875
ADNP,15.126794
ADNP2,6.8803644
ADO,6.019759
ADORA1,0.5204718
ADORA2A,2.723091
ADORA2A-AS1,0.50960124
ADORA2B,4.16556
ADORA3,505.17517
ADPGK,181.94055
ADPGK-AS1,9.244089
ADPRH,30.721195
ADPRHL1,0.023859471
ADPRHL2,37.21668
ADPRM,17.920874
ADRA1A,5.4874887
ADRA1B,0.11263925
ADRA1D,0.0
ADRA2A,0.0
ADRA2B,0.7684085
ADRA2C,0.014814323
ADRB1,0.25508025
ADRB2,133.69844
ADRB3,0.14466843
ADRBK1,32.19733
ADRBK2,16.183361
ADRM1,83.203186
ADSL,68.28912
ADSS,37.704506
ADSSL1,7.6962514
ADTRP,0.4759284
AEBP1,0.013806366
AEBP2,13.706989
AEN,17.261559
AES,7.809378
AFAP1,2.1331947
AFAP1-AS1,1.0945767
AFAP1L1,0.61357987
AFAP1L2,0.40417415
AFF1,18.165962
AFF2,0.00019894153
AFF3,2.1014018
AFF4,40.826817
AFG3L1P,22.116055
AFG3L2,22.636084
AFM,0.0
AFMID,30.826164
AFP,0.0072811665
AFTPH,27.757896
AGA,34.39932
AGAP1,0.08225486
AGAP11,0.376221
AGAP2,1.4440646
AGAP3,13.596269
AGAP4,6.14307
AGAP5,9.191599
AGAP6,10.043481
AGAP7,1.2739891
AGAP8,4.782871
AGAP9,7.5346694
AGBL1,0.00074270554
AGBL2,0.016644591
AGBL3,0.65298396
AGBL4,0.110929325
AGBL5,2.3853488
AGER,4.0031285
AGFG1,9.367974
AGFG2,1.26553
AGGF1,21.347544
AGK,28.663288
AGL,8.609119
AGMAT,6.658607
AGMO,0.65660536
AGO1,11.908119
AGO2,8.106727
AGO3,22.364065
AGO4,10.634397
AGPAT1,23.022182
AGPAT2,39.009018
AGPAT3,6.292642
AGPAT4,2.6149025
AGPAT4-IT1,4.5453286
AGPAT5,20.674793
AGPAT6,31.335386
AGPAT9,17.984518
AGPHD1,0.8963263
AGPS,7.3509884
AGR2,0.007201591
AGR3,0.0
AGRN,0.44075435
AGRP,1.0193003
AGSK1,0.44101235
AGT,0.39538458
AGTPBP1,17.676517
AGTR1,0.0
AGTR2,0.00046419096
AGTRAP,96.770836
AGXT,0.0
AGXT2,0.001061008
AGXT2L1,0.12538461
AGXT2L2,39.540302
AHCTF1,8.874597
AHCTF1P1,0.054947674
AHCY,57.15767
AHCYL1,31.954823
AHCYL2,3.924115
AHDC1,0.75384575
AHI1,16.181656
AHNAK,43.21088
AHNAK2,2.3514135
AHR,37.12348
AHRR,0.2529962
AHSA1,103.564705
AHSA2,17.928308
AHSG,0.0
AHSP,0.0
AICDA,1.7064185
AIDA,46.770176
AIF1,903.4581
AIF1L,0.23063621
AIFM1,27.904734
AIFM2,3.4020274
