MGH100,MGH101,MGH102,MGH104,MGH105,MGH106,MGH110,MGH113,MGH115,MGH121,MGH122,MGH124,MGH125,MGH128,MGH129,MGH136,MGH143,MGH151,MGH152,MGH66,BT1160,BT1187,BT749,BT771,BT786,BT830,BT920
FAM211B,2.6207654,1.9406999,7.95788,2.4594648,3.4173977,1.70245,3.792813,10.468193,4.463212,6.01468,6.513187,7.748568,5.38421,8.270164,5.2165627,6.9361043,2.9070804,9.744724,12.131703,7.663601,8.006745,0,5.939327,12.597785,14.425624,0.71523774,7.485039
FAM212A,4.513062,7.1059995,15.603754,2.8946195,14.535331,5.1259494,1.5070473,7.1561537,2.180303,4.324781,2.8500366,4.3195133,11.059824,9.81049,0,9.3078785,1.9832482,0,2.5210917,0.95655954,7.785291,131.91045,2.018054,6.28669,12.529583,11.7711115,3.8614757
FAM212B,86.93297,25.477852,27.317024,28.655155,15.767633,16.956,12.470779,25.81673,17.858727,40.466057,19.872309,19.370623,71.123184,28.819078,26.096983,24.298656,17.557373,67.690186,72.347855,32.35947,29.66538,1.8560052,41.964584,20.987057,11.760843,77.16114,22.192034
FAM213A,88.76602,81.82774,79.37605,103.88273,92.588524,73.42159,142.14499,58.32031,81.15709,61.495556,64.043076,86.099,280.1599,153.08984,101.03859,123.36329,88.189095,81.82699,216.73154,52.801052,158.60556,61.235043,128.78282,83.91652,252.37329,231.6116,232.9626
FAM213B,18.734447,28.34685,18.692266,28.941097,18.610773,15.3862,20.8751,26.804,15.982968,27.073938,18.954176,37.72546,12.790227,37.640163,25.493542,40.64801,27.299124,5.3304296,29.11048,19.379976,34.2009,7.3765926,13.585467,23.05596,32.2669,18.870903,27.712973
FAM214A,16.238228,10.55975,32.095127,11.261578,6.6792126,23.6778,13.241447,20.590767,19.51212,14.49064,17.747545,13.426053,29.624813,27.663044,5.1503124,5.0694375,6.4241242,24.792944,19.145763,10.266192,20.36629,11.981636,12.704952,14.640457,6.831116,22.790964,20.318726
FAM214B,4.617081,8.4837,14.508327,10.205915,8.294164,6.6671996,8.658468,6.831501,11.519514,6.1224236,13.734762,12.326864,6.3843107,5.838805,7.7550526,8.264459,4.833905,11.023988,4.7316594,4.571606,11.787476,23.529259,2.758087,11.631536,12.259393,15.567976,12.109207
FAM215A,4.7592344,14.58995,14.621338,14.372507,21.594843,14.3223,15.626464,6.791885,12.011697,5.941111,9.773406,19.623272,11.201428,15.16337,15.7161455,7.9496536,15.318795,18.108341,7.856594,15.833164,14.175848,7.755408,16.013435,42.167046,4.0720243,4.7967095,5.014637
FAM216A,34.67115,11.513149,30.095837,41.998,40.898064,39.144802,49.379803,71.90089,37.69466,58.296696,32.14784,47.777138,34.021152,94.48452,20.017551,63.610737,47.95099,28.688341,26.369347,30.80126,63.70798,13.599554,40.79995,31.59272,44.1445,22.38652,19.944818
FAM216B,0,0,0,0.022957744,0.15503155,0.065,0.00545961,0,0,0.0058585857,0.4908791,0.46110812,0,0.076032616,0.018802084,0,0.033722628,0,1.4638865,0.018486239,0.101765625,0.008219295,0,0.21686743,0,0,0
FAM217A,0,0.0028499998,0.6579926,0.0035774645,0.03656151,0,0.1784401,0.42453843,1.9936364,0,0.0071794875,0.14797297,0.74348366,0.14782609,0.58984375,0,0.045839418,0.062331285,0.44672492,0.5857798,0.11648061,2.2027164,0.31699255,0.24885759,0.27811933,0,0
FAM217B,39.773205,27.952652,29.174051,21.266396,23.033012,22.141748,18.527493,33.02146,22.467089,33.202118,17.864872,37.16914,32.02401,29.51359,34.338852,22.315887,30.552408,28.47196,12.746856,16.40493,52.631454,20.813032,30.844624,18.655779,15.826442,22.74717,11.578239
FAM218A,14.566793,21.34975,25.77275,21.4371,21.914845,15.55585,8.897298,19.208115,4.858727,17.859293,51.02015,29.72746,42.140926,9.940815,21.554478,26.168139,0,12.406564,0,20.268715,27.288338,0.5339364,21.049305,17.313042,40.145836,5.31017,10.215902
FAM219A,16.90354,1.6413001,5.304275,8.210704,4.2653155,6.8396,6.7076883,8.179923,9.78394,5.807239,5.491172,14.955434,8.340927,8.945218,6.8675513,10.352208,5.7979555,7.7683434,10.048779,3.7814445,8.766761,2.159503,6.855365,14.989194,9.373664,6.780113,7.631829
FAM219B,39.262917,17.012148,26.394016,32.5367,31.93068,36.346897,35.796906,38.234924,48.073334,46.01313,34.122234,20.986246,44.00644,22.517067,29.38302,43.52584,30.56303,28.849998,28.773188,30.985666,63.200207,45.869854,24.022905,30.004637,37.997395,42.688446,48.20697
FAM21A,9.804927,5.6202497,8.441598,11.62797,6.765252,11.733549,6.564485,15.737192,6.3799996,4.626532,12.936996,5.0573244,20.9111,9.092011,4.049792,11.33723,24.850767,17.533373,15.3834505,8.296054,13.453837,12.936569,7.7529683,14.834081,22.056253,17.098686,7.9306045
FAM21B,2.6221054,4.3458996,13.590781,4.566563,10.200568,14.16865,12.2615595,6.245039,9.213697,11.400403,4.0118318,5.9033513,12.663411,13.149674,7.7247915,3.7560606,8.676934,3.3625767,25.67533,4.0751143,5.571698,9.755497,14.113895,10.684933,8.872807,11.926066,9.865385
FAM21C,13.635694,13.2376,16.777287,14.008113,17.771437,19.830145,16.60961,20.372118,9.000362,16.163164,15.635128,13.062515,18.82574,11.117172,14.572604,13.804155,23.59927,15.717116,50.141747,10.602017,19.042542,25.250025,14.227074,29.19816,26.734533,27.696508,18.848
FAM220A,12.739139,19.53545,23.385836,28.201378,15.006863,25.959848,14.653343,23.137115,19.876726,24.508617,17.860586,25.988623,35.750324,26.333206,16.024168,23.981474,10.810328,34.260242,16.092228,15.3286915,13.423631,13.010182,16.349396,22.353506,9.354584,12.320897,7.754728
FAM221A,69.476654,75.5002,64.10253,117.62039,71.604004,62.3843,66.47164,109.972916,78.53376,152.28374,95.89792,99.929276,151.00516,204.67549,115.9987,80.1859,34.393353,117.54491,113.14677,60.00321,60.323547,22.788149,56.395218,84.470665,74.544304,22.682032,24.557423
FAM221B,0.39148325,0.048649997,0.81724906,0.79270416,0.56328076,0.45675,1.4202507,0.49515384,0.21969697,0.39508414,1.7050917,1.4303243,1.11,1.3280978,0.259375,1.4013419,0.8173357,0.84000003,0.42231444,0.060825683,0.40748942,0.016849209,0.44438294,2.9415417,0.17876956,0.5047749,0.45821512
FAM222A,18.064592,1.8029498,12.03472,3.8105917,8.727177,1.00575,20.963285,12.793192,3.5987272,8.616027,14.989268,15.182676,14.92055,20.475164,7.7052603,13.752338,1.7341608,31.649755,11.157424,3.5075917,32.0277,0,5.335874,13.118301,13.112227,72.65108,4.0240893
FAM222A-AS1,5.270861,0.34205002,2.2728624,0.70969015,2.0503948,1.4798499,6.141866,1.6564615,0.9350909,2.6990232,4.954066,5.5175405,3.5412781,9.006032,1.5192709,3.35342,1.1313869,5.242883,1.513406,1.4222475,14.578086,0,2.1391559,9.473443,3.7465632,13.019872,1.3388363
FAM222B,32.584976,14.354599,13.502306,19.42465,15.034401,16.295748,52.616627,19.18473,27.124607,26.464949,14.914579,21.976135,27.809698,21.64174,23.070107,16.37394,34.554165,32.863438,10.9862,19.436995,18.682285,7.6810923,30.734926,29.32253,34.962242,22.34577,19.685944
FAM223A,0.9095216,5.5442,3.9326022,1.7338028,1.7580286,2.6138499,1.2823398,0.56723076,8.555151,3.4874074,1.8907692,2.2842703,2.667544,2.2113588,2.3111458,2.1846318,0.5617883,1.8594478,8.74869,4.288555,2.8791862,2.0612817,1.5909561,9.044771,2.318215,2.3285239,1.7383565
FAM223B,0.9095216,5.5442,3.9326022,1.7338028,1.7580286,2.6138499,1.2823398,0.56723076,8.555151,3.4874074,1.8907692,2.2842703,2.667544,2.2113588,2.3111458,2.1846318,0.51678836,1.8594478,8.74869,4.288555,2.8791862,2.0612817,1.5909561,9.044771,2.318215,2.3285239,1.7383565
FAM224A,0,0,0,0,0,0,0,0,0,0,0.013186813,0,0.07854637,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM224B,0,0,0.16691451,0.03591549,0.014526814,0,0,0,0,0,0.053113554,0,0,0,0,0.29424244,0,0,0,0,0,0,0,0,0,0.023499947,0
FAM225A,1.6699998,3.9903996,0.86394054,5.420873,3.9893217,1.6320999,2.058607,3.1977694,3.9492726,3.5638049,0.3727106,0.35727027,0.12829573,0.63461953,0.805625,0.35640693,0.25821167,10.681842,1.2727075,1.1701375,0.65820163,1.553655,0,1.134488,4.337399,0.16904236,0.04591361
FAM225B,2.8927271,0.88815,0.00074349437,1.5073802,0.19947948,0.0151,0.34381616,1.3564614,0.044000003,2.7062626,0.0010989011,0.0072162165,0.07909775,0,0.26515627,0.007142857,0.6391241,2.7303681,0.13694322,1.0904129,0.8984961,0.5518973,0.004258618,0.87968355,1.5979778,0.0397728,0.12986971
FAM226A,1.1950239,0.0070499997,1.2964684,1.0876056,1.0505047,0.0558,0.54153204,2.776231,0.06981818,0.21087542,0.91512823,1.0487298,0.6389473,0.014239131,0.6152084,0.964026,0,0.11404908,0.3006987,1.0938761,1.6272751,0.006803696,1.7044457,1.0276823,1.2827262,0.5900498,0.6240975
FAM226B,1.1950239,0.0070499997,1.2964684,1.0876056,1.0505047,0.0558,0.54153204,2.776231,0.06981818,0.21087542,0.91512823,1.0487298,0.6389473,0.014239131,0.6152084,0.964026,0,0.11404908,0.3006987,1.0938761,1.6272751,0.006803696,1.7044457,1.0276823,1.2827262,0.5900498,0.6240975
FAM227A,3.031148,2.0838,4.355613,3.0906196,2.975347,2.8317997,1.9601113,2.1226537,3.393091,2.5764647,4.7996335,4.3305135,3.942431,14.552554,9.211875,3.8067534,3.8253284,2.583804,8.743013,4.994381,2.8567126,2.202103,1.4186757,6.491208,2.921268,4.235376,2.7095952
FAM227B,4.2926793,3.25845,0.49315983,5.8544507,1.8401893,2.85545,3.428329,2.9585001,2.4809697,3.7556899,2.0268865,1.6642432,2.426642,1.8650001,0.6333855,2.3025975,2.8087227,3.2346625,4.8948903,2.8948393,3.3894806,1.3075817,1.9910018,2.4694035,5.978194,5.075092,2.087021
FAM228A,1.9452152,0,1.1844981,1.319183,0.19883281,3.7294998,2.3661559,1.046577,0.8730303,2.696128,1.904249,2.7642164,1.7930827,0.22913045,5.79698,1.3001298,1.3206205,0,0.43633187,2.1749997,4.388133,3.0536208,0.3476433,1.1664869,2.1386156,1.0877246,0.40600914
FAM228B,9.259617,19.9382,13.225985,15.720564,13.010647,17.664349,12.084597,11.632808,14.193454,15.032222,12.511099,22.30884,10.313759,10.191358,24.126616,17.981556,25.263792,16.684418,14.263496,16.625618,24.439064,21.40395,7.8310366,13.918997,6.166768,14.981894,6.5140276
FAM229A,2.362249,2.01075,3.6438289,9.760928,3.8197165,7.5320992,2.947883,8.067,8.472667,2.410303,1.9111722,3.1277838,0.9872431,9.540109,5.8034897,6.4691343,6.0142336,0.61153376,2.974367,6.473302,1.9294333,2.1732407,5.2382874,2.2236774,0.7326273,11.920419,4.058092
FAM229B,36.486122,18.7451,33.664124,24.77442,20.078564,24.974499,45.309444,22.346998,21.344969,27.253466,35.82407,50.00219,37.777218,18.540491,48.142345,56.174156,31.541533,35.371346,46.611664,33.8281,29.371294,1.3919826,19.730722,32.79016,30.491974,59.3885,23.651735
FAM22A,2.0403826,1.0351,1.6238662,1.1773521,1.4020032,3.2637,2.316936,2.1448076,1.549515,1.0421212,0.6937362,2.9094868,2.7233834,3.3284783,1.1646874,1.0747187,0.91649646,2.6320858,3.6320524,1.6439908,1.3048699,3.0130672,2.6234322,2.323909,2.7493935,1.5134081,1.0107294
FAM22D,3.397464,0.1848,3.3759477,1.6264788,2.7159936,3.49135,4.2389693,2.6794615,4.2916965,3.0259933,2.198718,6.9219465,6.668296,5.488805,6.1489067,6.842381,0.70459855,6.8993254,6.5413976,2.771697,2.494711,5.363886,4.831115,7.1467648,3.6003876,3.2706423,5.6253977
FAM22F,0,0,0,0.06884507,0,0,0.010501392,0,0,0.015185185,0.0074358974,0,0.004686717,0.009673913,0,0,0.11817518,0,0,0,0,0,0.0029021401,0,0.20854041,0,0.06721062
FAM22G,1.5920573,1.8916001,1.4601859,3.1896615,2.3578074,1.85275,1.4174652,0.9833846,3.4925454,2.9735687,2.9564836,1.712946,3.9463158,4.6034784,5.2339063,1.6278789,1.1312045,5.4390182,5.728079,1.9653211,3.4094179,3.746465,2.0917857,4.1828527,1.5079925,0.9291918,1.3334267
FAM24A,0,0,0,0.057183094,0,1.0233,0,0,0,0,0.25190476,0,0,0,0,0,0.031313866,0,0,0.015252293,0,0,0,0.34775957,0,0,0
FAM24B,0.094545454,2.5696502,11.120818,9.305774,17.925077,9.422449,18.590778,12.423385,0,0,9.095568,13.407135,2.1750126,0,10.434427,17.509306,8.179306,14.419019,0,0.09793578,1.6518455,7.1234884,11.812706,0.54054046,15.236145,9.674198,3.2772627
FAM24B-CUZD1,0,0.3266,0,0.096056335,0.7797634,0.85415,1.1991086,1.1287307,0,0,0.023919415,0.9406487,0,0,0.54380214,0.99484855,0.2630292,0,0,0,0,0,0.3178267,0,0,0.43737796,0
FAM25A,0,0,0,0,0.13539432,0,0.08147632,0,0.5890303,0.66710436,0,0.08983784,0,0,0,0,0.25507298,0.3515951,0,0.13394496,0,0.1375315,0,0.07477803,0.111511886,0.1899099,0
FAM25B,0,0,0,0,0,0,0,0,0.06327272,0,0,0.021081083,0,0,0,0,0,0.26092023,0,0.029954128,0.029522253,0,0.028075866,0.10377801,0.034528363,0.03472724,0
FAM25C,0,0,0,0,0,0,0,0,0.06327272,0,0,0.021081083,0,0,0,0,0,0.26092023,0,0.029954128,0.029522253,0,0.028075866,0.10377801,0.034528363,0.03472724,0
FAM25G,0,0,0,0,0,0,0,0,0.06327272,0,0,0.021081083,0,0,0,0,0,0.26092023,0,0.029954128,0.029522253,0,0.028075866,0.10377801,0.034528363,0.03472724,0
FAM26D,0.887177,0,1.3019702,0.05678873,0,0,0.269805,0,0,0,0,0.76929736,0,0,0,0,0,0,0,0.011880733,0,0,0.3689584,0,0,0,0
FAM26E,0,0,0.11501859,0,0,0,0.016295265,0.014730769,0.20557575,0.013097642,2.1410987,0.012405406,0,0,0,0.00965368,0,0,0,0.17339449,0,0.003652923,0.37542278,0.81560683,0,0.030500099,0.0050498145
FAM26F,0.14966507,55.2314,64.77925,0,24.97675,14.9166,3.4528413,37.731842,8.494242,0.22370371,37.388206,23.736807,18.373383,0,1.7109896,0,0.8748175,0,0.28650656,0.684289,0,380.12967,1.9522876,11.399839,0,0.8099139,8.575608
FAM27A,6.5607176,4.106,3.9971004,5.561323,4.369921,0.3466,4.1193867,2.0491538,8.196,1.351515,6.4201465,10.06173,3.5165665,4.6004353,5.1985416,7.6141562,2.7304013,0.7898773,7.5492573,4.0277057,6.253273,2.1720335,12.932839,11.290636,52.639736,3.131694,7.9998107
FAM27B,2.177081,6.86015,3.1257248,4.733605,0.6355363,1.2614499,3.8259053,0.68196154,0.944,2.6253202,3.4442122,9.987541,2.2700753,3.3285327,1.9620314,3.5070562,0.69576645,0.56509197,2.9861133,1.9090825,5.719241,0,14.855183,1.6272296,61.4259,1.9710072,1.9889039
FAM27C,2.087703,0.054199997,1.9788846,1.8039155,0.34059936,0.20355,2.1377993,0.96773076,0.66072726,1.6468011,0.99864465,4.390811,1.3563157,1.3348913,0.961823,2.4832902,0.42722628,0.56509197,2.4267685,1.0805964,3.097955,0,3.609557,1.1758435,9.393429,0.7377635,1.709569
FAM27L,0.20435408,0.019949999,0.020223048,0.04143662,0.14529969,0,0.0138161555,0.046615385,0.026363635,0.03003367,0,1.786865,0.5665414,0,0.15302084,0,0,0.14619632,0.10183406,0,0.35516673,0,0.0880754,0.63764554,1.4876014,0.9472196,0.03166104
FAM32A,237.02165,224.47755,235.72212,347.90628,232.07426,210.84044,253.50366,195.82385,325.9673,334.73935,272.36798,311.5039,281.08368,231.3489,287.81003,439.3195,335.04834,214.70123,495.67798,277.0288,362.25317,170.76907,177.81049,233.59656,275.6422,198.09032,308.231
FAM35A,20.749521,14.7876,23.558252,18.225464,20.779652,24.77365,33.46432,22.805,17.009575,21.287981,10.749011,16.719028,17.48516,22.482607,14.663127,21.700563,13.445073,5.3328834,27.786943,12.44282,25.86647,18.3144,25.521206,17.515865,30.761784,23.570082,16.56549
FAM35BP,0.8438755,0.0067499997,0.96799254,0.29738027,0.11670347,0.053999998,0.26064065,0.14980769,0.043454543,0.047542088,0.25838828,0.051324323,0.5595238,0.054891303,0.17041668,1.9012988,0.012992701,0.22411042,0.7631878,0.17915137,0.26507577,0.5044709,0.21945867,0.766257,0.1638722,1.0075834,0.03591356
FAM35DP,2.4013875,0.932,3.889368,3.2863657,2.501167,2.27475,4.097437,0.44834617,1.6213334,1.5088215,3.1933334,2.8222432,1.7859648,2.9371738,2.4796875,4.827186,0.24781021,1.9046625,3.7824454,3.3790822,3.657847,7.3712926,3.4376218,3.5703182,3.0039718,4.27592,1.692319
FAM3A,16.430046,12.1109495,14.432342,19.617716,18.538074,13.8537,18.137438,18.8205,14.476788,15.503805,16.225605,14.880488,14.157318,20.430977,21.289377,33.26065,14.739234,21.231472,21.30415,19.705847,14.634834,12.380852,12.238105,23.23563,12.381297,19.253098,14.440399
FAM3B,0,0,4.0609665,0,1.4500946,0.50135,0,0.17984615,0,0,1.8686446,0.4841892,0,0.41597828,0,0,0,0,0,0.28318807,0.014865746,19.220362,0,0,0,0.014454531,0.49260512
FAM3C,124.14679,83.0712,67.325645,163.03452,117.91503,144.06566,114.42546,139.53413,66.75877,175.7673,55.88689,163.9243,186.31767,40.469025,115.36719,112.4241,89.750175,76.83883,90.69407,124.318695,77.1694,18.469706,80.65418,81.591415,77.04907,53.41339,137.7237
FAM3D,0.049808614,0,0,0,0,0,0,0,0,0,0.020183152,0.39597297,0,0,0,0,0,0,0,0.020573394,0,0,0,0.41172656,0.045849085,0,0
FAM41AY1,0.022057416,0,0,0,0,0,0,0.0646923,0,0,0.004285714,0,0.021403508,0,0.04760417,0,0.007189781,0,0,0,0.00444779,0,0,0.0021533906,0,0.004090973,0
FAM41AY2,0.022057416,0,0,0,0,0,0,0.0646923,0,0,0.004285714,0,0.021403508,0,0.04760417,0,0.007189781,0,0,0,0.00444779,0,0,0.0021533906,0,0.004090973,0
FAM41C,4.1122966,2.359,7.1368394,2.3178592,2.3409464,3.3166502,2.490028,3.0440001,3.7959998,3.789764,3.298535,3.624973,4.2436843,2.1228805,4.1568227,4.0751514,3.8892336,6.9384665,5.694236,2.2958026,4.5646,3.418722,3.9170332,7.4526525,6.9554935,3.4749136,4.1484256
FAM43A,2.735024,0.51655,0.101858735,0.63042253,0.4984385,3.9801998,0.32988858,0.12076923,0.0028484848,0,0.18772896,0,0.09370927,0,0,0,0.22514598,0,0,0,0.0494353,2.095193,0.20661944,4.061197,0.5007041,1.8017236,2.2908475
FAM43B,0.75622004,0.0025499999,0.11003717,0.88929576,0.23711358,0.9967,0.03264624,0.024384616,0.75412124,0.2993266,0.6637362,0.04718919,0,0.5077718,0.075,0,0,0,0.07668122,0.5469266,0,0,0,0.54940027,0,0.58826315,0.53836936
FAM45A,30.861147,13.60415,23.944166,26.473602,19.512033,34.5975,66.084984,29.751732,17.407454,36.338417,19.508535,26.759,33.023808,54.691357,17.934013,38.51173,22.088942,17.945396,27.816769,20.791077,47.23618,21.204731,38.6646,27.593792,56.935093,38.041885,58.126648
FAM45B,1.7089474,1.5580499,2.6800747,2.5874927,4.2949686,9.0390005,23.84237,2.510654,6.533091,6.552323,1.7737361,5.872973,6.2804255,6.5057063,3.4756248,6.564459,5.0119705,1.1900613,5.779301,3.5647476,12.04765,7.9090605,13.882147,10.6771965,11.185604,11.145814,4.179402
FAM46A,22.037848,136.82123,42.713608,28.705662,26.675962,46.575497,33.904987,45.395004,52.915634,54.816265,46.28425,16.462408,15.952731,30.096685,47.777657,27.137272,80.15548,19.709755,8.77441,35.03089,8.904745,35.96451,9.192226,67.643074,72.250145,25.378624,84.561874
FAM46B,1.5410048,0.0038499997,0.30297396,0.20769013,0.19029969,0.066999994,0.026629528,0.045692306,0.7442424,0.13080809,0.26175824,0.1822973,0.0462406,0,0.064739585,0.28770563,0.067007296,0,0.15541485,0.110688075,0.3284783,0,0.8706499,0.36167642,1.7877998,0,7.5815744
FAM46C,1.3728229,3.5963497,0.48936802,0.32816902,4.394542,22.23685,7.8480496,3.1998463,0.5527273,0,7.636739,1.078946,4.616892,0.20445652,0.5521875,0.9909091,0.013065693,0,1.096987,1.9109862,0.8189317,3.0584824,0.0029021401,1.9691694,4.4567056,2.6363587,0.16654693
FAM46D,0,0,0.29096654,0.09056338,0.2516246,0,0,0,0.49654543,0,0,0.012270271,0.024110274,0.040543478,0,0.38129872,0,0,0,0.07720183,0.020776253,0,0.003501606,0.14566758,0.21453415,0.011091047,0
FAM47A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07502183,0,0,0,0,0,0,0.03409085,0
FAM47B,0,0,0,0,0.006104101,0,0,0.17396155,0,0.008518518,1.1039194,0,0,0,0,0,0.014817518,0,0,0.008119266,0,0,0,0,0,0.023409195,0
FAM47C,0,0,0,0,0,0,0.27300835,0.06876923,0,0,0,0,0,0,0,0,0,0,0.027947599,0.06440367,0.012596971,0,0.0030598524,0,0,0.025863865,0.4362822
FAM47E,5.793301,17.0987,3.5225651,5.8402815,12.48609,3.4636998,8.0147915,6.367923,9.750666,27.76404,2.6086447,6.2188106,3.7210526,10.711522,10.178178,8.602164,9.906753,1.2760736,14.027075,7.2327523,5.602391,1.7038672,3.7345328,14.298161,7.813752,7.6403008,4.2688684
FAM47E-STBD1,4.73244,1.71995,0.3594424,1.3943098,0.9229023,0.3464,2.8986075,4.3533077,0,4.261414,0.6882417,1.3518649,0.8324561,13.3924465,0.5213021,0,1.4154015,1.8053987,2.4241922,1.7474082,3.0007625,0,0.79997015,1.4973496,2.410325,0.7101984,0.4316996
FAM49A,43.86143,46.512398,58.88048,21.223152,36.191814,30.2402,55.51443,90.75954,30.956242,29.977442,27.800772,42.218105,36.035164,23.353424,27.356981,40.315155,19.164782,31.282146,28.93878,16.247065,44.852634,19.366405,34.829712,19.012163,37.96773,18.16147,32.12748
FAM49B,28.086025,56.6184,199.65033,55.25363,96.78109,55.4328,117.53398,120.03969,26.096605,43.57384,126.96718,119.9773,74.42024,60.220272,31.55271,109.71641,49.368282,71.88214,38.95751,28.43821,81.03322,274.28015,100.890915,45.444954,71.914566,37.960255,85.02869
FAM50A,52.03368,67.66689,49.374233,67.908165,41.972134,47.9419,64.13877,39.69446,115.86969,37.045017,44.84205,44.5683,51.59955,65.183754,43.536148,127.32,48.005295,42.89467,91.5952,81.9806,54.2732,36.6955,73.82196,132.50551,30.535866,70.54132,44.286423
FAM50B,3.697081,4.9505997,4.3931594,11.457858,12.222412,14.110099,12.2098875,26.39704,1.1841818,13.192324,4.3587914,24.650295,9.56589,32.69386,20.275782,11.68658,0,18.086134,26.877117,11.214563,0.0129850535,30.462582,0.04268132,18.152159,33.624035,40.446724,17.54452
FAM53A,0.22047848,0,0.45929366,0.42270422,0.7198107,0.07085,1.0375209,0.12230769,0.44193938,0.038720537,0.55904764,0.6761891,0.46929824,0.30619568,0.40619794,0.12008658,1.2296715,0,1.5913537,0.084197246,0.12764178,0.81740284,1.6087497,0.02056066,0.009764322,0.6168138,0.005614485
FAM53B,4.38177,5.1563,8.18513,1.9889294,8.117319,3.65505,11.827102,5.240231,5.033394,2.90468,8.54425,6.1809464,9.052231,14.917771,3.692708,7.951342,3.8964963,10.765582,12.643014,3.361399,8.586769,7.1690106,10.796535,5.3557434,3.2385206,6.6994243,4.4488325
FAM53C,39.395645,41.789597,73.66781,20.159773,35.015522,26.374151,36.2778,23.644768,34.873154,23.762997,49.99392,38.289,26.231955,30.004782,14.509846,24.449781,18.880913,33.230553,32.612362,27.614862,28.215248,27.653948,28.583498,27.918985,21.308468,33.22659,36.90748
FAM57A,45.79148,25.4769,9.962418,22.147774,7.007129,2.9822998,9.077578,29.756653,12.610303,34.203907,10.629634,20.268242,15.472356,17.840979,10.805729,26.955801,38.008392,26.947546,12.419127,17.05876,17.698751,0.8309548,16.183043,24.085522,28.349817,21.06063,25.533625
FAM57B,0.6499043,0.00435,3.2649817,0.11622535,0.49184543,0.17445,2.283036,2.9422307,0.16678786,0.4845118,1.1635165,3.4519463,0.7302757,1.0056522,0.79541665,1.9998267,0.5619708,0.43570548,0.19659388,0.7207798,3.7211394,0,2.7145276,1.601342,0.7576902,0,1.7063507
FAM58A,6.892536,9.823649,7.214721,6.566084,13.0506,7.1110497,3.4460168,5.212269,12.027091,9.638788,14.689744,16.23327,6.5105515,3.8419023,9.214948,6.2430305,9.56781,8.913006,10.617468,8.592294,2.6023464,8.323754,3.5469875,11.597175,7.671675,5.8058496,4.26881
FAM5B,20.797897,23.638401,66.83208,20.059801,12.004258,9.1431,16.918385,11.834385,19.43212,17.259256,22.487656,17.546648,44.783108,2.7591848,31.94922,85.5048,6.974781,42.39368,4.389869,45.250362,37.19322,1.3353046,80.5599,7.980102,3.6441002,1.00513,4.755409
FAM5C,0.94746405,25.597698,15.743494,55.008423,29.075851,9.498201,70.83457,68.050316,29.812668,10.683568,2.2219415,34.206867,9.914036,0.7995109,16.246614,58.00412,0.25,40.847973,23.208254,49.24995,43.167995,0,189.6465,59.17789,49.71466,87.42868,2.6555908
FAM60A,39.4233,8.43935,106.407104,42.093155,42.65683,35.369698,27.607103,31.084425,56.434,82.68909,62.833477,67.53868,104.56183,85.04717,62.180153,73.08718,66.13252,39.470547,82.38765,32.008415,117.77214,28.684027,84.26575,68.141785,57.718594,4.0853724,106.93354
FAM63A,20.129377,15.3813,14.25342,10.105239,15.49937,11.429298,31.361727,16.199884,15.437392,14.216059,17.368023,12.267541,22.713282,30.702011,21.615105,11.485802,9.439781,46.611347,16.372578,13.349012,23.757446,17.556322,47.98193,20.901539,13.170392,29.020739,16.525808
FAM63B,33.108856,23.912848,14.820744,41.919495,19.183172,34.691048,30.792953,22.538269,41.204727,37.727943,26.034065,19.743704,29.444487,23.58761,29.32302,22.746101,30.810656,23.321043,18.924236,26.151857,22.219309,17.62872,16.745436,31.672672,18.314144,28.70766,33.615837
FAM64A,131.70433,37.7722,13.944943,94.74422,9.102807,6.5351,46.958218,23.734037,13.813454,58.225456,34.19381,72.89561,65.03691,12.774458,14.36776,88.440834,114.60806,37.55141,65.16695,100.937294,172.23752,4.5680075,146.29129,55.551075,84.21277,15.171897,33.20181
FAM65A,33.65125,107.249596,49.195652,33.398647,36.583076,27.904898,25.051783,44.567074,41.239937,40.74808,32.58601,66.84563,47.173485,42.840492,45.481617,35.378223,32.500725,49.5138,48.73297,26.087683,53.85014,48.414356,61.132866,45.1392,46.58767,33.56681,34.155094
FAM65B,3.245263,6.25675,9.126394,7.608027,3.5387065,16.68795,6.9655156,2.8767307,14.180786,9.291381,17.324724,9.686811,26.731325,5.679131,7.392187,5.40632,14.602701,8.335644,3.447904,12.698669,2.265945,23.879108,0.9848877,1.8291024,0.23773938,7.6881604,17.427275
FAM65C,3.5672724,0.83984995,6.027658,6.8353243,5.0525713,1.9943,1.0479387,1.4900384,2.0816967,0.5016161,1.7124177,2.05873,0.26609018,0.6226087,3.7900517,1.7898269,0.7736861,5.1758885,3.6412666,0.8695412,1.1647079,1.528394,1.4000442,8.645704,0.049292322,5.3798614,1.1154004
FAM66A,2.564976,0,0.27360594,0.8741408,0.31905365,0.57965,0.4467409,0.6410385,0.0389697,1.0603366,0.4593407,1.2523785,0.7484211,0.3857609,0.031302083,0.5461039,0,0.178773,1.2299564,0.46440363,1.0401769,0,0.60529435,0.9701153,1.3277023,0.2124559,0.38113886
