MGH100,MGH101,MGH102,MGH104,MGH105,MGH106,MGH110,MGH113,MGH115,MGH121,MGH122,MGH124,MGH125,MGH128,MGH129,MGH136,MGH143,MGH151,MGH152,MGH66,BT1160,BT1187,BT749,BT771,BT786,BT830,BT920
AAMP,226.79854,211.36565,172.21739,205.425,146.58498,139.8753,154.40718,144.81187,164.35101,164.19417,114.773186,158.44606,176.61345,165.19742,196.76813,170.8067,177.00215,259.0495,139.5835,185.82614,175.21361,113.601456,130.55815,140.24933,178.50314,162.2139,143.24477
AANAT,0.26789474,0.49864998,1.3169516,1.5577747,1.3870348,0.141,0,0.7307692,0.402606,1.5451516,0.35512823,1.5092162,0.16904762,4.0409784,0.23067708,0.76012987,0.029781021,3.1468098,0.10615721,0,0.60395545,1.1837322,0.009432136,0.06920197,0.012782851,1.3764213,0.61931306
AAR2,64.91722,74.74209,70.132,87.137436,51.642143,35.60295,39.45512,45.82584,79.27806,72.294716,53.0741,49.55914,59.58687,53.814457,66.57875,55.66567,100.612885,61.044727,67.77053,45.786213,101.44399,43.400875,41.79218,63.42391,67.236855,41.00107,41.684464
AARD,2.7329664,4.3895497,2.899405,2.8403661,2.9925237,2.3055,2.079192,1.2557309,3.5307271,2.7052188,3.0863004,3.8393784,4.4441853,2.6060326,1.9997396,4.3748918,2.625146,4.2114115,3.8480346,2.2576146,4.160331,2.4255266,3.4745352,3.4059887,2.3611906,3.6750925,3.186414
AARS,49.26981,100.00445,87.101074,76.10081,86.16042,79.34139,89.50772,91.5201,138.86812,94.60576,82.15212,68.82014,75.79666,135.72028,81.82641,60.375584,71.462845,109.70546,113.30909,93.28796,60.838474,49.27312,86.5786,143.83893,59.619465,85.86459,57.91347
AARS2,24.365215,17.713652,14.309888,21.054846,12.182257,21.4811,14.752758,8.913731,14.509758,19.931581,20.50934,20.305431,26.344362,30.332554,22.212553,23.837055,19.272009,21.200369,23.177423,16.253439,17.737686,14.687772,19.424726,20.918549,14.303331,12.495886,12.059925
AARSD1,61.035645,59.711296,47.77539,50.68467,34.41257,36.230896,95.24923,57.539577,41.315693,68.632256,51.89754,60.55603,95.54301,62.7107,49.860733,85.53398,49.510323,76.56454,50.862885,48.7497,91.62074,41.629005,63.267452,71.94516,68.956505,30.949457,44.9978
AASDH,17.487463,18.440098,28.7042,13.716986,19.723614,15.0905,15.474094,23.647232,26.70588,30.916195,11.478791,27.847948,122.293785,21.041302,27.509218,15.114849,22.194563,29.420307,15.294717,16.624426,26.79028,8.440299,11.462872,15.288623,8.128685,36.177055,8.93672
AASDHPPT,123.89268,115.399155,144.1996,143.63301,94.54252,80.8533,179.42535,147.7865,111.54376,170.76442,102.84506,144.64262,154.96104,114.88957,119.51667,140.80382,116.851135,151.15802,98.26354,98.68208,197.42279,35.81916,126.04383,66.13974,169.69633,120.14726,94.47726
AASS,72.55924,219.12819,67.70643,69.479294,76.09565,54.13025,28.914091,33.52585,112.52479,134.0146,72.1641,43.720165,111.74028,38.583153,112.0511,42.17628,63.354565,156.57343,88.05009,76.2708,78.30014,9.696222,15.70367,132.06467,82.35778,106.969124,68.45027
AATF,92.20067,78.334206,94.15472,102.64321,57.786938,72.7386,176.28851,66.46297,57.849815,71.51691,83.01726,93.66111,73.89977,159.78275,84.46782,75.44979,124.38262,102.60227,116.67961,62.95158,131.65451,41.705963,67.7056,76.87559,84.80861,42.012722,58.62316
AATK,1.0220095,1.5569,3.7719703,0.6312112,6.2922087,0.72730005,15.059525,2.4661925,0.59460604,3.6611445,8.553003,3.0491083,6.6152377,25.308262,0.86390626,4.25316,2.7423356,37.399387,0.94301313,0.58924305,3.4052594,0.3645094,3.846158,1.5317773,1.754836,0.0022272833,1.3356836
AATK-AS1,0.1315311,0,0,0.028873239,0.007113565,0,0.040891364,0.073115386,0,0,0.05172161,0.08751352,0,0,0,0,0.008613138,0,0,0.0066055045,0,0,0.034858026,0.009144628,0.02094336,0,0
ABAT,127.1321,23.0908,96.263054,45.77755,49.10981,21.05965,64.990395,77.86823,59.61564,79.604645,58.417213,145.83481,133.49066,38.34332,79.74344,89.25732,50.568577,82.46411,42.410175,81.51752,93.37164,8.932702,117.97231,81.18294,65.50119,93.0654,28.09215
ABCA1,15.225359,85.76429,135.50395,42.450424,74.19924,32.1842,19.280056,19.022388,129.252,2.6290238,136.13132,70.4443,42.681454,14.305924,39.762344,40.988743,33.41942,31.235273,30.236507,50.68428,14.779742,41.352684,13.048274,200.38316,5.7381425,91.022385,69.26597
ABCA10,3.1277034,0.6101999,0.63579935,0.93273234,0.91072553,0.4473,1.0018106,0.56473076,1.415394,1.1598991,0.73161167,1.2437027,0.5910526,1.0479348,1.3030208,1.3481385,0.6071167,0.6784662,1.572882,1.0966513,0.5906895,0.32767293,0.305018,1.0559599,0.5929253,0.4705017,0.2205004
ABCA11P,28.740381,12.574551,17.558292,29.789042,23.919577,13.8047495,11.655794,16.177153,11.492485,20.671143,15.955787,25.86292,21.64516,16.73663,20.267502,22.740435,19.874197,17.73006,25.490263,23.802498,17.038662,9.609293,18.547052,15.028962,17.006905,19.395979,10.184045
ABCA12,0.3323923,0.09245,0.5682156,0.5448169,0.7032334,0.80755,0.804819,0.20665385,0.5212121,0.2452525,0.2141392,1.0731081,2.032406,1.0973912,0.34442708,0.48679656,0.15171532,0.68570554,0.849476,0.055779815,0.9584612,0.1801416,0.7085913,0.4797237,1.3188905,0.07809108,0.29684198
ABCA13,0.4476077,0.19229999,0.5724535,0.27256337,0.5564354,0.17584999,0.12392757,0.42257696,0.17878787,0.4482828,0.51435894,1.5131083,0.51839596,43.74663,0.71937495,0.26887444,0.17682482,1.094601,1.3459388,0.6177752,0.25919336,0.19401796,0.13340709,0.87211806,0.17353831,2.5155933,0.16092983
ABCA17P,0.27148327,0.23389998,0.21516728,0.16895774,0.4605994,0.69729996,0.4615599,0.23834613,0.27769697,0.19447812,0.17750916,0.20321622,0.13215539,0.25847825,0.13203125,0.20705628,0.23003648,0.04386503,0.014061136,0.100711,0,0.022648392,0.31908393,0.8610899,0,0.11154349,0.0693662
ABCA2,7.055741,5.784,18.5242,7.95431,41.361958,11.48335,69.25164,10.871653,41.69018,15.902121,54.657585,11.91392,35.94782,105.407555,16.614117,9.533203,8.156643,182.12523,16.6431,9.549243,12.103824,5.166148,12.576155,21.12767,11.161234,14.085543,8.81039
