GeneID,MESlike1
A1BG,5.596291
A1BG-AS1,8.25254
A1CF,0.07711509
A2M,629.68774
A2M-AS1,2.0531816
A2ML1,1.4472101
A2MP1,0.31351212
A4GALT,1.9059972
A4GNT,0.1746853
AA06,0.01827423
AAAS,63.32149
AACS,20.10945
AACSP1,0.12562688
AADAC,0.037895784
AADACL2,0.13749209
AADACL3,0.04580236
AADACL4,0.0051182033
AADAT,11.33687
AAED1,9.895173
AAGAB,46.232544
AAK1,9.171403
AAMDC,69.92179
AAMP,158.65933
AANAT,1.2538596
AAR2,48.12611
AARD,2.523972
AARS,82.86302
AARS2,15.056574
AARSD1,46.964184
AASDH,18.679546
AASDHPPT,91.426895
AASS,88.91401
AATF,71.07898
AATK,0.5372469
AATK-AS1,0.0034042555
ABAT,27.6882
ABCA1,89.03638
ABCA10,0.9332742
ABCA11P,16.638702
ABCA12,0.4470674
ABCA13,2.0600069
ABCA17P,0.6564529
ABCA2,9.920456
ABCA3,11.050326
ABCA4,2.1296735
ABCA5,5.1918125
ABCA6,5.163678
ABCA7,1.2574741
ABCA8,32.151424
ABCA9,4.6331096
ABCB1,2.2520535
ABCB10,6.9064965
ABCB11,0.1312989
ABCB4,5.4226046
ABCB5,2.0649061
ABCB6,33.71408
ABCB7,37.90316
ABCB8,16.9908
ABCB9,6.8827972
ABCC1,6.9409227
ABCC10,14.922607
ABCC11,0.04628823
ABCC12,0.011501171
ABCC13,0.33587512
ABCC2,0.1951666
ABCC3,41.10918
ABCC4,6.8409257
ABCC5,42.472225
ABCC5-AS1,0.20667829
ABCC6,4.563504
ABCC6P1,0.7747608
ABCC6P2,6.4926395
ABCC8,1.5236331
ABCC9,61.635384
ABCD1,4.7071357
ABCD2,5.193264
ABCD3,97.68801
ABCD4,49.576202
ABCE1,65.42487
ABCF1,38.691055
ABCF2,61.59162
ABCF3,45.623535
ABCG1,4.403286
ABCG2,2.5488517
ABCG4,0.6486414
ABCG5,0.25006914
ABCG8,0.19290785
ABHD1,1.6714262
ABHD10,39.810337
ABHD11,34.553726
ABHD12,39.076805
ABHD12B,2.1744075
ABHD13,25.805672
ABHD14A,52.751743
ABHD14A-ACY1,2.4079592
ABHD14B,24.796972
ABHD15,4.089749
ABHD16A,85.44781
ABHD16B,2.360831
ABHD2,55.97951
ABHD3,30.412153
ABHD4,74.05188
ABHD5,28.48614
ABHD6,12.991298
ABHD8,4.957798
ABI1,57.416336
ABI2,73.196014
ABI3,0.6624713
ABI3BP,11.606692
ABL1,19.880144
ABL2,15.850459
ABLIM1,25.220852
ABLIM2,2.6288774
ABLIM3,2.697749
ABO,0.26234567
ABP1,0.28973997
ABR,32.56881
ABRA,2.7490485
ABRACL,50.691246
ABT1,34.121674
ABTB1,14.458602
ABTB2,9.673226
ACAA1,125.94691
ACAA2,86.945274
ACACA,16.256905
ACACB,3.8933551
ACAD10,20.610826
ACAD11,39.44051
ACAD8,62.23825
ACAD9,29.585735
ACADL,1.5512727
ACADM,76.79785
ACADS,12.451703
ACADSB,12.264052
ACADVL,158.55362
ACAN,0.73425454
ACAP1,0.48607635
ACAP2,18.688568
ACAP3,4.8558335
ACAT1,77.481705
ACAT2,118.40766
ACBD3,20.512346
ACBD4,10.793505
ACBD5,36.492775
ACBD6,90.09702
ACBD7,11.03113
ACCS,3.4767935
ACCSL,0.6658487
ACD,27.893387
ACE,0.7873142
ACE2,0.008274231
ACER1,0.4663185
ACER2,1.7904711
ACER3,31.139746
ACHE,23.777277
ACIN1,33.69209
ACLY,124.79873
ACMSD,0.0751537
ACN9,37.579414
ACO1,33.37665
ACO2,86.23965
ACOT1,12.259505
ACOT11,5.6116834
ACOT12,1.4564168
ACOT13,25.722979
ACOT2,49.842636
ACOT4,1.6565028
ACOT6,1.0472912
ACOT7,62.12659
ACOT8,45.02583
ACOT9,61.807007
ACOX1,23.674955
ACOX2,25.146055
ACOX3,18.98485
ACOXL,0.19906633
ACP1,185.58698
ACP2,69.614845
ACP5,1.2749527
ACP6,35.46362
ACPL2,53.63983
ACPP,5.698293
ACPT,0.24937277
ACR,0.030603435
ACRBP,0.756237
ACRC,1.3219371
ACRV1,0.32574984
ACSBG1,26.830936
ACSBG2,0.31981054
ACSF2,14.830296
ACSF3,17.088142
ACSL1,10.411774
ACSL3,122.310455
ACSL4,15.927489
ACSL5,1.7649676
ACSL6,3.0091815
ACSM1,0.013546977
ACSM2A,0.0059338175
ACSM2B,0.012659531
ACSM3,0.3779733
ACSM4,0.0
ACSM5,2.5904372
ACSS1,5.238335
ACSS2,31.452358
ACSS3,56.827988
ACTA1,0.45184356
ACTA2,33.633095
ACTB,6423.6196
ACTBL2,0.0052719014
ACTC1,0.38489187
ACTG1,4435.3975
ACTG1P4,0.8941263
ACTG2,1.0320641
ACTL10,0.5051892
ACTL6A,113.97537
ACTL6B,5.6330085
ACTL7A,0.6134199
ACTL7B,0.0
ACTL8,0.012021277
ACTL9,0.0031796691
ACTN1,153.33849
ACTN1-AS1,0.023652483
ACTN2,9.565416
ACTN3,0.10009428
ACTN4,112.99682
ACTR10,139.62234
ACTR1A,82.37172
ACTR1B,40.67681
ACTR2,66.27908
ACTR3,255.26392
ACTR3B,16.072973
ACTR3BP2,0.046028078
ACTR3BP5,0.015248194
ACTR3C,5.1068506
ACTR5,14.887128
ACTR6,56.426704
ACTR8,27.464682
ACTRT1,0.0
ACTRT2,0.0
ACTRT3,0.92115253
ACVR1,12.625967
ACVR1B,6.814818
ACVR1C,0.96783006
ACVR2A,18.878016
ACVR2B,3.3536003
ACVR2B-AS1,1.3369482
ACVRL1,2.6129506
ACY1,27.88262
ACY3,1.9388222
ACYP1,26.39061
ACYP2,51.99518
ADA,14.038685
ADAD1,0.0
ADAD2,0.03216341
ADAL,13.673579
ADAM10,59.564564
ADAM11,0.63916284
ADAM12,11.625536
ADAM15,39.230045
ADAM17,62.688354
ADAM18,0.0089361295
ADAM19,17.810677
ADAM1A,6.849744
ADAM2,0.011938549
ADAM20,3.1544588
ADAM20P1,0.6751475
ADAM21,1.2629662
ADAM21P1,0.07475163
ADAM22,9.434718
ADAM23,5.3662324
ADAM28,1.4866036
ADAM29,0.10574468
ADAM30,0.04271858
ADAM32,1.5940824
ADAM33,6.221778
ADAM3A,0.16414927
ADAM5,0.14759803
ADAM6,0.11589975
ADAM7,0.08106382
ADAM8,0.43071258
ADAM9,239.56221
ADAMDEC1,0.03579316
