GeneID,NPClike1
A1BG,3.1382647
A1BG-AS1,4.713288
A1CF,0.680269
A2M,13.638097
A2M-AS1,2.2150319
A2ML1,0.69215053
A2MP1,0.15310542
A4GALT,0.33416468
A4GNT,0.0
AA06,0.0
AAAS,67.9063
AACS,27.406555
AACSP1,0.19208325
AADAC,0.010322609
AADACL2,0.011357526
AADACL3,0.0130375335
AADACL4,0.0
AADAT,26.32407
AAED1,3.3042207
AAGAB,37.28754
AAK1,10.593554
AAMDC,37.892265
AAMP,184.56682
AANAT,0.016182795
AAR2,63.36933
AARD,3.777684
AARS,65.17908
AARS2,21.823107
AARSD1,91.452774
AASDH,47.253418
AASDHPPT,166.21124
AASS,98.709274
AATF,120.745125
AATK,2.2138293
AATK-AS1,0.042526916
ABAT,128.48596
ABCA1,39.701748
ABCA10,1.2067895
ABCA11P,20.915236
ABCA12,0.42502606
ABCA13,0.7990994
ABCA17P,0.040228676
ABCA2,8.272209
ABCA3,16.22096
ABCA4,0.0
ABCA5,12.593242
ABCA6,0.4352823
ABCA7,0.640283
ABCA8,2.8839517
ABCA9,7.7676477
ABCB1,1.0507563
ABCB10,6.8918233
ABCB11,0.008024193
ABCB4,5.172777
ABCB5,3.6152143
ABCB6,39.0624
ABCB7,48.016354
ABCB8,17.768694
ABCB9,8.586817
ABCC1,7.223482
ABCC10,13.409634
ABCC11,0.024892472
ABCC12,0.27322838
ABCC13,0.6165436
ABCC2,0.50529486
ABCC3,0.33904725
ABCC4,6.150683
ABCC5,88.551506
ABCC5-AS1,0.61163265
ABCC6,1.2824169
ABCC6P1,0.30932784
ABCC6P2,2.5708869
ABCC8,5.8351617
ABCC9,97.191315
ABCD1,2.1763878
ABCD2,6.42231
ABCD3,87.10935
ABCD4,39.490047
ABCE1,79.41715
ABCF1,53.27328
ABCF2,78.14023
ABCF3,41.18606
ABCG1,32.081547
ABCG2,0.2987231
ABCG4,1.0722983
ABCG5,0.08099525
ABCG8,0.025188172
ABHD1,2.01735
ABHD10,64.62545
ABHD11,25.949577
ABHD12,44.377365
ABHD12B,2.4504497
ABHD13,29.421707
ABHD14A,43.511276
ABHD14A-ACY1,2.6673002
ABHD14B,8.908456
ABHD15,6.7825418
ABHD16A,103.76744
ABHD16B,2.8283892
ABHD2,69.54239
ABHD3,31.403402
ABHD4,40.27244
ABHD5,22.131126
ABHD6,24.169983
ABHD8,2.1531346
ABI1,61.559467
ABI2,96.51918
ABI3,0.067363076
ABI3BP,0.4517737
ABL1,22.381191
ABL2,14.841069
ABLIM1,20.089329
ABLIM2,7.8356833
ABLIM3,1.4798183
ABO,0.0903629
ABP1,0.40985477
ABR,31.804197
ABRA,1.1927646
ABRACL,69.81323
ABT1,49.882664
ABTB1,10.749115
ABTB2,3.718366
ACAA1,112.94043
ACAA2,78.75538
ACACA,33.706978
ACACB,2.4267151
ACAD10,27.03182
ACAD11,23.153221
ACAD8,73.20262
ACAD9,22.906942
ACADL,2.707526
ACADM,80.019066
ACADS,12.152289
ACADSB,13.103219
ACADVL,77.4671
ACAN,0.40526542
ACAP1,0.14573921
ACAP2,16.436016
ACAP3,35.37767
ACAT1,104.608665
ACAT2,121.78958
ACBD3,14.832408
ACBD4,4.558858
ACBD5,36.707634
ACBD6,106.43151
ACBD7,16.812656
ACCS,3.0626767
ACCSL,0.15647663
ACD,33.001404
ACE,0.015215053
ACE2,0.5639555
ACER1,0.0
ACER2,2.6121583
ACER3,28.62482
ACHE,20.482828
ACIN1,43.788834
ACLY,131.14938
ACMSD,0.17294382
ACN9,38.285778
ACO1,29.381207
ACO2,104.30008
ACOT1,4.4122334
ACOT11,2.1404798
ACOT12,0.5612634
ACOT13,28.126738
ACOT2,27.6358
ACOT4,0.5837903
ACOT6,1.5008872
ACOT7,87.76554
ACOT8,44.91832
ACOT9,41.873653
ACOX1,32.223377
ACOX2,3.779665
ACOX3,21.736145
ACOXL,0.05864298
ACP1,240.99895
ACP2,60.576965
ACP5,0.2075941
ACP6,10.519324
ACPL2,34.5862
ACPP,0.07571243
ACPT,0.60368264
ACR,0.09020116
ACRBP,1.5477332
ACRC,3.4580476
ACRV1,9.28214
ACSBG1,2.3165598
ACSBG2,0.55260545
ACSF2,1.7744106
ACSF3,18.68764
ACSL1,23.82312
ACSL3,72.77593
ACSL4,11.358587
ACSL5,0.26580548
ACSL6,6.289949
ACSM1,0.03811828
ACSM2A,0.0046639787
ACSM2B,0.005134439
ACSM3,0.014126331
ACSM4,0.107836016
ACSM5,2.485083
ACSS1,14.035273
ACSS2,14.950372
ACSS3,11.548312
ACTA1,0.76764953
ACTA2,4.2517986
ACTB,5512.998
ACTBL2,0.0
ACTC1,5.302247
ACTG1,3287.141
ACTG1P4,1.029773
ACTG2,1.4689511
ACTL10,0.5077419
ACTL6A,151.24202
ACTL6B,18.145779
ACTL7A,0.21953917
ACTL7B,0.38403225
ACTL8,0.27106735
ACTL9,0.0
ACTN1,13.718957
ACTN1-AS1,0.0
ACTN2,36.87425
ACTN3,0.022567205
ACTN4,44.65287
ACTR10,105.81554
ACTR1A,138.45415
ACTR1B,35.3857
ACTR2,78.12129
ACTR3,202.4433
ACTR3B,26.315514
ACTR3BP2,0.18065861
ACTR3BP5,0.72399193
ACTR3C,1.5455202
ACTR5,19.501204
ACTR6,96.283745
ACTR8,38.34768
ACTRT1,0.04303857
ACTRT2,0.0
ACTRT3,0.5184258
ACVR1,3.268152
ACVR1B,7.6747174
ACVR1C,0.23336023
ACVR2A,62.53984
ACVR2B,11.2019415
ACVR2B-AS1,1.728486
ACVRL1,0.6995861
ACY1,19.444685
ACY3,1.1415603
ACYP1,33.92318
ACYP2,48.014088
ADA,23.051956
ADAD1,0.028709626
ADAD2,0.018642474
ADAL,17.845757
ADAM10,46.97634
ADAM11,2.5611827
ADAM12,2.0886445
ADAM15,21.032562
ADAM17,64.97192
ADAM18,0.0
ADAM19,3.670633
ADAM1A,16.658623
ADAM2,0.0
ADAM20,0.9128495
ADAM20P1,0.10001456
ADAM21,0.124596775
ADAM21P1,0.07740591
ADAM22,49.628452
ADAM23,7.9635096
ADAM28,0.61143625
ADAM29,0.0026747312
ADAM30,0.0032392475
ADAM32,1.2740351
ADAM33,1.160672
ADAM3A,0.01833333
ADAM5,0.30553764
ADAM6,0.0054032733
ADAM7,0.009919355
ADAM8,1.3374995
ADAM9,64.18768
ADAMDEC1,0.0
ADAMTS1,20.470245
ADAMTS10,6.7627172
ADAMTS12,0.36225802
ADAMTS13,2.8295908
ADAMTS14,0.17379054
ADAMTS15,0.055739377
ADAMTS16,0.4605374
ADAMTS17,2.822858
ADAMTS18,0.6940739
ADAMTS19,0.46764782
ADAMTS2,0.8121792
ADAMTS20,0.7027185
ADAMTS3,2.094465
ADAMTS4,14.993156
ADAMTS5,1.4093962
ADAMTS6,6.20919
ADAMTS7,6.7640967
ADAMTS8,0.23206991
ADAMTS9,2.9825814
ADAMTS9-AS2,3.498804
ADAMTSL1,2.1211
ADAMTSL2,4.186063
