,0,1,2,3
IRX4,2.751302317062654,1.3362018307867913e-28,1.896341717497361e-79,4.6199081304357087e-54
HDC,4.659704453253135e-11,1.1447605409544141e-38,3.7389587840581085e-67,19.65543228597136
ANKRD30BL,3.4313415963774334,1.4910797892681486e-11,3.4488308859598424e-36,5.9679989550468986e-33
LOC100131289,2.4958840340514414,1.2506846785408212,1.955674882423679e-16,1.263989568784063
SYTL1,0.0013902025321200434,2.5483012607631617,0.19607401846632858,9.94989045576627
MSLN,1.5930743825254752e-05,2.5522990666556587e-12,6.73642756340289e-19,17.064743436537032
TFAP2B,2.9531404692532877,4.110258510235857e-06,5.547022093580432,3.6770382656509906
GTSF1,5.214952493824397e-32,4.541613695922672,6.755604037165877e-28,6.386494290780774
KLHL14,3.7407577162934937,5.728738113207045e-16,8.788850532607835e-37,2.233662875572343e-53
CCNO,0.40002247781544564,3.8161733775457525,8.746279674856229,3.7145890232468875e-27
SLITRK5,1.7464980059621529,3.2478028150026925,5.597818459023195e-22,8.404762405427896e-36
COL4A3,0.594313263736717,9.001700261355062e-21,17.06802635488127,8.891241279546442
TNNT1,4.706628540031303,2.7190020057343367e-13,9.114991483117121e-10,4.511297098902703e-06
COLEC11,1.5925387322922133,3.0745098522764884,0.011391146540373969,3.647254076081929
GRAP2,1.0479028207743587e-08,0.080274947799809,1.0193827691597291e-15,17.217065001581208
ANKRD20A11P,2.3668518262695466,5.292898771729504e-13,12.809100242478166,2.5072841458696837
CLEC3B,0.0011119786077007146,4.886501309044101,1.7892843907986134e-43,1.1287610811511808e-06
CFHR1,3.6370325531300236,8.65752029196265e-38,4.057904491096969e-28,2.4463599277175917e-39
MGC39372,0.7559539641977625,5.79848956504142e-16,6.9777371994539546e-15,19.98696650777893
PGM5-AS1,4.195806380843128,1.0569690978686088,0.00020760533292494125,0.0013877736951104017
CRYBB1,2.350790528318942e-13,0.04996991441403642,6.466002302062312e-10,23.428924108701935
CACNA1A,3.213178328628189,2.4552470037820543e-23,9.988697273018927,6.331873393031332
SIGLEC6,1.110135507489334e-40,2.670607362734159e-56,1.2278001750088857e-120,17.88331120364756
HES3,6.70701036119596e-34,3.2848948598940435,1.1631992249909928e-86,3.1595880441040413e-121
C20orf197,6.856367095519908e-31,1.7583545606034304e-19,3.28319857033915e-60,19.927599652647267
CACNA2D3,2.091014859970792,1.9905891632645944e-21,1.8531885832115664,17.89346197128826
LOC100506388,1.4726956231269492e-15,3.5589785426336413,9.270939147380505e-21,10.96992117645914
ODF3B,3.6284436327678463e-13,0.003932989940266568,2.4493811456379165e-15,22.47831250069956
DCT,3.6017547477910967,1.4119302880744655,0.00027191686051943796,2.982039712619284
