,0,1,2,3,4,5
IRX4,8.956095455155691e-12,1.6393442851457702e-11,3.945139416044485,4.2270316852388096e-11,3.575063872343867e-11,7.485448354050326e-13
HDC,2.2081361983003194e-11,1.4850562892016923e-11,0.28278335435514745,19.449514319382136,4.1165987157619106e-11,1.0321838267941471e-11
ANKRD30BL,3.052025270372548e-11,4.406501105236636e-11,4.741807381300314,6.721766018341256e-11,7.650083644102317e-11,3.2856010460899125e-11
LOC100131289,3.6843194636571264,1.9191265505627335,1.8541652126033352,1.036265063401941,7.156897160184198e-11,3.030297011408035e-11
SYTL1,5.001841228359096e-11,2.1511591491897697,0.5994537564495771,9.995400260472183,1.4013320896415513,1.441371495680993
MSLN,8.37281974109677e-11,8.884394908995173e-11,0.6592529125218416,16.100970247695052,2.75478755457572e-11,5.210340278606055e-11
TFAP2B,13.166013262952093,5.3149108473903516e-11,0.3760101444428699,3.3275127272084147e-07,11.02311257876735,1.4368314367499093
GTSF1,3.246776699738319e-11,5.530331694307964,4.987057052487871e-11,6.242089063045145,5.214749798550923e-11,4.798707344634905e-11
KLHL14,2.148582247061059e-11,3.4987899517842046e-11,5.190114172325372,4.081127451451878e-11,8.361162351137967e-11,3.2638792038899154e-11
CCNO,5.064203987460149e-11,4.261887563700496,1.5178120303033207,6.19492856889425e-11,3.309635231889629e-11,7.699881210875384
SLITRK5,1.0142469756222881e-10,6.606781322022717e-11,1.908140342005386,6.113767967649333e-11,29.507334939709168,1.0076071221978159e-10
COL4A3,13.51007242019063,7.060874215155369e-11,4.311699356319493e-11,4.008633673055899,6.601274393211961e-11,10.003656218990322
TNNT1,7.008683224637639e-11,6.803433086549278e-11,5.8041838040946665,1.0177455062741387,3.962730610309516e-11,1.2836733409582764e-07
COLEC11,2.0433981990569725,3.78867429475218,1.5191477248387097,3.067625570305532,7.253367218677098e-11,1.7634072105355115e-05
GRAP2,6.525242454699742e-11,0.11685767322817599,0.5627715015637574,16.61351624123144,3.0621092967766047e-07,0.0003688720460119462
ANKRD20A11P,16.45026604949687,1.3658877747949585e-09,8.15965698776955e-11,6.885987644546185e-11,0.809385769794029,6.176632807968829
CLEC3B,0.8816367737683736,0.8862930314664603,0.0011452633332111118,0.9917511316010955,29.025462846351946,5.01988409758184e-11
CFHR1,3.5059437636219937e-11,1.627636653272593e-11,4.7689492563997815,5.005910955802896e-11,4.9196712815092716e-11,5.116026214422345e-11
MGC39372,6.608805389659842e-11,5.107147799310532e-11,1.4649815035724492,19.517065276601244,8.850108720767105e-11,8.394703764553813e-11
PGM5-AS1,5.479587607496618,0.8866444447169305,4.00483957250307,9.329118354851189e-11,3.0170398757368786e-07,7.443811383971955e-11
CRYBB1,7.601965672788312e-11,0.8519138970015483,4.408951857828879e-06,22.17795326171826,0.6365694756099444,1.3627980691935298e-07
CACNA1A,21.873888629507565,8.573392254814448e-11,8.949665018157685e-11,0.36583636216564897,1.0443597391529476e-10,1.0440366672940629
SIGLEC6,1.922592477808757e-12,1.8202683187371516e-12,4.4673070758460716e-11,17.85620107873405,8.62255338824712e-12,9.954401611543522e-13
HES3,4.799564116845562e-12,5.296406783074982e-11,3.5449753732568396e-11,1.613227641672226e-12,29.829867169504997,7.379348486708618e-11
C20orf197,1.787856117771812e-11,6.687459934042194e-11,6.618312845012474e-11,19.73453044632316,3.22008166445354e-11,1.63631288736937e-11
CACNA2D3,11.709921263791585,5.487706223577518e-11,0.00031747706731808317,14.034963779404965,2.9646505181832445,4.122707452267654e-07
LOC100506388,8.549042780670135e-11,1.4419010623955938e-10,1.5032114865453377e-07,11.720051792737635,25.0631140446127,1.1920138527806858e-10
ODF3B,1.4550562071301188e-10,1.5270837177701362e-07,0.33020595079123827,21.572821063380093,1.0751505105842412e-10,8.187396707651079e-11
DCT,6.451837013425893,1.1950105554260886,2.7110499409071713,1.9026187210852807,5.011163532025248,8.075418401774844e-11
GPAT2,5.51748628673412,1.5968956095700149,1.4305423767094168,4.07052509676459,8.465778194173965e-11,1.747316295053378
ANXA3,5.882807919984906e-11,4.739956142977214e-11,3.9383543581629056e-11,2.8093904977990163,29.001518469715027,6.185962324415001e-11
TEK,1.5213129105238674,3.115038696428996,1.5574917634351668,0.002099063570026769,4.928139459275445e-06,11.109650258948514
WDR49,7.432413770430425e-11,2.983559848732919,1.9134400857970607e-07,8.11621222956606e-11,28.002404896913554,2.0954020056850626
GNGT2,8.323775444625945e-11,3.6740493969331367e-06,9.668307422481006e-11,22.04611009707245,0.04872142575799784,6.27181249544263e-11
FFAR4,1.3603527239973e-05,1.1497969631667482e-08,0.4210385291050842,22.61889740382324,9.614078882615986e-11,0.0018581667449872356
ABCA6,0.7466385942563362,1.560235701092129,7.06596881548504e-11,5.318831650100619e-10,28.715397552738516,5.74289435112019
CCDC64,4.509834949624098,1.0656041802291636,2.082633459111624,1.9414785997015858,5.911136562955223e-11,8.174870439727142
SST,9.021770440828641,5.129839983670859e-11,2.3484766557610146,7.21519401562711e-11,1.4433064180243575e-11,7.499652971584127e-11
SLC16A10,11.584244473881657,3.103120223123452e-06,1.2828826160944324,6.591304660084875,0.000274683820792114,9.117239830021472e-11
FEZF1,3.168295882549561e-11,1.6560727208897144,6.170017316239783e-11,5.4695720415093966e-11,5.848628506811502e-11,29.982038473790947
SLC38A4,2.319794486104926,0.7445727868971586,1.3381236021111849,3.395022191375437,4.6240658839833095,5.7514531440238626e-08
KNDC1,1.789637189922711,0.002243027423722149,8.204025679059824e-11,8.611364712117301e-11,28.84017312979257,3.0648371216246235
CNTN4,15.396100941488958,2.4550948323798927e-05,0.9811879154935066,5.076120951673661e-11,0.004620670410652696,4.100568952196492
MAPT-AS1,12.623041460636424,1.8244982481908065,0.007150736952834809,3.7108164046959975,4.9001964179460416e-11,9.745367944543061e-06
TDO2,3.33454281831151e-11,9.586639500560511e-11,5.991274236357368e-11,3.091651000092938e-11,28.556648549998904,2.3575672881324476
TMC8,2.604092942352285e-10,1.3168976265393675,8.873141595983166e-11,15.634368600887646,1.1407492751555535,8.260722318621512e-11
EMR4P,0.673945567954974,7.251915535863609e-11,0.7383166953353842,21.54480058327498,1.7220392323844608e-07,0.6966235963698488
OAF,5.863201220807876e-11,1.1878549365576667,1.0827480820361983,1.6796833616702223,30.52135375458649,6.243391525083852e-11
CLMP,3.9953326995337264,6.712399000589238e-11,2.799528365529991,2.2597342993433799e-07,12.074712472565487,7.233581533711672e-11
NFATC4,8.632184128752006e-11,2.1426850724565956,1.1899534096561952e-08,6.0558866931223e-11,30.388862512980406,3.2451934851366917
HAAO,5.4463619420537234e-11,0.5409739270905324,0.7303327385736247,20.102517697958366,9.732535697495193e-11,0.3679403321279513
DACH1,12.539427140547259,7.233726179198884e-11,1.1327662151483482,5.019220494408861e-05,13.65538160402032,3.120046052835769
NAT1,3.859341591847139e-06,5.358446112612854e-07,1.5590007641125079,21.64380981356614,3.06094821933694,1.7983841453216851
