# MGH100,MGH101,MGH102,MGH104,MGH105,MGH106,MGH110,MGH113,MGH115,MGH121,MGH122,MGH124,MGH125,MGH128,MGH129,MGH136,MGH143,MGH151,MGH152,MGH66,BT1160,BT1187,BT749,BT771,BT786,BT830,BT920
1.282261242497603204e-01,2.101775099664718721e-09,3.560961130587835255e-01,6.454757747322578957e-10,1.116216643707986234e-01,8.940716894070741463e-11,5.493901993920922155e-01,1.560662247240891254e-01,2.988047953851671400e-10,1.485848038039898900e-01,4.038866466716942716e-01,3.901184202064564288e-01,7.621246935559867763e-01,4.733601736431043427e-01,2.902879381661101904e-02,3.846329802365665573e-01,2.641317049425572286e-02,9.999999999625970304e-01,2.134971334077885308e-01,2.596714510083586447e-12,3.420283011670899875e-01,1.293653371593682377e-02,3.157435032370296546e-01,1.078708746702270599e-01,2.410310590204841064e-01,0.000000000000000000e+00,4.537725611741092596e-02
1.562727532148229925e-10,2.726116685989251609e-01,4.524891781081163966e-01,0.000000000000000000e+00,3.858976354082450655e-01,1.407405115701619580e-01,3.709761490509883367e-03,1.492529109732732284e-01,5.133441732122139695e-02,4.505403205217451598e-10,2.421536508918757935e-01,1.318491684740953906e-01,1.198526125803686532e-01,8.113236917071024387e-03,3.730620037628233892e-03,0.000000000000000000e+00,3.887203094756283446e-09,3.325159966860679376e-11,6.946210513662614910e-12,2.622619515221108477e-12,2.753866148520570245e-09,8.888297683367102353e-01,7.487878446182802098e-09,6.623898281353444994e-02,1.080296931393243292e-10,3.286100988560615877e-03,5.201448206593006079e-02
8.717738755939667961e-01,7.273883292992996408e-01,1.914147088331001056e-01,9.999999993545243271e-01,5.024807002209563667e-01,8.592594883404308659e-01,4.469000391173979514e-01,6.946808643026376462e-01,9.486655823799737819e-01,8.514151957454698660e-01,3.539597024364298794e-01,4.780324113194481805e-01,1.180226938636445566e-01,5.185265894398246589e-01,9.672405861457606946e-01,6.153670197634334427e-01,9.735868256185412628e-01,4.151392876932536439e-12,7.865028665852652479e-01,9.999999999947807305e-01,6.579716960790437108e-01,9.823369794735295479e-02,6.842564892750919725e-01,8.258901425162384902e-01,7.589689408714861418e-01,9.967138990114392527e-01,9.026082618166589855e-01
