,0,1,2,3
IRX4,9.981491856117075e-54,1.4524496627600927e-31,2.730489249919415,9.313953862383046e-72
HDC,19.2925924080219,1.048963360661424e-38,3.2860402789324878e-15,1.7911573842937135e-65
ANKRD30BL,2.5442913558127424e-35,3.1570883768919e-20,3.408792681922649,7.799894432951381e-35
LOC100131289,1.3396783756074229,1.170388482670617,2.5192930914534086,3.082369240568259e-19
SYTL1,9.725963477634648,2.6026998483936215,0.013898309777087841,0.1644507538282909
MSLN,16.621014992118496,4.2310719301333513e-13,0.15297034125608133,2.43834924052099e-25
TFAP2B,3.7126955072485917,1.18550538602883e-15,2.899540884989082,5.584112201329261
GTSF1,6.13114068355851,4.712876033708468,2.151536118256806e-31,5.34758111232236e-33
KLHL14,8.673672798166064e-53,2.122738034145273e-23,3.7155293163968124,1.8541070550550368e-35
CCNO,5.919756479430461e-29,3.659422664969607,0.8678089636261531,7.973758191106046
SLITRK5,1.4304118212482603e-35,3.25248834220529,1.7808173319245413,2.296138109611489e-21
COL4A3,8.783857660747094,7.495535020108231e-19,0.5151054793587854,17.2342428792724
TNNT1,9.833525094099459e-05,2.350642566373984e-20,4.65294280671928,8.287864672438833e-08
COLEC11,3.56874631413058,3.1010443655468047,1.6114352196818602,0.006633639414292435
GRAP2,16.933179401801688,0.0020296222974295125,0.0004605723139609607,1.4215789656908303e-08
ANKRD20A11P,2.582783579348813,2.1523267038249537e-19,2.2930693875349113,12.9350915526813
CLEC3B,2.4449169007436756e-07,4.984284402195644,0.008884235519714815,3.8584207821543055e-43
CFHR1,6.86700569421049e-38,1.2687757419223319e-40,3.5923519543896627,1.5971961574582447e-22
MGC39372,19.633665097619208,1.6807480900408335e-20,0.7487632887122835,3.424542513672585e-16
PGM5-AS1,0.03881586328102639,0.94600458982475,4.213760859249608,9.555569057705714e-06
CRYBB1,22.391108655598316,0.9809054410657464,7.895012806764665e-16,1.7700340454096344e-16
CACNA1A,6.358610419175215,1.0805536713558108e-25,3.112984222909316,10.168992320938562
SIGLEC6,17.554316052046957,1.0121759423948304e-53,7.104408792802653e-46,7.137793576597015e-121
HES3,6.604582286248551e-121,3.354989631049392,1.1178611557747832e-25,7.359929699190544e-87
C20orf197,19.547292635115195,1.760021614294638e-13,2.1135210951413415e-32,2.918819127476962e-60
CACNA2D3,17.64246154550643,1.3381570807780582e-18,2.0188917794848025,2.080940610043566
LOC100506388,10.718108516649028,3.6444440571774432,1.1685505517481347e-10,7.15802431317989e-25
ODF3B,22.05080098470797,0.003639577597700956,1.2237108158008886e-11,3.1700229809491937e-22
DCT,3.0227191292615148,1.3776386941941807,3.581313573885783,0.0002324503957900586
GPAT2,5.528406337286722,0.9773590164548188,2.164183183362008,3.3004731893344075
