,0,1,2
IRX4,1.414613905137107,3.840029718023043e-36,8.902537600953327e-99
HDC,2.966519961752423e-33,1.2774609328584621e-82,18.92431972558729
ANKRD30BL,1.919856493728207,2.257823447871642e-14,2.5200839995915007e-59
LOC100131289,2.0646132032108726,6.5298175429688056e-18,1.1985958958836462
SYTL1,1.1137853184470854,1.5446948974059263e-10,10.063124784927256
MSLN,0.000806079566371427,7.412832187181363e-31,16.50763977863882
TFAP2B,1.2897855749327978,6.646251516543781,3.3580477471957972
GTSF1,1.3797470454087595,6.720486694890365e-54,8.132446464653828
KLHL14,2.0367875852451585,3.232345269529001e-14,1.127893292526668e-97
CCNO,2.1771067517918223,4.091775449415084,8.596681699974406e-30
SLITRK5,2.5388788596372898,1.3358115850392951e-21,9.815317252556814e-52
COL4A3,2.1495496215994042e-16,12.86650234053821,8.263662907921088
TNNT1,2.2970443683749378,2.7860034025580633,6.321203336638423e-19
COLEC11,2.3306257450006624,1.029043678572967e-07,3.7813716148281915
GRAP2,0.10209710679216918,1.1719065494844989e-14,16.753364480090635
ANKRD20A11P,0.5713084822020198,12.571547353666414,2.4611982582010814
CLEC3B,2.296577329360277,1.9587436902682408e-71,5.082161327511577e-13
CFHR1,1.5941064312151227,1.355954604643038,1.770829111464148e-65
MGC39372,0.01872579608901885,5.803062331378885e-12,19.808265483312844
PGM5-AS1,2.720969847008562,2.4202821030488058,1.3822963474541818e-09
CRYBB1,0.010154816540608735,2.5368366085944744e-22,23.075367933717096
CACNA1A,0.681259097641923,12.4671586353069,6.348478377470962
SIGLEC6,2.3649150056009783e-72,3.5526699944394767e-189,17.21952943263514
HES3,1.2170527802735658,2.615851790474714e-162,1.6563477866931754e-81
C20orf197,5.125234113572339e-37,3.151604412802096e-100,19.448088284227683
CACNA2D3,0.29531332742000427,5.762091266099797,17.557209106276414
LOC100506388,1.4808095458418928,1.269739574928371e-39,10.976230208526
ODF3B,4.4717099082729216e-08,7.82733791496941e-26,21.89582441189935
DCT,2.6567404510933756,1.0686120286737677,2.926802895303509
GPAT2,1.5423482929801695,3.675515832238114,5.311058993711686
ANXA3,1.1069007596034923,6.5253202405093565e-96,2.6515910245474665
TEK,1.8737330640451637,7.842938345104146,0.001666625546998356
WDR49,2.8898588626424506,2.272312120447443e-36,1.754597760266875e-22
GNGT2,1.5641532036184185e-18,2.1725263940566814e-38,22.47560292523149
FFAR4,4.512903500811055e-09,1.239916423012857e-15,23.206747413197192
ABCA6,2.459827825428226,0.00046012848923046226,7.007503922162935e-11
CCDC64,1.4685385359513545,8.121487304600151,2.307333846197529
SST,1.4665981942378605,4.6155044882051905,0.0011290078714246215
SLC16A10,1.2969137711552843,4.689213893114614,9.63031328793334
FEZF1,3.32467255084456e-14,18.103487162962146,1.5401266761000702e-43
SLC38A4,1.526427747312165,6.52376666423733e-07,3.1025506628491217
KNDC1,2.166385632013327,1.3566953816423415e-16,3.522365969466226e-21
CNTN4,1.3100301223971136,11.208487570081468,0.001399372521776676
MAPT-AS1,1.52099092179514,5.337831448833872,6.930206953619738
TDO2,1.5882614227196534,1.2935532707854092e-40,4.072088083780799e-58
TMC8,0.35638394305409304,2.593956798577929e-25,16.29843938651619
EMR4P,0.00015154921258568032,0.00016445489309145864,22.447281555781863
OAF,3.0224118986654656,2.563061014653141e-73,6.023281755814247e-06
CLMP,2.399634663293986,4.984610564842356e-05,4.434790817008474e-08
NFATC4,2.736357867781495,5.577871697492695e-28,8.889063812245395e-34
HAAO,0.2976195043130793,1.1858870888988549e-15,20.468362154322048
DACH1,1.8658708644148214,7.437713931127553,2.6932571136158505
NAT1,0.5917547172127658,1.3788073243787864,21.92568853100986
BTBD11,1.4972558681453616,4.481756727076452e-56,6.749759225997727e-15
TNFRSF10C,1.8277213866536033,3.6139516323413114,8.219034730208229
FEZF1-AS1,8.998378613498712e-25,18.908506595414284,1.4902081016001396e-59
IGF2BP1,2.067815859818713,8.161478516924899e-35,1.6859138886544097e-115
CACNA1E,2.5987409103658847,6.253401616064146,3.1606428936275755e-20
OTP,1.5679502325373438,13.660342453782315,0.6347365626296364
PKDCC,2.663972369713098,1.6690689189272976e-13,9.192840480000764e-32
EPS8L2,2.8888444100915933,2.9860241031359265,3.150673224372845e-06
CD79B,1.3222444564395903,2.4610397906296423e-84,9.692527437244843
