,0,1,2,3,4,5,6,7
IRX4,1e-10,1e-10,1e-10,1.0000000000101895e-10,1.0000000026742925e-10,1.0000000000120863e-10,5.649664005478646,1e-10
HDC,1e-10,1.0000000000030885e-10,1.0000000000504066e-10,26.541556638481044,1.0000000000000007e-10,1.0001112007062844e-10,0.509794137650941,1e-10
ANKRD30BL,1.0000000000000002e-10,1e-10,1.0000000016231424e-10,1.0004586692792977e-10,1.0026196350199017e-10,1.0000020272061365e-10,6.622725161800411,1.0000000002468019e-10
LOC100131289,1.0001698754819519e-10,1.0000000000028711e-10,1.0000000000002629e-10,0.9511136234778889,1.0000000000016936e-10,7.283826149358523,1.0000000004495771e-10,1e-10
SYTL1,1.0000000000008054e-10,1.0006118927610488e-10,2.7681014996441378,13.700812486754867,0.0011237336725912854,2.6331943792312886,2.2470486104158526e-10,0.5537034754747465
MSLN,0.05397754174689766,1.0179111402773538e-10,1.0000000000001616e-10,19.472522184011563,5.156556352278949e-08,0.596029394901634,0.9801469789727231,1.000000000937726e-10
TFAP2B,11.607743471997768,42.60133634454003,8.224203152052183,1.0678922039077822e-10,1.000144821448552e-10,1.0000058023832096e-10,2.041651984480641,1.0000002204718783e-10
GTSF1,1.9272842210774182e-10,1.0000000000002048e-10,1.0000000000002687e-10,5.424286273915195,10.568473932240975,1.0000000194609792e-10,1.0000000000176209e-10,1.000000001065256e-10
KLHL14,1e-10,1e-10,1.000000007334626e-10,1.0000000000008588e-10,1.000000538944582e-10,1.0000238966210078e-10,7.067671056445944,1.0000000003243465e-10
CCNO,1.0000000000101607e-10,1e-10,1.0000020675994326e-10,1.0000000107448981e-10,0.0006156287419821261,6.517274515097772,1.0000015192591026e-10,7.8961928930144225
SLITRK5,1.0000001674665934e-10,1.0033353309967494e-10,41.96833336473301,1.0000000014994862e-10,1.0000002857813804e-10,1.0062531132159275e-10,2.7939645539703357,1.0029720822734949e-10
COL4A3,26.288177841724824,23.05979767289669,1.0000010010337021e-10,2.604423612267707e-05,1.0000000002807524e-10,1.0072385730470362e-10,1.0000000065658458e-10,11.878065819041467
TNNT1,1.0272140392202052e-10,1.000000478425892e-10,1.0000000052550244e-10,1.6934962597767882,1.0000445518218355e-10,0.01717310525877185,7.599808704658163,7.215851988879375e-05
COLEC11,7.2992335849578405,1.0000003173581311e-10,1.000005797329873e-10,1.4725561518007546,3.88144864003678,2.0620208971687255,1.2297300225053693,5.622313738032228e-09
GRAP2,1e-10,7.116674233391952,3.099920451954772e-08,22.160292098834624,4.442489883244252e-10,1.0374355466802452,1.2611957417301715e-10,1.0000821146176483e-10
ANKRD20A11P,9.760658768388736e-07,82.24817691295507,4.095309461252104e-08,2.3072748686798374,3.2423064964704166e-08,0.014346207667582144,2.3457295519670327e-10,1.003050570287868e-10
CLEC3B,1.0000000000003782e-10,9.476688459892197e-10,41.65084327527453,1.924149033426642,1.0902810532251878e-10,1.0709843807806725,1.0846356026287308e-10,1.0000000000000171e-10
CFHR1,1.0000000000648709e-10,1.0000000000044066e-10,1.0000000000365918e-10,1.0000000001079129e-10,1e-10,1.0000010059991663e-10,6.661071970723631,1.0000000696710621e-10
MGC39372,1.0000000206019431e-10,1.0022145909358088e-10,1.0514376716658382e-10,25.54138913736792,1.0000000020952502e-10,1.0556397676310245,1.3588023281904436,1.1721895251613678e-08
PGM5-AS1,1.0000001169215258e-10,31.716037346241997,1.0000625119400526e-10,1.0876700703179325,2.742318026742216,8.753237139719715e-05,5.0194345752073835,1.0000000000049007e-10
CRYBB1,5.4181292061208,1.0000000195482727e-10,1.0095642869877026e-10,24.751063393123413,2.631398397651174,5.531449794323541e-10,9.42997923564868e-09,0.0013146704897921367
CACNA1A,19.829777921913085,68.0830353373729,1.0000060423341799e-10,4.940612987822097e-07,1.0000066169420662e-10,2.9967091183913635e-10,7.686332004765475e-05,1.0000206084315846e-10
SIGLEC6,1e-10,1e-10,1e-10,24.430058449257242,1e-10,1.0000000000001504e-10,1e-10,1e-10
HES3,1e-10,1e-10,42.44414352175766,1e-10,1.0000000001983552e-10,1.0000000014542138e-10,1.0000000000007201e-10,1.0000000000000064e-10
C20orf197,1.0000000000006496e-10,1e-10,1.0000000000058947e-10,25.77758426809514,8.309053708262679e-07,1.0000219286418485e-10,1.0000006140214796e-10,1e-10
