,0,1,2,3,4
IRX4,7.766315545982403e-46,4.774672764878017e-09,1.0229785877058111e-81,2.8504552685832407,1.800528643255569e-132
HDC,2.7653891226486184e-61,2.3003157236497545e-14,18.690219678284834,7.538195357931744e-15,6.197933450879257e-99
ANKRD30BL,1.0744267513847442e-25,1.983465330212832,4.211675853705019e-50,3.411619922132019,3.9914795041723947e-50
LOC100131289,1.720202478718237,1.0905393671241345e-19,1.2618609478878429,2.432063394493564,5.8190972479058924e-30
SYTL1,2.5161159194414435,2.282735904889504,9.434697961298735,0.003765120960618982,0.6664745244978523
MSLN,1.1324369756732943e-08,4.6250701640445114e-27,16.09787039147602,0.10570238020967004,4.9593418250936206e-30
TFAP2B,5.840028323078887e-34,9.045374551840485,3.2752717597412477,2.427677580269551,5.64956859289539
GTSF1,5.381013671579553,8.519571258220843e-37,5.937390761726706,1.368070132405987e-43,1.7417371414571185e-46
KLHL14,3.996619219665388e-34,2.5938064368870846,1.5897578541641398e-79,3.678030384488858,2.3647659148012194e-51
CCNO,4.365330648122365,6.296101590543466e-28,9.206122574587084e-40,0.9299287092383995,6.979244751557533
SLITRK5,8.039808469756661e-26,28.123756209684107,9.852776048344026e-49,1.1079422579294294,9.303882286508126e-14
COL4A3,8.728354794875469e-25,1.6699188984138928e-51,8.431815823527398,0.710208142891087,16.12632680913137
TNNT1,5.001978838351263e-16,1.1673014344935392e-09,2.2864064420241156e-06,4.7688610435302285,4.4927476180070305e-12
COLEC11,3.7227167555467116,2.11925388157166e-21,3.4095716299604053,1.6039222910027107,1.937519512324876e-05
GRAP2,0.652548192704439,6.380244241020784e-06,16.05040954364332,5.1930121745487666e-05,2.1327554276339823e-10
ANKRD20A11P,8.358258314951958e-17,3.306291363957578e-32,2.4946174813124844,2.4672358006741977,12.281913222766855
CLEC3B,1.0227138398442852,26.241264643150778,0.0005219751036256502,6.569774048694062e-11,6.55442701065969e-34
CFHR1,1.5156473478956154e-64,0.009582598112145941,8.239673597801639e-55,3.6811488686796756,1.1829214063224502e-38
MGC39372,2.152601359194096e-27,1.4489087807683838,18.93529656458497,0.703179406121133,4.2799975798627405e-19
PGM5-AS1,1.165654304125673,0.0513076892591563,0.004222377336491683,4.305653817189497,2.6026448492244815e-05
CRYBB1,0.05419318620088136,2.0414095167302104,22.023916263659807,6.716116527728086e-09,5.95247553158566e-14
CACNA1A,4.7293716660877125e-30,1.4138942081288723e-61,6.0926312777785805,3.371864403861281,9.429618904088194
SIGLEC6,4.7164141691392234e-99,5.790567213574393e-27,17.0097770869399,5.215738300650212e-61,1.6419442859628007e-179
HES3,7.099486195974595e-37,26.816208720351913,1.6592636817864894e-161,6.435440926461678e-69,1.0580049403838692e-50
C20orf197,1.0169420147620148e-17,4.875513389289713e-23,18.92105958010941,1.1447092361300926e-42,4.903318395516525e-86
CACNA2D3,8.709543074265558e-35,0.5316872315593448,16.9788239196762,2.107838311034654,2.283317075220277
LOC100506388,4.0873469167811555e-11,23.086161904722527,10.64510057532061,1.650110279677209e-17,1.58518929885898e-20
ODF3B,0.0005887397107329098,0.0651915833040416,21.320987502901616,1.9112360058600186e-13,1.6711072182079176e-20
DCT,1.0243034529855286,3.985543460838739,2.9851422639891694,3.606055834173682,1.0521928593411952e-05
GPAT2,1.350738075031347,8.738762379638312e-21,5.2783264391243625,2.205477025464982,2.933964833774588
ANXA3,8.061286643468687e-38,26.43187190635418,1.7390495946892273,8.2660261933441e-54,8.120871590410716e-46
TEK,2.9751278564560577,3.3893436523020654e-15,1.2200530258149408e-08,1.616498237469382,10.69919505751191
WDR49,2.968199138847351,25.25962352250385,7.480872825765658e-27,8.367463026664879e-16,3.5252997814215563e-09
GNGT2,0.35925092227018846,1.1334169242151904e-10,21.573429107686202,3.67716964256882e-21,1.3008208507043714e-35
FFAR4,7.937581513816091e-06,0.02150346264379233,22.58883451284921,0.0082086395015485,3.2494781134029963e-10
ABCA6,1.593760042269273,25.702249778497293,7.600283464203364e-16,1.8442825750002238e-22,5.131665929101304
CCDC64,0.8731079707387006,1.754603436105332e-19,2.479375303001343,2.6769454273702755,8.313002563012384
SST,1.1053773539467302e-40,4.05294406187479e-85,0.8157425145257347,4.021543082312693,2.5839162877025615e-12
SLC16A10,6.512824666862273e-07,3.5552184193195394e-21,9.574839620373083,3.2069274525943174,1.258373632058494
FEZF1,1.5144114208483237,2.2333999993282004e-35,9.321713315078125e-51,7.499359333623865e-38,28.955913036640286
SLC38A4,0.7143457502444794,4.120014465873447,3.2273221345091816,1.6160468941489192,1.82937105519577e-06
KNDC1,0.7720693722856616,25.5161628641491,6.415016787220816e-23,3.3544768405268666e-15,2.579986975319586
CNTN4,7.261595580045779e-16,4.317926974228765e-25,0.7809398008948839,3.6972600272571214,9.119722187104806
MAPT-AS1,0.6207145704422302,7.987219925528342e-50,6.975929010988096,3.0897334765772895,2.7771157070799406
TDO2,5.712902661911321e-09,25.905258807644234,3.882495169921915e-80,3.181471896439667e-40,0.00024122751237472153
TMC8,1.500217062382588,0.025380330667041786,15.334598341500689,8.4349104656364e-17,1.9002115612020415e-20
EMR4P,2.089564504214629e-13,1.024633949575068,21.551518713065562,0.5153716866276327,0.0007437754133542596
OAF,1.6292577468097686,29.788340502293977,0.2594575964048626,0.002140356511997371,3.262017753210006e-33
CLMP,7.689378838604412e-20,12.671472968241833,0.019517368357406747,2.894292643371144,1.0811928985620887e-10
NFATC4,2.0780527650949283,27.51532001753078,9.658051461415176e-45,2.6677651461005502e-19,2.061002555932952
HAAO,1.0310793491242063,0.23695520742060702,19.531325711446204,3.8083784982151276e-05,1.6285964020564953e-09
DACH1,9.480937358442703e-28,10.413923126059576,2.8598368936362615,3.236948843335503,5.463027041693565
NAT1,0.02817854755533925,4.034092357293001,21.198411527961415,1.0102232285065942,0.10024681847119442
BTBD11,1.1973317235999232e-24,14.939071804519234,0.1292796620696232,0.9325077424093218,3.146747189129609e-32
TNFRSF10C,2.2436905636093796,12.797268856800182,7.733762822513976,0.0023273011170935887,8.008079868781063
FEZF1-AS1,0.6017309374267531,3.194397423990399e-25,3.049781069419375e-52,1.4244795370770647e-33,30.679610709682052
IGF2BP1,6.980565147505096e-05,0.8105527877158719,8.576168945399905e-96,3.377488154577508,1.0342626820439137e-69
CACNA1E,3.0350487774118375e-34,4.554098224193319e-26,2.4902292066588923e-06,6.436151023434776,1.0761818029258816e-06
OTP,0.6808823854832802,3.190874233512451e-29,1.3307122558924906,3.40933128182416,14.169325164305702
PKDCC,2.251702646194199e-19,19.49685463556642,4.867816033657604e-25,2.4530277608258806,7.577204986529308e-10
EPS8L2,4.142412374732199,1.9944020994787848,0.6120885934433132,1.965399090706051,4.010095908180836
CD79B,1.8552232326311008e-20,24.77223744379932,9.051560604452886,1.865310752600556e-22,1.182970084329393e-55
HBB,0.9452090550833492,2.8690722143960516,8.151982906959608e-32,2.0042685043264057,6.175946442012646e-35
HSPB3,5.163553976097008e-05,4.32233727307727e-06,3.0888292396305084,1.844468216894844,7.320020438456536
RNU12,1.3550487544358327,2.9904261546036683,17.9819077121481,1.0301454642426964,1.0403425767657144e-11
IGJ,7.564359750419078e-63,2.745469386940011,16.36973859712381,5.873120639590317e-30,2.9186178214912807e-61
STXBP6,1.1106479079285016e-24,13.086699294323262,0.8827315224917042,1.5784369116778292,10.846946064808977
IL21R,0.11858222581389904,0.00010640188418305715,19.58744872290241,0.9703929423382374,3.937683834125693e-08
PPARG,1.2097194256774833,1.027297847557886e-21,21.09915752974126,0.0022448208341987203,8.610302165559267e-15
FANK1,5.273485552071982,8.663672027475473,0.4860230527416863,0.624776520053394,4.942558167888333
PGM5,2.7297019882450495e-06,3.3635496344558897e-12,9.070202537651125,2.246191910163695,7.215363415730881
MT1H,1.8358455817425576,0.0001433959781845633,7.633859318843492,1.0934350790116802,2.4107835359316405e-06
TP53TG3D,1.1804343729512795e-85,1.7996757296883724e-79,9.818850956152343e-113,3.0798762003852627,4.3487583507119033e-54
LINC00189,0.1694500898555772,13.469799248782548,1.5268527083643848,1.740922533431226,1.1820476514417857e-15
RGPD2,6.828415127203246e-14,6.928546679029741e-32,6.835410423493138,3.479161197624514,7.749115605347404
CYP4X1,1.6193276358441669e-38,2.740799520171978e-76,1.6105788100807192,2.4061244250557645,6.08622147470021e-35
ATPBD4-AS1,2.990582380091955,9.840000026607601,1.3690889419649847e-16,1.9671454111559201,10.954185900005589
PPL,3.7183622605450743,4.237667721822027e-19,0.00016564612483113683,1.1438812025544285,9.531584688204099
PLA2G7,0.03081708608197012,5.693718074803447e-27,18.171363142103033,1.167158780797259,6.951772671816562
TESPA1,0.9926961397120477,1.1000653909331097,13.188355233171757,2.693887166887933e-11,7.23137425172879e-36
EVA1A,8.64945330427417e-06,25.074478710453654,2.2720472396339143e-36,2.7217661744894883e-06,2.5268504535142484
CPNE7,1.2352557243284965,1.4050045944779983,0.00031553410238893974,2.3191152175231933,4.765288001044919e-45
MPZ,1.0885176804678194,2.113707766392961,2.4390044982636248,1.5742417285793342,0.8114126896014576
C16orf89,4.634970390885349,0.00026606842223339967,3.5621465439295927,1.1256641087827275,4.232997393942503e-06
LLGL2,1.5379962389935282,1.2026948917314803e-09,8.222384959646412,0.608131261982033,14.248291765031144
SIRPG,2.334746678619024,7.710173293728345e-09,6.5667426829153195,8.531250832663834e-08,0.4052181675798626
BCL11B,0.6298703857433644,2.4922428477369743e-25,7.2394702858669335,3.6429563588203613,5.19501002272092
