,0,1,2,3,4,5,6
IRX4,1.0075970680526304e-19,6.69343666346584e-30,2.1249594076408255e-13,2.943417459010889e-24,4.482840268739732,2.7057579965188375e-27,3.988081572840392e-26
HDC,4.093098266480488e-15,3.33261886186033e-21,2.4097208477068576e-27,22.73349636703314,1.8612628348041083e-08,2.8811528768540945e-26,9.769659463765655e-14
ANKRD30BL,2.260609518169028e-14,2.728602254299572e-20,3.0942179984816573e-12,6.750785494035973e-17,5.305832868213981,2.81915211129482e-17,8.749742005395475e-15
LOC100131289,2.9637202902921116,5.607236194817072,3.39916475738629e-15,1.055264731769107,0.37945234549232953,1.3413373521195467e-19,5.264032669291181e-15
SYTL1,2.895070443555846,2.838883814274552e-15,9.969030888411782e-15,11.492382273990188,2.8608965367961994e-09,1.718110821720105e-06,0.00032266132859042377
MSLN,0.33907275637524315,1.3400331376415374e-12,2.732855492276984e-12,18.22180748329391,0.4595234071663669,4.5059191535861875e-15,1.1504364153548743e-16
TFAP2B,7.020843881861545e-15,17.610921416390397,4.8699179319285655,3.621394219076481e-10,1.094376469316406,7.807737211382342e-10,13.644397566804269
GTSF1,2.193189868815078e-10,4.878517100397306e-17,47.02805449474799,0.5522544138636332,1.625375548329929e-13,1.1103755394210596e-11,1.4236548767563833e-14
KLHL14,4.073972684929165e-15,9.606664429663258e-22,1.0908040992273597e-13,2.498015276930282e-22,5.774563687066047,1.817590566512392e-17,3.1153327820089005e-14
CCNO,4.562884231819279,2.3406700631497065e-13,1.0392722201934674e-05,4.093546404388594e-15,0.018657689368863754,11.010136996939897,1.0184148916271775e-16
SLITRK5,3.399147800524883e-12,2.475721532477079e-11,1.807349497183882e-15,2.4123447982093387e-14,2.149026136198753,3.688760823993435e-11,50.94955312499934
COL4A3,2.7591684223632064e-12,18.045967428763266,0.0013243876635054537,4.875431208516316,2.134806767391864e-14,14.175927018268078,6.992448359907949e-13
TNNT1,4.786231086398891e-11,2.935720099995489e-12,7.620787820793445e-14,0.07968031920488829,6.328078949000951,2.97887394746253e-09,4.0716170880370795e-16
COLEC11,3.525385555316683,0.07767777311432109,1.7098672890025197,3.7304912788623295,1.4584436800361467,1.42820817256101e-09,4.35217452879934e-14
GRAP2,1.2155726666981652,2.2852942206450944e-13,9.652866075033385e-18,18.941187836297917,8.689775198643613e-12,6.708987534629453e-12,2.221638106536649e-10
ANKRD20A11P,6.910551535930533e-07,25.475756594276685,2.8940311722886507e-14,5.510010717411283e-12,6.861774378715208e-12,0.06781132351235367,1.2724178841870531e-05
CLEC3B,0.9777983576935118,6.161447392772823e-08,5.5490222828744545e-15,1.2091277731450398,3.4284971843560776e-11,3.2866489801781185e-16,50.15785835029993
CFHR1,3.895544666175697e-18,1.0759900455345196e-16,4.321564954815481e-21,1.6207659228974353e-16,5.351214357876736,2.7582754932579454e-15,4.759143838207627e-16
MGC39372,5.427518389911268e-05,2.2304357537266675e-13,8.995370074800954e-19,22.774716052569257,1.2114582574235266,1.1469816705877121e-11,5.210025439925074e-10
PGM5-AS1,1.165119111308961,7.19672428386927,1.2138515305008967e-05,1.5747022871221415e-11,4.099756551650565,2.3466098536133553e-13,4.076945385192548e-11
CRYBB1,2.7860800921075814e-11,1.0232438668957238e-12,17.522514432782245,22.31463616114663,1.0452757320577237e-05,2.1786879729029494e-10,8.495719633654502e-11
CACNA1A,2.018508248018558e-11,30.886869449053812,0.0023669838411988797,0.002455741189449388,7.870699958385562e-11,2.3795645931241176e-09,2.2496742372286753e-09
SIGLEC6,4.256148058987678e-19,1.7644688078011892e-39,2.9958690557174975e-39,20.763155973213312,3.1520693865772964e-19,2.116038213015123e-42,2.769946435272977e-18
HES3,7.822034074954113e-14,1.42952457275968e-32,2.217862607971635e-19,1.5783458238053767e-22,1.0453515588687515e-16,1.1553513341618369e-16,51.684965977513514
C20orf197,6.424284162304972e-12,2.120812284758213e-23,3.847711030703005e-11,22.175290749903816,4.753939791549702e-14,5.800569152627516e-23,2.0507085110652267e-14
CACNA2D3,2.1143348774025286e-12,15.845518197455828,8.079315354271254e-13,16.519536897468022,3.022652593189159e-10,1.244788810994591e-11,5.298835855676143
LOC100506388,2.162136782647263e-06,2.5210432928307915e-12,5.055404985758668e-12,13.197343849435859,4.768408176200021e-11,5.950240626038763e-10,43.57068835919933
ODF3B,0.589637178485697,1.2701525957429627e-11,6.525924436663571e-11,24.12977816103913,2.241592159972592e-10,9.020091445409847e-13,7.577696375023998e-11
DCT,4.678096886577653e-08,7.1714578653856105,17.167715514668785,5.335688389501876e-10,3.5703501315263364,6.2454034832262494e-12,0.00118729174562509
GPAT2,1.6625442069412002,6.5089104826545,0.3731171915301427,4.732142464536143,1.5542981455230753,0.5109596608062535,6.045691870227465e-13
ANXA3,6.891069521265445e-14,1.7004467052847187e-15,2.452332330364357e-19,3.3375982632868473,3.801564760877482e-16,3.4408339381328345e-17,50.29884776747216
TEK,3.3105893631626584,0.31133659885004317,0.041017687749132795,2.213375453046117e-06,1.190685289720282,16.61198749958063,9.758478309768188e-10
WDR49,2.54904600003081,2.863671552454638e-13,1.7693075268379924e-09,5.168804940772967e-12,1.559186915914834e-11,2.327256736354533e-07,47.777336851585204
GNGT2,0.6089782085190045,1.7334552330703703e-12,0.4193482778500425,24.28563437187999,2.6291712570335446e-11,1.6307003749644625e-14,2.2262756488202983e-09
FFAR4,0.10005280798474779,2.2748595844595366e-09,0.034857387949215085,25.23116071747999,0.48496882381866047,4.166645259216021e-09,4.5294250319268986e-10
ABCA6,1.309345264303621,4.6487014694555185e-10,2.771566015387402e-11,4.5699268509039653e-10,8.790952347569874e-13,8.439342553971757,49.56818113934531
CCDC64,1.932615942723428,6.165745335770662,1.1259805334665358e-14,2.289447646761076,1.3422559504336804,11.31424062527199,4.901053631656495e-14
SST,1.7910120209390372e-11,11.294817508332313,6.817209544675203e-17,2.996238891540054e-11,2.576857602382294,6.791854887208771e-13,4.334913717573569e-26
SLC16A10,7.340883375099653e-11,13.53058749178988,9.007379986691571,6.51116854251573,1.537649037001402,5.0240089729294164e-11,3.1885215853709247e-12
FEZF1,0.9878404523576846,1.930291772279367e-16,2.47004528229765,1.7519014367819234e-17,1.4928550148841712e-14,47.29294437577789,2.371643964658353e-13
