# MGH100,MGH101,MGH102,MGH104,MGH105,MGH106,MGH110,MGH113,MGH115,MGH121,MGH122,MGH124,MGH125,MGH128,MGH129,MGH136,MGH143,MGH151,MGH152,MGH66,BT1160,BT1187,BT749,BT771,BT786,BT830,BT920
7.723361403475462739e-01,7.388845151826096691e-01,9.067401071215562547e-02,9.569439788266882463e-01,5.117272298594121027e-01,8.669369093270040683e-01,2.732110673434314241e-01,5.941575164837682443e-01,9.586286175443388125e-01,7.608700242664339086e-01,2.413164779489295197e-01,2.856091000023278648e-01,1.049284128133452381e-13,4.286444798048390514e-01,9.263445914788197566e-01,4.054087227057278087e-01,8.877953926844470711e-01,6.292272258789921580e-12,6.544640351039534565e-01,9.728003511475565857e-01,4.454961706165362356e-01,7.157641209443595109e-02,4.724248860448894138e-01,7.469094117576291492e-01,5.710890653642167747e-01,9.999999993930090980e-01,7.880206051433272796e-01
1.330502993197297942e-08,2.611154785815935631e-01,4.612707180461584899e-01,0.000000000000000000e+00,3.832231314748337780e-01,1.330630906729958762e-01,9.418541977100342369e-03,1.503995246322310797e-01,4.137138226132643787e-02,4.734490066626445570e-09,2.485426312704084040e-01,1.420845616836184100e-01,1.237065266011402459e-01,9.072803465382705407e-03,1.573908608008766351e-11,7.180791162927530712e-10,6.698963067425224590e-09,1.220507219595878823e-10,6.313314451247750834e-10,1.058359095998509626e-09,8.805708784755778698e-09,8.952162491455408766e-01,6.104386143908394087e-09,6.382529430971130291e-02,4.446976170334199560e-09,0.000000000000000000e+00,5.188250574601981774e-02
2.276638463474238427e-01,6.235796761777731031e-09,4.480552712416858152e-01,4.305602117331165657e-02,1.050496386657541470e-01,0.000000000000000000e+00,7.173703906794682839e-01,2.554429588840007592e-01,1.943347587442283132e-10,2.391299709990760136e-01,5.101408907806620485e-01,5.723063383140538640e-01,8.762934733987549629e-01,5.622827167297783646e-01,7.365540850544111118e-02,5.945912765761931507e-01,1.122046006165898779e-01,9.999999998716569971e-01,3.455359642647151674e-01,2.719964779408422587e-02,5.545038205777550466e-01,3.320733876002327639e-02,5.275751078507244785e-01,1.892652939326595618e-01,4.289109301888070491e-01,6.069909723072258991e-10,1.600968891106529235e-01
