# MGH100,MGH101,MGH102,MGH104,MGH105,MGH106,MGH110,MGH113,MGH115,MGH121,MGH122,MGH124,MGH125,MGH128,MGH129,MGH136,MGH143,MGH151,MGH152,MGH66,BT1160,BT1187,BT749,BT771,BT786,BT830,BT920
8.318558728366272359e-02,2.174984198427989945e-10,2.713216188138404261e-01,2.661596822249232289e-10,1.022597098299028728e-01,0.000000000000000000e+00,4.500488687584949798e-01,1.003614908350192736e-01,1.344217713609566820e-10,1.098730038101666528e-01,3.221932577064656189e-01,2.678871766831269485e-01,6.406899622334902844e-01,4.159011968845093277e-01,2.044559241900963109e-02,2.669002330325068173e-01,1.977517548405067078e-06,9.999999986835561572e-01,1.483976187208679853e-01,3.579765627109851628e-10,2.269350702464924263e-01,8.749981244896118872e-12,2.050610145306549781e-01,6.932195098625407170e-02,1.518082120020551040e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.302422327571318467e-11,2.774659680633322911e-01,4.546517288343125407e-01,0.000000000000000000e+00,3.893756409149648490e-01,1.433497173545202341e-01,3.929019100273638959e-03,1.497755997838167985e-01,5.458048009326258582e-02,0.000000000000000000e+00,2.442928019588581912e-01,1.319544876859053695e-01,1.236476355108697966e-01,1.050286148604874167e-02,5.600411359764718468e-03,0.000000000000000000e+00,1.582788912137617070e-09,4.256754701330300872e-10,2.765861447925530438e-10,0.000000000000000000e+00,1.800912948342025286e-11,8.908067768002165820e-01,6.439018398082472781e-10,6.716561365111133053e-02,0.000000000000000000e+00,6.249963055406679985e-03,5.193650219569637128e-02
9.168144127033130975e-01,7.225340317191693007e-01,2.740266523518470887e-01,9.999999997338403501e-01,5.083646492551323615e-01,8.566502826454797104e-01,5.460221121412313083e-01,7.498629093811639557e-01,9.454195197723157529e-01,8.901269961898332639e-01,4.335139403346763287e-01,6.001583356309677653e-01,2.356624022556399467e-01,5.735959416294419411e-01,9.739539962212256929e-01,7.330997669674932382e-01,9.999980208996626097e-01,8.907683823140746110e-10,8.516023810025459273e-01,9.999999996420234627e-01,7.730649297354983407e-01,1.091932231910335283e-01,7.949389848254432289e-01,8.635124353626345561e-01,8.481917879979448127e-01,9.937500369445934068e-01,9.480634978043035455e-01
