,0,1,2,3,4,5,6
IRX4,1.3230789836705143e-16,1.6345326444059357e-12,1.4163738205078194e-21,5.01014007909114e-24,5.14419980971889,6.070113441307437e-20,9.801091924529137e-15
HDC,4.727414012221621e-22,20.621231210572816,4.369988953158038e-12,8.852221899124516e-21,0.4556167514679138,1.2309915941700473e-21,3.273210070607456e-15
ANKRD30BL,2.158022962493935e-11,0.004831965428421746,1.5770319562147173e-14,1.5352133800296986e-17,5.951692664230457,3.620633055398476e-13,0.059898561786306835
LOC100131289,2.3164343797198364e-16,2.27318861593696,13.042242479319905,5.896288491292292e-05,1.665963400830851e-13,1.0054338237246872e-18,5.598327521133236e-09
SYTL1,2.29301550037788,10.523126884234756,1.0857964849240809,8.307462947481846e-15,0.5286479483611226,1.3123852703681558,1.666348013023793
MSLN,4.627750068969921e-08,16.123447489756124,1.560535841236468e-08,0.31815330944095027,1.0745028224175268,1.7850814604105137e-13,6.145652133000539e-19
TFAP2B,5.83783053544776e-15,2.928883504561556e-12,4.653631301481024e-06,15.205669895164231,0.9024606271982517,1.8472607311590332,7.298870327524701
GTSF1,8.110683682431219,5.470512475904234,1.8931929719348133e-14,1.8560164329676057e-08,1.018540151145769e-14,3.2727888040439983e-13,1.920988330346452e-12
KLHL14,8.974167626726967e-16,1.0202971627853492e-13,0.0067158372410546716,1.2474469365135748e-21,6.2481930759304305,3.561309529749182e-13,0.34453007431286475
CCNO,1.4706323836888078,2.55855413667536e-07,9.639485214095787,1.691023948702723e-17,5.595228460510528e-12,4.31132061566931,1.9451870856224783e-05
SLITRK5,5.0067639447088324e-15,2.2433399225863874e-13,8.936702765294204e-10,3.2469848458068823e-09,2.3657150587811615,0.4689763212274137,21.869477414601445
COL4A3,1.6466272997946632e-12,1.8511052726778683,0.0009380161110610813,17.838380143491577,1.6882659974727788e-16,6.835986909086191,3.3052908270804805e-16
TNNT1,8.653293561688035e-13,1.6503658826785057,0.003258532018727151,7.340316855647876e-10,6.662379000355192,1.0786827458737371,7.359963470596431e-07
COLEC11,4.838270828085209,2.063616478496293,0.6873369319534037,3.9220637809697805,1.7289784326917566,0.1500617581771873,0.03250682439866481
GRAP2,0.00015654837498325425,17.367136807314647,1.0625523392625524,4.418165442827971e-14,0.46020742684954813,0.5841908923104634,0.29002065432375074
ANKRD20A11P,5.53055412451861e-10,2.9838759350128126e-07,1.9972318440470613,15.22445681460279,0.07639145509172231,5.424404916922179,1.9766444084377254e-12
