# MGH100,MGH101,MGH102,MGH104,MGH105,MGH106,MGH110,MGH113,MGH115,MGH121,MGH122,MGH124,MGH125,MGH128,MGH129,MGH136,MGH143,MGH151,MGH152,MGH66,BT1160,BT1187,BT749,BT771,BT786,BT830,BT920
1.036305286513979016e-08,2.499144204075546549e-01,4.496558848546602372e-01,7.843746371573169818e-09,3.721770809146129899e-01,1.293031721741339235e-01,9.394050630053791401e-03,1.473040281796250406e-01,3.898393881715851716e-02,8.666476436188121432e-08,2.422843497639579347e-01,1.401612453772991540e-01,1.166835277631569495e-01,7.271433712908483872e-03,1.422457743995717242e-11,2.183625413472185190e-10,1.596705003293424591e-09,1.063444879322236873e-10,1.635679581574663223e-10,4.521629440485555242e-09,1.610683960604245848e-10,8.740211390895736843e-01,2.030606370546853696e-10,6.228080459017969195e-02,1.167884511670944668e-11,2.294489847784360290e-09,5.296531234144081363e-02
7.256251783433795843e-01,7.500855792560107149e-01,8.309096639299602682e-02,9.156227986280928155e-01,5.151577944837276712e-01,8.706968278208054857e-01,2.252972679162732472e-01,5.516464245207338690e-01,9.610160611578362211e-01,7.163731574820796366e-01,2.148376368837414951e-01,2.271645189886157823e-01,1.312790288378955772e-09,4.017142988384014846e-01,8.903808507990741417e-01,3.402612773212385089e-01,8.406002230703176759e-01,3.967137382487884167e-12,6.032912924535253074e-01,9.387062232490872571e-01,3.755916890143022879e-01,1.027844468702414360e-01,4.013171860049534190e-01,7.077250699577382065e-01,5.063147648551034052e-01,9.999999977055101796e-01,7.298439975783881373e-01
2.743748112935676109e-01,3.364347247751820828e-10,4.672531487523438609e-01,8.437719352816083762e-02,1.126651246016594082e-01,5.060727120173878069e-12,7.653086814536730342e-01,3.010495472996412292e-01,2.500541040805486792e-11,2.836267558531561095e-01,5.428780133523005702e-01,6.326742356340850915e-01,8.833164709240527435e-01,5.910142674486900116e-01,1.096191491867012369e-01,6.597387224603988853e-01,1.593997753329773059e-01,9.999999998896884623e-01,3.967087073829068111e-01,6.129377222928347052e-02,6.244083108246292202e-01,2.319441404018483463e-02,5.986828137919858461e-01,2.299941254520821154e-01,4.936852351332177147e-01,0.000000000000000000e+00,2.171906900801710283e-01
