,0,1,2,3,4,5,6,7
IRX4,5.974312433255227e-19,7.558099045067982e-25,1.6058105238397531e-18,4.4700461375559595,8.281738833191713e-39,7.718909537155528e-16,6.479157034378931e-29,7.371234640600377e-41
HDC,7.030757666082928e-19,2.968287531626629e-24,5.476584726427982e-13,0.4275708113585236,3.4579858333079376e-17,26.728440521459802,8.830355673370178e-28,5.3780845444557396e-17
ANKRD30BL,5.978853570897277e-14,5.798950817281909e-17,3.881576841428167e-15,5.329582436814676,1.0699864775077065e-22,5.550170776058285e-12,5.116074721515385e-21,6.608504875922353e-16
LOC100131289,1.5467787864265621e-16,1.4644555143965225e-26,14.592416984679348,3.6091408375261624e-16,1.958532385414076e-19,0.3665354609818683,1.0198563032247081e-14,1.1021522455533806e-14
SYTL1,3.2227647341983627,2.7172410047803703,0.09320906682699602,0.4054102033324686,0.0006838617545330864,13.501347658777487,1.2854190144719985e-17,0.02342578808765973
MSLN,0.05341072755090183,2.989325210799977e-16,3.855170663785912e-10,0.9658016890817981,7.300956835106708e-12,19.061142710113298,2.846479409002527,2.396952216760799e-19
TFAP2B,1.7934368482618014e-15,1.3709453275489109e-14,9.345229819382062e-14,1.189877802136121,33.18303071897476,3.531214377801048e-12,11.685592856998376,9.934440178814281
GTSF1,6.921759565362605,9.887209095179395e-17,1.1206872879879797e-16,1.6047533790117374e-17,6.279681746193478e-19,5.0695081087413465,3.6517147823105764,1.9840022947425335e-18
KLHL14,3.399512509726452e-16,7.788453471672309e-17,2.2464171200595643e-13,5.674251012716192,3.133555576127394e-27,6.986648491543577e-17,1.4457553762076392e-24,2.5409128064921604e-14
CCNO,1.478767470370104,7.161708555242697,10.160365549039172,1.8935930744867926e-13,2.823327192991215e-22,1.867786522473758e-15,2.5690696857750224e-17,2.6178231894078453e-13
SLITRK5,4.8739992565687016e-14,2.1385836436443114e-12,1.4514505109778026e-12,2.2787632252647443,7.838416612435175e-12,3.725078311894414e-15,3.3419714441540468e-15,40.55916559140283
COL4A3,1.3722686150019748e-16,10.635383316131726,1.2008061526785381e-11,1.4417122135734794e-14,18.903773838353434,3.0192879242498355e-08,25.45687763893548,1.137510135438142e-15
TNNT1,2.8232596845974186e-13,1.0549341480886384e-09,0.001256533084890242,6.348487289350547,6.220382896687801e-16,1.4606156267528458,1.1699751939960158e-12,3.306771318169992e-15
COLEC11,4.06458848016507,6.3162246250480975e-06,0.22333617443739104,1.7998059093311929,2.2590569030550796e-13,1.555258712941038,7.497150263421362,1.3824387742713817e-14
GRAP2,1.1451697746376375,4.5306499063073594e-12,0.0003813391624575654,0.08927460225700708,7.036869690363789,22.177122917885495,8.062990914474869e-21,1.7057592965711067e-11
ANKRD20A11P,2.8145849163249233e-08,2.8797140046179986e-12,0.0006409551899280592,6.311381385000627e-11,63.72112698195855,2.0976431926732366,1.7336558010726746e-10,1.2241626833418496e-09
CLEC3B,0.553826285069818,8.207388993332028e-17,6.30302091031932e-08,3.7625557112154794e-06,2.936756594609008e-05,2.4397303095449177,1.827683633962721e-18,40.31828296671566
CFHR1,5.588091795729107e-24,2.6450613144410307e-15,2.8475747077474548e-15,5.379797590244902,1.8388827247956974e-19,2.1968110351152518e-17,1.517979747218545e-17,1.4120988000384607e-16
MGC39372,3.9805121522498424e-15,1.381218442297645e-11,2.2587269521137165,1.098640169382195,7.755690479459375e-13,25.611710963765855,3.3482713657822767e-15,1.1667557658678126e-10
PGM5-AS1,1.7641246640327621,8.3839125047399e-18,3.779445160782657e-12,4.157355304039399,23.84189754300308,1.2297189061131195,1.642714261864581e-15,1.4321845382860598e-13
CRYBB1,1.2311561861303633,7.853609160869837e-11,1.1557709456491485,4.637780358575239e-12,9.560815550664192e-17,24.226009838515132,7.570137342155692,2.0361024553314162e-08
CACNA1A,1.4273979800653434e-14,1.1508291890048451e-13,1.5454828113144772e-10,0.0006280191510433428,53.17617172349893,1.4591413215002094e-10,18.810508369825417,6.227319100750119e-15
SIGLEC6,7.746560199212982e-23,6.152416274421365e-43,3.071184707898161e-18,2.902108849056864e-22,3.4615043645011328e-25,24.61994196247653,8.661490089483803e-39,7.041501260329334e-27
HES3,1.3595642663414737e-15,9.049791577760563e-19,6.731194211439335e-17,2.1214066214875604e-18,1.4307797891240506e-17,4.145731700538494e-24,3.504616243004544e-46,41.01337528114106
C20orf197,1.0071842677017125e-05,1.1554015117727774e-21,5.72116238812003e-14,5.984927612492255e-14,6.406574879461423e-20,25.748290856951552,4.434467516790928e-16,5.7183822391526704e-18
CACNA2D3,1.1291917871691302e-14,3.721335420681256e-14,9.351535756841177e-09,0.7984366180840854,29.767118801271657,18.461125864092164,7.388674151103356,2.6133884725858954
LOC100506388,1.0541316111488855e-09,2.42655318630098e-07,4.2959481623818113e-10,1.6834187054917723e-05,5.33167575056058e-14,13.897434830284801,1.170396644296576,34.81539726863363
ODF3B,1.0057459238047296e-10,9.8816025260259e-15,3.493094036413154,2.004113084225855e-12,4.9143158624519755e-12,26.193193480292518,0.00027502907183491165,1.6043462279703426e-11
DCT,2.7000733006060033e-06,3.785481529685144e-13,3.4197548545783847,2.702275935022592,3.60480687364593e-13,3.557442850845791e-14,15.452700118267016,5.666113043711223
GPAT2,1.6494105070342187,0.9562645797428706,0.007998999858524808,1.99361045583553,9.347114960811627,3.58626668294596,8.34567967312229,4.935438629906732e-14
ANXA3,6.673796215446775e-16,1.4363120914823702e-19,7.457966610794305e-16,2.06231087211756e-17,2.951620617281219e-14,4.194577516545475,2.0169765934542553e-18,39.91521625341949
TEK,0.13806225368535477,12.47073599424553,9.730465570265492,5.5830252035800905e-08,1.1034574244767966e-16,9.145297577783124e-12,3.026115568043194,0.7614304073665031
WDR49,2.5260944356885826,0.8977444926354632,1.5504438262733582,5.8547644791602525e-12,6.299803098536089e-13,1.5140909532211577e-11,7.511743559120426e-15,38.602753382971024
GNGT2,1.0908631666077233,1.6054339280477324e-15,7.498971347485814e-12,1.468815124023641e-11,3.189552969933921e-15,24.559263852546383,6.665690152480757,1.2804585061173345e-11
FFAR4,0.014487765168570534,0.0012494084470229731,0.44921946743100283,0.45440769971540645,3.3662358066001084e-11,25.618655962963796,7.358908018807589,1.0056100541233948e-10
ABCA6,1.3885085985408907,7.413441045991626,7.874370644432978e-07,8.910534262177053e-13,5.269626190529082e-12,3.521173963129029e-13,1.967090042326394,39.718020255418104
CCDC64,2.9804188569363315e-15,8.068247988504044,10.631646236023322,7.570161462638737e-07,2.0747926476746344e-14,1.193689737296098,5.146406038296435,6.614652798947355e-12
SST,3.826064750865112e-24,1.9017316136511716e-12,4.0777483672232755,2.2865277819679086,8.08318999386124e-12,2.1868811236611927e-22,10.576797980659606,3.1932161574412604e-22
SLC16A10,2.080844360110724e-13,8.527184518826007e-10,0.0025859231614741413,1.6063983679737834,5.136891410675145e-15,1.530690550670155e-11,35.210760732352774,1.0814252726599818e-11
FEZF1,2.08974811247146,41.57808964634339,3.487550160900268e-13,1.1858317072254684e-15,2.163649375496108e-12,1.1877935565602531e-14,8.377278490924162e-20,5.1878641210285016e-17
SLC38A4,4.1886103192611123e-19,3.790559665116315e-18,11.712800108571335,3.764711359535416e-18,6.710463251574342e-20,3.9391725705579717,8.76464944162952e-19,4.897188176044947
KNDC1,9.565993129759964e-13,0.001346863298821667,4.0649607644814285,1.794000073771519e-15,4.851632277566571e-15,8.905220924225108e-15,4.550349089555718e-12,38.890434288023414
CNTN4,0.0003793132778644578,1.0140350596536438e-13,1.005902046953616e-07,1.5318940560620486,58.72847358481314,3.252927206284473e-05,4.907398276849619e-11,1.855082659003467e-12
MAPT-AS1,1.5456097852524015e-15,2.285368287273229e-12,8.863705332860688,8.846212019335544e-12,4.953925510276805e-14,2.7025645382471985e-12,23.774683041944392,1.8891075913859194e-15
TDO2,2.916315432401962e-12,2.2902472793202313,8.147552418988518e-07,7.597228167800778e-16,4.593021610532302e-16,2.3789813878691713e-16,6.065608316186988e-24,39.900847469797206
TMC8,2.4614645308237066,1.136179872821564e-14,1.3122425471332922e-11,4.754654807174091e-09,4.102610791785933,19.029288904273457,7.531346967866513e-05,3.183169068135148e-07
EMR4P,1.1209114335681664e-11,0.0029742826542029093,0.4792697501494133,0.9376276606427566,4.107876566056296,25.431278609755285,4.835508627612005,6.147364838431561e-08
OAF,1.8669804981723659,8.174223159263225e-17,6.869828731341002e-14,1.6696844282602703,3.568683698187055e-17,0.2650808687713939,0.00015968660853396335,37.9762685896078
CLMP,9.59587498067019e-12,1.0737267035715091e-18,1.2729171995295473e-13,3.717165325093112,12.573891139004571,4.518916505556607e-09,1.2968211273827108,12.286273634332684
NFATC4,0.8801375846677907,1.987614679527044,3.1875538268798707,1.3394999271014539e-13,1.4947073833381638e-15,4.3658946916996004e-17,2.305009005239591e-14,41.581451118395016
