,0,1,2,3,4,5,6,7
IRX4,4.332157285792354e-14,2.5726036555724998e-15,1.163436070665404e-11,4.620059590907285,1.8013295024400197e-14,3.2321786355725874e-15,2.3698183693612432e-11,7.581114555369697e-14
HDC,3.2372484261408033e-12,3.1588442776970744e-13,3.857181550166514e-11,9.480896098895127e-05,1.0732772257109016e-10,1.7960212264512906e-14,7.696681065881046e-15,22.504945910618794
ANKRD30BL,1.3428683241101824e-11,5.933192632007453e-13,3.795521136986592e-11,5.469573676664438,1.546784090598088e-11,2.9601615643293332e-12,3.347157663792839e-11,9.669825582328306e-12
LOC100131289,8.768963889309155e-12,1.2120491997907124e-11,20.074710740273662,1.2954766599525956e-11,2.4339958308190447e-11,6.824641098407016e-14,1.5593249291849666e-11,0.027615624572498478
SYTL1,3.824549654633136,2.2032049200738198e-11,1.0031111017653781e-10,0.000381347186528408,8.927329576518706e-07,0.08179567921920564,5.719759282009146e-13,11.881460770378823
MSLN,0.5157936855806551,9.802324595514055e-11,1.0467061192928774e-10,0.7482478159492632,5.043423806514973e-12,7.625317430556826e-12,9.056825582339767e-10,17.50354881334968
TFAP2B,2.0449680379369376e-12,17.02886281971273,3.200611213041234e-11,1.2547642126119154,10.970184263820089,6.043398868187234e-07,8.91118171093125,8.393159407604152e-11
GTSF1,2.9764295460692867,5.389745508130693e-13,4.507247766085174e-11,1.0827683860859145e-11,5.829909203153851e-12,1.4735230270762305e-11,35.59072923904878,1.3836631179214758
KLHL14,2.619443368466156e-12,3.3286577946817434e-14,8.606440068963582e-10,5.903916006033747,2.952699708850365e-11,2.783710873012209e-12,2.235046772670413e-11,1.723971832464268e-13
CCNO,1.2149916970775376,2.5202539049569113e-13,14.03004572219115,7.042879482740294e-11,5.0114028798073724e-11,6.237647603773207,0.0066463707861160225,8.197900268412397e-12
SLITRK5,5.4298147054323244e-11,1.6488628605619433e-10,7.449243808242973e-11,2.197389504639706,46.725533163105915,8.64858402943736e-11,3.43873023940619e-12,3.0144622424553485e-11
COL4A3,2.5484693723284288e-11,17.31859412351192,8.621694627478642e-11,1.3448532607240136e-11,2.080679165644681e-11,12.539408634327412,6.975158270029272,3.8724857399557444
