# MGH100,MGH101,MGH102,MGH104,MGH105,MGH106,MGH110,MGH113,MGH115,MGH121,MGH122,MGH124,MGH125,MGH128,MGH129,MGH136,MGH143,MGH151,MGH152,MGH66,BT1160,BT1187,BT749,BT771,BT786,BT830,BT920
6.054297819686542676e-08,8.178951549217955748e-12,2.661470316238929990e-02,2.774995409974140118e-10,5.810951071670614199e-02,2.894935335715207898e-11,1.489109211443109815e-01,2.281970990998191413e-03,1.792937581054440330e-02,2.466686835436967748e-02,8.371717503486647560e-02,2.211142384377602478e-09,1.449946083556444831e-01,1.791420179605334451e-01,2.103616333551434209e-02,1.155707505448233183e-02,8.777870476642973586e-11,5.347883191370894629e-01,2.172686503375748264e-03,1.446110003789466067e-02,4.306871298728064677e-09,3.477473310039831439e-15,4.324452331635565477e-04,9.763181062844116312e-03,1.331849922960971939e-03,1.080443530905612209e-02,1.274356045349392108e-08
1.105132053672603545e-08,2.281493886078405364e-01,3.545621168728970152e-01,2.730255471489278539e-10,3.322050354297942376e-01,1.262043884213916722e-01,2.540164545737052734e-02,1.270541685926331599e-01,3.062000217703724630e-02,0.000000000000000000e+00,2.005268039256485335e-01,7.110231765291225026e-02,3.144720595665646129e-02,7.842922494442409326e-03,3.293832406498212118e-09,3.761148776022549512e-09,2.165056296942237312e-11,1.365182593896723740e-08,7.769529296458148207e-09,0.000000000000000000e+00,4.617627886687054190e-09,8.538000374883758514e-01,8.555273581272192229e-03,4.515011130122542626e-02,1.725654626939171835e-02,1.009179247043079814e-08,6.098038726657937364e-02
4.648160377043611957e-01,7.718506104982822968e-01,7.863595524178323970e-02,6.371023427417078500e-01,4.788791306033876038e-01,6.170610986058715497e-01,1.564797827852880798e-03,3.382583782599914435e-01,8.202124936608787831e-01,5.160424148538036437e-01,1.193925981832182071e-01,2.680573700999503914e-02,0.000000000000000000e+00,3.457595406978752339e-01,6.970373277480216290e-01,9.524013894630331491e-09,5.274550567409924673e-01,1.720462728402421815e-01,3.632704536402073803e-01,6.818041140211626994e-01,5.412087520978795148e-03,1.137391038970515530e-07,1.229978633573395869e-09,3.931263622565279725e-01,3.024189027437479763e-02,2.270729394996074679e-01,6.482700786340939159e-02
3.504130584401106141e-01,6.045605833381776050e-12,5.638587703316908645e-02,3.528111721525009625e-01,1.811266748679525461e-12,1.964014563486547738e-01,8.241226355704656115e-01,4.094513651504698704e-01,1.032498321485053605e-01,3.588970972777836277e-01,3.504833378765953023e-01,4.317531849049429660e-01,1.246846220109949499e-01,4.250146687420772729e-01,2.551165174519052226e-01,8.573237264036938088e-01,4.725449415164544309e-01,2.651262783944149382e-01,4.429011874472521537e-01,2.476885983407366154e-01,8.472548627150134903e-01,1.441445833366618579e-01,9.718477255071604759e-01,3.312210490691608888e-01,9.337302570472281182e-01,1.730870965105824333e-01,6.037293385078277286e-01
2.700385109016714344e-02,8.720500184028680811e-10,0.000000000000000000e+00,1.008648455431861157e-02,2.201788606413819863e-02,6.033305657204061923e-02,0.000000000000000000e+00,1.225426959032048218e-09,2.798829620303413396e-02,0.000000000000000000e+00,4.924770536444419457e-03,8.148785384703987819e-03,1.373593770683457192e-02,5.054079503693365396e-14,4.674424875418787748e-03,5.347646720143140817e-09,1.572606273665565831e-09,3.077010884176870938e-09,4.107059724140606076e-09,5.604618760020593088e-02,1.641888866141137235e-09,2.055265435852769804e-03,1.314012954243507295e-02,1.007864486726789827e-01,1.743944152694370045e-02,5.866341444242570979e-01,2.704023045120151902e-01
1.577669811710622760e-01,7.602538375814600749e-12,4.838013476897614629e-01,9.475140235599788913e-13,1.087884371841626313e-01,2.309187982583705816e-11,0.000000000000000000e+00,1.229541157804803775e-01,0.000000000000000000e+00,1.003936195140431170e-01,2.409553144432269867e-01,4.621899728363034199e-01,6.851376259698696014e-01,4.224085010502111326e-02,2.213556329530751848e-02,1.311191799090144772e-01,6.051752153746953253e-11,2.803911289941652882e-02,1.916556605325756557e-01,0.000000000000000000e+00,1.473330391976195586e-01,2.251465354935368949e-15,6.024424905989910276e-03,1.199528476375627400e-01,1.495910071882012164e-08,2.401374164704523414e-03,6.094910660777975536e-05
