# MGH100,MGH101,MGH102,MGH104,MGH105,MGH106,MGH110,MGH113,MGH115,MGH121,MGH122,MGH124,MGH125,MGH128,MGH129,MGH136,MGH143,MGH151,MGH152,MGH66,BT1160,BT1187,BT749,BT771,BT786,BT830,BT920
2.682168829545739717e-08,1.079664802713625652e-07,1.748525202658272187e-02,8.322141778101636249e-09,4.326145349380956795e-02,1.255370070040341061e-10,1.111084449005710628e-01,2.116777965660821513e-03,1.239715836627977401e-02,1.578269199623250768e-02,6.053122345722410785e-02,0.000000000000000000e+00,9.251810200037566267e-02,1.202244288797860577e-01,1.514055442642204923e-02,1.097201465329413275e-02,5.972106420197078825e-10,3.887328817493204136e-01,1.034126326432606689e-08,1.028340216842070151e-02,0.000000000000000000e+00,2.573888777372882682e-08,2.723441440689780405e-04,3.999617748523277665e-03,3.734795922312707066e-03,6.106426422711223531e-03,2.501481034560436645e-08
1.138258082516859088e-01,2.061250925332598794e-07,3.168002062687971243e-01,1.729394028602955146e-09,7.088403295714335028e-02,3.254881048374654882e-11,4.553165130156363965e-11,8.044859873708253006e-02,0.000000000000000000e+00,6.004153729325709815e-02,1.573262178277322065e-01,3.135023609178030912e-01,5.580641231026152171e-01,8.475842489644095711e-11,1.945524028750932402e-02,1.073645896654192994e-01,1.796235415934018629e-10,5.163032732605929431e-02,3.863645903986104302e-02,1.469033341438327791e-10,9.245965855121376920e-02,1.647195800400190646e-08,1.510308345011854986e-02,5.358215207605066671e-02,9.291794852338326805e-09,5.957444019289878613e-04,9.411406552403127191e-09
4.568677381122131509e-01,3.635427975402862888e-01,0.000000000000000000e+00,6.187685486554055370e-01,3.758614729953149713e-01,6.505300848772443967e-01,3.831219853676780945e-02,2.788737810538207129e-01,7.795814338033008051e-01,4.554097581091208768e-01,6.582713481739867201e-02,5.441141500527711325e-03,4.360377457391838202e-08,1.862974662541416471e-01,6.756552101118123987e-01,2.333586923581559489e-02,5.463415682046085520e-01,2.112601740033592246e-01,1.552987140580421310e-01,6.668791175860822040e-01,2.401663608258778265e-08,4.029041239765628751e-02,4.468407056044572096e-11,2.362594488371332624e-01,2.270230044519310278e-02,3.300126946075047085e-01,7.576554131204836506e-02
1.024068429296635004e-08,3.492046961850233666e-01,1.112364072648206054e-01,6.023700909834540929e-03,1.182493552119241037e-01,4.570452326084948173e-11,2.737961172214696231e-10,5.388382519035438134e-02,2.710706939043449823e-02,1.015334693467774031e-02,7.101207324050105851e-02,2.800561229157114834e-02,1.356986237673495214e-10,1.127332795692843719e-02,1.090356074107876744e-02,0.000000000000000000e+00,3.114912151655889909e-08,3.730797690604830481e-08,9.310484610857474794e-03,1.396187108844286137e-02,0.000000000000000000e+00,6.916486593013664103e-09,1.251437568887908217e-08,9.846920206034648348e-02,2.509446072457181126e-02,2.758079981740864430e-08,7.851763306693906874e-02
1.843111099270817177e-01,1.047618601666785720e-01,1.087012957794798451e-01,1.660725727549529074e-01,8.552780549197186444e-02,9.529144971772009198e-02,8.826226137977383202e-02,1.171611810809165821e-01,1.350439315219019165e-01,2.214342035386990537e-01,1.148768445794071946e-01,1.319147013870880236e-01,1.009803460908216960e-01,4.210657938567709535e-01,1.290928205656346750e-01,6.626106864727797363e-02,1.067724322469750936e-01,1.129104776056313458e-01,6.352638450221897992e-01,1.196356400693546485e-01,1.967578647317454466e-01,3.783321365708076228e-02,1.073247959346298186e-01,2.120225399888470419e-01,9.326872110285110151e-02,8.409615383650065334e-02,1.232556147383572984e-02
2.219630143856014814e-02,1.235377675458498555e-03,0.000000000000000000e+00,2.632728332758462256e-03,1.628832504767730241e-02,3.788159076374055662e-02,4.758843890396997723e-09,1.612100457667238618e-09,1.978694989644559296e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.182759453489488737e-02,3.025381070509588349e-02,3.828218276271299551e-04,0.000000000000000000e+00,1.024408127756764063e-09,2.033589544101932806e-08,1.685149571744869873e-02,3.388744739700840641e-02,0.000000000000000000e+00,1.089070012760834372e-02,7.289686504434412725e-03,6.661639041740619049e-02,1.506064469182439094e-03,4.072861799324853371e-01,1.383070133155707704e-01
6.136967960371677236e-09,2.538529348565662924e-02,2.983417133672148225e-01,5.925964986829896658e-09,2.644662519197042427e-01,1.298185951236490165e-01,2.099327897965359152e-02,9.776053385259006467e-02,1.909289646403255700e-02,0.000000000000000000e+00,1.619214538495347688e-01,6.787882278837481520e-02,5.213231858203278696e-02,1.584382559519566594e-02,1.877503844741010500e-08,0.000000000000000000e+00,3.219105466406966004e-09,4.554815891633508795e-08,2.271079196470044727e-03,8.090820604030603353e-10,3.795428668570680460e-10,8.567635173271953564e-01,6.763407229241372338e-03,7.300608011542107211e-04,9.512444747056225962e-11,1.007296865401796117e-02,1.351544406168206369e-02
2.227989990711185253e-01,1.558696608553238050e-01,1.474351252931049294e-01,2.065024333695476833e-01,2.546130288245471163e-02,8.647827931385555777e-02,7.413238111250619600e-01,3.697553005074745158e-01,6.990560557604756468e-03,2.371784621280127459e-01,3.685050522282022345e-01,4.532573611146353820e-01,1.844774719497865034e-01,2.150413466673228580e-01,1.493697732648769927e-01,7.920664577981930687e-01,3.468859633789470043e-01,2.354660361235986488e-01,1.423679120138675036e-01,1.553525207347058734e-01,7.107824523208619016e-01,5.422210736312674251e-02,8.632466701784469176e-01,3.283205880705388768e-01,8.536936479489695140e-01,1.618298045640513827e-01,6.815687723437071632e-01
