# MGH100,MGH101,MGH102,MGH104,MGH105,MGH106,MGH110,MGH113,MGH115,MGH121,MGH122,MGH124,MGH125,MGH128,MGH129,MGH136,MGH143,MGH151,MGH152,MGH66,BT1160,BT1187,BT749,BT771,BT786,BT830,BT920
1.336806109028192135e-01,7.565143310720844338e-01,6.849926080320371773e-15,3.321969503655718969e-01,1.393391363723263943e-01,1.359610716037723821e-01,9.468547721612574200e-12,1.543716214832283329e-01,1.645432203561713047e-01,2.844360812786606019e-01,1.292086286909173432e-02,2.664638298452307736e-09,1.651224972148212270e-09,7.232562850253566877e-02,3.346251948595951320e-01,1.601361053874450144e-02,3.254856181503611445e-01,1.191829256963822109e-01,1.860428494119964749e-01,3.532764684190462523e-01,8.352188109571407476e-03,1.184509779548687490e-02,3.337835440435945254e-10,2.452275198882360729e-01,1.039459273380125282e-01,5.219391738859863183e-02,1.375329233654246086e-01
9.991240726399445993e-03,1.203086697860541177e-01,3.718551653393071810e-01,3.216026316135178183e-08,1.848894858701554123e-01,9.789947284514318724e-09,4.197159734026604661e-11,8.439893740331487482e-02,1.608654314941112065e-02,6.882959764281454225e-11,2.014095390580960543e-01,2.235782464584568363e-01,2.123828970411894279e-01,0.000000000000000000e+00,1.257082999768900885e-08,2.017445635817619390e-02,6.237123864778283229e-08,8.248680313910417382e-08,7.409463279586258840e-10,1.780367720276490395e-09,1.453612345732625301e-02,0.000000000000000000e+00,2.308894995542169221e-09,6.876240378483600146e-02,3.363328411337694686e-08,3.473048308747418426e-09,4.767247135228034477e-02
1.302201746696591417e-02,1.051027696382459027e-03,9.477471604679702394e-09,7.294977989830544150e-03,1.216795903892720424e-02,4.310965029427773348e-02,1.025657659314558462e-02,3.042303642640884753e-09,7.487684871058437712e-03,6.597468505745883468e-09,7.780843454239159268e-03,7.671631930908564248e-10,5.609182042315419000e-10,0.000000000000000000e+00,9.913085955910251066e-10,6.733523369285342695e-03,2.593940389836543030e-09,4.791641643394471510e-03,3.828064904816453735e-10,4.169266096830936269e-02,2.176379513464394067e-11,7.250029846652768973e-09,3.575236419925556519e-02,9.041091494259845263e-02,3.553955557941874260e-02,5.249265604863416756e-01,2.850432094845270492e-01
4.580764877141300651e-01,0.000000000000000000e+00,3.221769202514777053e-01,3.362704350348958982e-01,1.079488481479671343e-10,9.108593578360253684e-02,7.760950202174924373e-01,4.530417507025984447e-01,1.055324564143008889e-02,4.531213826728870964e-01,4.435977825520798223e-01,7.211253954787474330e-01,6.203087202058812366e-01,4.231915010447205305e-01,2.545271239818048814e-01,9.384993804295650444e-01,4.624305516348987677e-01,3.098879394432090262e-01,6.357501886787652046e-01,2.296142155534833806e-01,9.726346119180937499e-01,7.319258799803386728e-02,9.473106343275145003e-01,3.965877325744081028e-01,8.423394230546997763e-01,1.209362735090136198e-01,5.064819617853545397e-01
0.000000000000000000e+00,1.221259677232195140e-01,1.536542134067147847e-01,9.868392260536558372e-09,1.906547450345037753e-01,1.047054501183218300e-01,2.248017774307358926e-02,7.256912852563658645e-02,0.000000000000000000e+00,9.492744189267012812e-09,8.485040576930825973e-02,1.633687678586943547e-08,2.277083294976815839e-09,7.089060900837280965e-03,1.136861314746864273e-08,6.831561749628987649e-09,6.908600129257370757e-10,2.605180606890836756e-10,1.252628674753665031e-10,7.602900715895392882e-10,9.295365780072194562e-12,8.340018857605694391e-01,1.410191173222282920e-02,7.813785353050986190e-03,1.412670184038285551e-02,1.779275199431899181e-09,2.326943271402114738e-02
3.827387183885842536e-01,3.722259330472042652e-09,1.297461314120286202e-01,3.242375893315587176e-01,4.381392588673532762e-01,6.251378545806559606e-01,6.135282776839875302e-02,2.351404368850332494e-01,8.013293059819291964e-01,2.332403496304048529e-01,1.811986787609875804e-01,5.529633615237426747e-02,2.106437490766044679e-10,3.476833767332241365e-01,3.949228142280905574e-01,3.409341782059457425e-10,2.120837602490545648e-01,7.940547755789308104e-02,1.632397459939149975e-01,3.649695091365048882e-01,3.400348386766066742e-03,8.096042119588005292e-02,2.276028989786508133e-08,1.793159867442818689e-01,1.037921633612754103e-08,2.931138668087597265e-01,2.829360485131495587e-10
2.490924801101150957e-03,0.000000000000000000e+00,2.256756011299324016e-02,5.249487527417230894e-09,3.480941470878525651e-02,2.782942233517183664e-08,1.298153976264494192e-01,4.781219578847903926e-04,0.000000000000000000e+00,2.920217025900523691e-02,6.824188753619742087e-02,2.141743434895808111e-09,1.673083780530591480e-01,1.497104328186822653e-01,1.592484199975769885e-02,1.857902213173294806e-02,4.309646457447106235e-09,4.867319329118001137e-01,1.496721466630774287e-02,1.044714338199820118e-02,1.076728097183295369e-03,0.000000000000000000e+00,2.835064338038495186e-03,1.188165671258850642e-02,4.048348174985464711e-03,8.829376554962912321e-03,1.015456275023723517e-09
