# MGH100,MGH101,MGH102,MGH104,MGH105,MGH106,MGH110,MGH113,MGH115,MGH121,MGH122,MGH124,MGH125,MGH128,MGH129,MGH136,MGH143,MGH151,MGH152,MGH66,BT1160,BT1187,BT749,BT771,BT786,BT830,BT920
3.598945650251862149e-09,5.295197618302096565e-01,1.482671039692552428e-01,7.026472719004505860e-03,1.749200315813338180e-01,9.534084680407977250e-11,2.464218162237974390e-11,7.622409877791599953e-02,2.644030613405088173e-02,2.138457479473848070e-03,1.010522923708413734e-01,3.572268281407648544e-02,7.874714126487658550e-10,8.120274843491278802e-03,5.799937462876233671e-03,2.211989151099399701e-08,7.156917123895247815e-09,1.382190482520361040e-09,2.605170475988325288e-05,1.546805866427075106e-02,4.000640856375684216e-09,9.841494870909818934e-09,8.533983368379227944e-09,1.339092553317151046e-01,4.469059481339640594e-02,2.275659731348459138e-08,1.359225670068919811e-01
1.911643535293432172e-01,1.127153865893749524e-01,5.120549868029467683e-02,1.853596718385755460e-01,3.806289761173365510e-02,8.333745101751971474e-02,5.466794280495185232e-02,8.178270608915501338e-02,1.265490991713916491e-01,2.593542030922262320e-01,8.902583711943813649e-02,9.121830609562638081e-02,5.347127058140615369e-02,5.793758453134839614e-01,1.430267721792707614e-01,1.249464824900096277e-02,1.100432722838757260e-01,1.080396696085757641e-01,8.385752908335668554e-01,1.282699162050175978e-01,2.085820793501549086e-01,1.237746218938688171e-02,6.992937921067995943e-02,2.588021975536907160e-01,5.943604841951329043e-02,1.061491870511892394e-01,4.580097719316595280e-10
3.248190214275830624e-09,8.254094298929399268e-09,2.887724446871284267e-01,6.978929892793160355e-10,2.734691272133109585e-01,1.454242032890616931e-01,2.701532011546192019e-02,9.735937008581529994e-02,2.447251597902966314e-02,1.855865141232644267e-08,1.592058066382988080e-01,4.309724075633629414e-02,1.457743284208774803e-02,1.801364830814807666e-02,1.492973042365245167e-09,4.931083096938848045e-08,3.234330067899813694e-09,2.906663664163210506e-09,5.765333566864294743e-04,2.619948476168948134e-10,1.417937052197864648e-09,9.549580696029544846e-01,1.248924137078384795e-02,1.911558210323613789e-09,5.293302866801247853e-11,4.775145684609074553e-09,4.497990706625104914e-09
6.713600107726048786e-10,0.000000000000000000e+00,2.305325397261561923e-02,1.166271485729871751e-09,5.755707188276936587e-02,1.313694362757688510e-10,1.574355768638746045e-01,2.033838514956579167e-03,1.561823075916161582e-02,2.271146774786131708e-02,8.437014142869848909e-02,2.120140021939438857e-08,1.513181590990485270e-01,1.665598910811546540e-01,2.055331815667980899e-02,1.645753780017834150e-02,9.521827166107604947e-11,5.559403384350493083e-01,3.794398506840429055e-12,1.442644756476947794e-02,1.495793734074512749e-09,1.248257850707977102e-07,4.002242952926309515e-03,7.398406299168205566e-03,6.164292940747505972e-03,8.020289029671697281e-03,3.473065502709125792e-09
1.831488967234884135e-01,7.710353547753903691e-02,1.123849778704940489e-02,1.838749206271521608e-01,0.000000000000000000e+00,5.797614351593460141e-02,7.444741367491209960e-01,3.346132546749254200e-01,0.000000000000000000e+00,1.815769779271928230e-01,2.924940819019182792e-01,3.774183295277978023e-01,8.904263444887133838e-02,6.508781673067136342e-02,1.083438936874188407e-01,8.041159699746077694e-01,3.424095861348745440e-01,1.686275150496547304e-01,7.498961923704398728e-03,1.188838394579109919e-01,6.735544332944043422e-01,2.010353176130176903e-02,8.994163607698089091e-01,2.400705184883559773e-01,8.845197611132463722e-01,4.267294195714761706e-02,6.337583314351311614e-01
1.413230542929731770e-01,0.000000000000000000e+00,4.774631978373199415e-01,3.989059949510246687e-10,1.122765692941811860e-01,4.952802796959324923e-11,5.971914267834903969e-11,1.284001746943580491e-01,0.000000000000000000e+00,7.206693985458470508e-02,2.388852801835908424e-01,4.525433908413852846e-01,6.757064871889426616e-01,5.887619720415815811e-09,2.172683360821642609e-02,1.399928910283971539e-01,7.428245627115985721e-11,1.649378807318854778e-02,4.437448437099373449e-02,4.863837515960817479e-11,1.178634577631842012e-01,6.612492454799335889e-08,7.393215648389179877e-03,6.969338875494558716e-02,4.654408569349589433e-09,4.501846504389739709e-10,8.093077642209911614e-09
2.653181192192058391e-02,0.000000000000000000e+00,1.734280295330521627e-09,6.620087463467949976e-03,1.169710839131605715e-02,5.495616046553440659e-02,3.198252989814267218e-10,7.141875065156576181e-09,2.296888983170710871e-02,6.308972257873220745e-09,2.302871993121672477e-11,9.661673798328793412e-09,1.588401499687492474e-02,4.424322861184303013e-02,6.927905136883559130e-12,6.433323170782029504e-09,4.748678020042133690e-11,6.567220067087011192e-10,2.712542968460106979e-02,5.022777387499553770e-02,4.206277567413205537e-10,1.256064634940825230e-02,6.769550592865204892e-03,1.108122887729769135e-01,5.189257795139940940e-03,6.341618432811745310e-01,2.303190799822904811e-01
4.578318760137788379e-01,2.806613078487819601e-01,1.332056320527087132e-09,6.171188450887293842e-01,3.320171940253549003e-01,6.583060414357111423e-01,1.640702306240398450e-02,2.795865500209986920e-01,7.839509581246590919e-01,4.621519290310373007e-01,3.496656033418538145e-02,1.910170384834621150e-08,5.529714208080718067e-11,1.185992892235879365e-01,7.005492434056370676e-01,2.693887508377001624e-02,5.475471309730149949e-01,1.508986838879554371e-01,8.182324812189324670e-02,6.727239639224024126e-01,2.225725719901636113e-08,8.930474414280947937e-08,9.205631492715716673e-10,1.793139428875892005e-01,4.021061492684682164e-08,2.089957106988893920e-01,5.053542886162113729e-09
