S10,S4,S8,S9,S7,S3,S2,S6,ITTH
TCGA.61.1910.01,0.495858498285043,0.171872560328088,0.0773659441546126,0.00893076195953262,7.27500875491822e-07,1.88204975632341e-07,0.234055707820546,0.0119156117463268,0.617147120878518
TCGA.61.1728.01,0.352447538986197,0.0924090027487966,0.0753530547784981,0.0382725774514966,0.0201503986905004,0.194501324408133,0.195481970863108,0.0313841320732697,0.833010383457788
TCGA.09.1666.01,0.564667478038482,0.149698130424986,1.38656954149442e-06,0.0285685055418351,0.0130713092181945,0.156342076701898,0.083770021316274,0.00388109218878804,0.61780845549949
TCGA.24.1469.01,0.508094446813394,0.0222214080848685,0.219931953961292,0.0390948657294918,0.0115226906471807,0.128471060887715,0.0652103081725893,0.00545326570346839,0.678036546412013
TCGA.04.1348.01,0.506732963108366,0.0137053186031489,0.0206657504786978,0.00973264576595557,0.0291825246881887,0.32621420465643,0.0517183834440492,0.0420482092551636,0.617236516346529
TCGA.61.1917.01,0.157017417691312,0.125614164939035,0.138318620354406,0.0422457675807527,2.48128252830419e-05,0.353311195180522,0.179453493906827,0.00401452752186335,0.796783593279011
TCGA.61.2009.01,0.261057182508361,0.157883971623177,0.0287606399791531,0.00230135763349378,0.0012999345227495,0.428650492092591,0.119529374520622,0.000517047119852409,0.667320899067139
TCGA.31.1950.01,0.50689473933969,0.0202068322801804,0.175725369498156,0.0703983423991927,0.0106561492808183,0.108564509370351,0.102200672504949,0.00535338532666334,0.70507907294115
TCGA.31.1951.01,0.52601344698289,0.0138106069467161,0.0690571810073221,0.0655596508585838,0.00323205181989647,8.15331541589585e-06,0.235042285396617,0.0872766236725588,0.640599697953549
TCGA.61.1995.01,0.628397912728257,0.132645053416552,0.0964075625253238,0.0112166632706122,0.0281375999846895,0.0225000043945461,0.0670332975263411,0.0136619061536785,0.606619813799252
TCGA.24.2297.01,0.545471747688164,2.30994921005018e-07,0.0755130912172944,0.0321027147822271,0.00122563013773432,0.0893677122348203,0.213291640922212,0.0430272320226275,0.63721511723689
TCGA.24.1555.01,0.399408282454855,0.350449743042905,0.0517585322853741,0.0194281572334989,0.0330270823740196,0.0140773506705363,0.131744850159531,0.00010600177928027,0.675426977062021
TCGA.25.1322.01,0.543655785914317,0.0236790480306685,0.0856261375960576,0.0330598160428402,0.0288462265538205,0.0320157994018887,0.211232899743168,0.0418842867172394,0.681387406918173
TCGA.24.1427.01,0.376851344088939,0.103781790247584,0.132455669870125,0.0126041351154612,0.0444313308216159,0.0704307097608572,0.201151719374372,0.0582933007210456,0.83640520703057
TCGA.29.1698.01,0.542164261666584,0.0349292250693135,0.200861675907835,0.0391274702290809,0.0535724811457905,0.0857351637310878,0.00847637648968409,0.0351333457606243,0.684691948683471
TCGA.23.1023.01,0.3172406223027,0.028687922680468,0.192712226695081,0.0205482258259329,0.0293781195423423,0.157359039181249,0.207246782223669,0.0468270615485575,0.83069984589075
TCGA.13.0924.01,0.150522579509975,0.0938864013691968,0.00755914590354883,9.64665409168656e-06,0.00819669088408739,0.479372994229422,0.21048909642337,0.0499634450263078,0.679870016070058
TCGA.24.1847.01,0.439825284823694,0.00201842676723399,0.012083059205911,0.0100201220392405,0.0202557034892718,0.0996018043974541,0.389491058418821,0.0267045408583733,0.599198369238297
TCGA.24.1843.01,0.583871164015631,0.0184925925435638,0.0650795805128081,0.0137207440078709,0.00686718186297448,0.306044926918352,0.00592380745890994,2.67989000539964e-09,0.505695245102197
TCGA.25.1321.01,0.376761954459585,0.119625520533042,0.178917602476945,0.0313520044838467,0.0226555506762734,0.0290410107730947,0.224870617329209,0.0167757392680047,0.78431820444673
TCGA.30.1891.01,0.103611385177004,0.388226609256886,0,0,0.0507713800427341,0.332358856575575,0.113615701524895,0.0114160674229054,0.681827013663169
