S9,S8,S4,S6,S11,S5,S3,S7,S2
IGF1,4.60038394545303e-26,441.658952528112,127.458006895099,6.5876462686637e-15,57.1428670381358,1426.90421676092,649.230036194506,1.01375693611324e-05,296.837931076411
COX6A2,123.974343786183,0.00222336102793986,2092.9028305064,2.21364794017143e-06,1.27975739377335e-17,4526.50147994843,2.70246827625226e-15,1.35677578166222e-21,1.30839417305174e-25
SFN,0.0199813869167575,737.098368254357,2.48540289666228e-25,3.50669239063209e-22,794.531177190489,1.01766777105597e-25,4.58268081861527,4474.37860372755,719.865828554755
EYA4,1115.25725259456,1.5634304402728,1984.70687246535,1525.88590103192,228.419601019898,2157.82435096375,110.928683525761,52.3809405614811,3.00291607467396e-20
CDH16,3.73782645287256e-38,2.50773737253981e-14,2.50008224368316e-21,1587.93617749771,1.85297962958991e-21,3.65955102074815e-22,0.00830709984491465,6.13131988272717e-18,1.91809498888888e-12
SEPT4,813.645350758872,188.00058819879,3356.39094303819,196.368903429642,1216.63504183607,2382.46369513967,3.30586943727312,5.90113430421542e-09,83.9702913128253
RELB,1011.89309282698,515.511722855518,0.00355409728736488,429.602395782909,7.90505684582621e-05,0.689429812482822,4.35589816457347,1.10123947272095e-07,2100.63534132394
S100A14,1.102265992284e-14,580.309139678548,4.87330302827027e-12,1283.80715081565,954.261196390313,1.08573233197015e-18,3.21236847443167e-09,2349.73068508532,1468.04297847084
NEXN,125.456561068592,6.53302457108258,2547.84096245965,131.758273056365,207.309262366026,5040.95470765828,0.00187456452051508,2.35183069468942e-11,6.12893489160325
RSAD2,0.0175093155911011,2.1105577830461e-07,97.2482437438644,1.45507665413093e-08,1526.1802985993,7.49828508801859e-07,191.907534666438,0.0229709382222519,5995.6617666921
SHISA3,582.795179875529,1.93833354801551e-05,1.33444604807487e-16,2026.91655299515,1.2556029126107e-24,2.31541271193692e-14,0.262693192898179,812.197951687391,6.02519435457461e-14
SEMA3A,1269.47524074023,8.69127047443906e-06,303.086998953734,0.00238106050051951,426.795422956023,562.335191532208,2381.1855788709,461.423663055736,3.6199864587687
C19orf66,772.466379026875,73.3241477798047,126.786780338993,337.549995651696,1364.64566918431,0.00232596976503645,539.544907039147,697.679280165085,4163.37970087508
HDAC9,1.91871112007798e-14,536.937675088634,5.66836677033168e-20,8.11494471100591e-07,2037.85211118352,363.969155188146,688.834817492586,5.51319289406625,58.8702645937683
