S5,S2,S1
ZNF415,0.00122068917928781,1095.98358246235,732.166120472091
SMC2,684.920970951992,303.74689070793,566.673631756257
CHST14,642.232998388588,842.887437847703,22.3003100794054
ABCB9,160.405538262528,430.285573373319,387.949138199902
LOC253039,357.569774739008,717.631157164415,641.440146830583
C21orf70,284.330348705395,640.405417894765,436.326613183749
SYNGAP1,698.149728799363,772.796199560597,442.56022972585
ABTB1,599.840771001004,588.50164659724,386.431282103663
TTC39C,385.573439834031,124.163620808517,444.196601559236
LIMD1,553.359070724893,318.002375501025,400.992222067877
FAM43A,379.657381980782,0.204441347019224,414.501904800074
TIGD7,421.697028728889,866.091836369745,440.47512818044
ABHD5,433.716354469278,15.2740853688737,484.613890759415
WDR54,314.420466572386,262.361963387431,298.269998851456
PARP8,146.710628581028,397.116952454947,655.186841022889
FAAH,338.033791892418,1158.89368014983,374.85586672506
C4orf42,517.059763436421,325.487420966859,632.327291635646
KIAA1549,646.907719771047,129.489379957671,848.465256420396
LSM2,119.893592731023,709.930611045003,348.689748815069
EXOSC6,249.318831258017,1485.19839340826,352.867893851882
SH3RF3,280.567793742247,1101.26898465048,614.838149936217
CASP9,665.32586241076,1062.70472958219,219.890412482891
NINL,413.365032901899,665.141766254969,269.200975261978
ZNF362,355.802235448479,1712.39612257718,182.119555086126
CLN8,708.463098874289,138.014847918284,544.438572226929
C17orf108,572.133493655446,358.559525863969,259.8586985336
GNA11,803.058319530652,2.85388533667941e-13,756.263020715777
TRAF2,337.056961706011,1002.09845007906,0.000418862230787784
ZSWIM5,721.216204046149,207.407830837694,809.497515246653
ARSK,0.00455973314481205,9.65993390669188e-09,792.067699763326
C14orf167,911.006737225231,422.600430951465,892.646300207119
GAB1,266.005949391926,385.615150175609,599.114202556955
LMO2,411.007716041759,358.10116520197,66.0022743130131
B3GNT2,585.423532960952,0.00194057662210202,507.779319045932
