S5,S3,S2,S4,S6
CALML5,3.02370596703537e-19,2.25759124419226e-14,5.60424139565893e-31,3037.02939254848,1.59188915824388e-31
TRIM63,2.12281541080905e-16,3.01021294556592e-16,2.77704873372447e-09,0.00192708791109475,2.86086776247554
GPR116,0.110457232331322,8977.86690993853,0.00380847290519309,584.825379681395,535.327196170874
KLK6,4.16127615415108e-15,15.3953945793254,329.605890975145,2587.39004298914,3.10982728980008e-17
CALML3,4.40399931812843e-17,5.23928544014059e-14,6.07739879022382e-19,3239.18081337077,1.46040982784943e-26
SNCG,6.56058221594369e-10,0.000103157980364942,3203.81602461433,4129.73942073649,0.36199354981759
PADI3,3.08299624067693e-17,4.97319094056107e-14,4.07662559798537e-19,3232.03733241823,1.56859342575006e-25
UBD,0.600202453388178,1.06832653344697e-06,895.323686123315,1424.89356390306,833.440018030859
F10,6.90415119868235e-09,1.09508784193961e-14,738.145194259195,9.43902240175335e-09,1474.29195160925
FER1L4,0.00791915887640573,5.50730403878254e-13,1141.8916899337,3122.10174180328,5.61025060313194e-15
MT1H,247.175193871052,3.9270275044364e-19,1.56978244536183e-10,0.00485285138930388,290.683832941239
CRTAC1,40.0092275220455,962.537814604791,252.755417975255,2616.66064600072,8.01064902330053e-06
SAA1,7.84265198824685,3.99775527529809e-06,232.661437453636,744.02835381704,0.106533564093138
PTGER3,1.43797698014225e-16,11743.9591734258,3.55698181975164e-13,6.62650512711578e-16,359.962091656587
NEFM,6.08259372977689e-08,3.28893874197935e-11,77.6786342535597,0.00756012187501516,4316.6198554345
KHK,0.00702573490183216,1.08428666603113e-10,1699.63795297033,5.64260151352656e-08,6731.9225419298
CCL5,0.131531678589703,6.71830447735688e-08,1658.59472106092,531.497754899588,7.71578716964834e-05
ANGPTL2,0.000781399036161084,0.000476257111304754,0.00802442109070626,1555.66270126263,1440.20741437871
CADM3,637.602399452806,1774.66839713945,82.1319380182046,1543.24356671902,2.63261401332452e-13
HBA1,157.334304412053,32.8246048287184,694.528773940986,2.0823578045869e-07,1120.9333404818
SH3PXD2B,214.099088115789,19.6256640443251,0.0189604564538778,1027.06655311175,1456.28529606301
FXYD4,7.06011497840822e-16,7327.48626536866,1.78296390686221e-15,5.63579359229617e-13,19.2503753863954
S100P,2.64754764975632e-15,3.21822637828358e-14,3.90228074103877e-13,3654.00127814385,1.77989496346189e-26
PVALB,3.33598896576351e-18,8624.56898311934,25.4542904812749,1.26547695543088e-19,601.30387313056
HMGCS2,2.38064385251984e-15,3285.18889823105,1.54966285012509e-06,1370.21067576345,981.946221113435
RCAN2,43.8828413844491,5602.37263757589,307.197301995866,0.0221654544916958,2604.93229331439
ABCB5,9.95940480626585e-15,3.57046228091364e-14,9.26611586315935e-11,9.12631007287707e-13,1532.47001489017
CYP17A1,1.0999025454616e-07,3.97092217621671e-14,8.85800968318508e-13,1.50750351849240e-10,2917.1489222632
ZFP106,902.880084678548,2186.68840579562,0.0398363966614413,402.061331065782,3866.34341569159
LAD1,0.000582031588654442,1764.85500353643,1039.96331891131,4779.73568749594,693.684153352295
CD163,52.0133096362503,2.61002711066228e-09,4.50238687382183,1.23811827823607e-07,191.441516425751
C10orf10,105.275001258638,7783.15084557582,1045.19939543075,3961.76509016184,0.0282838451154172
ERRFI1,813.929112527613,6689.50240615449,12.3764136422424,4894.56401718569,0.000891973823227571
SLC7A5,0.00342332125493223,3034.65103509562,0.470549673354481,4142.99050888858,961.164108498528
EFEMP1,0.000361289867092244,6811.14055667671,1.43668583908712e-07,4144.42337249206,3.22166113739089e-09
RAP1GAP,0.855351782134691,5558.12552948454,2746.6313107732,2395.80938413075,3973.36955332735
SLC7A8,3.14345512501867e-07,4740.3570769505,39.0396036558624,611.53134266669,2456.25717296985
SIK1,821.065685966017,12706.1972953088,2.64924403835823,704.756616484828,6.05007388957793e-06
MEST,1164.70226109332,5820.00565387293,109.321950878097,423.088873818824,581.422418912246
NPNT,2314.06639356915,4448.07127908949,0.00684169164358592,2490.21841810537,0.00692169951662832
AZGP1,209.52865301655,5.5230240786764e-13,2296.96504823659,9.48545161451606e-13,4308.23058212979
TGFA,881.975307622883,6338.44808733254,1.43220804965366,6095.45669047077,16.544314560135
TFRC,544.400774507214,2533.27997745291,4.1181745465685,4927.76771086144,380.32568904993
FCAMR,2.39154792538792,3.72196140812626e-14,145.34562288354,741.040796848989,3320.53653565152
BIRC3,723.108375646206,807.981862052014,722.056913724018,3032.04594022879,0.208743029434328
C6orf108,119.660575966269,36.2512611966151,7280.53010185635,98.8466407221083,2243.57977625477
TYROBP,42.2465234946694,7.52812622582479e-07,4029.64228722335,0.000286411289407525,0.908463367196744
ARSE,423.46490141263,11.5285617233338,2757.52378243395,1068.91355921465,3684.7890080977
DCN,512.139780212575,2020.19281502383,76.0822985160675,3979.4791816549,0.000110491749086752
PRAP1,0.00101205072440113,1.08632101249784e-14,3221.28227467423,0.00137963294084147,3313.05731679621
CXCR4,659.364191363239,1101.27418533695,1707.88113997886,788.112624807497,0.0307968001933832
UCP2,22.7657508296213,2834.90976125774,1607.98365696559,4193.75130741405,24.9597766663206
C5orf23,2090.101297581,1.48363668215237e-09,157.978373214358,0.557118012699037,2181.22395471267
PPP1R1A,29.6092152239681,4.01051608218331,3634.63015602333,105.673445245924,2651.14226231377
SYT13,1605.28775079629,8248.40207242616,803.398725161946,131.172414537571,1692.23033540619
SLC39A5,1211.92050366577,1.92400341347433e-13,2962.54365526787,1.48631953181222e-11,3814.08849551793
PHLDA1,938.479803661056,8893.68841198726,3.74773227180649,3447.61481012422,5.40351431367266e-05
DPEP1,1642.82899133743,1.27065615536797e-09,1689.40112375353,1.92591176650869e-12,811.873496999512
C2,0.0147348686410169,8.46226014715332e-07,0.546253774747462,0.152419850025486,1679.37745467939
MYLK,948.54386456362,3456.76718295785,0.000282041659489537,3238.13504249785,2377.40750994419
